pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round
3,OKC,James Harden,Arizona State,13,921,31825,23035,5145,6177,0.443,0.362,0.859,146.6,0.221,2009,34.6,25,5.6,6.7,1,3
4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,0.44,0.323,0.757,28.4,0.075,2009,30.7,15.7,4.6,4.8,1,4
5,MIN,Ricky Rubio,NA,11,665,20128,7399,2760,5045,0.389,0.326,0.843,42,0.1,2009,30.3,11.1,4.2,7.6,1,5
6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,0.4,0.338,0.809,-1.1,-0.015,2009,22.9,9.2,1.9,3.9,1,6
7,GSW,Stephen Curry,Davidson,13,816,28031,19827,3789,5326,0.473,0.428,0.908,119.4,0.204,2009,34.4,24.3,4.6,6.5,1,7
8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,16.4,0.102,2009,18.8,7.9,5.8,0.8,1,8
9,TOR,DeMar DeRozan,USC,13,936,32006,19298,4122,3638,0.465,0.285,0.836,82.7,0.124,2009,34.2,20.6,4.4,3.9,1,9
10,MIL,Brandon Jennings,NA,9,555,16844,7801,1659,3151,0.387,0.345,0.796,29.9,0.085,2009,30.3,14.1,3,5.7,1,10
11,BRK,Terrence Williams,Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,-0.2,-0.004,2009,19.1,7.1,3.6,2.4,1,11
12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,0.44,0.327,0.793,18.3,0.063,2009,25.9,11.2,3.2,1.9,1,12
13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,0.439,0.136,0.738,20.2,0.134,2009,16.9,6.7,4.2,0.4,1,13
14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,2.9,0.038,2009,13.9,4.4,3,0.5,1,14
15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,0.402,0.351,0.778,4.5,0.053,2009,14.1,5.2,2.6,0.7,1,15
16,CHI,James Johnson,Wake Forest,13,728,14953,5677,2614,1538,0.475,0.302,0.68,27,0.087,2009,20.5,7.8,3.6,2.1,1,16
17,PHI,Jrue Holiday,UCLA,13,819,27163,13212,3276,5225,0.46,0.361,0.777,54.5,0.096,2009,33.2,16.1,4,6.4,1,17
18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,0.46,0.359,0.77,42.1,0.126,2009,29.2,12.7,2.7,6,1,18
19,ATL,Jeff Teague,Wake Forest,12,826,22164,10061,1989,4585,0.444,0.36,0.844,52.4,0.113,2009,26.8,12.2,2.4,5.6,1,19
20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,0.392,0.35,0.721,3.3,0.041,2009,14.6,4.3,1.3,2.8,1,20
21,NOP,Darren Collison,UCLA,11,711,20833,8861,1889,3545,0.471,0.394,0.853,49.9,0.115,2009,29.3,12.5,2.7,5,1,21
22,POR,Victor Claver,NA,3,80,1072,258,178,56,0.398,0.293,0.585,0.2,0.011,2009,13.4,3.2,2.2,0.7,1,22
23,SAC,Omri Casspi,NA,10,588,11959,4642,2355,662,0.454,0.368,0.678,19.6,0.078,2009,20.3,7.9,4,1.1,1,23
24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,0.408,0.319,0.706,0.6,0.008,2009,18.2,7.4,4.2,0.8,1,24
25,OKC,Rodrigue Beaubois,NA,4,182,2896,1286,338,374,0.439,0.325,0.81,4.8,0.079,2009,15.9,7.1,1.9,2.1,1,25
26,CHI,Taj Gibson,USC,13,883,21742,8012,5423,873,0.518,0.239,0.711,57.9,0.128,2009,24.6,9.1,6.1,1,1,26
27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,0.43,0.358,0.741,29.5,0.104,2009,23.7,8.9,4.2,1.3,1,27
28,MIN,Wayne Ellington,UNC,13,762,15951,6118,1626,846,0.41,0.382,0.843,20.9,0.063,2009,20.9,8,2.1,1.1,1,28
29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,0.404,0.354,0.824,12.1,0.077,2009,19.1,7.6,2.2,2.3,1,29
30,CLE,Christian Eyenga,NA,2,51,1049,320,137,40,0.411,0.277,0.611,-0.4,-0.02,2009,20.6,6.3,2.7,0.8,1,30
31,SAC,Jeff Ayres,Arizona State,6,237,2322,690,632,99,0.553,0.4,0.776,6.3,0.131,2009,9.8,2.9,2.7,0.4,2,1
32,WAS,Jermaine Taylor,Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,0.2,0.014,2009,12.1,5.4,1.7,0.7,2,2
33,POR,Dante Cunningham,Villanova,10,715,14875,4133,2676,506,0.469,0.345,0.649,24.9,0.08,2009,20.8,5.8,3.7,0.7,2,3
35,DET,DaJuan Summers,Georgetown,4,83,820,278,82,29,0.384,0.367,0.642,-0.1,-0.008,2009,9.9,3.3,1,0.3,2,5
36,MEM,Sam Young,Pitt,4,249,3966,1436,573,180,0.442,0.28,0.742,5.2,0.063,2009,15.9,5.8,2.3,0.7,2,6
37,SAS,DeJuan Blair,Pitt,7,424,7054,2865,2153,349,0.524,0,0.608,19,0.129,2009,16.6,6.8,5.1,0.8,2,7
38,POR,Jon Brockman,Washington,3,150,1570,320,472,49,0.488,0,0.618,3.7,0.113,2009,10.5,2.1,3.1,0.3,2,8
39,DET,Jonas Jerebko,NA,9,635,11323,3919,2522,525,0.457,0.363,0.77,25.8,0.109,2009,17.8,6.2,4,0.8,2,9
40,CHA,Derrick Brown,Xavier,3,171,2554,895,413,119,0.515,0.317,0.637,4.5,0.085,2009,14.9,5.2,2.4,0.7,2,10
41,MIL,Jodie Meeks,Kentucky,10,539,12110,4988,1120,583,0.42,0.373,0.879,24.3,0.096,2009,22.5,9.3,2.1,1.1,2,11
42,LAL,Patrick Beverley,Arkansas,10,508,13990,4489,2179,1766,0.414,0.378,0.757,33.3,0.114,2009,27.5,8.8,4.3,3.5,2,12
43,MIA,Marcus Thornton,LSU,8,483,11299,5750,1348,677,0.425,0.358,0.83,20,0.085,2009,23.4,11.9,2.8,1.4,2,13
44,DET,Chase Budinger,Arizona,7,407,7998,3198,1240,473,0.43,0.352,0.797,13.9,0.083,2009,19.7,7.9,3,1.2,2,14
45,MIN,Nick Calathes,Florida,2,129,2011,590,243,353,0.441,0.288,0.581,2.6,0.063,2009,15.6,4.6,1.9,2.7,2,15
46,CLE,Danny Green,UNC,13,797,20311,7034,2750,1247,0.422,0.4,0.806,48.4,0.114,2009,25.5,8.8,3.5,1.6,2,16
48,PHO,Taylor Griffin,Oklahoma,1,8,32,10,2,1,0.4,0,0.5,0,-0.039,2009,4,1.3,0.3,0.1,2,18
52,IND,A.J. Price,UConn,6,261,3929,1523,377,567,0.38,0.316,0.742,4.7,0.058,2009,15.1,5.8,1.4,2.2,2,22
53,SAS,Nando De Colo,NA,2,119,1414,453,211,203,0.429,0.363,0.835,2.4,0.081,2009,11.9,3.8,1.8,1.7,2,23
55,POR,Patty Mills,Saint Mary's,13,797,16471,7372,1361,1861,0.428,0.391,0.857,35.5,0.104,2009,20.7,9.2,1.7,2.3,2,25
58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.277,0.806,0.2,0.016,2009,10.4,4.7,1.4,1.2,2,28
1,WAS,John Wall,Kentucky,10,613,21833,11702,2612,5557,0.431,0.323,0.779,44.1,0.097,2010,35.6,19.1,4.3,9.1,1,1
2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,0.434,0.294,0.782,20.2,0.051,2010,26.9,9.7,4.6,3.5,1,2
3,BRK,Derrick Favors,Georgia Tech,12,789,19184,8348,5605,850,0.534,0.198,0.663,60.3,0.151,2010,24.3,10.6,7.1,1.1,1,3
4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,0.404,0.337,0.741,10.7,0.038,2010,22.1,7,3.2,1.1,1,4
5,SAC,DeMarcus Cousins,Kentucky,11,631,19183,12575,6542,1935,0.459,0.33,0.737,46,0.115,2010,30.4,19.9,10.4,3.1,1,5
6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,0.453,0,0.718,10.4,0.088,2010,14.8,3.5,2.9,0.7,1,6
7,DET,Greg Monroe,Georgetown,10,642,17626,8381,5281,1368,0.514,0.059,0.703,50.1,0.137,2010,27.5,13.1,8.2,2.1,1,7
8,LAC,Al-Farouq Aminu,Wake Forest,11,711,17698,5350,4280,879,0.42,0.332,0.746,27.6,0.075,2010,24.9,7.5,6,1.2,1,8
9,UTA,Gordon Hayward,Butler,12,733,22815,11449,3299,2572,0.453,0.371,0.826,60.2,0.127,2010,31.1,15.6,4.5,3.5,1,9
10,IND,Paul George,Fresno State,12,732,24588,14916,4707,2607,0.436,0.381,0.849,76.1,0.149,2010,33.6,20.4,6.4,3.6,1,10
11,NOP,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,0.527,0,0.738,9.6,0.135,2010,10,3.1,3.3,0.5,1,11
12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,0.8,0.013,2010,15.7,5.7,1.9,0.6,1,12
13,TOR,Ed Davis,UNC,12,710,13697,4284,4596,537,0.567,0,0.584,43.1,0.151,2010,19.3,6,6.5,0.8,1,13
14,HOU,Patrick Patterson,Kentucky,11,719,14923,4782,2799,736,0.447,0.369,0.755,31.9,0.102,2010,20.8,6.7,3.9,1,1,14
15,MIL,Larry Sanders,VCU,6,238,4635,1520,1345,174,0.48,0,0.553,10.3,0.107,2010,19.5,6.4,5.7,0.7,1,15
16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,0.408,0.402,0.747,7.2,0.065,2010,14,4.8,2.2,0.6,1,16
17,CHI,Kevin Séraphin,NA,7,423,6430,2516,1462,246,0.489,0,0.715,5.9,0.044,2010,15.2,5.9,3.5,0.6,1,17
18,OKC,Eric Bledsoe,Kentucky,12,756,21021,10348,2937,3545,0.452,0.336,0.784,46.2,0.105,2010,27.8,13.7,3.9,4.7,1,18
19,BOS,Avery Bradley,Texas,12,647,17910,7210,1840,1099,0.434,0.364,0.782,17,0.046,2010,27.7,11.1,2.8,1.7,1,19
20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,0.411,0.321,0.755,3.3,0.037,2010,17.5,5.8,2.3,1.2,1,20
21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,0.265,0.214,0.5,-0.2,-0.089,2010,7.1,1.8,1.1,0.5,1,21
22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,0.7,0.024,2010,13.5,4.9,1.5,0.9,1,22
23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,566,0.515,0.305,0.636,26.2,0.116,2010,20.4,6.9,5.5,1.1,1,23
24,ATL,Damion James,Texas,4,39,623,150,131,26,0.415,0,0.667,0,-0.001,2010,16,3.8,3.4,0.7,1,24
25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,0.366,0.095,0.729,0.3,0.017,2010,9.3,3.1,1.4,1.8,1,25
26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,0.423,0.356,0.746,9.7,0.084,2010,15.6,4.5,1.8,0.7,1,26
27,BRK,Jordan Crawford,Xavier,6,281,6843,3432,703,883,0.411,0.317,0.826,6.3,0.044,2010,24.4,12.2,2.5,3.1,1,27
28,MEM,Greivis Vásquez,Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,12.6,0.064,2010,23.7,9,2.5,4.8,1,28
29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,0.485,0,0.597,1,0.093,2010,10.6,2.8,2.5,0.5,1,29
30,WAS,Lazar Hayward,Marquette,3,72,591,207,90,35,0.347,0.269,0.767,0.2,0.02,2010,8.2,2.9,1.3,0.5,1,30
31,BRK,Tibor Pleiß,NA,1,12,82,24,15,2,0.44,0,1,-0.1,-0.041,2010,6.8,2,1.3,0.2,2,1
32,MIA,Dexter Pittman,Texas,4,50,347,116,89,9,0.45,0,0.545,0.5,0.068,2010,6.9,2.3,1.8,0.2,2,2
33,SAC,Hassan Whiteside,Marshall,10,492,12334,6315,5388,319,0.584,0.308,0.607,50.3,0.196,2010,25.1,12.8,11,0.6,2,3
34,POR,Armon Johnson,Nevada,2,47,401,157,49,56,0.458,0.4,0.679,-0.1,-0.015,2010,8.5,3.3,1,1.2,2,4
35,WAS,Nemanja Bjelica,NA,7,431,8843,3305,1966,767,0.464,0.382,0.753,19,0.103,2010,20.5,7.7,4.6,1.8,2,5
37,MIL,Darington Hobson,New Mexico,1,5,39,4,3,6,0.154,0,0,-0.2,-0.225,2010,7.8,0.8,0.6,1.2,2,7
38,NYK,Andy Rautins,Syracuse,1,5,24,8,1,3,0.429,0.25,0.5,-0.2,-0.314,2010,4.8,1.6,0.2,0.6,2,8
39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,0.473,0.332,0.666,10.5,0.084,2010,23.6,6.8,4.3,1.6,2,9
40,IND,Lance Stephenson,Cincinnati,10,538,12409,4605,2215,1566,0.444,0.311,0.692,17.3,0.067,2010,23.1,8.6,4.1,2.9,2,10
41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,0.582,0,0.518,0.7,0.089,2010,10.7,2.9,1.9,0.4,2,11
43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,0.385,0.222,0.722,0.5,0.035,2010,11.3,3.6,1.9,0.4,2,13
44,MIL,Jerome Jordan,Tulsa,2,65,491,180,132,17,0.528,0,0.852,1.7,0.168,2010,7.6,2.8,2,0.3,2,14
46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,0,0,0,0,-0.009,2010,2,0,0,0,2,16
50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,0.314,0,0.7,0,0.01,2010,7,1.5,2.3,0.2,2,20
52,BOS,Luke Harangody,Notre Dame,2,70,871,253,196,36,0.376,0.241,0.737,0.9,0.048,2010,12.4,3.6,2.8,0.5,2,22
53,ATL,Pape Sy,NA,1,3,21,7,3,2,0.333,0,1,0,-0.047,2010,7,2.3,1,0.7,2,23
54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,0.2,0.065,2010,7.1,1.9,0.6,1.4,2,24
55,UTA,Jeremy Evans,Western Kentucky,7,250,2626,879,641,107,0.569,0.231,0.687,8.2,0.15,2010,10.5,3.5,2.6,0.4,2,25
56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,0.467,0,0.462,0,0.013,2010,4.8,0.6,0.8,0.1,2,26
57,IND,Ryan Reid,Florida State,1,5,17,8,2,0,0.8,0,0,0.1,0.142,2010,3.4,1.6,0.4,0,2,27
58,LAL,Derrick Caracter,Texas-El Paso,1,41,215,81,43,7,0.485,0,0.739,0.3,0.057,2010,5.2,2,1,0.2,2,28
1,CLE,Kyrie Irving,Duke,11,596,20220,13631,2279,3411,0.469,0.391,0.882,69.8,0.166,2011,33.9,22.9,3.8,5.7,1,1
2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,14.1,0.076,2011,20.7,8.9,4,0.7,1,2
3,UTA,Enes Freedom,NA,11,748,16101,8349,5822,638,0.548,0.289,0.777,52.8,0.157,2011,21.5,11.2,7.8,0.9,1,3
4,CLE,Tristan Thompson,Texas,11,707,19180,6462,6011,711,0.518,0.278,0.606,46.6,0.117,2011,27.1,9.1,8.5,1,1,4
5,TOR,Jonas Valančiūnas,NA,10,674,17559,8958,6338,771,0.563,0.366,0.784,65.4,0.179,2011,26.1,13.3,9.4,1.1,1,5
6,WAS,Jan Veselý,NA,3,162,2455,590,562,96,0.521,0,0.408,4,0.078,2011,15.2,3.6,3.5,0.6,1,6
7,SAC,Bismack Biyombo,NA,11,719,14521,3749,4423,433,0.53,0,0.565,29,0.096,2011,20.2,5.2,6.2,0.6,1,7
8,DET,Brandon Knight,Kentucky,9,449,13191,6299,1384,1777,0.411,0.353,0.807,11.7,0.043,2011,29.4,14,3.1,4,1,8
9,CHA,Kemba Walker,UConn,11,741,24666,14414,2815,3919,0.418,0.36,0.84,59.5,0.116,2011,33.3,19.5,3.8,5.3,1,9
10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,2.2,0.033,2011,13.3,6,1,1.4,1,10
11,GSW,Klay Thompson,Washington State,9,631,20744,12268,2190,1465,0.458,0.418,0.849,47.8,0.11,2011,32.9,19.4,3.5,2.3,1,11
12,UTA,Alec Burks,Colorado,11,602,13605,6339,2068,1179,0.418,0.375,0.799,23.9,0.084,2011,22.6,10.5,3.4,2,1,12
