pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round
13,PHO,Markieff Morris,Kansas,11,708,17613,7770,3697,1144,0.446,0.341,0.777,27,0.073,2011,24.9,11,5.2,1.6,1,13
14,HOU,Marcus Morris,Kansas,11,700,18965,8674,3232,1050,0.436,0.379,0.768,35.9,0.091,2011,27.1,12.4,4.6,1.5,1,14
15,IND,Kawhi Leonard,San Diego State,10,576,18025,11085,3689,1672,0.493,0.384,0.858,83.3,0.222,2011,31.3,19.2,6.4,2.9,1,15
16,PHI,Nikola Vučević,USC,11,720,22214,12210,7536,1990,0.494,0.351,0.756,58.5,0.126,2011,30.9,17,10.5,2.8,1,16
17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,0.391,0.337,0.764,12.9,0.054,2011,24.9,7.2,3.3,1.8,1,17
18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,2.3,0.042,2011,17.6,4.1,3.2,0.6,1,18
19,CHA,Tobias Harris,Tennessee,11,729,22807,11970,4523,1655,0.476,0.366,0.829,56.9,0.12,2011,31.3,16.4,6.2,2.3,1,19
20,MIN,Donatas Motiejūnas,NA,6,251,4566,1832,952,269,0.469,0.3,0.597,7.1,0.075,2011,18.2,7.3,3.8,1.1,1,20
21,POR,Nolan Smith,Duke,2,84,829,277,83,97,0.371,0.26,0.714,-0.8,-0.047,2011,9.9,3.3,1,1.2,1,21
22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,0.546,0.222,0.654,38.8,0.159,2011,24.5,11.4,8.1,1,1,22
23,HOU,Nikola Mirotić,NA,5,319,7718,3910,1894,407,0.423,0.359,0.808,20.8,0.129,2011,24.2,12.3,5.9,1.3,1,23
24,OKC,Reggie Jackson,Boston College,11,685,17423,8864,2047,2920,0.425,0.345,0.854,33.7,0.093,2011,25.4,12.9,3,4.3,1,24
25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,0.447,0.345,0.751,3.3,0.046,2011,17.3,8,2.1,1.4,1,25
26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,0.408,0.357,0.67,3,0.069,2011,13.9,5.9,2.8,0.8,1,26
27,BRK,JaJuan Johnson,Purdue,1,36,298,114,58,6,0.446,0,0.667,0.2,0.032,2011,8.3,3.2,1.6,0.2,1,27
28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,3,0.018,2011,22.3,7,2,2.7,1,28
29,SAS,Cory Joseph,Texas,11,710,15708,5020,1828,2133,0.444,0.343,0.781,27.9,0.085,2011,22.1,7.1,2.6,3,1,29
30,CHI,Jimmy Butler,Marquette,11,673,22306,11873,3579,2764,0.459,0.321,0.842,91.5,0.197,2011,33.1,17.6,5.3,4.1,1,30
31,MIA,Bojan Bogdanović,NA,8,590,17122,8793,2133,921,0.457,0.392,0.863,32,0.09,2011,29,14.9,3.6,1.6,2,1
32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,0.34,0.276,0.333,-0.3,-0.093,2011,6.8,2,0.8,0.2,2,2
33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,0.418,0.362,0.786,10,0.062,2011,21.9,6.5,2.9,0.8,2,3
34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,0.423,0.33,0.731,10.3,0.059,2011,18.4,6.6,2,3.1,2,4
35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,0.314,0.2,0.714,-0.1,-0.049,2011,5,1.2,1,0.4,2,5
36,BRK,Jordan Williams,Maryland,1,43,635,197,156,11,0.507,0,0.652,1.3,0.101,2011,14.8,4.6,3.6,0.3,2,6
37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,0.393,0.308,0.714,0,0.004,2011,5,2.4,1,0.1,2,7
38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,0.462,0.373,0.713,28.9,0.105,2011,30.1,12.7,4.5,2.7,2,8
39,CHA,Jeremy Tyler,NA,3,104,1034,373,269,25,0.45,0,0.557,0.3,0.014,2011,9.9,3.6,2.6,0.2,2,9
40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,0.484,0.328,0.767,13.2,0.107,2011,15.8,6.4,3.8,0.8,2,10
41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,0.384,0.322,0.63,-0.3,-0.01,2011,11.1,3.3,1,1.4,2,11
42,IND,Dāvis Bertāns,NA,6,367,7105,3063,994,379,0.426,0.399,0.861,16.4,0.111,2011,19.4,8.3,2.7,1,2,12
43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,0.382,0.294,0.703,0.4,0.04,2011,14.8,3.9,1.8,1.4,2,13
44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,0.434,0.182,0.754,0.5,0.017,2011,12.1,3.7,0.9,1.9,2,14
45,NOP,Josh Harrellson,Kentucky,3,75,888,265,227,26,0.438,0.347,0.629,2.1,0.116,2011,11.8,3.5,3,0.3,2,15
46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,0.393,0.345,0.875,0,0.003,2011,9.7,4,0.7,0.5,2,16
47,LAC,Travis Leslie,Georgia,1,10,45,14,9,5,0.357,0,0.444,0.1,0.06,2011,4.5,1.4,0.9,0.5,2,17
48,ATL,Keith Benson,Oakland,1,3,9,0,3,0,0,0,0,0,-0.005,2011,3,0,1,0,2,18
49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,0.33,0.143,0.72,-0.7,-0.113,2011,7.8,2.2,0.5,0.9,2,19
50,PHI,Lavoy Allen,Temple,6,388,6905,1847,1843,384,0.471,0.133,0.682,13.8,0.096,2011,17.8,4.8,4.8,1,2,20
52,DET,Vernon Macklin,Florida,1,23,135,46,34,5,0.543,0,0.571,0.5,0.161,2011,5.9,2,1.5,0.2,2,22
53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,0.402,0.352,0.549,1.6,0.04,2011,10.8,2,1.4,0.7,2,23
55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,0.455,0.388,0.742,14.8,0.057,2011,21,7.9,2,1.8,2,25
60,SAC,Isaiah Thomas,Washington,11,533,15344,9574,1300,2614,0.434,0.362,0.872,45,0.141,2011,28.8,18,2.4,4.9,2,30
1,NOP,Anthony Davis,Kentucky,10,601,20698,14318,6129,1399,0.515,0.303,0.794,91.5,0.212,2012,34.4,23.8,10.2,2.3,1,1
2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,21,0.092,2012,24.6,8.4,5.4,1.2,1,2
3,WAS,Bradley Beal,Florida,10,645,22418,14231,2641,2701,0.456,0.372,0.821,49.2,0.105,2012,34.8,22.1,4.1,4.2,1,3
4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,8.8,0.036,2012,28.2,13.1,2.6,2.8,1,4
5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,4.6,0.053,2012,13.4,4.9,4.8,0.6,1,5
6,POR,Damian Lillard,Weber State,10,711,25835,17510,2976,4726,0.437,0.373,0.893,94.5,0.176,2012,36.3,24.6,4.2,6.6,1,6
7,GSW,Harrison Barnes,UNC,10,725,23028,10235,3720,1326,0.453,0.38,0.804,43.6,0.091,2012,31.8,14.1,5.1,1.8,1,7
8,TOR,Terrence Ross,Washington,10,658,16412,7436,1875,826,0.418,0.364,0.839,23.5,0.069,2012,24.9,11.3,2.8,1.3,1,8
9,DET,Andre Drummond,UConn,10,697,20799,9684,9309,976,0.538,0.133,0.471,65.7,0.152,2012,29.8,13.9,13.4,1.4,1,9
10,NOP,Austin Rivers,Duke,10,632,15285,5604,1319,1398,0.418,0.35,0.647,13.3,0.042,2012,24.2,8.9,2.1,2.2,1,10
11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,0.482,0.39,0.809,15.5,0.104,2012,16,5.6,3.9,0.9,1,11
12,HOU,Jeremy Lamb,UConn,10,557,11605,5685,2019,879,0.44,0.344,0.857,26.7,0.11,2012,20.8,10.2,3.6,1.6,1,12
13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,1,0.015,2012,19.3,5,1.6,4.9,1,13
14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568,20.7,0.113,2012,19.7,7.6,5.3,1.1,1,14
15,PHI,Maurice Harkless,St. John's,10,615,13971,4250,2191,571,0.474,0.32,0.624,22.9,0.079,2012,22.7,6.9,3.6,0.9,1,15
16,HOU,Royce White,Iowa State,1,3,9,0,0,0,0,0,0,0,-0.121,2012,3,0,0,0,1,16
17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,0.508,0.286,0.764,17.1,0.113,2012,17.5,6.9,4.4,0.9,1,17
18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,0.501,0.297,0.621,14.7,0.127,2012,23.8,10.4,5.7,1,1,18
19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,0.467,0.321,0.773,3.8,0.045,2012,14.3,6,3,0.4,1,19
20,DEN,Evan Fournier,NA,10,622,17798,8923,1729,1610,0.447,0.381,0.801,29.4,0.079,2012,28.6,14.3,2.8,2.6,1,20
21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,0.436,0.272,0.723,15.3,0.113,2012,24.3,10.8,7.5,1.8,1,21
22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,0.5,0,0.25,0,0.021,2012,6,1.2,0.5,0,1,22
23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,0.441,0.367,0.847,3,0.065,2012,12.8,5,1.5,0.8,1,23
24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,0.347,0.306,0.674,0.2,0.017,2012,7.2,2.3,0.7,0.5,1,24
25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,-1.3,-0.021,2012,21.2,11.1,2.5,3,1,25
26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,0.542,0,0.543,10.6,0.09,2012,16.4,4.9,4.5,0.5,1,26
27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,0.547,0,0.667,1.7,0.113,2012,12.4,3.6,3.1,0.2,1,27
28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,0.42,0.293,0.66,1.7,0.048,2012,11.7,3.4,1.8,0.4,1,28
29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,0.343,0.222,0.661,-0.9,-0.045,2012,10,2.4,1,1.5,1,29
30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,0.513,0,0.557,5.9,0.119,2012,14.1,4.2,4.3,0.4,1,30
31,CHA,Jeff Taylor,Vanderbilt,3,132,2566,807,263,107,0.409,0.319,0.665,1.3,0.024,2012,19.4,6.1,2,0.8,2,1
32,WAS,Tomáš Satoranský,NA,6,365,8192,2566,1055,1478,0.467,0.356,0.819,16.8,0.098,2012,22.4,7,2.9,4,2,2
33,CLE,Bernard James,Florida State,3,92,761,203,212,13,0.497,0,0.68,1.9,0.117,2012,8.3,2.2,2.3,0.1,2,3
34,CLE,Jae Crowder,Marquette,10,716,18030,6849,3042,1131,0.418,0.345,0.778,38.8,0.103,2012,25.2,9.6,4.2,1.6,2,4
35,GSW,Draymond Green,Michigan State,10,673,19201,5882,4672,3663,0.44,0.315,0.71,52.1,0.13,2012,28.5,8.7,6.9,5.4,2,5
36,SAC,Orlando Johnson,UC Santa Barbara,3,103,1112,329,180,69,0.358,0.311,0.727,1.4,0.059,2012,10.8,3.2,1.7,0.7,2,6
37,TOR,Quincy Acy,Baylor,7,337,5392,1642,1179,217,0.444,0.35,0.759,8.7,0.078,2012,16,4.9,3.5,0.6,2,7
38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,0.35,0.292,0.706,-0.1,-0.003,2012,13.5,4.3,2.4,0.5,2,8
39,DET,Khris Middleton,Texas A&M,10,633,20092,10743,3074,2356,0.459,0.391,0.88,49.1,0.117,2012,31.7,17,4.9,3.7,2,9
40,POR,Will Barton,Memphis,10,603,15495,6976,2568,1629,0.434,0.354,0.785,25.4,0.079,2012,25.7,11.6,4.3,2.7,2,10
41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,0.354,0.36,0.684,-0.9,-0.088,2012,8,2.9,0.5,0.9,2,11
42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,0.1,0.005,2012,12.7,3.5,1,0.8,2,12
43,ATL,Mike Scott,Virginia,9,555,9182,3736,1727,499,0.453,0.362,0.757,16.8,0.088,2012,16.5,6.7,3.1,0.9,2,13
44,DET,Kim English,Missouri,1,41,407,119,37,26,0.375,0.28,0.724,0.2,0.021,2012,9.9,2.9,0.9,0.6,2,14
45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,0.464,0.309,0.798,3.7,0.091,2012,17.4,6.1,3.6,0.8,2,15
46,NOP,Darius Miller,Kentucky,6,271,5358,1597,447,367,0.419,0.383,0.84,6.5,0.059,2012,19.8,5.9,1.6,1.4,2,16
47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,0.25,0.2,0,-0.3,-0.272,2012,3.1,0.9,0.2,0.1,2,17
48,NYK,Kostas Papanikolaou,NA,2,69,1089,249,158,101,0.354,0.297,0.688,0.3,0.015,2012,15.8,3.6,2.3,1.5,2,18
49,ORL,Kyle O'Quinn,Norfolk State,8,472,6714,2568,2166,643,0.517,0.218,0.74,17.8,0.128,2012,14.2,5.4,4.6,1.4,2,19
51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,0.143,0,0.625,-0.1,-0.127,2012,5.4,0.9,0.7,0.1,2,21
52,GSW,Ognjen Kuzmić,NA,2,37,164,35,38,8,0.52,0,0.6,0.2,0.061,2012,4.4,0.9,1,0.2,2,22
53,LAC,Furkan Aldemir,NA,1,41,540,93,176,28,0.513,0,0.481,1.4,0.122,2012,13.2,2.3,4.3,0.7,2,23
54,PHI,Tornike Shengelia,NA,2,45,247,59,39,17,0.451,0.125,0.5,-0.2,-0.032,2012,5.5,1.3,0.9,0.4,2,24
55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,0,0,0,-0.3,-0.597,2012,3,0,0.9,0.3,2,25
58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,0.418,0.343,0.867,1.9,0.066,2012,14.3,3.9,2.7,0.5,2,28
60,LAL,Robert Sacre,Gonzaga,4,189,2745,787,593,126,0.436,0,0.671,2.4,0.042,2012,14.5,4.2,3.1,0.7,2,30
1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,0.5,0.013,2013,12.6,4.4,3.1,0.5,1,1
2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,0.438,0.347,0.791,24.6,0.079,2013,33,17.5,4.6,4,1,2
3,WAS,Otto Porter Jr.,Georgetown,9,489,12718,5223,2440,746,0.478,0.401,0.791,35.1,0.133,2013,26,10.7,5,1.5,1,3
4,CHA,Cody Zeller,Indiana,9,494,10973,4202,2949,691,0.52,0.221,0.731,32.2,0.141,2013,22.2,8.5,6,1.4,1,4
5,PHO,Alex Len,Maryland,9,564,10706,4342,3333,485,0.507,0.331,0.683,21.5,0.097,2013,19,7.7,5.9,0.9,1,5
6,NOP,Nerlens Noel,Kentucky,8,450,10086,3303,2789,491,0.549,0.154,0.655,28.2,0.134,2013,22.4,7.3,6.2,1.1,1,6
7,SAC,Ben McLemore,Kansas,9,534,12037,4743,1232,540,0.414,0.364,0.776,9,0.036,2013,22.5,8.9,2.3,1,1,7
8,DET,Kentavious Caldwell-Pope,Georgia,9,661,19263,7530,2076,1098,0.418,0.358,0.809,33.3,0.083,2013,29.1,11.4,3.1,1.7,1,8
9,MIN,Trey Burke,Michigan,9,488,10306,4759,873,1511,0.412,0.345,0.812,13.2,0.062,2013,21.1,9.8,1.8,3.1,1,9
10,POR,CJ McCollum,Lehigh,9,569,17929,10852,1955,1919,0.454,0.397,0.819,38.9,0.104,2013,31.5,19.1,3.4,3.4,1,10
11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,0.402,0.255,0.706,6.6,0.032,2013,25.3,10.3,4.4,4.4,1,11
12,OKC,Steven Adams,Pitt,9,644,17276,6022,5080,906,0.588,0.077,0.549,53.9,0.15,2013,26.8,9.4,7.9,1.4,1,12
13,DAL,Kelly Olynyk,Gonzaga,9,591,13063,5984,3012,1195,0.475,0.364,0.779,34,0.125,2013,22.1,10.1,5.1,2,1,13
14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,8.5,0.085,2013,17.2,9,2.8,0.5,1,14
15,MIL,Giannis Antetokounmpo,NA,9,638,20754,13762,5922,2928,0.533,0.29,0.718,84.4,0.195,2013,32.5,21.6,9.3,4.6,1,15
16,BOS,Lucas Nogueira,NA,4,141,1754,446,388,72,0.632,0.265,0.64,6,0.165,2013,12.4,3.2,2.8,0.5,1,16
17,ATL,Dennis Schröder,NA,9,609,16130,8679,1791,2842,0.436,0.337,0.832,23.4,0.07,2013,26.5,14.3,2.9,4.7,1,17
18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777,4.4,0.044,2013,19.1,5.5,1.9,2.9,1,18
19,CLE,Sergey Karasev,NA,3,95,1110,287,140,87,0.395,0.282,0.842,0.8,0.036,2013,11.7,3,1.5,0.9,1,19
20,CHI,Tony Snell,New Mexico,9,589,12870,3608,1346,663,0.431,0.394,0.845,18.4,0.069,2013,21.9,6.1,2.3,1.1,1,20
21,UTA,Gorgui Dieng,Louisville,9,590,12228,4448,3418,779,0.5,0.365,0.791,30.5,0.12,2013,20.7,7.5,5.8,1.3,1,21
22,BRK,Mason Plumlee,Duke,9,639,14274,5349,4222,1542,0.582,0.049,0.561,42.8,0.144,2013,22.3,8.4,6.6,2.4,1,22
23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,0.388,0.331,0.797,11.9,0.059,2013,21.5,5.5,3.1,1.5,1,23
24,NYK,Tim Hardaway Jr.,Michigan,9,586,15837,8149,1650,1095,0.422,0.358,0.812,26,0.079,2013,27,13.9,2.8,1.9,1,24
25,LAC,Reggie Bullock,UNC,9,415,9115,3200,1021,492,0.431,0.388,0.846,17.3,0.091,2013,22,7.7,2.5,1.2,1,25
26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,0.473,0.253,0.468,12.6,0.089,2013,22.2,4.5,4,0.9,1,26
27,DEN,Rudy Gobert,NA,9,589,17595,7254,6802,786,0.651,0,0.635,82.9,0.226,2013,29.9,12.3,11.5,1.3,1,27
29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,0.429,0.236,0.7,1.1,0.022,2013,14.5,6.3,2,1.2,1,29
30,PHO,Nemanja Nedović,NA,1,24,142,26,15,13,0.205,0.167,0.875,-0.4,-0.132,2013,5.9,1.1,0.6,0.5,1,30
31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,0.425,0.387,0.831,13.7,0.072,2013,24,9.1,2.8,1.1,2,1
32,OKC,Álex Abrines,NA,3,174,2777,924,248,88,0.387,0.368,0.88,5,0.086,2013,16,5.3,1.4,0.5,2,2
33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,0.5,0.4,0.75,0,0.057,2013,5.4,2.7,0.9,0.6,2,3
34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,0.371,0.351,0.836,4.3,0.043,2013,20.4,8.1,1.9,1.9,2,4
35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,0.269,0.25,0.692,-0.2,-0.065,2013,9.5,2.7,1.5,0.6,2,5
36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,0.408,0.335,0.711,2.1,0.035,2013,18.2,6,2,2.4,2,6
37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.417,1,0.579,0.2,0.151,2013,3.8,1,1.2,0.1,2,7
38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,0.423,0.261,0.635,0.9,0.028,2013,18.8,5.5,2.2,2.5,2,8
39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,0.525,0.143,0.716,6.8,0.157,2013,10.1,3.2,2.5,0.3,2,9
40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,0.269,0.067,1,-0.1,-0.128,2013,6.4,2,1.1,0.4,2,10
41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,0.415,0.462,1,0,-0.006,2013,7.3,1.8,1,0.4,2,11
42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,0.333,0.273,0.857,0,0.021,2013,10.5,4.4,1.1,2.4,2,12
43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,0.336,0.371,0.769,-0.6,-0.096,2013,9.9,3.9,1.4,0.8,2,13
44,DAL,Mike Muscala,Bucknell,9,432,6694,2666,1371,378,0.458,0.377,0.847,16.8,0.121,2013,15.5,6.2,3.2,0.9,2,14
46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,0.377,0.288,0.857,0.1,0.011,2013,8.7,3.1,0.7,0.8,2,16
47,ATL,Raul Neto,NA,7,366,5884,2167,574,753,0.453,0.363,0.801,9.4,0.076,2013,16.1,5.9,1.6,2.1,2,17
48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,0.378,0.316,0.797,3,0.046,2013,19.2,6,3.1,1.3,2,18
49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,0.231,0,0,-0.1,-0.055,2013,2.6,0.3,0.3,0.1,2,19
50,ATL,James Ennis III,Cal State Long Beach,8,395,8022,2629,1306,373,0.457,0.36,0.797,16.2,0.097,2013,20.3,6.7,3.3,0.9,2,20
52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,0.364,0.17,0.707,-0.2,-0.007,2013,11.5,2.8,1.5,1.8,2,22
55,MEM,Joffrey Lauvergne,NA,4,208,2823,1159,789,180,0.479,0.285,0.719,5.2,0.089,2013,13.6,5.6,3.8,0.9,2,25
56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,0.316,0.28,0.733,-0.2,-0.032,2013,9.3,2.3,0.6,1.4,2,26
1,CLE,Andrew Wiggins,Kansas,8,579,20319,11220,2553,1348,0.449,0.351,0.727,23.5,0.056,2014,35.1,19.4,4.4,2.3,1,1
2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,13.9,0.078,2014,27.5,14.1,5.5,2,1,2
3,PHI,Joel Embiid,Kansas,6,306,9458,7817,3450,1003,0.488,0.335,0.809,39.9,0.202,2014,30.9,25.5,11.3,3.3,1,3
4,ORL,Aaron Gordon,Arizona,8,506,14584,6530,3178,1264,0.457,0.322,0.699,27.5,0.09,2014,28.8,12.9,6.3,2.5,1,4
5,UTA,Dante Exum,NA,6,245,4545,1389,441,515,0.407,0.305,0.764,3.1,0.032,2014,18.6,5.7,1.8,2.1,1,5
6,BOS,Marcus Smart,Oklahoma State,8,499,14825,5161,1794,2168,0.38,0.319,0.778,28,0.091,2014,29.7,10.3,3.6,4.3,1,6
7,LAL,Julius Randle,Kentucky,8,503,15635,8874,4680,1769,0.476,0.333,0.743,31.1,0.095,2014,31.1,17.6,9.3,3.5,1,7
8,SAC,Nik Stauskas,Michigan,6,337,6686,2283,691,514,0.389,0.354,0.814,3.9,0.028,2014,19.8,6.8,2.1,1.5,1,8
9,CHA,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,0.459,0.308,0.691,9.2,0.078,2014,16.8,4.9,5.1,0.8,1,9
10,PHI,Elfrid Payton,Louisiana,8,488,13278,5013,1995,2851,0.448,0.289,0.624,16,0.058,2014,27.2,10.3,4.1,5.8,1,10
11,DEN,Doug McDermott,Creighton,8,519,10842,4781,1229,482,0.477,0.412,0.819,19.3,0.085,2014,20.9,9.2,2.4,0.9,1,11
12,ORL,Dario Šarić,NA,5,356,8965,4180,2086,699,0.441,0.357,0.838,16.4,0.088,2014,25.2,11.7,5.9,2,1,12
13,MIN,Zach LaVine,UCLA,8,458,14515,8987,1796,1767,0.461,0.387,0.83,22.1,0.073,2014,31.7,19.6,3.9,3.9,1,13
14,PHO,T.J. Warren,NC State,7,332,9553,5142,1372,397,0.507,0.357,0.78,19.6,0.099,2014,28.8,15.5,4.1,1.2,1,14
15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,-0.6,-0.019,2014,13.1,4,2.9,0.6,1,15
16,CHI,Jusuf Nurkić,NA,8,411,9815,5015,3513,903,0.5,0.232,0.672,24,0.118,2014,23.9,12.2,8.5,2.2,1,16
17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,0.8,0.046,2014,8.5,2.3,1,0.3,1,17
18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,1.3,0.026,2014,12.6,4.2,1.3,1.9,1,18
19,CHI,Gary Harris,Michigan State,8,459,13270,5442,1151,957,0.449,0.362,0.809,20.3,0.073,2014,28.9,11.9,2.5,2.1,1,19
20,TOR,Bruno Caboclo,NA,7,105,1293,442,268,72,0.403,0.308,0.836,1.5,0.054,2014,12.3,4.2,2.6,0.7,1,20
21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58,1.3,0.108,2014,10.7,4.4,3.5,0.3,1,21
22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,0.4,0.07,2014,8.2,3.2,0.9,0.6,1,22
23,UTA,Rodney Hood,Duke,8,437,10863,4622,1151,729,0.419,0.364,0.841,17.2,0.076,2014,24.9,10.6,2.6,1.7,1,23
24,CHA,Shabazz Napier,UConn,6,345,5986,2433,657,849,0.397,0.345,0.815,8.1,0.065,2014,17.4,7.1,1.9,2.5,1,24
25,HOU,Clint Capela,NA,8,447,11974,5566,4749,443,0.622,0,0.528,49.8,0.2,2014,26.8,12.5,10.6,1,1,25
26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,0.9,0.021,2014,18,6,2.4,0.5,1,26
27,PHO,Bogdan Bogdanović,NA,5,293,8342,4082,987,999,0.44,0.386,0.816,14.5,0.084,2014,28.5,13.9,3.4,3.4,1,27
28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813,0.1,0.007,2014,5.7,2,0.5,0.5,1,28
29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,0.7,0.03,2014,14.1,2.5,2.4,0.3,1,29
30,SAS,Kyle Anderson,UCLA,8,483,10121,3202,2098,1109,0.476,0.335,0.714,25.7,0.122,2014,21,6.6,4.3,2.3,1,30
31,MIL,Damien Inglis,NA,1,20,156,36,31,10,0.351,0.231,0.875,-0.1,-0.024,2014,7.8,1.8,1.6,0.5,2,1
32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,0.412,0.29,0.776,1.3,0.03,2014,14.1,5.3,2.2,0.6,2,2
33,CLE,Joe Harris,Virginia,8,414,10601,4584,1344,679,0.483,0.439,0.78,20.5,0.093,2014,25.6,11.1,3.2,1.6,2,3
34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,0.346,0.263,0.75,-0.6,-0.039,2014,14.3,4.3,2.2,0.8,2,4
