NAME,CLUB,POSITION,total_offense,total_penalties,GP,HPI
"Arnarsson, Arnar Freyr",MTM,PV,135,34,29,73
"Michalczik, Marian",HAN,LB,309,94,30,68
"Styrmisson, Hakon Dadi",GUM,LW,152,8,27,69
"Martinovic, Ivan",MTM,RB,179,12,15,69
"Weber, Robert",BER,RW,132,2,11,76
"Lipovina, Vladan",SCM,RB,219,27,31,68
"Brosch, Jan",TBV,PV,141,41,29,71
"Weissgerber, Lars",WET,RW,139,10,30,70
"Ernst, Simon",LEI,CB,218,67,30,68
"Schmidt, Erik",WET,PV,134,46,28,73
"Valiullin, Azat",HSV,LB,191,42,29,67
"Bitsch, Mathias",GWD,RB,231,34,28,65
"Kastening, Timo",MTM,RW,134,5,11,73
"Gebala, Maciej",LEI,PV,135,19,25,75
"Ellebaek, Tobias",FAG,LB,219,38,26,67
"Helander, Benjamin",RNL,LW,139,8,28,70
"Mandic, David",MTM,LW,144,22,22,68
"Forstbauer, Jan",STU,RB,196,53,30,65
"Zintel, Björn",ASV,CB,178,36,16,68
"Maric, Marino",STU,PV,132,36,30,71
"Müller, Jerome",STU,RB,197,36,22,65
"Sebetic, Luka",GWD,RB,170,47,21,65
"Pregler, Ole",GUM,CB,194,42,30,67
"Sellin, Johannes",HCE,RW,135,10,29,70
"Persson, Isak",BHC,RW,124,7,28,69
"Landin, Magnus",THW,LW,134,23,24,69
"Cavor, Stefan",WET,RB,161,28,12,67
"Malus, Jaka",FAG,CB,156,23,29,67
"Nyfjäll, Adam",WET,PV,122,25,28,72
"Gottfridsson, Jim",SGF,CB,175,30,18,73
"Nilsson, Lukas",RNL,LB,145,24,20,68
"Feise, Hannes",HAN,LW,139,24,30,68
"Dayan, Yonatan",ASV,CB,157,37,30,67
"Mävers, Veit",HAN,CB,149,27,27,67
"Meister, Lucas",SCM,PV,113,26,30,71
"Wagner, Hendrik",WET,LB,162,29,28,67
"Zehnder, Manuel",HCE,CB,154,32,30,67
"Schagen, Bobby",TBV,RW,122,13,30,70
"Nikolaisen, Tom Kare",BHC,PV,116,40,28,72
"Pevnov, Evgeni",HAN,PV,112,17,23,76
"Weinhold, Steffen",THW,RB,145,23,15,70
"M'Bengue, Djibril",BHC,RB,164,59,29,63
"Hald Jensen, Simon",SGF,PV,112,31,28,75
"Blagotinsek, Blaz",FAG,PV,107,46,28,73
"Staar, Max",GWD,RW,152,24,27,69
"Weck, Alexander",BHC,LB,179,28,29,67
"Schelker, Jonas",WET,CB,151,47,29,65
"Fischer, Justus",HAN,PV,109,19,25,74
"Bergendahl, Oscar",STU,PV,101,34,23,71
"Øverby, Petter",THW,PV,104,27,29,73
"Pekeler, Hendrik",THW,PV,110,17,18,73
"Ignatow, Dimitri",MTM,RW,108,7,28,70
"Malasinskas, Aidenas",MTM,CB,151,38,29,66
"Nikolic, Jovica",WET,RB,120,40,22,66
"Zarabec, Miha",THW,CB,127,18,29,67
"Horzen, Kristjan",RNL,PV,103,16,29,73
"Schulze, Alexander",ASV,LW,117,17,30,68
"Dahmke, Rune",THW,LW,96,9,27,69
"Moraes Ferreira, Rogerio",MTM,PV,93,25,15,74
"Pettersson, Daniel",SCM,RW,92,4,24,71
"Gunnarsson, Arnor Thor",BHC,RW,91,7,29,69
"O'Sullivan, Christian",SCM,CB,149,32,30,69
"Fredriksen, Magnus",WET,CB,164,40,22,65
"Bauer, Stefan",ASV,PV,115,47,26,70
"Musche, Matthias",SCM,LW,98,10,26,70
"Fraatz, Yannick",BHC,RW,94,4,30,71
"Kalarash, Gleb",MTM,PV,93,40,29,71
"Krzikalla, Lucas",LEI,RW,88,3,29,69
"Metzner, Antonio",HCE,RB,120,39,20,66
"Magaard, Andreas",HSV,PV,84,11,21,73
"Schluroff, Miro",GUM,LB,125,24,26,67
"Kranzmann, Florian",GWD,LW,89,5,23,70
"Sliskovic, Ivan",STU,LB,123,26,21,66
"Wallinius, Karl",THW,LB,120,12,21,69
"Hermann, Till",FAG,LW,85,6,29,69
"Semper, Franz",SGF,RB,105,14,27,68
"Nothdurft, Tim",BHC,LW,80,4,16,72
"Tissier, Leif",HSV,CB,123,20,15,69
"Goller, Axel",FAG,RW,97,13,30,67
"Darj, Max",BER,PV,90,35,30,70
"Simak, Frederik",TBV,LB,108,25,25,69
"Zeman, Stepan",GUM,PV,79,53,30,71
"Edvardsson, Jonathan",HAN,CB,114,27,12,68
"Nicolaus, Fynn-Luca",STU,PV,83,26,30,72
"Serrano Villalobos, Jorge",STU,RW,86,6,30,69
"Pretzewofsky, Jan",ASV,RW,88,5,29,69
"Matthes, Tim",LEI,LW,78,11,30,69
"Becher, Lukas",WET,LW,78,7,28,68
"Schwarzer, Kian",TBV,LW,83,4,28,75
"Pedersen, August Baskar",SGF,LW,72,1,30,71
"Scholtes, Elias",RNL,CB,106,18,17,65
"Einarsson, Teitur Örn",SGF,RB,108,15,28,67
"Häseler, Mathis",GUM,RW,62,0,18,72
"Gutbrod, Fabian",BHC,LB,90,15,21,67
"Kuzmanovski, Filip",HAN,LB,90,29,24,65
"Lichtlein, Nils",BER,RB,70,16,29,67
"Bergemann, Thies",HSV,RW,53,3,26,70
"Schroven, Finn",GUM,RW,108,20,26,68
"Patrail, Mait",ASV,LB,90,19,29,68
"Kühn, Julius",MTM,LB,90,20,16,65
"Johannsson, Sveinn",GWD,PV,61,26,12,72
"Preuss, Moritz",LEI,PV,53,5,12,72
"Holpert, Magnus",GWD,CB,64,21,21,64
"Theilinger, Nicolai",HSV,RB,82,31,29,64
"Fuchs, Julian",MTM,RW,49,1,21,71
"Meschke, Benjamin",ASV,PV,42,21,19,71
"Bezjak, Marko",SCM,CB,78,24,29,68
"Richtzenhain, Justus Nicolas",GWD,PV,42,26,12,69
"Gislason, Ymir Örn",RNL,PV,48,24,29,72
"Pehlivan, Doruk",GWD,LB,56,10,15,68
"Hakaj, Besard",GWD,PV,43,25,11,70
"Guardiola, Isaias",TBV,RB,74,19,23,65
"Fäth, Steffen",HCE,LB,54,13,16,66
"Brito Duarte, Gilberto",FAG,LB,72,22,25,67
"Stüber, Jonas",GUM,PV,33,4,25,73
"Cepic, Radojica",WET,CB,49,12,19,67
"Schönningsen, Simen",BHC,RB,49,11,13,67
