player,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent
Trey Murphy III,53,1854,29.4,1.2,5.8,7,4.9,1.5,1,118,121,0.548,0.887
Zaccharie Risacher,75,1843,23.9,2.2,4.6,6.8,2.3,1.3,0.9,108,118,0.537,0.711
Andrew Wiggins,60,1842,28.7,2.4,4.8,7.2,4.2,1.6,1.3,113,113,0.526,0.763
Andrew Wiggins,43,1296,28.3,2.5,4.9,7.4,3.8,1.5,1.2,116,114,0.524,0.777
Andrew Wiggins,17,546,29.5,2.1,4.5,6.6,5.1,1.8,1.6,107,113,0.53,0.731
Isaiah Collier,71,1839,16,0.8,5.3,6.1,11.6,1.7,0.4,99,121,0.459,0.682
Keldon Johnson,77,1838,25.7,2.9,6.8,9.8,3.3,1.3,0.6,115,119,0.538,0.773
Royce O'Neale,75,1837,18.3,1.4,8,9.4,4.4,1.8,0.9,115,118,0.58,0.731
P.J. Washington,57,1835,22,2.2,9.5,11.7,3.5,1.7,1.6,107,114,0.521,0.722
CJ McCollum,56,1832,31.3,1.1,4.5,5.6,6,1.2,0.6,110,123,0.53,0.717
Haywood Highsmith,74,1818,13.1,2,4.9,6.9,3.1,1.9,1,116,114,0.572,0.721
Dorian Finney-Smith,63,1818,14.9,2.2,4.5,6.7,2.4,1.6,0.6,118,117,0.597,0.667
Dorian Finney-Smith,20,579,17.9,2.7,5.2,7.8,2.7,1.5,1,120,117,0.607,0.625
Dorian Finney-Smith,43,1239,13.5,1.9,4.2,6.2,2.3,1.6,0.4,116,117,0.591,0.714
Alex Sarr,67,1814,22.8,3.3,8.2,11.4,4.2,1.2,2.6,99,117,0.457,0.679
Kyrie Irving,50,1804,33.1,1.6,4.8,6.4,6.2,1.8,0.6,118,118,0.549,0.916
Kyshawn George,68,1802,15.6,1.3,6.2,7.5,4.5,1.8,1.3,100,118,0.476,0.753
Cameron Johnson,57,1800,29.6,1.5,5.3,6.8,5.4,1.5,0.7,122,117,0.582,0.893
Duncan Robinson,74,1785,22.8,0.5,4.2,4.7,4.9,1.1,0.2,112,117,0.581,0.887
Kris Dunn,74,1783,13.1,1.5,5.5,6.9,5.8,3.5,0.7,111,108,0.525,0.682
Luka Dončić,50,1769,38.9,1.1,10.2,11.3,10.6,2.5,0.6,116,112,0.536,0.782
Luka Dončić,22,785,38.1,1,10.3,11.3,10.6,2.7,0.6,115,112,0.544,0.767
Luka Dončić,28,984,39.4,1.2,10.1,11.3,10.5,2.2,0.6,116,112,0.53,0.791
Scoot Henderson,66,1759,23.1,1.4,4,5.5,9.3,1.9,0.4,107,117,0.496,0.767
Wendell Carter Jr.,68,1758,17.6,4.3,9.7,14,3.8,1.5,1.2,115,109,0.498,0.737
Collin Sexton,63,1758,31.6,1.6,3,4.7,7.2,1.3,0.2,115,124,0.543,0.865
Mike Conley,71,1756,16.4,0.9,4.2,5.1,9,2.2,0.4,125,113,0.535,0.9
Amir Coffey,72,1748,19.6,0.9,3.6,4.5,2.2,1.1,0.2,122,115,0.57,0.891
Jimmy Butler,55,1746,27.2,3.5,4.8,8.3,8.4,2.2,0.5,136,113,0.531,0.842
Jimmy Butler,25,766,27.7,3.6,4.9,8.5,7.8,1.8,0.7,136,114,0.565,0.801
Jimmy Butler,30,980,26.7,3.5,4.7,8.2,8.8,2.5,0.4,136,113,0.504,0.87
Aaron Wiggins,76,1744,25.2,2.2,5.9,8.1,3.7,1.7,0.5,119,110,0.577,0.831
Walker Kessler,58,1740,17.7,7.3,12.2,19.5,2.7,1,3.8,130,115,0.671,0.52
De'Andre Hunter,64,1740,29.6,1.2,5.8,7,2.5,1.4,0.4,120,117,0.573,0.846
De'Andre Hunter,37,1064,30.9,1.2,5.2,6.4,2.5,1.4,0.2,118,119,0.56,0.858
De'Andre Hunter,27,676,27.5,1.2,6.8,8,2.5,1.4,0.6,125,113,0.596,0.821
Ochai Agbaji,64,1739,18.5,1.7,5,6.7,2.7,1.6,0.8,117,116,0.593,0.708
Brandin Podziemski,64,1716,21.2,1.8,7.4,9.2,6.2,2,0.4,116,112,0.537,0.758
Jabari Smith Jr.,57,1716,19.8,3,8.3,11.3,1.7,0.7,1.2,118,112,0.525,0.825
Anthony Davis,51,1706,36.3,3.9,13.1,17,5.2,1.7,3.2,118,108,0.536,0.775
Anthony Davis,42,1440,36.9,4.1,13,17,4.8,1.8,3.1,120,108,0.546,0.788
Anthony Davis,9,266,32.7,2.7,13.8,16.5,7.3,0.9,3.6,107,110,0.484,0.688
Bradley Beal,53,1702,26.2,1,4.2,5.1,5.7,1.7,0.8,114,121,0.571,0.803
Georges Niang,79,1697,22,1.3,6.3,7.6,3.1,0.8,0.4,115,117,0.595,0.793
Georges Niang,51,1053,20.3,1.6,7.1,8.6,3.1,0.8,0.3,117,115,0.606,0.793
Georges Niang,28,644,24.6,0.9,5.1,6,3.2,0.8,0.5,111,120,0.581,0.793
Jakob Poeltl,57,1686,23.5,5.4,10.2,15.6,4.5,1.9,2,122,110,0.628,0.674
Scotty Pippen Jr.,79,1683,21.5,1.8,5.4,7.2,9.6,2.8,0.8,118,112,0.553,0.713
Kevin Huerter,69,1679,19.4,0.9,5,5.8,4.4,1.9,0.7,109,117,0.535,0.714
Kevin Huerter,43,899,18.4,1,5.5,6.5,4,2,0.9,106,116,0.513,0.714
Kevin Huerter,26,780,20.5,0.7,4.4,5.1,4.9,1.8,0.4,112,117,0.558,0.714
Santi Aldama,65,1660,22.7,2.6,9,11.6,5.3,1.5,0.8,123,113,0.576,0.691
A.J. Green,73,1659,15.8,0.5,4.5,5.1,3.1,1.1,0.2,119,117,0.612,0.815
Al Horford,60,1659,16.3,2.4,8.8,11.2,3.9,1.1,1.5,121,111,0.547,0.895
Terry Rozier,64,1658,20.4,1.3,5.8,7.2,5,1.1,0.4,103,116,0.462,0.852
Peyton Watson,68,1656,16,1.4,5.4,6.8,2.7,1.4,2.7,113,116,0.533,0.693
Moses Moody,74,1649,21.4,1.5,4,5.6,2.8,1.7,0.9,116,114,0.544,0.797
Tristan Da Silva,74,1629,16.3,2.2,5.3,7.5,3.5,1,0.6,109,113,0.495,0.873
Donte DiVincenzo,62,1606,22.2,1,6,7,6.9,2.2,0.5,115,111,0.568,0.778
Isaiah Joe,74,1604,22.6,1.2,4.6,5.9,3.6,1.4,0.3,125,112,0.604,0.821
Corey Kispert,61,1602,20.9,1.1,4.3,5.4,3.1,0.8,0.4,112,123,0.558,0.852
Caris LeVert,64,1596,23.1,1.2,4.8,6,6.4,1.7,1,119,115,0.556,0.71
Caris LeVert,38,904,20.6,1.2,4.5,5.7,7.4,1.8,1,119,114,0.554,0.699
Caris LeVert,26,692,26.2,1.3,5.2,6.5,5.1,1.6,0.9,119,117,0.558,0.722
Miles McBride,64,1593,19,1.5,3.6,5,5.8,2.1,0.5,117,116,0.511,0.813
Isaiah Hartenstein,57,1590,19.2,4.9,13.5,18.4,6.6,1.4,1.9,124,104,0.581,0.675
Gradey Dick,54,1587,23.6,1.3,4.5,5.9,3,1.5,0.3,107,117,0.498,0.858
Paolo Banchero,46,1582,37.6,1.6,9.3,10.9,6.9,1.1,0.9,109,110,0.5,0.727
Patrick Williams,63,1576,16.8,1.3,5.7,7,3.7,1.4,0.9,100,117,0.49,0.723
Obi Toppin,79,1545,25.9,1.7,8.2,9.9,4,1.4,0.9,122,114,0.621,0.781
Grayson Allen,64,1544,21.8,1.1,5.1,6.2,4.4,1.7,0.6,119,120,0.6,0.816
Sam Hauser,71,1541,19.7,1.4,5.9,7.3,2.1,1.3,0.4,128,113,0.627,1
Ziaire Williams,63,1541,20.4,2,7.3,9.3,2.7,2,0.9,109,114,0.511,0.821
Gabe Vincent,72,1527,14.8,0.6,2.3,3,3.2,1.6,0.4,108,118,0.53,0.714
Victor Wembanyama,46,1527,35.3,2.6,13.4,16,5.3,1.6,5.6,109,108,0.559,0.836
Jerami Grant,47,1524,21.6,0.8,4.4,5.2,3.2,1.3,1.5,109,117,0.467,0.849
Jonas Valančiūnas,81,1524,26.6,6,13.8,19.8,5.2,1.2,1.4,118,114,0.557,0.879
Jonas Valančiūnas,49,983,27.3,5.8,13.7,19.6,5.2,1.1,1.4,115,115,0.556,0.896
Jonas Valančiūnas,32,541,25.2,6.3,13.8,20.2,5.1,1.4,1.6,125,112,0.559,0.847
Kyle Filipowski,72,1522,21.8,3.5,10.3,13.9,4.4,1.5,0.7,115,118,0.576,0.65
Ja Morant,50,1519,35.5,1,5.2,6.3,11.1,1.9,0.4,113,115,0.504,0.824
Matas Buzelis,80,1511,21.3,1.7,6.9,8.6,2.4,0.9,2.3,108,115,0.541,0.815
LaMelo Ball,47,1505,38.7,1.5,6,7.6,11.3,1.8,0.4,108,117,0.494,0.843
Dalton Knecht,78,1494,23.2,1.2,5.9,7.1,2.2,0.8,0.3,117,118,0.576,0.762
Kevin Porter Jr.,75,1482,25.4,1.4,7.8,9.2,8.4,2.7,0.4,105,110,0.492,0.769
Kevin Porter Jr.,45,884,23.3,1.6,7.3,8.9,8,2.4,0.6,96,110,0.455,0.645
Kevin Porter Jr.,30,598,28.5,1.1,8.5,9.5,9.1,3.1,0.2,118,110,0.553,0.871
D'Angelo Russell,58,1480,24.5,0.7,4.7,5.4,9.9,1.9,0.8,109,116,0.479,0.834
D'Angelo Russell,29,763,23.1,0.5,4.6,5.2,8.8,1.5,0.3,110,117,0.505,0.849
D'Angelo Russell,29,717,25.9,0.8,4.9,5.7,11.2,2.3,1.3,107,115,0.454,0.826
Lauri Markkanen,47,1476,29,2.3,6.7,9,2.3,1.1,0.6,115,122,0.521,0.876
Luke Kennard,65,1472,18.2,1.2,4.6,5.8,6.8,1.6,0.2,127,116,0.609,0.895
Jamal Shead,75,1467,17.5,1,2.8,3.8,10.4,1.9,0.3,104,117,0.476,0.768
Aaron Gordon,51,1447,24.9,2.7,5.5,8.2,5.5,0.8,0.5,129,120,0.607,0.81
Isaiah Stewart,72,1434,14.6,4.4,9,13.4,4.1,0.9,3.4,125,110,0.586,0.759
Brice Sensabaugh,71,1432,25.9,1.4,5.6,7,3.7,1.5,0.3,111,122,0.59,0.89
Goga Bitadze,70,1430,17.5,5.8,10.3,16.2,4.8,1.7,3.4,127,105,0.615,0.639
Kel'el Ware,64,1422,20.9,4.1,12.5,16.6,2.1,1.4,2.5,118,108,0.592,0.687
Tari Eason,57,1420,23.5,4.4,8,12.4,2.8,3.3,1.7,119,106,0.543,0.76
Zach Edey,66,1416,20,7.6,10.4,18,2.1,1.2,2.8,124,110,0.6,0.709
T.J. McConnell,79,1415,24.5,1.5,5.1,6.6,11.9,2.8,0.7,113,113,0.531,0.74
Terance Mann,67,1414,17.6,2.3,4.4,6.8,4.1,1.6,0.5,120,116,0.569,0.691
Terance Mann,37,732,15,2.2,5,7.2,4,1.9,0.7,113,112,0.513,0.719
Terance Mann,30,682,20.2,2.5,3.8,6.3,4.3,1.3,0.3,127,120,0.619,0.667
Ryan Dunn,74,1410,17.9,3.2,6.1,9.4,2,1.5,1.4,107,119,0.516,0.487
Sam Merrill,71,1401,17.5,1.3,4.1,5.4,3.7,1.8,0.5,122,114,0.567,0.966
Ayo Dosunmu,46,1394,19,0.9,4.5,5.4,7,1.4,0.6,117,118,0.561,0.785
Ty Jerome,70,1392,30.3,1.7,4.3,6,8.2,2.7,0.1,128,113,0.606,0.872
Julian Strawther,65,1384,20.4,0.6,4.3,4.9,2.9,1.4,0.6,109,119,0.529,0.822
Nick Smith Jr.,60,1369,21.2,0.5,4.1,4.6,5.2,0.6,0.2,100,121,0.482,0.935
Jaime Jaquez Jr.,66,1368,20.8,3.1,7.5,10.6,6.1,2.2,0.5,108,112,0.501,0.754
Nicolas Batum,78,1367,11.3,1.7,6.2,7.9,3,1.9,1.3,126,111,0.622,0.81
Jose Alvarado,56,1366,20.5,1,3.9,4.8,9.2,2.6,0.5,110,120,0.498,0.811
Jeremy Sochan,54,1364,21.9,4.5,8,12.5,4.5,1.6,1,116,117,0.565,0.696
Luke Kornet,73,1361,16.2,7,7.3,14.3,4.3,1.3,2.6,152,110,0.668,0.691
Trey Lyles,69,1349,16.3,2.9,8.6,11.5,3,1.5,0.8,117,116,0.528,0.7
Jake LaRavia,66,1349,16,3.1,5.9,9,5.5,2.2,0.8,117,114,0.564,0.678
Jake LaRavia,47,982,16.2,3.2,6.5,9.7,6.3,2.1,0.9,119,113,0.573,0.698
Jake LaRavia,19,367,15.3,3.1,4.1,7.2,3.3,2.4,0.4,111,116,0.542,0.579
Bogdan Bogdanović,54,1348,20.8,0.9,4.8,5.7,5.2,1.5,0.4,110,116,0.534,0.879
Bogdan Bogdanović,24,598,18.8,0.9,4.2,5.2,3.8,1.6,0.5,98,118,0.469,0.882
Bogdan Bogdanović,30,750,22.5,0.8,5.3,6.1,6.4,1.4,0.3,120,113,0.588,0.875
Justin Champagnie,62,1340,19.3,4,8.5,12.5,2.1,2.3,1.4,119,116,0.601,0.685
Paul George,41,1334,24.6,0.9,7.2,8.1,6.6,2.8,0.7,104,116,0.514,0.814
Ausar Thompson,59,1328,21.5,4,7,11,4.9,3.5,1.4,115,108,0.547,0.641
Donovan Clingan,67,1324,16,8,11.4,19.3,2.8,1.2,4,120,109,0.56,0.596
Jordan Hawkins,56,1321,22.1,0.9,4.9,5.8,2.4,1.1,0.8,101,123,0.471,0.816
Tyrese Martin,60,1315,19.8,2.2,6.1,8.3,4.6,1.3,0.3,105,118,0.513,0.793
Mason Plumlee,74,1300,12.7,4.4,12.9,17.3,5.1,1.3,1.8,131,115,0.619,0.648
Jonathan Mogbo,63,1286,14.6,4.1,7.6,11.6,5.5,2.1,1.3,108,113,0.462,0.732
Jalen Johnson,36,1284,24.8,2.3,10.8,13.1,6.6,2,1.3,110,113,0.541,0.746
Max Strus,50,1273,17.8,2,6.2,8.2,6,1,0.5,125,115,0.594,0.824
Johnny Juzang,64,1270,21.6,1.6,5.4,7,2.6,1.5,0.3,117,122,0.554,0.849
Ron Holland,81,1266,19.8,1.5,6.8,8.3,3.1,1.9,0.6,107,113,0.517,0.754
Javonte Green,68,1258,13.3,2.3,6.1,8.4,2.2,2.5,1.2,114,117,0.509,0.724
Javonte Green,50,1092,12.8,2.2,5.7,7.9,2,2.4,1.3,117,119,0.531,0.758
Javonte Green,18,166,17.1,2.9,8.7,11.6,3.2,2.9,0.3,102,109,0.429,0.5
Nick Richards,57,1256,20.8,5.8,12.5,18.3,1.9,0.6,2.2,120,115,0.591,0.744
Nick Richards,21,440,20.9,5.7,12,17.7,3.1,0.8,2.9,116,113,0.561,0.678
Nick Richards,36,816,20.7,5.9,12.8,18.7,1.3,0.4,1.8,122,117,0.605,0.822
Dean Wade,59,1252,12.3,2,7.6,9.6,2.9,1.6,0.8,123,112,0.561,0.533
Ricky Council IV,73,1250,21,2,6.4,8.4,3.8,1.3,0.5,106,120,0.442,0.804
Tidjane Salaün,60,1244,14,2.8,8.3,11.1,2.9,1.1,0.6,97,117,0.414,0.713
Bobby Portis,49,1244,26.4,3.5,12.5,16,4,1.4,1,111,110,0.52,0.836
Moussa Diabaté,71,1241,16,7.4,9.9,17.4,2.2,1.8,1.6,122,113,0.596,0.595
Jeremiah Robinson-Earl,66,1239,16.3,4.3,8,12.3,3.4,1.5,0.3,117,120,0.536,0.836
Simone Fontecchio,75,1237,17.3,2,6.3,8.4,2.5,1.2,0.5,109,115,0.504,0.833
Cole Anthony,67,1234,25.5,1.9,6.4,8.3,7.7,1.8,1.3,106,110,0.494,0.823
Ben Sheppard,63,1228,13,1.7,5.2,6.9,3.3,1.5,0.5,119,116,0.537,0.889
Daniel Gafford,57,1226,27.7,6.1,9.2,15.3,3.2,0.9,4,137,113,0.702,0.689
John Collins,40,1220,29.8,3.5,9.4,12.9,3.1,1.5,1.6,116,118,0.583,0.848
Caleb Martin,45,1218,14.3,2.1,5,7.1,3.8,1.9,0.9,105,119,0.485,0.622
Caleb Martin,31,943,14.7,2.2,4.9,7.1,3.6,1.8,1,107,119,0.506,0.622
Caleb Martin,14,275,13.2,1.8,5.5,7.2,4.6,2.1,0.5,98,116,0.417,0.625
Kristaps Porziņģis,42,1210,33.9,2.8,9,11.8,3.6,1.3,2.6,125,109,0.572,0.809
Brandon Clarke,64,1207,20.6,4.9,7.7,12.6,2.5,2,1.4,131,112,0.622,0.701
Deandre Ayton,40,1206,23.2,5,11.4,16.4,2.6,1.2,1.6,115,112,0.573,0.667
Jarace Walker,75,1187,18.7,1,8.3,9.3,4.5,2.2,1,106,112,0.576,0.667
Kawhi Leonard,37,1180,33.2,1.5,7.7,9.1,4.8,2.5,0.7,114,109,0.56,0.81
Clint Capela,55,1176,19.4,6.9,11.7,18.7,2.5,1.4,2.1,120,113,0.559,0.536
Cody Martin,53,1173,15,2.2,7.2,9.4,4.4,2.4,1.3,106,115,0.485,0.705
Cody Martin,39,967,15.6,2,6.9,9,4.5,2.2,1.3,109,115,0.507,0.694
Cody Martin,14,206,12.5,3.1,8.4,11.5,3.8,3.1,1.4,96,114,0.377,0.75
Mark Williams,44,1171,28.2,5.5,13.2,18.8,4.6,1.3,2.3,127,111,0.604,0.804
Precious Achiuwa,57,1170,16.1,4.3,9.2,13.4,2.3,2,1.8,112,111,0.517,0.594
Nikola Jović,46,1156,21.3,1.1,6.6,7.8,5.7,1.6,0.6,115,114,0.56,0.828
Justin Edwards,44,1155,19,2,4.4,6.3,2.9,1.9,0.7,109,120,0.546,0.696
Vit Krejci,57,1153,16.7,0.9,5.4,6.3,6,1.5,1.1,127,117,0.651,0.711
Jonathan Kuminga,47,1144,30.6,2.4,6.8,9.2,4.4,1.6,0.9,108,112,0.495,0.668
Kevon Looney,76,1142,14.7,7.9,11.8,19.7,5,2,1.6,128,108,0.518,0.566
Kenrich Williams,69,1132,18.5,2.8,7.5,10.2,4.1,1.8,0.4,122,109,0.576,0.718
Julian Phillips,79,1123,15.2,2.8,4.2,7,1.6,1.6,0.8,118,117,0.533,0.789
Aaron Nesmith,45,1123,23.2,1.6,6,7.6,2.3,1.5,0.7,124,116,0.617,0.913
Dalano Banton,67,1120,24.3,1.3,4.6,5.9,6.9,1.9,1.5,103,115,0.462,0.728
Ben Simmons,51,1120,11.3,2.1,8.6,10.7,12.6,1.7,1,110,113,0.52,0.727
Ben Simmons,33,825,12.3,1.8,8.6,10.4,13.8,1.6,1,109,115,0.547,0.692
Ben Simmons,18,295,8.7,2.8,8.7,11.5,9.3,2,1.2,115,109,0.434,0.857
Ja'Kobe Walter,52,1103,19.6,2.6,4.4,7,3.5,1.9,0.4,108,116,0.487,0.795
Jaxson Hayes,56,1093,17.2,3.5,8.6,12.1,2.6,1.4,2.3,135,112,0.722,0.622
Cameron Payne,72,1090,22.8,0.6,4.1,4.7,9.2,1.8,0.7,115,116,0.506,0.907
Jonathan Isaac,71,1090,17.4,5.5,8.9,14.4,1.8,2.8,3.7,113,103,0.474,0.682
DaQuan Jeffries,47,1071,14.5,1.7,4.5,6.2,2.4,1.2,1.1,105,119,0.5,0.8
Jusuf Nurkić,51,1063,21,3.9,14.5,18.5,5.3,1.9,1.6,105,112,0.523,0.664
Jusuf Nurkić,25,592,18,3.8,15.3,19.1,3.9,1.9,1.3,101,112,0.512,0.696
Jusuf Nurkić,26,471,24.9,4.1,13.6,17.6,7.1,1.8,1.9,110,111,0.532,0.627
Seth Curry,68,1062,20.6,1.1,4.1,5.2,2.8,1.3,0.3,120,120,0.599,0.846
Cody Williams,50,1060,10.4,1.2,3.9,5.1,2.7,1,0.7,89,123,0.391,0.725
Isaac Okoro,55,1053,15.4,2.2,3.7,5.9,3.1,1.5,0.7,125,115,0.569,0.717
Oso Ighodaro,61,1045,12.1,3.1,7.4,10.5,3.4,1.3,1.4,121,119,0.604,0.58
Jared Butler,60,1044,25.2,1.2,4,5.1,10.3,2,0.6,112,120,0.514,0.824
Jared Butler,32,362,28.9,1.8,3.5,5.4,10.8,1.6,0.7,114,122,0.526,0.778
Jared Butler,28,682,23.2,0.8,4.2,5,10,2.2,0.6,110,119,0.507,0.87
Jamison Battle,59,1042,19.4,1.7,5.6,7.3,2.4,0.8,0.5,118,118,0.581,0.889
Noah Clowney,46,1042,20.1,2.1,6.6,8.6,1.9,1.1,1,102,117,0.474,0.838
Alex Caruso,54,1041,17.6,1.8,5.6,7.3,6.3,4,1.4,122,104,0.541,0.824
Kris Murray,69,1040,13.4,3.6,5,8.5,3.2,1.6,0.8,103,116,0.468,0.456
Dejounte Murray,31,1012,25.9,0.8,8.8,9.6,10.9,3,0.6,101,116,0.445,0.823
Jalen Suggs,35,1002,28.3,1.1,5.9,7,6.4,2.5,1.6,101,108,0.489,0.882
Kyle Anderson,61,1002,17.5,2.6,7.5,10.1,7.1,2,1.6,119,111,0.51,0.738
Kyle Anderson,36,541,17,2.4,7.5,9.9,7.3,2.3,1.8,118,109,0.506,0.667
Kyle Anderson,25,461,18.2,2.8,7.6,10.4,6.9,1.5,1.4,122,112,0.515,0.789
Brandon Boston Jr.,42,993,21.9,1.4,5.2,6.5,4.5,2.6,0.4,107,120,0.5,0.788
Dalen Terry,73,987,15.4,1.8,4.1,5.9,4.6,2.1,0.7,108,116,0.517,0.71
Andre Jackson Jr.,67,980,11.3,3.2,5.8,9,4.1,1.7,0.7,107,114,0.553,0.5
Zach Collins,64,977,19.7,4.9,9,14,5.4,1.4,1.4,122,115,0.56,0.885
Zach Collins,36,425,19,4.3,7.2,11.5,5.9,1.6,1.7,119,116,0.515,0.886
Zach Collins,28,552,20.3,5.4,10.4,15.8,5,1.3,1.2,124,114,0.594,0.884
Trayce Jackson-Davis,62,967,20.5,6.1,9.5,15.6,5.2,1.2,1.9,125,111,0.576,0.578
Thomas Bryant,66,963,21.5,4.2,8.4,12.6,2.7,1.4,2.1,125,113,0.583,0.859
Thomas Bryant,10,115,17.8,2.6,11.3,13.9,1.7,0.4,3.9,131,109,0.536,1
Thomas Bryant,56,848,22,4.4,8,12.4,2.8,1.5,1.8,125,113,0.587,0.83
Jalen Smith,64,962,25.4,4.3,13,17.3,3.2,0.8,2.1,120,112,0.554,0.809
Jordan Clarkson,37,962,29.9,1.2,4.6,5.9,6.9,1.5,0.4,107,122,0.493,0.797
Gary Payton II,62,927,21,2.8,6.9,9.7,4.4,2.7,0.9,124,110,0.626,0.711
Brandon Miller,27,924,30.2,1.3,5.6,7,5.2,1.5,1.1,104,117,0.509,0.861
Bruce Brown,41,922,17.8,2.1,6.5,8.6,4.4,1.8,0.5,107,118,0.464,0.815
Bruce Brown,18,353,20.6,2.3,7,9.3,3.8,2.3,0.4,106,114,0.477,0.897
Bruce Brown,23,569,16.1,2,6.2,8.2,4.8,1.4,0.6,107,121,0.455,0.75
Immanuel Quickley,33,918,29.6,0.8,5.3,6.1,10,1.2,0.2,119,117,0.517,0.867
Trendon Watford,44,913,24.5,2,6.7,8.7,6.3,1.5,0.7,105,116,0.51,0.762
KJ Martin,43,912,14.6,1.6,5.1,6.7,2.6,0.9,1.2,124,122,0.59,0.787
KJ Martin,24,480,15.8,2.2,5.2,7.4,2,1.1,1.6,134,120,0.657,0.828
KJ Martin,19,432,13.3,1,4.9,5.9,3.2,0.7,0.7,113,124,0.525,0.722
Jaden Hardy,57,907,26.5,0.5,4.3,4.7,4.3,1.5,0.3,99,119,0.527,0.698
Day'Ron Sharpe,50,907,21.8,8.2,9.9,18.1,5,2.3,2.3,117,111,0.538,0.757
Adem Bona,58,905,18.4,5,8.3,13.3,1.5,1.4,3.8,123,115,0.703,0.67
Tre Jones,46,905,17.3,1.6,4.5,6.1,10.1,1.9,0.5,134,118,0.578,0.821
Tre Jones,28,450,13.2,1.6,4.6,6.2,11.2,1.9,0.5,128,119,0.527,0.758
Tre Jones,18,455,21.2,1.6,4.3,6,9,1.9,0.5,139,117,0.61,0.882
Jaden Ivey,30,898,28.3,2.1,4.5,6.6,6.4,1.5,0.6,108,115,0.536,0.733
Kelly Olynyk,44,891,20.8,3.4,7.8,11.2,6.9,1.8,1,115,116,0.562,0.769
Kelly Olynyk,24,383,21.5,3.1,8,11.2,7,2,1,115,113,0.581,0.791
Kelly Olynyk,20,508,20.3,3.5,7.6,11.2,6.9,1.6,1,115,119,0.547,0.754
Chet Holmgren,32,877,26.2,2.6,11.4,14.1,3.4,1.3,3.9,116,103,0.554,0.754
Neemias Queta,62,863,18,5.2,8.5,13.7,2.6,1,2.4,132,110,0.65,0.754
Alec Burks,49,863,20.6,0.9,6.3,7.2,3.2,1.6,0.4,117,114,0.587,0.776
Chris Boucher,50,862,28,3.9,8.6,12.5,1.8,1.3,1.4,123,114,0.586,0.782
Zion Williamson,30,857,41.7,4.3,7.9,12.2,9,2.1,1.5,117,118,0.57,0.656
Khris Middleton,37,843,25.1,0.7,7.1,7.8,8.6,2,0.5,117,115,0.546,0.857
Khris Middleton,23,534,26.3,0.5,7.2,7.7,9.2,1.5,0.5,121,114,0.595,0.848
Khris Middleton,14,309,23.1,1.2,6.8,8,7.4,2.8,0.5,109,117,0.464,0.868
KJ Simpson,36,842,16.5,2.3,4.1,6.4,6.5,2,0.4,95,118,0.4,0.82
Shake Milton,57,837,18.6,1.8,4.3,6.2,6,1.5,0.2,115,118,0.528,0.797
Shake Milton,27,492,20.1,1.6,3.5,5.2,6.5,1.5,0.1,120,119,0.554,0.758
Shake Milton,30,345,16.5,2.1,5.4,7.6,5.4,1.4,0.4,109,117,0.485,0.846
Dereck Lively II,36,833,18.2,6,9.6,15.7,4.9,1.2,3.3,138,113,0.702,0.63
Garrison Mathews,47,830,19.9,0.7,4.2,4.9,3.4,1.5,0.8,119,118,0.562,0.821
Cam Whitmore,51,827,28.1,2.1,6.8,8.9,2.9,1.8,0.8,112,111,0.525,0.75
Ryan Rollins,56,820,20.6,1.2,5.1,6.4,6.1,2.5,1,113,112,0.577,0.8
Marcus Sasser,57,811,22.2,1.1,3,4.1,7.9,2.2,0.2,117,115,0.561,0.843
Steven Adams,58,794,13.8,10.2,9.9,20,4,1.3,1.7,118,109,0.545,0.462
Aaron Holiday,62,792,20.9,0.8,4,4.8,5.1,1.2,0.7,121,114,0.571,0.829
Karlo Matković,42,791,19.9,3.9,8.9,12.8,2.8,1.3,2.5,120,117,0.619,0.773
Caleb Houstan,58,788,15.1,1.2,3.5,4.8,2.2,1.4,0.4,123,114,0.589,0.882
Vasilije Micić,41,785,16.9,1.3,4.3,5.6,8,0.9,0,92,121,0.43,0.829
Vasilije Micić,36,764,17.3,1.3,4.3,5.6,8.2,1,0,93,121,0.43,0.829
Vasilije Micić,5,21,0,0,4.7,4.7,2.4,0,0,19,125,NA,NA
Jaylin Williams,47,784,17,2.9,13.1,16,7.3,1.3,1.8,127,104,0.577,0.767
Pelle Larsson,55,782,16,1.8,4.1,5.9,4.1,2,0.4,114,114,0.517,0.672
Cam Thomas,25,781,38.2,1,4.3,5.3,6,1,0.1,111,120,0.513,0.881
Lindy Waters III,52,778,16,1.2,5.6,6.9,3.2,1.7,0.7,107,113,0.498,0.727
Lindy Waters III,38,655,15.5,1.2,5.9,7.1,3.1,1.6,0.7,105,113,0.49,0.727
Lindy Waters III,14,123,18.4,1.6,3.9,5.5,3.9,2,0.4,115,115,0.534,NA
Lonzo Ball,35,777,16,1.5,5.6,7.1,6.9,2.8,1,110,113,0.504,0.815
Orlando Robinson,44,770,19,5.6,8.2,13.8,4.8,1.1,1,110,115,0.477,0.771
Orlando Robinson,9,57,16.3,2.6,9.4,12,7.7,2.6,0.9,103,112,0.441,0.571
Orlando Robinson,35,713,19.2,5.8,8.1,13.9,4.6,0.9,1,111,115,0.48,0.794
Eric Gordon,39,768,17.1,0.5,2.4,3,4.2,1.7,0.8,116,122,0.564,0.75
