player,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent
Emoni Bates,10,75,23.7,0,4.5,4.5,5.1,0.6,0.6,105,117,0.487,NA
Taylor Hendricks,3,75,9,3.2,6.4,9.6,1.3,3.2,2.6,88,114,0.306,0.75
Chris Duarte,17,74,22.7,3.2,9.5,12.6,5.7,0,0,136,119,0.577,0.75
Daeqwon Plowden,6,72,27.9,2.6,4.5,7.1,1.3,0,0,135,122,0.82,1
RayJ Dennis,11,70,20.6,1.4,6.9,8.2,9.6,4.8,1.4,97,107,0.424,1
Josh Christopher,14,69,20.2,0,6.5,6.5,5.8,3.6,2.2,82,107,0.387,0.667
Matt Ryan,19,68,20.4,0,5.8,5.8,2.2,1.5,0,88,117,0.419,1
Armel Traoré,9,67,10.3,1.5,9.5,11,0.7,2.9,1.5,65,109,0.316,0.286
PJ Hall,19,66,24,4.4,11.7,16,2.9,0,2.9,131,114,0.625,0.75
Nae'Qwan Tomlin,5,63,27.5,6.9,9.2,16,1.5,0,0.8,112,115,0.438,0.727
Jamaree Bouyea,5,62,13.3,0.8,3.1,3.9,7.8,3.1,1.6,94,112,0.542,0.667
Cam Christie,13,59,15,2.5,7.5,10,5,4.2,0.8,86,105,0.333,0.5
P.J. Tucker,3,58,7.7,3.4,3.4,6.8,0,0.9,0.9,129,118,0.643,NA
Jazian Gortman,16,57,20.4,0.8,3.4,4.2,5.1,1.7,0.8,91,118,0.478,0.5
Liam Robbins,13,57,7.6,5.9,4.2,10.2,1.7,1.7,1.7,79,114,0.25,0.5
E.J. Liddell,12,53,18.5,2.6,5.3,7.9,2.6,0.9,0.9,126,118,0.633,1
Jackson Rowe,6,52,20.6,2.8,7.5,10.3,3.7,3.7,0,121,108,0.559,0.5
N'Faly Dante,4,51,22.9,5.7,14.3,20,1.9,1,4.8,150,103,0.769,0.8
Isaiah Crawford,15,46,13.8,1.1,7.4,8.5,1.1,1.1,2.1,103,116,0.5,0.5
Mason Jones,10,45,25,2.2,7.6,9.8,12,0,1.1,134,119,0.528,0.8
Phillip Wheeler,5,44,9,2.2,6.7,9,2.2,1.1,2.2,51,118,0.143,1
Malachi Flynn,4,44,17.9,3.4,4.5,7.8,7.8,3.4,0,105,115,0.423,0.833
Jack McVeigh,9,43,15.8,2.3,3.4,5.7,1.1,0,2.3,89,115,0.412,NA
Bobi Klintman,8,42,17.2,1.1,6.9,8,8,2.3,1.1,145,111,0.7,0.5
James Johnson,12,37,10.4,0,7.8,7.8,5.2,0,2.6,64,115,0.364,0
PJ Dozier,9,35,9.9,1.4,5.6,7,7,1.4,0,126,114,1,0.167
Harrison Ingram,5,35,5.5,2.8,9.7,12.4,4.1,4.1,0,117,111,0.5,NA
Miles Norris,3,35,10,2.9,10,12.9,0,2.9,1.4,91,106,0.333,0.5
David Duke Jr.,6,34,22.7,1.4,5.7,7.1,5.7,1.4,0,106,120,0.536,0.5
D.J. Carton,4,33,4.4,0,5.8,5.8,4.4,2.9,0,43,114,0.143,1
Bryce McGowens,13,32,19.7,3,1.5,4.6,3,1.5,0,79,120,0.286,0.833
Leonard Miller,13,32,30.8,4.6,12.3,17,0,3.1,1.5,111,104,0.4,1
Ulrich Chomche,7,32,7.5,6,6,12,3,0,1.5,96,118,0.4,0.5
Jalen Bridges,8,30,14.8,0,6.6,6.6,0,0,0,69,124,0.429,0.75
Jahmir Young,6,30,17.1,1.6,3.1,4.7,9.3,0,0,175,123,0.9,1
Kevin McCullar Jr.,4,29,10.3,0,13.7,13.7,3.4,1.7,1.7,98,109,0.286,1
Trentyn Flowers,6,27,20.1,1.8,5.5,7.3,0,0,0,92,117,0.364,1
Emanuel Miller,6,25,18.7,7.5,7.5,14.9,3.7,1.9,0,141,116,0.5,1
Daniss Jenkins,7,23,14.6,0,4.2,4.2,6.3,0,0,75,120,0.35,0
Anton Watson,9,22,18,2.3,4.5,6.8,4.5,2.3,0,86,115,0.444,NA
Tolu Smith,1,22,30.6,8.7,8.7,17.5,0,0,0,120,117,0.667,0.667
Malevy Leons,6,21,4.6,2.3,4.6,6.9,2.3,0,0,71,115,0,0.5
Adama Sanogo,4,21,17.8,11.1,2.2,13.3,2.2,0,0,126,123,0.571,NA
Taze Moore,2,20,14.6,9.7,9.7,19.4,2.4,4.9,0,73,107,0.25,0.5
Ron Harper Jr.,1,17,11.3,11.3,8.5,19.8,5.7,0,0,91,117,0.125,1
Isaiah Mobley,1,17,17.4,2.9,8.7,11.6,14.5,2.9,2.9,114,112,0.357,0.5
