player_id,player_name
1630173,Precious Achiuwa
203500,Steven Adams
1628389,Bam Adebayo
1630534,Ochai Agbaji
1630583,Santi Aldama
1629638,Nickeil Alexander-Walker
1628960,Grayson Allen
1628386,Jarrett Allen
1630631,Jose Alvarado
203937,Kyle Anderson
203507,Giannis Antetokounmpo
203648,Thanasis Antetokounmpo
1630175,Cole Anthony
1628384,OG Anunoby
1627853,Ryan Arcidiacono
1630166,Deni Avdija
1629028,Deandre Ayton
1628962,Udoka Azubuike
1628963,Marvin Bagley III
1631116,Patrick Baldwin Jr.
1630163,LaMelo Ball
1628964,Mo Bamba
1631094,Paolo Banchero
1630217,Desmond Bane
1630625,Dalano Banton
1631230,Dominick Barlow
203084,Harrison Barnes
1630567,Scottie Barnes
1629628,RJ Barrett
203115,Will Barton
1629646,Charles Bassey
1628966,Keita Bates-Diop
201587,Nicolas Batum
1629647,Darius Bazley
203078,Bradley Beal
1627736,Malik Beasley
1630699,MarJon Beauchamp
202722,Davis Bertans
201976,Patrick Beverley
1630180,Saddiq Bey
203920,Khem Birch
1629048,Goga Bitadze
202687,Bismack Biyombo
1631205,Buddy Boeheim
203992,Bogdan Bogdanovic
202711,Bojan Bogdanovic
1629626,Bol Bol
1630195,Leandro Bolmaro
1626164,Devin Booker
1630527,Brandon Boston Jr.
1628449,Chris Boucher
1630547,James Bouknight
1631123,Jamaree Bouyea
1628396,Tony Bradley
1631103,Malaki Branham
1629714,Jarrell Brantley
1631128,Christian Braun
1628969,Mikal Bridges
1629052,Oshae Brissett
1627763,Malcolm Brogdon
1628415,Dillon Brooks
1628971,Bruce Brown
1627759,Jaylen Brown
1631112,Kendall Brown
1629650,Moses Brown
1628425,Sterling Brown
1630535,Greg Brown III
1628972,Troy Brown Jr.
1628973,Jalen Brunson
1628418,Thomas Bryant
203493,Reggie Bullock Jr.
202692,Alec Burks
1629126,Deonte Burton
1630215,Jared Butler
202710,Jimmy Butler
1631219,John Butler Jr.
1631288,Jamal Cain
203484,Kentavious Caldwell-Pope
1630267,Facundo Campazzo
1628427,Vlatko Cancar
203991,Clint Capela
1630176,Vernon Carey Jr.
1628975,Jevon Carter
1628976,Wendell Carter Jr.
203487,Michael Carter-Williams
1627936,Alex Caruso
1630577,Julian Champagnie
1630551,Justin Champagnie
1631113,Kennedy Chandler
1631108,Max Christie
1630528,Josh Christopher
1629634,Brandon Clarke
203903,Jordan Clarkson
1629651,Nic Claxton
1629599,Amir Coffey
1628381,John Collins
1628380,Zach Collins
1628435,Chance Comanche
201144,Mike Conley
1626192,Pat Connaughton
1641645,Xavier Cooks
203496,Robert Covington
1628470,Torrey Craig
203109,Jae Crowder
1629633,Jarrett Culver
1630595,Cade Cunningham
203552,Seth Curry
201939,Stephen Curry
1630700,Dyson Daniels
203076,Anthony Davis
1631098,Johnny Davis
1629056,Terence Davis
1631120,JD Davison
1630620,Darius Days
201942,DeMar DeRozan
203473,Dewayne Dedmon
203521,Matthew Dellavedova
1628978,Donte DiVincenzo
1631217,Moussa Diabate
1629603,Mamadi Diakite
1628977,Hamidou Diallo
203476,Gorgui Dieng
1631172,Ousmane Dieng
203915,Spencer Dinwiddie
1629029,Luka Doncic
1628416,Tyler Dorsey
1629652,Luguentz Dort
1630245,Ayo Dosunmu
1629653,Devon Dotson
1630288,Jeff Dowtin Jr.
1628408,PJ Dozier
201609,Goran Dragic
203083,Andre Drummond
1630537,Chris Duarte
1630561,David Duke Jr.
1627739,Kris Dunn
201142,Kevin Durant
1631105,Jalen Duren
1631106,Tari Eason
1630162,Anthony Edwards
1630556,Kessler Edwards
1631165,Keon Ellis
203954,Joel Embiid
1629234,Drew Eubanks
1628981,Bruno Fernando
1627827,Dorian Finney-Smith
1630201,Malachi Flynn
1631323,Simone Fontecchio
1627854,Bryn Forbes
1630235,Trent Forrest
1630701,Michael Foster Jr.
203095,Evan Fournier
1628368,De'Aaron Fox
1628365,Markelle Fultz
1629117,Wenyen Gabriel
1629655,Daniel Gafford
1629636,Darius Garland
1630586,Usman Garuba
1630568,Luka Garza
200752,Rudy Gay
202331,Paul George
201959,Taj Gibson
1630581,Josh Giddey
1628983,Shai Gilgeous-Alexander
1630264,Anthony Gill
1631367,Jacob Gilyard
203497,Rudy Gobert
1630692,Jordan Goodwin
203932,Aaron Gordon
201569,Eric Gordon
1628984,Devonte' Graham
203924,Jerami Grant
1630564,RaiQuan Gray
1631260,AJ Green
201980,Danny Green
203110,Draymond Green
203210,JaMychal Green
1630224,Jalen Green
1629750,Javonte Green
201145,Jeff Green
1630182,Josh Green
1631100,AJ Griffin
201933,Blake Griffin
1629656,Quentin Grimes
1629060,Rui Hachimura
1630169,Tyrese Haliburton
1631160,Jordan Hall
1630181,R.J. Hampton
203501,Tim Hardaway Jr.
201935,James Harden
1630702,Jaden Hardy
1631199,Ron Harper Jr.
1626149,Montrezl Harrell
203914,Gary Harris
203925,Joe Harris
1630284,Kevon Harris
202699,Tobias Harris
1627885,Shaquille Harrison
1628404,Josh Hart
1628392,Isaiah Hartenstein
2617,Udonis Haslem
1630573,Sam Hauser
1629637,Jaxson Hayes
1630165,Killian Hayes
202330,Gordon Hayward
1627823,Juancho Hernangomez
1626195,Willy Hernangomez
1629639,Tyler Herro
1627741,Buddy Hield
1629312,Haywood Highsmith
201588,George Hill
1630792,Malcolm Hill
1628988,Aaron Holiday
201950,Jrue Holiday
203200,Justin Holiday
1626158,Richaun Holmes
201143,Al Horford
1629659,Talen Horton-Tucker
1627863,Danuel House Jr.
1631216,Caleb Houstan
1631309,Trevor Hudgins
1628989,Kevin Huerter
1630643,Jay Huff
1629631,De'Andre Hunter
1630538,Bones Hyland
201586,Serge Ibaka
2738,Andre Iguodala
204060,Joe Ingles
1627742,Brandon Ingram
202681,Kyrie Irving
1628371,Jonathan Isaac
1631093,Jaden Ivey
1628402,Frank Jackson
1630543,Isaiah Jackson
1628382,Justin Jackson
1631245,Quenton Jackson
202704,Reggie Jackson
1628991,Jaren Jackson Jr.
2544,LeBron James
1629660,Ty Jerome
1630198,Isaiah Joe
1628993,Alize Johnson
1629661,Cameron Johnson
1630552,Jalen Johnson
201949,James Johnson
1629640,Keldon Johnson
1630553,Keon Johnson
1626169,Stanley Johnson
203999,Nikola Jokic
1630637,Carlik Jones
1627745,Damian Jones
1630529,Herbert Jones
1630539,Kai Jones
1630200,Tre Jones
1626145,Tyus Jones
1627884,Derrick Jones Jr.
201599,DeAndre Jordan
202709,Cory Joseph
1631107,Nikola Jovic
1630548,Johnny Juzang
1629662,Mfiondu Kabengele
1626163,Frank Kaminsky
1631211,Trevor Keels
1628379,Luke Kennard
1631117,Walker Kessler
1630296,Braxton Key
1629663,Louis King
1630557,Corey Kispert
1628467,Maxi Kleber
1630233,Nathan Knight
1628995,Kevin Knox II
1631132,Christian Koloko
1629723,John Konchar
1627788,Furkan Korkmaz
1628436,Luke Kornet
1630249,Vit Krejci
1630228,Jonathan Kuminga
1628398,Kyle Kuzma
1631222,Jake LaRavia
