season,tour,date,location,event,bull,score
2019,Unleash The Beast,2019-04-28,"Columbus, OH",WRANGLER LONG LIVE COWBOYS CLASSIC PRESENTED BY COOPER TIRES,Millennium's Buck,0
2019,Unleash The Beast,2019-04-27,"Columbus, OH",WRANGLER LONG LIVE COWBOYS CLASSIC PRESENTED BY COOPER TIRES 15/15,Smooth Operator,92.5
2019,Unleash The Beast,2019-04-27,"Columbus, OH",WRANGLER LONG LIVE COWBOYS CLASSIC PRESENTED BY COOPER TIRES,Big Black Cat,86.25
2019,Unleash The Beast,2019-04-14,"Billings, MT",BILLINGS INVITATIONAL PRESENTED BY COOPER TIRES,Heartbreak Kid,0
2019,Unleash The Beast,2019-04-14,"Billings, MT",BILLINGS INVITATIONAL PRESENTED BY COOPER TIRES,Catch My Drift,86.25
2019,Unleash The Beast,2019-04-13,"Billings, MT",BILLINGS INVITATIONAL PRESENTED BY COOPER TIRES,Jokers Wild,0
2019,Unleash The Beast,2019-04-12,"Billings, MT",BILLINGS INVITATIONAL PRESENTED BY COOPER TIRES,War Cry,0
2019,Unleash The Beast,2019-04-07,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL,Cochise,92
2019,Unleash The Beast,2019-04-07,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL,Losing Control,89.25
2019,Unleash The Beast,2019-04-06,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL,Medicine Man,90.25
2019,Unleash The Beast,2019-04-06,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL 15/15,Bezerk,0
2019,Unleash The Beast,2019-04-05,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL,Cool Customer,0
2019,Unleash The Beast,2019-03-31,"Tacoma, WA",TACOMA INVITATIONAL PRESENTED BY COOPER TIRES,Leona's Pet,0
2019,Unleash The Beast,2019-03-30,"Tacoma, WA",TACOMA INVITATIONAL PRESENTED BY COOPER TIRES,War Cry,0
2019,Unleash The Beast,2019-03-24,"Kansas City, MO",CATERPILLAR CLASSIC,Lonesome Fugitive,0
2019,Unleash The Beast,2019-03-23,"Kansas City, MO",CATERPILLAR CLASSIC,Air Assault,0
2019,Pendleton Whisky Velocity Tour,2019-03-16,"Dayton, OH",DAYTON RUMBLE,Free Wiskey,86
2019,Pendleton Whisky Velocity Tour,2019-03-16,"Dayton, OH",DAYTON RUMBLE,Thunder On Hooves,86.5
2019,Unleash The Beast,2019-03-10,"Duluth, GA",US BORDER PATROL INVITATIONAL,Big Black,91.25
2019,Unleash The Beast,2019-03-10,"Duluth, GA",US BORDER PATROL INVITATIONAL,Texas Comfort Air’s First Blood,87.75
2019,Unleash The Beast,2019-03-09,"Duluth, GA",US BORDER PATROL INVITATIONAL,Slinger,85.25
2019,Unleash The Beast,2019-03-02,"Little Rock, AR",BAD BOY MOWDOWN,Big City,82.25
2019,Unleash The Beast,2019-03-02,"Little Rock, AR",BAD BOY MOWDOWN,Mason's Missouri Golden,0
2019,Unleash The Beast,2019-03-01,"Little Rock, AR",BAD BOY MOWDOWN,Bad Decisions,0
