Year,Round,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,rank_diff,rank_diff_cat,higher_rank_won
2009,Quarterfinals,Nadal R.,Simon G.,1,8,ESP,2001,85,185,Left,FRA,2002,70,183,Right,-7,Low,Yes
2009,Semifinals,Federer R.,Roddick A.,2,9,SUI,1998,85,185,Right,USA,2000,88,188,Right,-7,Low,Yes
2009,Semifinals,Nadal R.,Verdasco F.,1,15,ESP,2001,85,185,Left,ESP,2001,87,185,Left,-14,Low,Yes
2009,The Final,Nadal R.,Federer R.,1,2,ESP,2001,85,185,Left,SUI,1998,85,185,Right,-1,Low,Yes
2008,Quarterfinals,Nadal R.,Nieminen J.,2,26,ESP,2001,85,185,Left,FIN,2000,78,185,Left,-24,Low,Yes
2008,Quarterfinals,Tsonga J.W.,Youzhny M.,38,14,FRA,2004,91,188,Right,RUS,1999,73,183,Right,24,Low,No
2008,Quarterfinals,Djokovic N.,Ferrer D.,3,5,SRB,2003,77,188,Right,ESP,2000,73,175,Right,-2,Low,Yes
2008,Quarterfinals,Federer R.,Blake J.,1,15,SUI,1998,85,185,Right,USA,1999,83,185,Right,-14,Low,Yes
2008,Semifinals,Tsonga J.W.,Nadal R.,38,2,FRA,2004,91,188,Right,ESP,2001,85,185,Left,36,Medium,No
2008,Semifinals,Djokovic N.,Federer R.,3,1,SRB,2003,77,188,Right,SUI,1998,85,185,Right,2,Low,No
2008,The Final,Djokovic N.,Tsonga J.W.,3,38,SRB,2003,77,188,Right,FRA,2004,91,188,Right,-35,Medium,Yes
