Name,Nation,TP,SP,FS,Year
Mark Kondratiuk, ROC,248.82,86.11,162.71,2022
Matteo Rizzo, Italy,247.53,88.63,158.9,2022
Brendan Kerry, Australia,244.8,84.79,160.01,2022
Vladimir Litvintsev, Azerbaijan,239.19,84.15,155.04,2022
Andrei Mozalev, ROC,233.33,77.05,156.28,2022
Konstantin Milyukov, Belarus,222.22,78.49,143.73,2022
Nikolaj Majorov, Sweden,220.78,78.54,142.24,2022
Donovan Carrillo, Mexico,218.13,79.69,138.44,2022
Lukas Britschgi, Switzerland,212.58,76.16,136.42,2022
Ivan Shmuratko, Ukraine,205.76,78.11,127.65,2022
