date,event,arena,city,fighter1,fighter2,result_type,judge1,judge1_score1,judge1_score2,judge2,judge2_score1,judge2_score2,judge3,judge3_score1,judge3_score2,winner,winner2,judge1_margin,judge2_margin,judge3_margin,judge1_perc,judge2_perc,judge3_perc,rounds,judge1_dev,judge2_dev,judge3_dev,judge1_out,judge2_out,judge3_out,agreement
2002-09-27,UFC 39: The Warriors Return,Mohegan Sun Arena,"Uncasville, Connecticut, USA",Penn,Serra,Unanimous,Crosby,29,28,Mullen,29,28,Peoples,29,28,Penn,fighter1,1,1,1,-3.57%,-3.57%,-3.57%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2002-09-27,UFC 39: The Warriors Return,Mohegan Sun Arena,"Uncasville, Connecticut, USA",Uno,Thomas,Unanimous,Hamilton,29,27,Mullen,29,27,Peoples,29,27,Uno,fighter1,2,2,2,-7.41%,-7.41%,-7.41%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2002-09-27,UFC 39: The Warriors Return,Mohegan Sun Arena,"Uncasville, Connecticut, USA",Lindland,Salaverry,Unanimous,Crosby,30,28,Mullen,29,28,Peoples,29,28,Lindland,fighter1,2,1,1,-7.14%,-3.57%,-3.57%,3,1,0.5,0.5,fighter1,fighter1,fighter1,Agree
2003-02-28,UFC 41: Onslaught,Boardwalk Hall,"Atlantic City, New Jersey, USA",Lindland,Baroni,Unanimous,Hamilton,29,28,Mullinax,29,28,Wright,29,28,Lindland,fighter1,1,1,1,-3.57%,-3.57%,-3.57%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2003-02-28,UFC 41: Onslaught,Boardwalk Hall,"Atlantic City, New Jersey, USA",Rizzo,Matyushenko,Unanimous,Crosby,28,29,Hamilton,27,30,Mullinax,28,29,Matyushenko,fighter2,-1,-3,-1,3.45%,10.00%,3.45%,3,1,2,1,fighter2,fighter2,fighter2,Agree
2003-02-28,UFC 41: Onslaught,Boardwalk Hall,"Atlantic City, New Jersey, USA",Uno,Penn,Split,Crosby,46,48,Mullinax,48,47,Wright,48,48,draw,draw,-2,1,0,4.17%,-2.13%,0.00%,5,2.5,2,0.5,fighter2,fighter1,draw,Disagree
2003-04-25,UFC 42: Sudden Impact,AmericanAirlines Arena,"Miami, Florida, USA",Sherk,Hughes,Unanimous,Crosby,46,49,Millis,47,48,Mullen,45,48,Hughes,fighter2,-3,-1,-3,6.12%,2.08%,6.25%,5,1,2,1,fighter2,fighter2,fighter2,Agree
2003-04-25,UFC 42: Sudden Impact,AmericanAirlines Arena,"Miami, Florida, USA",Aram,Strasser,Unanimous,Crosby,27,30,Mullen,27,30,Peoples,27,30,Strasser,fighter2,-3,-3,-3,10.00%,10.00%,10.00%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2003-04-25,UFC 42: Sudden Impact,AmericanAirlines Arena,"Miami, Florida, USA",Ludwig,Sudo,Unanimous,Crosby,29,28,Mullen,29,28,Peoples,29,28,Ludwig,fighter1,1,1,1,-3.57%,-3.57%,-3.57%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2003-04-25,UFC 42: Sudden Impact,AmericanAirlines Arena,"Miami, Florida, USA",Franca,Crunkilton,Unanimous,Crosby,29,28,Millis,29,28,Peoples,29,28,Franca,fighter1,1,1,1,-3.57%,-3.57%,-3.57%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2003-06-06,UFC 43: Meltdown,Thomas and Mack Center,"Las Vegas, Nevada, USA",Edwards,Ruiz,Unanimous,Belardo,30,27,Peoples,30,27,Rosales,30,27,Edwards,fighter1,3,3,3,-11.11%,-11.11%,-11.11%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2003-06-06,UFC 43: Meltdown,Thomas and Mack Center,"Las Vegas, Nevada, USA",White,Freeman,Split,Belardo,28,29,Peoples,30,27,Weeks,29,29,draw,draw,-1,3,0,3.45%,-11.11%,0.00%,3,2.5,3.5,1,fighter2,fighter1,draw,Disagree
2003-09-26,UFC 44: Undisputed,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Ortiz,Couture,Unanimous,Hamilton,44,50,Mullen,44,50,Rosales,45,50,Couture,fighter2,-6,-6,-5,12.00%,12.00%,10.00%,5,0.5,0.5,1,fighter2,fighter2,fighter2,Agree
2003-09-26,UFC 44: Undisputed,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Rivera,Loiseau,Unanimous,Hamilton,29,28,Peoples,29,27,Weeks,29,28,Rivera,fighter1,1,2,1,-3.57%,-7.41%,-3.57%,3,0.5,1,0.5,fighter1,fighter1,fighter1,Agree
2003-11-21,UFC 45: Revolution,Mohegan Sun Arena,"Uncasville, Connecticut, USA",Lytle,Lawler,Unanimous,Crosby,28,29,Mullen,28,29,Peoples,28,29,Lawler,fighter2,-1,-1,-1,3.45%,3.45%,3.45%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2003-11-21,UFC 45: Revolution,Mohegan Sun Arena,"Uncasville, Connecticut, USA",Rizzo,Rodriguez,Unanimous,Crosby,30,27,Hamilton,29,28,Mullen,30,27,Rizzo,fighter1,3,1,3,-11.11%,-3.57%,-11.11%,3,1,2,1,fighter1,fighter1,fighter1,Agree
2004-01-31,UFC 46: Super Natural,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Verissimo,Newton,Unanimous,Hamilton,30,27,Rosales,30,27,Trowbridge,30,27,Verissimo,fighter1,3,3,3,-11.11%,-11.11%,-11.11%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2004-01-31,UFC 46: Super Natural,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Parisyan,St-Pierre,Unanimous,Hamilton,28,29,Rosales,27,30,Trowbridge,27,30,St-Pierre,fighter2,-1,-3,-3,3.45%,10.00%,10.00%,3,2,1,1,fighter2,fighter2,fighter2,Agree
2004-01-31,UFC 46: Super Natural,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Franca,Thomson,Unanimous,Belardo,28,29,Rosales,28,29,Trowbridge,28,29,Thomson,fighter2,-1,-1,-1,3.45%,3.45%,3.45%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2004-01-31,UFC 46: Super Natural,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Curran,Serra,Unanimous,Hamilton,27,30,Peoples,27,30,Shirley,27,30,Serra,fighter2,-3,-3,-3,10.00%,10.00%,10.00%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2004-04-02,UFC 47: It's On,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Franca,Edwards,Split,Peoples,28,29,Shirley,28,29,Weeks,29,28,Edwards,fighter2,-1,-1,1,3.45%,3.45%,-3.57%,3,1,1,2,fighter2,fighter2,fighter1,judge3
2004-06-19,UFC 48: Payback,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Hughes,Verissimo,Unanimous,Belardo,30,27,Hamilton,29,28,Shirley,30,27,Hughes,fighter1,3,1,3,-11.11%,-3.57%,-11.11%,3,1,2,1,fighter1,fighter1,fighter1,Agree
2004-06-19,UFC 48: Payback,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Baroni,Tanner,Unanimous,Peoples,27,30,Rosales,27,30,Shirley,28,29,Tanner,fighter2,-3,-3,-1,10.00%,10.00%,3.45%,3,1,1,2,fighter2,fighter2,fighter2,Agree
2004-06-19,UFC 48: Payback,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Serra,Menjivar,Unanimous,Belardo,30,27,Hamilton,30,27,Trowbridge,30,27,Serra,fighter1,3,3,3,-11.11%,-11.11%,-11.11%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2004-08-21,UFC 49: Unfinished Business,MGM Grand Arena,"Las Vegas, Nevada, USA",Diaz,Parisyan,Split,Peoples,28,29,Rosales,27,30,Shirley,29,28,Parisyan,fighter2,-1,-3,1,3.45%,10.00%,-3.57%,3,0,3,3,fighter2,fighter2,fighter1,judge3
2004-10-22,UFC 50: The War of '04,Boardwalk Hall,"Atlantic City, New Jersey, USA",Cote,Ortiz,Unanimous,Belardo,27,30,Mullen,26,30,Peoples,26,30,Ortiz,fighter2,-3,-4,-4,10.00%,13.33%,13.33%,3,1,0.5,0.5,fighter2,fighter2,fighter2,Agree
2005-02-05,UFC 51: Super Saturday,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Ortiz,Belfort,Split,Hamilton,29,28,Mullen,28,29,Peoples,29,28,Ortiz,fighter1,1,-1,1,-3.57%,3.45%,-3.57%,3,1,2,1,fighter1,fighter2,fighter1,judge2
2005-02-05,UFC 51: Super Saturday,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",Parisyan,Lytle,Unanimous,Mullen,30,27,Peoples,30,27,Shirley,30,27,Parisyan,fighter1,3,3,3,-11.11%,-11.11%,-11.11%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2005-03-19,Boxing: Pacquiao vs. Morales,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",Pacquiao,Morales,Unanimous,Giampa,113,115,Moretti,113,115,Smith,113,115,Morales,fighter2,-2,-2,-2,1.74%,1.74%,1.74%,12,0,0,0,fighter2,fighter2,fighter2,Agree
