name,height,wingspan,wingspan_advantage
Terry RozierMIA | PG,"6'0.5""","6'8.25""",7.75
Terry TaylorSAC | PF,"6'4.75""","6'11.5""",6.75
Thaddeus Young | PF,"6'5.75""","6'11.5""",5.75
Thanasis Antetokounmpo | PF,"6'5.25""","7'0""",6.75
Theo Maledon | PG,"6'4""","6'8.75""",4.75
Thomas BryantIND | C,"6'9.5""","7'6""",8.5
Tidjane SalaünCHA | PF,"6'9""","7'0.75""",3.75
Tim Hardaway Jr.DET | SG,"6'4.5""","6'7""",2.5
Tobias HarrisDET | PF,"6'6.5""","6'11""",4.5
Toumani CamaraPOR | PF,"6'7""","7'0.5""",5.5
Trae YoungATL | PG,"6'0.5""","6'3""",2.5
Trayce Jackson-DavisGSW | C,"6'8.25""","7'1""",4.75
Tre JonesCHI | PG,"6'1""","6'4""",3
Tre MannCHA | PG,"6'3.25""","6'4""",0.75
Trendon WatfordBKN | PF,"6'7.5""","7'2.25""",6.75
Trent Forrest | PG,"6'3.5""","6'7.5""",4
Trey LylesSAC | PF,"6'9""","7'1.5""",4.5
Trey Murphy IIINOP | SF,"6'7.5""","7'0""",4.5
Tristan Da SilvaORL | PF,"6'8.25""","6'10.25""",2
Troy Brown Jr. | SF,"6'5.75""","6'10.75""",5
Ty JeromeCLE | PG,"6'4.25""","6'4""",-0.25
TyTy Washington Jr.PHX | PG,"6'2.25""","6'8""",5.75
Tyler HerroMIA | SG,"6'4.5""","6'3.25""",-1.25
Tyler KolekNYK | PG,"6'1.25""","6'2.75""",1.5
Tyler SmithMIL | PF,"6'9""","7'1""",4
Tyrese HaliburtonIND | PG,"6'4.75""","6'7.75""",3
Tyrese MaxeyPHI | PG,"6'2""","6'7""",5
Tyus JonesPHX | PG,"6'0.5""","6'5""",4.5
Udoka Azubuike | C,"6'10""","7'7.25""",9.25
Usman Garuba | PF,"6'8""","7'2""",6
Vasilije MicićPHX | PG,"6'4""","6'7""",3
Victor Oladipo | SG,"6'3.25""","6'9.25""",6
Victor WembanyamaSAS | C,"7'4""","8'0""",8
Vince Williams Jr.MEM | SG,"6'4""","6'11""",7
Vlatko ČančarDEN | PF,"6'7.75""","6'11""",3.25
Walker KesslerUTA | C,"7'0.25""","7'4.25""",4
Wendell Carter Jr.ORL | C,"6'8.75""","7'4.5""",7.75
Wendell Moore Jr.CHA | SG,"6'4.25""","7'0.75""",8.5
Wesley Matthews | SG,"6'4.5""","6'8.5""",4
Xavier Tillman Sr.BOS | PF,"6'7.5""","7'2""",6.5
Yuta Watanabe | SF,"6'7.75""","6'10""",2.25
Yves MissiNOP | C,"6'10.75""","7'2""",3.25
Zaccharie RisacherATL | SF,"6'8.25""","6'10.5""",2.25
Zach CollinsCHI | C,"6'10.25""","7'1""",2.75
Zach EdeyMEM | C,"7'3.75""","7'10.75""",7
Zach LaVineSAC | SG,"6'4.5""","6'8.25""",3.75
Zeke NnajiDEN | PF,"6'9.25""","7'2""",4.75
Ziaire WilliamsBKN | SF,"6'8.25""","6'10.25""",2
Zion WilliamsonNOP | PF,"6'5.75""","6'10.5""",4.75
