name,height,wingspan,wingspan_advantage
Danuel House Jr. | SF,"6'6""","6'8""",2
Dario ŠarićDEN | PF,"6'9.5""","6'10""",0.5
Dariq WhiteheadBKN | SG,"6'5.75""","6'10.25""",4.5
Darius GarlandCLE | PG,"6'1""","6'5""",4
David RoddyHOU | PF,"6'4.5""","6'11.5""",7
Davion MitchellMIA | PG,"6'0""","6'4.25""",4.25
Davis Bertans | PF,"6'10""","6'10""",0
Day'Ron SharpeBKN | C,"6'9""","7'0""",3
De'Aaron FoxSAS | PG,"6'2""","6'6.5""",4.5
De'Andre HunterCLE | SF,"6'7""","7'2""",7
De'Anthony MeltonBKN | SG,"6'2.25""","6'8.5""",6.25
DeAndre JordanDEN | C,"6'9.75""","7'6""",8.25
DeMar DeRozanSAC | SF,"6'5.5""","6'9""",3.5
Dean WadeCLE | PF,"6'9""","6'10""",1
Deandre AytonPOR | C,"6'11""","7'6""",7
Dejounte MurrayNOP | PG,"6'4""","6'10""",6
Delon WrightNYK | PG,"6'4.25""","6'7.5""",3.25
Deni AvdijaPOR | SF,"6'8.75""","6'8.5""",-0.25
Dennis SchröderDET | PG,"6'1""","6'7.75""",6.75
Dennis Smith Jr. | PG,"6'1.25""","6'3""",1.75
Dereck Lively IIDAL | C,"7'1""","7'7""",6
Dereon Seabron | SF,"6'5""","6'8.75""",4
Derrick Jones Jr.LAC | PF,"6'6""","7'0""",6
Derrick Rose | PG,"6'1.5""","6'8""",6.5
Derrick WhiteBOS | SG,"6'3.25""","6'7.5""",4.25
Desmond BaneMEM | SG,"6'5""","6'4.25""",-0.75
Devin BookerPHX | SG,"6'4.5""","6'8.25""",3.75
Devin CarterSAC | SG,"6'2.25""","6'8.75""",6.5
Devin VassellSAS | SG,"6'5""","6'10""",5
Devonte' Graham | PG,"6'0.25""","6'6.25""",6
Dillon BrooksHOU | SF,"6'5""","6'6""",1
Dillon JonesOKC | SF,"6'4.5""","6'11""",6.5
Domantas SabonisSAC | C,"6'10""","6'11""",1
Dominick BarlowATL | PF,"6'8.75""","7'3""",6.25
Donovan ClinganPOR | C,"7'1.75""","7'6.75""",5
Donovan MitchellCLE | SG,"6'1.25""","6'10""",8.75
Donte DiVincenzoMIN | SG,"6'3.5""","6'6""",2.5
Dorian Finney-SmithLAL | SF,"6'6.5""","6'11.75""",5.25
Doug McDermottSAC | SF,"6'6.25""","6'9.25""",3
Draymond GreenGSW | PF,"6'5.75""","7'1.25""",7.5
Drew EubanksLAC | C,"6'9""","6'11""",2
Duop ReathPOR | C,"6'9""","7'1""",4
Dylan Windler | SF,"6'6.25""","6'10""",3.75
Dyson DanielsATL | SG,"6'6""","6'10.5""",4.5
E.J. LiddellCHI | PF,"6'5.5""","6'11.75""",6.25
Emoni BatesCLE | SF,"6'8.25""","6'9""",0.75
Eric GordonPHI | SG,"6'2""","6'9""",7
Eugene Omoruyi | SF,"6'6""","7'1.25""",7
Evan Fournier | SG,"6'6.5""","6'7.5""",1
Evan MobleyCLE | PF,"6'11""","7'4""",5
Filip Petrusev | PF,"6'11""","7'0""",1
Frank Ntilikina | PG,"6'4""","7'1""",9
Franz WagnerORL | SF,"6'9""","6'11.5""",2.5
Fred VanVleetHOU | PG,"6'0""","6'2""",2
Furkan Korkmaz | SG,"6'6.5""","6'10""",3.5
GG Jackson IIMEM | PF,"6'8.25""","6'11.5""",3.25
Gary HarrisORL | SG,"6'2.5""","6'6.75""",4.25
Gary Payton IIGSW | SG,"6'2""","6'8""",6
Gary Trent Jr.MIL | SG,"6'4.25""","6'8.75""",4.5
Georges NiangATL | PF,"6'6.75""","6'10""",3.25
Giannis AntetokounmpoMIL | PF,"6'11""","7'3""",4
Goga BitadzeORL | C,"6'10.5""","7'2""",3.5
Gordon Hayward | SF,"6'6.75""","6'7.75""",1
Gradey DickTOR | SG,"6'6.25""","6'8.75""",2.5
Grant WilliamsCHA | PF,"6'5.75""","6'9.75""",4
Grayson AllenPHX | SG,"6'3""","6'7.25""",4.25
Guerschon YabuselePHI | PF,"6'7.5""","7'1""",5.5
Harrison BarnesSAS | PF,"6'7""","6'11.25""",4.25
Harrison IngramSAS | SF,"6'5.25""","7'0.25""",7
Harry Giles III | C,"6'11""","7'3""",4
Haywood HighsmithMIA | SF,"6'5""","6'11.5""",7
Herbert JonesNOP | SF,"6'6""","7'0.25""",6.25
Immanuel QuickleyTOR | PG,"6'2""","6'8.25""",6.25
Isaac OkoroCLE | SF,"6'5""","6'8.5""",3.5
Isaiah CollierUTA | PG,"6'2.5""","6'4.75""",2.25
Isaiah HartensteinOKC | C,"6'11.5""","7'2.25""",2.75
Isaiah JacksonIND | C,"6'9.5""","7'2.25""",4.75
Isaiah JoeOKC | SG,"6'3""","6'7.5""",4.5
Isaiah Livers | SF,"6'6""","6'9.25""",3
Isaiah Mobley | PF,"6'8""","7'3""",7
Isaiah StewartDET | C,"6'7.25""","7'4.75""",9.5
Isaiah Wong | SG,"6'2.5""","6'6.75""",4.25
Ivica ZubacLAC | C,"6'11.5""","7'4""",4.5
JD DavisonBOS | PG,"6'0.5""","6'6.5""",6
JT ThorWAS | PF,"6'8.5""","7'3.25""",6.75
Ja MorantMEM | PG,"6'2.5""","6'6""",3.5
Ja'Kobe WalterTOR | PG,"6'4.25""","6'10""",5.75
JaVale McGee | C,"6'11""","7'6""",7
Jabari Smith Jr.HOU | PF,"6'10.5""","7'1""",2.5
Jabari WalkerPOR | PF,"6'6.75""","6'10.75""",4
Jacob Gilyard | PG,"5'8""","5'10.5""",2.5
Jaden HardyDAL | SG,"6'3.5""","6'9""",5.5
Jaden IveyDET | SG,"6'3.5""","6'9""",5.5
Jaden McDanielsMIN | SF,"6'9""","6'11""",2
Jaden SpringerUTA | SG,"6'3""","6'7.75""",4.75
Jae CrowderSAC | PF,"6'4.75""","6'9.25""",4.5
Jae'Sean TateHOU | PF,"6'4""","6'8""",4
Jaime Jaquez Jr.MIA | SF,"6'6""","6'9.5""",3.5
Jake LaRaviaSAC | SF,"6'6.75""","6'9.5""",2.75
Jakob PoeltlTOR | C,"7'0.25""","7'2.75""",2.5
Jakob Pöltl | C,"7'0.25""","7'2.75""",2.5
Jalen BrunsonNYK | PG,"6'1""","6'4""",3
Jalen DurenDET | C,"6'10.25""","7'5""",6.75
Jalen GreenHOU | SG,"6'4""","6'7.5""",3.5
Jalen Hood-SchifinoPHI | PG,"6'4.25""","6'10.25""",6
Jalen JohnsonATL | PF,"6'7.75""","7'0.25""",4.5
Jalen McDaniels | PF,"6'8.25""","7'0.25""",4
Jalen PickettDEN | PG,"6'2""","6'7.25""",5.25
Jalen SmithCHI | PF,"6'9.25""","7'2.25""",5
Jalen SuggsORL | PG,"6'3.5""","6'5.5""",2
Jalen WilliamsOKC | SG,"6'4.5""","7'2.25""",9.75
Jalen WilsonBKN | SF,"6'5.5""","6'8""",2.5
Jamal MurrayDEN | PG,"6'3.5""","6'6.5""",3
Jamal SheadTOR | PG,"6'0.25""","6'3""",2.75
James Bouknight | SG,"6'3.5""","6'8.25""",4.75
James HardenLAC | SG,"6'4""","6'10.75""",6.75
James Wiseman | C,"6'11.5""","7'5""",5.5
Jarace WalkerIND | PF,"6'6.5""","7'2.5""",8
Jared McCainPHI | SG,"6'2""","6'3.5""",1.5
Jaren Jackson Jr.MEM | PF,"6'9.75""","7'5.25""",7.5
Jarred VanderbiltLAL | PF,"6'8.5""","7'1""",4.5
Jarrett AllenCLE | C,"6'9""","7'5.25""",8.25
Jaxson HayesLAL | C,"6'10.25""","7'3.5""",5.25
Jaylen BrownBOS | SF,"6'5.25""","6'11.75""",6.5
Jaylen ClarkMIN | SG,"6'4""","6'9""",5
Jaylen WellsMEM | SF,"6'6.5""","6'7.25""",0.75
Jaylin WilliamsOKC | C,"6'8.75""","7'1""",4.25
Jaylon TysonCLE | SG,"6'5.5""","6'8""",2.5
Jayson TatumBOS | SF,"6'7.5""","6'11""",3.5
Jeff GreenHOU | PF,"6'7""","7'1.25""",6.25
Jerami GrantPOR | PF,"6'6.5""","7'2.75""",8.25
Jeremiah Robinson-EarlNOP | PF,"6'7.75""","6'9.75""",2
Jeremy SochanSAS | PF,"6'8.5""","6'11.75""",3.25
Jericho SimsMIL | C,"6'10""","7'3""",5
Jett HowardORL | SF,"6'8""","6'9""",1
Jevon CarterCHI | PG,"6'0.25""","6'4.25""",4
Jimmy Butler IIIGSW | SF,"6'6""","6'7.5""",1.5
Jock LandaleHOU | C,"6'11""","7'2""",3
Joe Harris | SG,"6'4.75""","6'6""",1.25
Joe InglesMIN | SF,"6'7.75""","6'10.25""",2.5
Joel EmbiidPHI | C,"6'11.75""","7'5""",5.25
John CollinsUTA | PF,"6'8.25""","6'11.25""",3
John KoncharMEM | SF,"6'4.75""","6'8""",3.25
Johnny Davis | SG,"6'4.25""","6'8.5""",4.25
Johnny FurphyIND | SF,"6'7.5""","6'8""",0.5
Jonas ValančiūnasSAC | C,"6'11""","7'5""",6
Jonathan IsaacORL | PF,"6'10.5""","7'1""",2.5
Jonathan KumingaGSW | SF,"6'7""","6'11.25""",4.25
Jonathan MogboTOR | PF,"6'6.25""","7'2""",7.75
Jordan ClarksonUTA | SG,"6'3.25""","6'8""",4.75
Jordan HawkinsNOP | SG,"6'4.25""","6'6.75""",2.5
Jordan McLaughlinSAS | PG,"5'11""","6'4.5""",5.5
Jordan MillerLAC | SF,"6'4.5""","6'11.75""",7.25
Jordan Nwora | PF,"6'5.75""","6'10.25""",4.5
Jordan PooleWAS | SG,"6'3.5""","6'6.75""",3.25
Jordan WalshBOS | SF,"6'5.75""","7'1.75""",8
Jose AlvaradoNOP | PG,"5'11""","6'1""",2
Josh ChristopherMIA | SG,"6'3.25""","6'9.25""",6
Josh GiddeyCHI | SF,"6'8""","6'7.5""",-0.5
Josh GreenCHA | SG,"6'4.5""","6'9.75""",5.25
Josh HartNYK | SF,"6'3.75""","6'8.25""",4.5
Josh MinottMIN | PF,"6'7.5""","6'11.75""",4.25
Josh OkogieCHA | SF,"6'3""","7'0""",9
Josh Richardson | SF,"6'5""","6'10""",5
Joshua Primo | SG,"6'4""","6'9.25""",5.25
Jrue HolidayBOS | PG,"6'3.25""","6'7""",3.75
Julian ChampagnieSAS | SF,"6'7""","6'10""",3
Julian PhillipsCHI | SF,"6'6.75""","6'11.5""",4.75
Julian StrawtherDEN | SF,"6'6""","6'9.25""",3.25
Julius RandleMIN | PF,"6'7.75""","7'0""",4.25
Justin Holiday | SG,"6'5.5""","6'11.5""",6
Jusuf NurkićCHA | C,"6'11.5""","7'2""",2.5
