"Event","NOC","Number of Athletes","total_medals","total_points"
"Rowing Women's Double Sculls","CZE",2,4,8
"Rowing Women's Double Sculls","DEN",2,39.5,72
"Rowing Women's Double Sculls","EUN",2,2,2
"Rowing Women's Double Sculls","FRA",2,59.5,103.5
"Rowing Women's Double Sculls","GBR",2,135,303.5
"Rowing Women's Double Sculls","GDR",2,92,243
"Rowing Women's Double Sculls","GER",2,118,255
"Rowing Women's Double Sculls","GRE",2,27.5,58
"Rowing Women's Double Sculls","HUN",2,4,6
"Rowing Women's Double Sculls","ITA",2,91.5,176
"Rowing Women's Double Sculls","KOR",2,0,0
"Rowing Women's Double Sculls","LAT",2,0,0
"Rowing Women's Double Sculls","LTU",2,3,4
"Rowing Women's Double Sculls","MEX",2,0,0
"Rowing Women's Double Sculls","NED",2,69.5,117
"Rowing Women's Double Sculls","NOR",2,30.5,43.5
"Rowing Women's Double Sculls","NZL",2,34.5,69.5
"Rowing Women's Double Sculls","POL",2,26,40.5
"Rowing Women's Double Sculls","ROU",2,87.5,181.5
"Rowing Women's Double Sculls","RUS",2,9,13
"Rowing Women's Double Sculls","SUI",2,37.5,75
"Rowing Women's Double Sculls","SWE",2,5,10
"Rowing Women's Double Sculls","TCH",2,22.5,31.5
"Rowing Women's Double Sculls","UKR",2,6,12
"Rowing Women's Double Sculls","URS",2,77.5,144
"Rowing Women's Double Sculls","USA",2,187.5,424
"Rowing Women's Lightweight Double Sculls","ARG",2,3,5.5
"Rowing Women's Lightweight Double Sculls","AUS",2,72,122
"Rowing Women's Lightweight Double Sculls","AUT",2,4.5,7
"Rowing Women's Lightweight Double Sculls","BRA",2,0,0
"Rowing Women's Lightweight Double Sculls","BUL",2,17,28.5
"Rowing Women's Lightweight Double Sculls","CAN",2,101.5,196.5
"Rowing Women's Lightweight Double Sculls","CHI",2,0,0
"Rowing Women's Lightweight Double Sculls","CHN",2,14.5,24
"Rowing Women's Lightweight Double Sculls","CUB",2,0,0
"Rowing Women's Lightweight Double Sculls","DEN",2,39.5,72
"Rowing Women's Lightweight Double Sculls","EGY",2,0,0
"Rowing Women's Lightweight Double Sculls","ESP",2,1,2
"Rowing Women's Lightweight Double Sculls","FIN",2,8,12
"Rowing Women's Lightweight Double Sculls","FRA",2,59.5,103.5
"Rowing Women's Lightweight Double Sculls","GBR",2,135,303.5
"Rowing Women's Lightweight Double Sculls","GER",2,118,255
"Rowing Women's Lightweight Double Sculls","GRE",2,27.5,58
"Rowing Women's Lightweight Double Sculls","HKG",2,0,0
"Rowing Women's Lightweight Double Sculls","HUN",2,4,6
"Rowing Women's Lightweight Double Sculls","IRL",2,1,2
"Rowing Women's Lightweight Double Sculls","ITA",2,91.5,176
"Rowing Women's Lightweight Double Sculls","JPN",2,0,0
"Rowing Women's Lightweight Double Sculls","KAZ",2,0,0
"Rowing Women's Lightweight Double Sculls","KOR",2,0,0
"Rowing Women's Lightweight Double Sculls","MEX",2,0,0
"Rowing Women's Lightweight Double Sculls","NED",2,69.5,117
"Rowing Women's Lightweight Double Sculls","NZL",2,34.5,69.5
"Rowing Women's Lightweight Double Sculls","POL",2,26,40.5
"Rowing Women's Lightweight Double Sculls","ROU",2,87.5,181.5
"Rowing Women's Lightweight Double Sculls","RSA",2,4,9
"Rowing Women's Lightweight Double Sculls","SUI",2,37.5,75
"Rowing Women's Lightweight Double Sculls","SWE",2,5,10
"Rowing Women's Lightweight Double Sculls","TUN",2,0,0
"Rowing Women's Lightweight Double Sculls","USA",2,187.5,424
"Rowing Women's Lightweight Double Sculls","VIE",2,0,0
"Rowing Women's Quadruple Sculls","AUS",4,36,61
"Rowing Women's Quadruple Sculls","BEL",4,7.5,14
"Rowing Women's Quadruple Sculls","BLR",4,4.25,5.5
"Rowing Women's Quadruple Sculls","BUL",4,8.5,14.25
"Rowing Women's Quadruple Sculls","CAN",4,50.75,98.25
"Rowing Women's Quadruple Sculls","CHN",4,7.25,12
"Rowing Women's Quadruple Sculls","DEN",4,19.75,36
"Rowing Women's Quadruple Sculls","EUN",4,1,1
"Rowing Women's Quadruple Sculls","FRA",4,29.75,51.75
"Rowing Women's Quadruple Sculls","GBR",4,67.5,151.75
"Rowing Women's Quadruple Sculls","GDR",4,46,121.5
"Rowing Women's Quadruple Sculls","GER",4,59,127.5
"Rowing Women's Quadruple Sculls","HUN",4,2,3
"Rowing Women's Quadruple Sculls","NED",4,34.75,58.5
"Rowing Women's Quadruple Sculls","NZL",4,17.25,34.75
"Rowing Women's Quadruple Sculls","POL",4,13,20.25
"Rowing Women's Quadruple Sculls","ROU",4,43.75,90.75
"Rowing Women's Quadruple Sculls","RUS",4,4.5,6.5
"Rowing Women's Quadruple Sculls","TCH",4,11.25,15.75
"Rowing Women's Quadruple Sculls","UKR",4,3,6
"Rowing Women's Quadruple Sculls","URS",4,38.75,72
"Rowing Women's Quadruple Sculls","USA",4,93.75,212
"Rowing Women's Single Sculls","ALG",1,0,0
"Rowing Women's Single Sculls","ARG",1,6,11
"Rowing Women's Single Sculls","AUS",1,144,244
"Rowing Women's Single Sculls","AUT",1,9,14
"Rowing Women's Single Sculls","AZE",1,0,0
"Rowing Women's Single Sculls","BAH",1,0,0
"Rowing Women's Single Sculls","BEL",1,30,56
"Rowing Women's Single Sculls","BER",1,0,0
"Rowing Women's Single Sculls","BLR",1,17,22
"Rowing Women's Single Sculls","BRA",1,0,0
"Rowing Women's Single Sculls","BUL",1,34,57
"Rowing Women's Single Sculls","CAN",1,203,393
"Rowing Women's Single Sculls","CHI",1,0,0
"Rowing Women's Single Sculls","CHN",1,29,48
"Rowing Women's Single Sculls","CUB",1,0,0
"Rowing Women's Single Sculls","CZE",1,8,16
"Rowing Women's Single Sculls","DEN",1,79,144
"Rowing Women's Single Sculls","EGY",1,0,0
"Rowing Women's Single Sculls","ESA",1,0,0
"Rowing Women's Single Sculls","ESP",1,2,4
"Rowing Women's Single Sculls","FIN",1,16,24
"Rowing Women's Single Sculls","FRA",1,119,207
"Rowing Women's Single Sculls","FRG",1,51,111
"Rowing Women's Single Sculls","GBR",1,270,607
"Rowing Women's Single Sculls","GDR",1,184,486
"Rowing Women's Single Sculls","GER",1,236,510
"Rowing Women's Single Sculls","GRE",1,55,116
"Rowing Women's Single Sculls","HKG",1,0,0
"Rowing Women's Single Sculls","HUN",1,8,12
"Rowing Women's Single Sculls","INA",1,0,0
"Rowing Women's Single Sculls","IRI",1,0,0
"Rowing Women's Single Sculls","IRL",1,2,4
"Rowing Women's Single Sculls","ITA",1,183,352
"Rowing Women's Single Sculls","JPN",1,0,0
"Rowing Women's Single Sculls","KAZ",1,0,0
"Rowing Women's Single Sculls","KOR",1,0,0
"Rowing Women's Single Sculls","LTU",1,6,8
"Rowing Women's Single Sculls","MEX",1,0,0
"Rowing Women's Single Sculls","MYA",1,0,0
"Rowing Women's Single Sculls","NED",1,139,234
"Rowing Women's Single Sculls","NGR",1,0,0
"Rowing Women's Single Sculls","NOR",1,61,87
"Rowing Women's Single Sculls","NZL",1,69,139
"Rowing Women's Single Sculls","PAR",1,0,0
"Rowing Women's Single Sculls","PER",1,0,0
"Rowing Women's Single Sculls","POL",1,52,81
"Rowing Women's Single Sculls","ROU",1,175,363
"Rowing Women's Single Sculls","RSA",1,8,18
"Rowing Women's Single Sculls","RUS",1,18,26
"Rowing Women's Single Sculls","SGP",1,0,0
"Rowing Women's Single Sculls","SRB",1,0,0
"Rowing Women's Single Sculls","SUI",1,75,150
"Rowing Women's Single Sculls","SWE",1,10,20
"Rowing Women's Single Sculls","TCH",1,45,63
"Rowing Women's Single Sculls","THA",1,0,0
"Rowing Women's Single Sculls","TOG",1,0,0
"Rowing Women's Single Sculls","TPE",1,0,0
"Rowing Women's Single Sculls","TTO",1,0,0
"Rowing Women's Single Sculls","TUN",1,0,0
"Rowing Women's Single Sculls","URS",1,155,288
"Rowing Women's Single Sculls","USA",1,375,848
"Rowing Women's Single Sculls","UZB",1,0,0
"Rowing Women's Single Sculls","ZIM",1,0,0
