Player,Team,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Emma Nedley,Penn,0.333,0.405,0.667,1.072,10,37,33,6,11,2,0,3,7,1,3,3,5,0
Emma Raabe,Missouri,0.269,0.4,0.552,0.952,56,166,134,20,36,11,0,9,33,2,28,38,0,0
Emma Callie Delafield,Northwestern State,0.331,0.437,0.449,0.886,42,143,118,31,39,8,0,2,22,7,16,20,5,0
Emme Martinez,Boston College,0.21,0.314,0.235,0.549,44,138,119,4,25,3,0,0,10,0,18,5,0,0
Emme Olson,Illinois State,0.318,0.392,0.488,0.88,41,148,129,22,41,8,1,4,28,3,14,15,4,0
Erica Barley,Bryant,0.327,0.417,0.558,0.974,22,60,52,10,17,6,0,2,15,0,8,18,0,0
Erica Robles,Rhode Island,0.233,0.321,0.438,0.76,27,84,73,9,17,3,0,4,13,1,9,16,0,0
Erika Bell,Robert Morris,0.31,0.401,0.44,0.841,41,137,116,16,36,6,0,3,19,2,17,15,1,0
Erika Cooper,Charleston Southern,0.265,0.324,0.368,0.692,31,76,68,8,18,2,1,1,3,0,6,16,2,0
Erika Coreth,Monmouth,0.359,0.459,0.553,1.012,34,122,103,24,37,5,0,5,27,4,15,14,1,0
Erin Bengston,Holy Cross,0.299,0.389,0.468,0.856,28,91,77,5,23,7,0,2,18,1,11,12,0,0
Erin Hufford,Canisius,0.359,0.396,0.379,0.775,29,112,103,19,37,0,1,0,14,0,7,12,17,2
Eryn Gould,Evansville,0.418,0.566,0.762,1.329,44,166,122,38,51,7,1,11,32,8,35,25,11,5
Eternal Fuller,North Carolina A&T,0.213,0.33,0.227,0.556,34,92,75,14,16,1,0,0,4,2,11,13,10,1
Evelyn Loyola,Bowling Green,0.242,0.346,0.341,0.687,52,159,132,8,32,1,0,4,20,0,22,29,0,0
Fa Leilua,Mississippi State,0.343,0.482,0.728,1.21,60,220,169,41,58,5,0,20,48,1,47,24,4,1
Faith Alexander,Kennesaw State,0.246,0.288,0.323,0.611,54,140,130,20,32,4,3,0,13,0,8,18,13,0
Faith Hegh,UAB,0.319,0.373,0.464,0.836,48,153,138,30,44,12,1,2,20,5,8,9,6,1
Faith Hensley,Ball State,0.39,0.478,0.662,1.14,53,183,154,38,60,17,2,7,51,4,23,16,11,3
Faith Hoe,Weber State,0.347,0.438,0.548,0.987,42,146,124,36,43,5,4,4,22,9,12,17,1,0
Faith Shirley,Georgia Southern,0.304,0.347,0.594,0.941,41,147,138,22,42,13,0,9,25,2,7,20,0,0
Faith Weber,George Washington,0.345,0.417,0.691,1.107,48,157,139,29,48,7,1,13,44,4,13,27,5,0
Faith Willis,Kansas City,0.319,0.434,0.472,0.906,54,175,144,36,46,6,2,4,21,8,21,35,11,3
Farley Callaghan,FGCU,0.174,0.234,0.209,0.443,40,95,86,1,15,3,0,0,4,1,6,11,0,0
Fayth Davis,Florida Atlantic,0.178,0.257,0.278,0.535,37,103,90,10,16,4,1,1,9,2,8,32,0,0
Fiona Girardot,Wisconsin,0.324,0.462,0.533,0.995,38,133,105,20,34,12,2,2,16,5,22,22,3,4
Frankie Hammoude,Oregon State,0.36,0.456,0.765,1.221,46,160,136,24,49,4,0,17,41,3,21,26,0,0
Frankie Tago,Idaho State,0.311,0.455,0.509,0.965,39,135,106,12,33,7,1,4,21,4,24,3,0,0
Gabbi Jenkins,Indiana,0.34,0.398,0.556,0.953,44,164,144,31,49,18,2,3,24,4,11,16,24,8
Gabbie Kowalik,Saint Louis,0.395,0.475,0.798,1.273,39,139,119,35,47,10,4,10,36,4,15,18,10,2
Gabby Buruato,Appalachian State,0.326,0.331,0.426,0.757,46,143,141,22,46,8,3,0,17,0,1,22,5,1
Gabby O'Riley,DePaul,0.25,0.393,0.412,0.805,29,84,68,9,17,2,0,3,11,7,9,15,0,0
Gabby Teran,Syracuse,0.24,0.364,0.424,0.788,44,155,125,21,30,8,0,5,16,20,5,17,8,1
Gabby Vaughan,Norfolk State,0.324,0.387,0.556,0.942,39,120,108,17,35,6,2,5,23,1,10,14,2,0
Gabriella Conca,St. John's,0.213,0.29,0.377,0.667,27,69,61,11,13,1,0,3,9,0,7,17,0,0
Gabriella Hessenthaler,UNC Wilmington,0.266,0.329,0.305,0.633,38,140,128,28,34,0,1,1,6,1,11,20,14,2
Gabriella Jimenez,Utah State,0.301,0.353,0.545,0.898,44,156,143,28,43,3,1,10,27,1,11,32,0,0
Gabriella Mazzotta,Manhattan,0.252,0.308,0.308,0.616,36,119,107,17,27,3,0,1,7,0,9,10,11,1
Gabrielle Callaway,Rutgers,0.278,0.34,0.444,0.784,44,147,133,19,37,7,0,5,17,4,9,17,0,0
Gabrielle Fonseca,Prairie View,0.231,0.324,0.354,0.678,26,77,65,11,15,2,0,2,10,2,7,12,5,0
Gaby Garcia,Stephen F. Austin,0.4,0.45,0.645,1.095,47,171,155,35,62,14,0,8,40,6,9,15,2,1
Georgia Clark,LSU,0.252,0.358,0.477,0.834,56,181,151,15,38,4,0,10,37,2,24,20,0,0
Gianna Boccagno,Boston College,0.172,0.291,0.333,0.624,42,111,93,9,16,3,0,4,11,11,5,38,0,0
Gianna Nicoletti,Grand Canyon,0.361,0.45,0.419,0.869,49,180,155,38,56,5,2,0,9,3,22,14,28,3
Gianna Randazza,Boston College,0.234,0.294,0.299,0.593,35,86,77,3,18,2,0,1,5,2,5,13,0,1
Gisele Tapia,Duke,0.275,0.328,0.419,0.747,56,190,167,23,46,5,2,5,31,2,12,19,5,2
Goose McGlaun,Baylor,0.307,0.371,0.487,0.857,50,171,150,29,46,10,1,5,26,0,17,23,4,0
Grace Cea,Youngstown State,0.259,0.275,0.302,0.577,51,144,139,11,36,6,0,0,23,1,2,15,2,0
Grace French,Bradley,0.177,0.244,0.291,0.535,36,86,79,7,14,3,0,2,11,0,7,13,1,0
Grace Gressly,Dayton,0.184,0.323,0.224,0.546,40,95,76,2,14,0,0,1,6,0,16,13,1,0
Grace Harvey,Lafayette,0.259,0.295,0.379,0.674,22,62,58,5,15,4,0,1,6,0,3,5,0,0
Grace Lyons,Oklahoma,0.389,0.495,0.713,1.208,60,209,167,62,65,12,0,14,52,9,27,14,8,0
Grace McGouldrick,Maine,0.211,0.221,0.237,0.458,26,77,76,6,16,0,1,0,2,0,1,24,5,1
Grace Messmer,Oregon State,0.276,0.317,0.328,0.645,41,125,116,11,32,6,0,0,12,0,7,17,0,1
Grace Perechinsky,St. Bonaventure,0.205,0.293,0.438,0.731,27,82,73,6,15,2,0,5,17,0,9,21,0,0
Grace Stansfield,Rider,0.262,0.344,0.298,0.641,30,98,84,9,22,3,0,0,9,1,10,6,0,1
Gracey Kruse,Chattanooga,0.218,0.279,0.366,0.646,37,112,101,11,22,12,0,1,4,3,6,17,0,2
Gracie Morton,Memphis,0.274,0.333,0.418,0.751,50,169,146,19,40,8,2,3,18,0,15,29,10,0
Gracyn Houmis,Towson,0.205,0.229,0.256,0.485,31,83,78,8,16,4,0,0,13,1,2,8,2,1
Grayson Radcliffe,Indiana,0.288,0.388,0.504,0.892,44,154,125,20,36,6,3,5,25,6,17,20,14,1
Greta L'Esperance,Bowling Green,0.373,0.408,0.405,0.814,53,197,185,35,69,4,1,0,9,0,11,26,25,3
Gretchen Bowie,St. John's,0.34,0.382,0.612,0.993,31,111,103,21,35,9,2,5,13,1,6,10,13,2
Haeli Bryson,Tennessee Tech,0.23,0.292,0.317,0.609,47,156,139,12,32,6,0,2,13,1,12,12,0,0
Haellie Gordon,George Mason,0.288,0.338,0.394,0.732,28,71,66,4,19,4,0,1,7,0,5,8,2,0
Hailee Jantorno,Marist,0.262,0.354,0.262,0.616,23,54,42,8,11,0,0,0,6,0,6,10,4,1
Hailey Arteaga,Seton Hall,0.3,0.378,0.4,0.778,27,90,80,10,24,5,0,1,13,0,10,5,0,0
Hailey Goins,Incarnate Word,0.171,0.238,0.224,0.462,38,92,76,1,13,4,0,0,4,2,5,16,1,0
Hailey Hoklotubbe,Rutgers,0.208,0.25,0.264,0.514,34,78,72,9,15,1,0,1,2,2,2,13,3,1
Hailey Jackson,Incarnate Word,0.243,0.36,0.365,0.724,33,90,74,12,18,4,1,1,10,7,7,19,1,0
Hailey MacKay,Texas State,0.29,0.391,0.469,0.859,53,171,145,16,42,8,0,6,26,1,23,25,0,0
Hailey Martin,Cal Poly,0.394,0.471,0.596,1.067,35,122,104,6,41,13,1,2,20,2,14,13,1,0
Hailey Pop,IUPUI,0.181,0.342,0.287,0.629,39,122,94,14,17,4,0,2,10,0,23,25,1,0
Hailey Tanori,New Mexico State,0.318,0.345,0.41,0.755,54,204,195,39,62,10,4,0,17,0,8,28,17,5
Haleigh Winter,Alabama A&M,0.222,0.26,0.306,0.565,27,78,72,10,16,3,0,1,11,1,3,2,1,0
Haley Bravo,Coppin State,0.295,0.34,0.364,0.704,31,94,88,10,26,4,1,0,6,0,6,10,0,0
Haley Burda,Nevada,0.293,0.36,0.424,0.785,35,115,99,12,29,4,0,3,23,1,10,13,3,2
Haley Cruse,Oregon,0.389,0.452,0.611,1.063,56,209,185,45,72,16,2,7,27,2,20,16,21,4
Haley Denning,Utah,0.391,0.395,0.453,0.848,55,200,192,46,75,2,5,0,8,0,2,21,31,5
Haley Dominique,Ball State,0.368,0.432,0.468,0.9,55,193,171,24,63,8,0,3,35,3,17,11,3,0
Haley Hanson,Sacramento State,0.229,0.257,0.248,0.504,36,109,105,10,24,2,0,0,2,0,4,9,7,6
Haley Hoogenraad,Michigan,0.193,0.287,0.261,0.548,44,111,88,13,17,1,1,1,9,1,11,27,4,1
Haley Lee,Texas A&M,0.423,0.536,0.949,1.485,55,194,156,42,66,7,0,25,51,3,35,21,3,0
Haley Mitchell,Eastern Illinois,0.341,0.427,0.652,1.078,46,157,132,18,45,2,0,13,36,9,13,20,0,0
Haley Morgan,Tulsa,0.311,0.472,0.415,0.887,39,144,106,33,33,5,0,2,17,23,11,13,9,0
Haley Morse,Texas A&M-Corpus Christi,0.324,0.425,0.438,0.863,40,129,105,12,34,6,0,2,26,1,19,13,1,0
Haley Strang,St. Bonaventure,0.247,0.256,0.376,0.632,28,87,85,9,21,2,0,3,9,1,0,29,0,0
Haley Taormina,George Mason,0.267,0.353,0.427,0.78,30,85,75,12,20,2,2,2,10,2,8,31,2,1
Haley Woolf,Evansville,0.267,0.305,0.467,0.771,39,129,120,15,32,7,1,5,20,2,5,36,1,0
Haley Wynn,Ball State,0.353,0.432,0.51,0.942,50,177,153,42,54,11,2,3,26,6,16,21,4,5
Halle Kisamore,Delaware,0.235,0.326,0.42,0.746,31,96,81,17,19,9,0,2,15,4,8,7,7,0
Halle Kyler,San Diego,0.212,0.236,0.271,0.507,38,101,85,9,18,0,1,1,10,0,3,10,8,3
Halle Morris,Utah,0.25,0.353,0.397,0.749,47,137,116,12,29,5,0,4,24,4,15,31,0,0
Hallie Hall,James Madison,0.213,0.344,0.333,0.678,39,91,75,15,16,3,0,2,13,2,13,14,0,0
Hanna Garber,Delaware,0.384,0.475,0.596,1.071,33,119,99,28,38,5,5,2,23,2,16,13,12,1
Hanna Krosky,Pacific,0.157,0.181,0.257,0.438,27,77,70,5,11,4,0,1,5,0,2,15,0,0
Hannah Adams,Florida,0.356,0.457,0.571,1.027,56,220,177,52,63,8,0,10,38,12,25,17,9,0
Hannah Borden,Southern Miss,0.247,0.377,0.467,0.844,53,183,150,15,37,6,0,9,21,7,25,25,0,0
Hannah Bunker,UMass,0.337,0.44,0.449,0.89,33,110,89,17,30,3,2,1,21,2,16,7,1,0
Hannah Carpenter,Lamar,0.325,0.407,0.433,0.84,49,140,120,11,39,5,1,2,14,3,15,25,2,1
Hannah Carson,Michigan,0.296,0.324,0.423,0.747,45,151,142,16,42,10,1,2,19,2,4,9,2,0
Hannah Chew,Saint Mary's (CA),0.265,0.396,0.325,0.721,32,101,83,6,22,2,0,1,11,3,15,8,0,0
Hannah Cravens,Eastern Illinois,0.283,0.393,0.551,0.945,46,151,127,27,36,11,1,7,35,0,23,22,1,0
Hannah Crumlish,Delaware State,0.225,0.231,0.258,0.489,31,96,89,3,20,3,0,0,9,0,1,14,2,0
Hannah DeSousa,Rhode Island,0.333,0.344,0.54,0.883,22,65,63,4,21,6,2,1,9,0,1,9,0,0
Hannah Eslick,George Washington,0.21,0.267,0.333,0.601,42,118,105,11,22,4,0,3,18,1,8,17,0,1
Hannah Hood,Evansville,0.19,0.269,0.238,0.507,43,122,105,16,20,5,0,0,12,2,10,22,12,0
Hannah Kincer,UNC Greensboro,0.234,0.388,0.57,0.958,40,136,107,20,25,6,0,10,24,2,25,27,0,1
Hannah Lutz,Princeton,0,0,0,0,3,8,8,NA,0,0,0,0,1,0,0,2,0,0
Hannah McEwen,Arkansas,0.318,0.476,0.512,0.988,44,168,129,41,41,10,0,5,16,4,35,14,1,0
Hannah Scheaffer,Sam Houston State,0.256,0.296,0.419,0.715,45,129,117,12,30,4,0,5,15,5,2,10,1,0
Hannah Walker,Drexel,0.278,0.365,0.444,0.81,36,105,90,13,25,6,0,3,24,2,11,12,1,0
HannahJo Peterson,BYU,0.296,0.373,0.568,0.941,53,187,162,40,48,10,2,10,41,9,12,34,8,1
Harley Stokes,North Alabama,0.25,0.358,0.57,0.928,38,121,100,24,25,3,1,9,25,2,16,30,3,1
Hatti Moore,Missouri,0.32,0.42,0.657,1.077,59,212,175,45,56,8,0,17,50,2,31,36,0,1
Haylee Bobos,Morgan State,0.286,0.426,0.5,0.926,39,123,98,15,28,9,0,4,21,1,23,11,0,0
Haylee Brinlee,McNeese,0.243,0.343,0.485,0.828,60,202,169,21,41,12,1,9,45,4,24,27,9,1
Hayleigh Galvan,Fresno State,0.3,0.404,0.425,0.829,45,152,120,15,36,6,0,3,25,8,15,29,0,0
Hayleigh Weissenbach,Chattanooga,0.32,0.405,0.515,0.92,38,123,103,19,33,7,2,3,23,2,14,3,2,0
Hayley Barbazon,Northwestern State,0.275,0.352,0.358,0.71,43,125,109,20,30,2,2,1,7,3,10,14,1,1
Heather Haberman,Niagara,0.371,0.415,0.567,0.982,30,109,97,12,36,7,0,4,22,0,8,13,1,0
Heather Hill,Southern Miss,0.222,0.278,0.333,0.612,47,159,144,12,32,7,0,3,13,1,11,23,1,0
Heaven Burton,Texas Tech,0.333,0.378,0.391,0.77,44,152,138,24,46,5,0,1,2,1,9,35,18,2
Heidi Jaquez,Houston Christian,0.362,0.456,0.491,0.947,39,142,116,28,42,9,0,2,15,3,17,15,1,1
Hollis Wivell,Connecticut,0.284,0.358,0.284,0.643,37,109,95,15,27,0,0,0,4,0,11,20,13,3
Holly Blaska,Miami (OH),0.373,0.453,0.675,1.127,49,149,126,46,47,13,2,7,38,5,15,19,14,0
Holly Bridgman,Drexel,0.314,0.469,0.457,0.926,33,97,70,20,22,4,0,2,21,3,20,12,3,0
Hunter Hand,Marist,0.242,0.277,0.242,0.519,25,71,62,5,15,0,0,0,4,0,3,11,1,0
Hunter Levesque,Pittsburgh,0.256,0.347,0.465,0.812,46,152,129,23,33,9,3,4,19,4,14,33,2,2
Huntyr Ava,BYU,0.309,0.4,0.588,0.988,49,161,136,16,42,5,0,11,40,2,20,21,2,0
Idalis Mendez,UTEP,0.41,0.5,0.676,1.176,37,126,105,21,43,8,1,6,19,7,12,19,2,1
Ilena Santos,UTEP,0.293,0.416,0.402,0.818,37,103,82,12,24,6,0,1,9,5,13,32,1,0
Imani Moore,Norfolk State,0.32,0.393,0.39,0.783,30,112,100,25,32,3,2,0,7,0,12,16,15,1
Imani Rochelle,Charlotte,0.258,0.338,0.333,0.672,42,136,120,20,31,4,1,1,17,2,13,22,4,3
India Wells,Grambling,0.314,0.377,0.329,0.705,24,81,70,19,22,1,0,0,4,0,7,8,17,0
Indya Smith,Saint Mary's (CA),0.33,0.378,0.44,0.819,37,121,109,16,36,9,0,1,12,1,8,19,1,2
Irie Siofele,Cal State Fullerton,0.336,0.468,0.467,0.935,50,155,122,23,41,10,0,2,17,5,26,16,3,0
Isabel Cargill,Idaho State,0.269,0.357,0.352,0.709,37,128,108,18,29,6,0,1,19,1,15,13,0,0
Isabel Gusman,Jackson State,0.302,0.378,0.448,0.826,33,111,96,20,29,6,1,2,18,5,8,22,1,0
Isabella Leon,UC Davis,0.35,0.415,0.504,0.92,34,130,117,20,41,12,0,2,15,1,12,11,8,2
Isabelle DeChiaro,Siena,0.396,0.508,0.573,1.081,34,120,96,18,38,8,0,3,23,2,21,9,2,0
Isis Taylor,Jackson State,0.207,0.298,0.326,0.624,33,104,92,9,19,6,1,1,15,0,12,17,0,0
Ivory Jones,Tennessee State,0.184,0.286,0.286,0.571,36,117,98,13,18,1,0,3,10,6,8,29,2,1
Ivy Davis,Tennessee,0.282,0.346,0.626,0.972,57,181,163,31,46,8,0,16,47,1,15,40,1,0
Izzy Nieblas,Maine,0.239,0.274,0.455,0.728,28,95,88,14,21,7,0,4,18,1,4,20,1,0
Jackie McKenna,Mississippi State,0.202,0.281,0.333,0.615,46,131,114,15,23,3,0,4,17,3,10,21,0,0
Jackie Napoli,Cal Poly,0.167,0.25,0.167,0.417,27,63,54,4,9,0,0,0,3,3,3,7,1,0
Jada Cody,UCF,0.324,0.412,0.5,0.912,61,216,182,44,59,11,0,7,28,5,23,11,9,1
Jada Santiago,UNC Wilmington,0.39,0.481,0.581,1.062,38,129,105,17,41,11,0,3,36,8,13,11,4,2
Jada Terry,Jacksonville State,0.342,0.374,0.627,1.001,48,172,158,26,54,10,1,11,43,0,10,15,4,1
Jade Dixon,Norfolk State,0.281,0.427,0.313,0.74,38,134,96,22,27,3,0,0,4,15,11,11,6,1
Jade Gortarez,UL Lafayette,0.284,0.345,0.475,0.82,59,205,183,35,52,11,0,8,37,1,17,16,15,3
Jade King,Delaware State,0.267,0.29,0.283,0.574,25,64,60,6,16,1,0,0,4,1,1,11,0,0
Jade Sinness,Troy,0.339,0.397,0.556,0.953,54,210,189,53,64,15,1,8,33,2,17,21,4,0
Jadyn DeWitte,South Dakota,0.252,0.308,0.402,0.71,42,118,107,11,27,5,1,3,21,4,5,24,1,0
Jadyn Erickson,UT Arlington,0.285,0.359,0.315,0.674,46,153,130,29,37,2,1,0,6,1,14,26,8,2
Jaelyn Baker,Delaware State,0.289,0.301,0.411,0.712,31,94,90,5,26,6,1,1,12,2,0,16,0,0
Jaelyn Vickery,Illinois,0.306,0.404,0.446,0.851,44,144,121,25,37,7,2,2,16,10,10,17,11,3
Jaelynn Chesson,Lehigh,0.38,0.456,0.75,1.206,34,125,108,24,41,16,0,8,50,2,14,12,0,0
Jaida Speth,IUPUI,0.272,0.287,0.312,0.599,44,129,125,11,34,5,0,0,8,0,3,17,2,0
Jaiden Fields,Georgia,0.315,0.348,0.546,0.894,43,115,108,18,34,2,1,7,22,3,3,15,0,0
Jaiden Tweed,Presbyterian,0.225,0.226,0.425,0.651,30,93,80,7,18,1,0,5,13,0,1,22,4,1
Jaimie Hoover,Florida,0.224,0.348,0.321,0.668,55,165,134,22,30,1,0,4,24,5,22,40,7,0
Jaina Westphal,Valparaiso,0.233,0.293,0.344,0.637,36,102,90,8,21,1,3,1,4,1,7,23,8,0
Jamaica Flowers,Alabama State,0.237,0.29,0.299,0.589,42,109,97,14,23,6,0,0,19,1,7,22,9,1
Jameson Kavel,Duke,0.32,0.395,0.461,0.856,56,202,178,41,57,13,0,4,33,1,21,19,20,2
Jamie Squires,Oakland,0.284,0.384,0.483,0.867,42,140,116,17,33,8,0,5,23,0,20,15,5,4
Jamie White,Omaha,0.269,0.361,0.415,0.777,48,156,130,17,35,4,0,5,25,7,14,16,0,1
Jana Johns,Oklahoma,0.29,0.451,0.621,1.072,56,163,124,48,36,5,0,12,40,18,19,23,7,1
Janae Barracato,Seton Hall,0.25,0.304,0.385,0.688,32,112,104,17,26,9,1,1,6,3,5,9,1,1
Janae Hogg,Ball State,0.311,0.424,0.504,0.928,52,166,135,19,42,8,0,6,31,5,23,13,0,0
Janae Jefferson,Texas,0.446,0.495,0.595,1.09,51,189,168,49,75,8,1,5,27,1,16,6,14,1
Janel Gamache,UNC Wilmington,0.391,0.45,0.626,1.076,38,131,115,26,45,10,1,5,31,1,13,23,1,1
Janelle Meono,Arizona,0.439,0.483,0.518,1.001,51,180,164,45,72,8,1,1,9,0,14,16,12,1
Janessa Lozano,San Jose State,0.279,0.408,0.41,0.818,25,76,61,9,17,2,0,2,7,2,12,15,2,0
Jasie Roberts,Houston Christian,0.336,0.382,0.552,0.934,39,137,125,17,42,8,2,5,29,2,8,13,0,0
Jasmine Gray,Maine,0.304,0.325,0.43,0.756,28,83,79,13,24,4,0,2,8,0,3,6,0,0
Jasmine Melgoza,Delaware State,0.265,0.308,0.325,0.633,25,92,83,13,22,5,0,0,9,2,4,9,1,0
Jasmine Palmer,UNC Greensboro,0.306,0.442,0.556,0.998,50,181,144,33,44,9,0,9,28,11,25,13,0,0
Jaxie Klucewich,Montana,0.342,0.369,0.35,0.719,46,123,117,22,40,1,0,0,7,1,4,9,8,3
Jaycee Ruberti,Hofstra,0.38,0.441,0.59,1.031,32,119,100,26,38,8,2,3,35,1,13,6,13,1
Jayda Alaan,Saint Mary's (CA),0.254,0.309,0.325,0.634,36,126,114,12,29,6,1,0,11,3,6,14,1,0
Jayden Mount,UL Monroe,0.333,0.42,0.507,0.926,49,176,150,32,50,9,1,5,24,5,18,7,7,4
Jaylon Davis,Mississippi Valley,0.274,0.395,0.565,0.959,22,77,62,16,17,7,1,3,15,5,8,12,2,2
Jayme Bailey,Virginia Tech,0.302,0.346,0.568,0.914,52,182,162,32,49,13,3,8,42,7,7,19,2,0
Jaymi Steward,Cal State Northridge,0.282,0.402,0.592,0.994,26,88,71,12,20,3,2,5,15,4,11,13,3,2
Jazmine Esparza,UCF,0.349,0.398,0.602,1,59,186,166,28,58,15,0,9,45,2,12,21,4,0
Jazmine Hill,Arizona State,0.344,0.414,0.662,1.076,49,171,151,43,52,14,2,10,40,2,16,36,8,3
Jazmyn Stokes,Bucknell,0.219,0.265,0.313,0.577,26,71,64,3,14,3,0,1,4,2,2,10,1,0
Jazzmaine Hammond,Norfolk State,0.313,0.358,0.469,0.827,31,106,96,19,30,5,2,2,17,0,8,12,26,4
Jen Horita,Boston University,0.452,0.49,0.527,1.017,38,107,93,20,42,5,1,0,21,0,7,8,8,3
Jen Krizka,Oakland,0.316,0.387,0.481,0.868,43,150,133,11,42,10,0,4,39,3,13,14,2,2
Jenae Wash,Michigan State,0.27,0.349,0.478,0.827,40,129,115,12,31,5,5,3,17,4,10,28,0,1
Jenna Cone,George Washington,0.418,0.523,0.887,1.409,48,176,141,42,59,15,0,17,51,7,26,6,1,1
Jenna Helberg,College of Charleston,0.3,0.406,0.363,0.769,31,97,80,6,24,2,0,1,9,3,12,9,0,0
Jenna Lis,Evansville,0.262,0.374,0.408,0.782,42,125,103,7,27,9,0,2,16,2,17,18,0,0
Jenna O'Hair,Northern Kentucky,0.231,0.351,0.308,0.658,31,86,65,7,15,3,1,0,6,2,10,12,6,1
Jenna Olszewski,UAB,0.323,0.357,0.509,0.866,49,171,161,25,52,11,5,3,26,3,6,10,8,3
Jenna Richmond,Buffalo,0.173,0.252,0.255,0.507,52,125,110,10,19,3,0,2,16,1,11,37,1,0
Jenna Wacaster,Gardner-Webb,0.143,0.28,0.143,0.423,26,77,63,4,9,0,0,0,0,3,9,16,0,0
Jenna Wildeman,Central Arkansas,0.39,0.435,0.429,0.864,56,197,177,43,69,7,0,0,16,1,13,27,56,3
Jennah Speth,IUPUI,0.268,0.393,0.48,0.873,44,153,123,19,33,8,0,6,18,0,26,36,3,2
Jenny Jansen,Southern Illinois,0.319,0.421,0.538,0.958,53,195,160,30,51,8,0,9,47,0,31,18,10,0
Jensen Striegel,Murray State,0.269,0.335,0.301,0.637,51,175,156,26,42,3,1,0,5,1,15,17,21,3
Jess Hom,Bucknell,0.205,0.3,0.227,0.527,30,101,88,15,18,2,0,0,2,0,12,15,3,1
Jessica Chilcott,Iona,0.362,0.473,0.771,1.245,34,131,105,28,38,13,0,10,25,2,22,24,2,0
Jessica Cothern,DePaul,0.373,0.458,0.618,1.075,36,120,102,16,38,7,0,6,22,0,16,13,0,0
Jessica Fehr,Evansville,0.318,0.411,0.482,0.893,39,130,110,18,35,3,3,3,17,2,16,15,2,0
Jessica Gaughan,Saint Joseph's,0.263,0.326,0.331,0.656,44,133,118,10,31,8,0,0,16,1,11,12,0,0
Jessica Linquist,George Washington,0.355,0.527,0.601,1.128,48,188,138,53,49,16,0,6,34,10,40,11,4,0
Jessica Mabrey,Pacific,0.237,0.333,0.355,0.689,28,94,76,9,18,3,0,2,11,4,7,11,1,0
Jessica McAlister,Montana,0.337,0.402,0.469,0.871,43,116,98,15,33,4,0,3,19,7,5,6,0,0
Jessica Puk,Ole Miss,0.243,0.403,0.378,0.781,58,200,148,32,36,8,0,4,32,14,29,22,2,0
Jessica Rivera,Florida International,0.297,0.361,0.523,0.885,40,145,128,28,38,5,0,8,30,0,14,15,7,3
Jessica Tomaso,Providence,0.281,0.431,0.509,0.939,22,72,57,10,16,1,0,4,9,2,13,14,0,1
Jessie Harper,Arizona,0.327,0.394,0.684,1.078,56,194,171,43,56,11,1,16,49,1,19,35,1,0
Jessie Lowery,Tennessee Tech,0.276,0.302,0.393,0.694,47,171,163,20,45,7,0,4,20,1,5,20,1,2
Jessie Munson,Oakland,0.235,0.241,0.265,0.506,43,140,132,19,31,2,1,0,17,0,2,10,12,1
Jessie Nagel,Holy Cross,0.216,0.266,0.378,0.644,25,79,74,9,16,3,0,3,7,1,4,14,0,0
Jessie Rising,Manhattan,0.253,0.311,0.284,0.595,37,105,95,9,24,3,0,0,7,0,8,26,2,1
Jil Poullard,McNeese,0.28,0.343,0.39,0.733,55,185,164,33,46,4,1,4,20,3,13,23,21,3
Jillian Celis,San Diego State,0.312,0.338,0.447,0.785,44,148,141,20,44,13,0,2,25,0,6,35,4,1
Jillian Figueroa,San Jose State,0.19,0.329,0.286,0.615,25,78,63,12,12,4,1,0,2,2,11,26,3,0
Jocelyn Alo,Oklahoma,0.475,0.566,1.109,1.676,60,226,183,71,87,12,1,34,89,3,38,16,3,0
Jocelyn Bennett,North Carolina A&T,0.233,0.283,0.326,0.608,34,93,86,4,20,5,0,1,14,1,5,19,2,0
Jocelyn Carrillo,South Dakota State,0.418,0.49,0.813,1.304,50,153,134,36,56,9,4,12,39,2,17,20,6,0
Jocelyn Kirk,North Dakota,0.232,0.29,0.338,0.628,50,157,142,10,33,7,1,2,14,6,6,41,9,1
Jocelynn De La Cruz,Middle Tennessee,0.303,0.343,0.371,0.714,41,141,132,8,40,6,0,1,10,1,7,21,0,0
Jocylyn Vidal,San Jose State,0.213,0.27,0.325,0.595,32,91,80,5,17,3,0,2,11,1,6,23,0,1
Johneisha Rowe,FGCU,0.336,0.374,0.349,0.724,44,156,146,36,49,0,1,0,6,4,5,23,31,1
Jolie Readeaux,UAB,0.294,0.373,0.385,0.758,44,127,109,12,32,4,0,2,16,6,9,7,5,2
Jonah Cunnigan,Delaware State,0.306,0.32,0.388,0.708,31,101,98,20,30,2,3,0,6,0,2,13,4,1
Jordan Dickerson,Tarleton State,0.274,0.324,0.363,0.687,51,152,135,16,37,3,0,3,15,0,11,27,1,0
Jordan Fabian,South Carolina,0.258,0.346,0.47,0.816,49,161,132,18,34,6,2,6,31,12,8,33,1,0
Jordan Frank,Saint Francis,0.275,0.338,0.406,0.744,50,157,138,23,38,6,0,4,24,5,8,13,8,1
Jordan Jenkins,Northern Kentucky,0.212,0.287,0.247,0.534,34,97,85,4,18,3,0,0,7,1,8,10,0,0
