Player,Team,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Danielle Castleberry,Mercer,0.333,0.378,0.447,0.825,47,160,141,22,47,10,0,2,27,9,3,6,3,0
Danielle de Ruiter,North Alabama,0.19,0.261,0.238,0.499,38,99,84,9,16,4,0,0,7,1,7,23,1,0
Danielle Diaz,Stetson,0.225,0.319,0.263,0.581,27,92,80,3,18,3,0,0,8,0,11,14,0,0
Danielle Rocheleau,Hartford,0.426,0.453,0.689,1.142,19,64,61,10,26,7,0,3,11,1,2,6,1,1
Danielle Serna,Colorado State,0.27,0.336,0.365,0.701,36,128,115,14,31,11,0,0,14,1,11,21,0,1
Daphne Plummer,Missouri State,0.423,0.479,0.592,1.072,41,148,130,35,55,6,5,2,13,2,13,13,16,2
Darby Pandolfo,Seton Hall,0.311,0.42,0.667,1.086,32,112,90,22,28,8,0,8,21,0,19,13,1,1
Darby Trull,Virginia Tech,0.246,0.312,0.341,0.653,50,143,126,21,31,7,1,1,19,0,13,11,7,0
Darian Frost,Missouri State,0.268,0.351,0.381,0.733,38,113,97,9,26,6,1,1,20,0,13,30,2,0
Dayna Hokanson,Southern Utah,0.316,0.4,0.411,0.811,50,184,158,41,50,9,0,2,22,12,10,20,1,3
Dayna Kennedy,Illinois State,0.179,0.313,0.33,0.643,40,133,106,17,19,2,1,4,20,3,19,26,5,0
Deangie Jimenez,Monmouth,0.242,0.33,0.424,0.755,34,113,99,18,24,6,0,4,18,3,10,18,2,0
Deja Davis,Duke,0.389,0.444,0.653,1.097,56,190,167,39,65,9,7,7,28,3,15,17,14,4
Dejah Mulipola,Arizona,0.383,0.516,0.859,1.375,56,193,149,53,57,8,0,21,63,8,34,31,0,0
Delainey Fenoglio,Kansas City,0.259,0.331,0.41,0.741,52,157,139,8,36,3,0,6,23,2,14,15,1,0
Delaney Cumbie,UNC Greensboro,0.232,0.464,0.512,0.976,49,184,125,35,29,11,0,8,23,12,42,20,0,0
Delaney Rummell,Illinois,0.314,0.336,0.496,0.832,44,149,137,14,43,13,0,4,33,1,5,18,6,0
Delaney Smith,Memphis,0.235,0.283,0.243,0.525,50,147,136,13,32,1,0,0,7,1,8,27,17,0
Demi Slater,Mississippi Valley,0.196,0.275,0.217,0.492,20,52,46,6,9,1,0,0,2,0,5,17,0,0
DeNae Chatman,Arizona State,0.264,0.373,0.585,0.958,44,128,106,25,28,5,1,9,27,0,19,24,0,0
Denali Schappacher,UCF,0.35,0.393,0.401,0.794,59,173,157,30,55,4,2,0,10,0,11,17,16,3
Denise Armendariz,UNLV,0.352,0.413,0.565,0.978,38,122,108,16,38,14,0,3,25,0,12,21,0,0
Denisha Megginson,Norfolk State,0.305,0.391,0.516,0.907,37,110,95,14,29,6,1,4,21,2,12,11,4,1
Desirea Lindsey,Alcorn State,0.203,0.306,0.243,0.549,29,86,74,14,15,1,1,0,5,2,9,13,4,0
Desiree Moreno,Loyola Marymount,0.236,0.286,0.39,0.676,40,133,123,10,29,5,1,4,19,1,8,31,0,0
Destini Brown,Southern Miss,0.273,0.417,0.489,0.906,49,176,139,43,38,6,3,6,16,2,33,24,35,1
Destiny Freeman,Radford,0.294,0.354,0.506,0.861,54,177,160,23,47,7,3,7,21,4,11,25,14,5
Destiny Hernandez,Southern,0.192,0.28,0.233,0.513,30,84,73,5,14,0,0,1,9,2,7,15,0,0
Destiny Martinez,Longwood,0.192,0.292,0.28,0.572,53,148,125,16,24,6,1,1,12,6,12,32,21,2
Destiny Middleton,North Carolina,0.233,0.258,0.325,0.583,39,126,120,20,28,4,2,1,6,1,3,21,5,2
Devon Casazza,Connecticut,0.229,0.317,0.514,0.831,41,133,109,11,25,4,0,9,30,1,14,28,1,0
Devyn Flaherty,Florida State,0.281,0.365,0.405,0.77,63,211,185,39,52,8,0,5,22,1,24,39,19,0
Devyn Losco,Hofstra,0.364,0.38,0.534,0.915,31,95,88,22,32,5,2,2,12,0,3,17,5,0
Diana Murtha,Omaha,0.247,0.293,0.403,0.695,37,83,77,6,19,6,0,2,12,0,5,16,0,0
Djhane Valido,Boston College,0.183,0.303,0.215,0.518,41,110,93,9,17,3,0,0,6,1,15,26,1,0
Dominique Mannerino,Charleston Southern,0.188,0.239,0.235,0.474,31,94,85,8,16,4,0,0,10,1,5,15,1,0
Donna Friedman,Virginia,0.227,0.296,0.359,0.655,44,143,128,12,29,8,0,3,13,2,11,22,0,1
Drew Dudley,Austin Peay,0.293,0.333,0.444,0.778,35,108,99,10,29,3,0,4,20,1,6,14,1,0
EC Taylor,Pittsburgh,0.315,0.357,0.364,0.721,43,154,143,28,45,5,1,0,16,3,7,31,27,4
EJ Bankson,George Mason,0.259,0.294,0.429,0.723,35,119,112,16,29,9,2,2,15,0,6,25,3,1
Elena Gonzalez,Rider,0.367,0.411,0.533,0.944,37,130,120,26,44,9,1,3,33,0,9,13,1,0
Elena Woulfe,Drexel,0.344,0.422,0.461,0.883,40,148,128,39,44,10,1,1,22,3,15,13,4,2
Eleni Spirakis,Stanford,0.258,0.318,0.432,0.75,55,177,155,24,40,7,1,6,33,2,14,21,1,0
Elisa Rosado,Mercer,0.284,0.342,0.396,0.738,42,151,134,28,38,9,3,0,14,3,10,26,11,0
Elison Ollinger,Belmont,0.219,0.306,0.362,0.668,39,121,105,9,23,7,1,2,11,1,13,35,5,0
Elissa Brown,Alabama,0.386,0.407,0.392,0.8,61,169,158,41,61,1,0,0,12,0,7,8,24,6
Elizabeth Jackson,Stetson,0.352,0.449,0.407,0.855,31,116,91,16,32,3,1,0,7,6,10,4,19,7
Elizabeth Mason,Florida State,0.23,0.291,0.435,0.726,63,213,191,34,44,9,0,10,36,0,18,29,18,0
Ellen Ebbers,Morgan State,0.34,0.411,0.526,0.936,36,113,97,14,33,12,0,2,21,0,13,11,1,0
Ellessa Bonstrom,Utah,0.268,0.408,0.623,1.031,52,174,138,37,37,5,1,14,42,12,22,18,6,0
Ellie Grill,Sam Houston State,0.277,0.336,0.369,0.705,46,145,130,18,36,5,2,1,17,6,6,14,16,1
Ellie Mataya,Boston College,0.366,0.405,0.503,0.908,45,164,153,20,56,9,3,2,18,0,10,20,12,0
Elyse Morris,St. John's,0.203,0.365,0.288,0.653,28,75,59,12,12,2,0,1,4,11,4,9,5,0
Emery Nielson,Utah Valley,0.297,0.331,0.359,0.69,49,139,128,23,38,3,1,1,15,0,7,20,5,1
Emily Bartlett,Furman,0.28,0.387,0.439,0.826,46,155,132,25,37,9,0,4,12,9,14,26,1,0
Emily Bracamonte,Central Michigan,0.2,0.254,0.296,0.55,44,132,115,10,23,5,0,2,18,1,8,15,0,0
Emily Brown,Georgia State,0.335,0.377,0.433,0.81,46,176,164,27,55,4,3,2,15,1,10,27,7,0
Emily Cimino,Lehigh,0.342,0.387,0.57,0.957,34,127,114,25,39,10,2,4,32,0,9,17,1,0
Emily Coltharp,Chattanooga,0.319,0.398,0.354,0.752,38,136,113,21,36,4,0,0,4,2,13,20,5,1
Emily Daniel,Dayton,0.298,0.365,0.327,0.692,41,116,104,20,31,3,0,0,5,1,10,15,8,5
Emily Evans,UT Arlington,0.161,0.223,0.178,0.401,51,132,118,12,19,2,0,0,8,0,10,16,0,0
