"","edition","start_date","winner_name","winner_team","distance","time_overall","avg_speed","time_margin","seconds_margin","stage_wins","stages_led","height","weight","age","born","died","full_name","nickname","birth_town","birth_country","nationality"
"11",11,1913-06-29,"Philippe Thys","Peugeot–Wolber",5287,197.9,26.7155128852956,0.135555555555556,488.000000000002,1,8,NA,NA,23,1889-10-08,1971-01-16,NA,"Le basset (The Basset Hound)","Anderlecht","Belgium"," Belgium"
"12",12,1914-06-28,"Philippe Thys","Peugeot–Wolber",5380,200.48,26.8355945730247,0.0169444444444444,60.9999999999998,1,15,NA,NA,24,1889-10-08,1971-01-16,NA,"Le basset (The Basset Hound)","Anderlecht","Belgium"," Belgium"
"13",13,1919-06-29,"Firmin Lambot","La Sportive",5560,231.120833333333,24.0566803079198,1.715,6174,1,2,NA,NA,33,1886-03-14,1964-01-19,NA,NA,"Florennes","Belgium"," Belgium"
"14",14,1920-06-27,"Philippe Thys","La Sportive",5503,228.603611111111,24.0722356626524,0.965833333333333,3477,4,14,NA,NA,30,1889-10-08,1971-01-16,NA,"Le basset (The Basset Hound)","Anderlecht","Belgium"," Belgium"
"15",15,1921-06-26,"Léon Scieur","La Sportive",5485,221.840555555556,24.7249651276066,0.305,1098,2,14,NA,NA,33,1888-03-18,1969-10-07,NA,NA,"Florennes","Belgium"," Belgium"
"16",16,1922-06-25,"Firmin Lambot","Peugeot–Wolber",5375,222.135,24.1969973214487,0.694722222222222,2501,0,3,NA,NA,36,1886-03-14,1964-01-19,NA,NA,"Florennes","Belgium"," Belgium"
"17",17,1923-06-24,"Henri Pélissier","Automoto–Hutchinson",5386,222.258333333333,24.2330621274043,0.508333333333333,1830,3,6,NA,NA,34,1889-01-22,1935-05-01,NA,NA,"Paris","France"," France"
"18",18,1924-06-22,"Ottavio Bottecchia","Automoto",5425,226.305833333333,23.9719848140607,0.593055555555556,2135,4,15,NA,NA,29,1894-08-01,1927-06-15,NA,NA,"San Martino di Colle Umberto","Italy"," Italy"
"19",19,1925-06-21,"Ottavio Bottecchia","Automoto–Hutchinson",5440,219.171666666667,24.8207265233492,0.915,3294,4,13,NA,NA,30,1894-08-01,1927-06-15,NA,NA,"San Martino di Colle Umberto","Italy"," Italy"
"20",20,1926-06-20,"Lucien Buysse","Automoto–Hutchinson",5745,238.740277777778,24.0638071358345,1.37361111111111,4945,2,8,NA,NA,33,1892-09-11,1980-01-03,NA,NA,"Wontergem","Belgium"," Belgium"
"21",21,1927-06-19,"Nicolas Frantz","Alcyon–Dunlop",5398,198.278333333333,27.2243563341095,1.81138888888889,6521,3,14,NA,NA,27,1899-11-04,1985-11-08,NA,NA,"Mamer","Luxembourg"," Luxembourg"
"22",22,1928-06-17,"Nicolas Frantz","Alcyon–Dunlop",5476,192.816111111111,28.4001164033665,0.847222222222222,3050,5,22,NA,NA,28,1899-11-04,1985-11-08,NA,NA,"Mamer","Luxembourg"," Luxembourg"
"23",23,1929-06-30,"Maurice De Waele","Alcyon–Dunlop",5286,186.654166666667,28.3197535549255,0.745555555555556,2684,1,16,NA,NA,32,1896-12-27,1952-02-14,NA,NA,"Lovendegem","Belgium"," Belgium"
"24",24,1930-07-02,"André Leducq","Alcyon–Dunlop",4822,172.204444444444,28.0016001651784,0.237222222222222,853.999999999999,2,13,NA,NA,26,1904-02-27,1980-06-18,NA,NA,"Saint-Ouen","France"," France"
"25",25,1931-06-30,"Antonin Magne","France",5091,177.1675,28.7355186476075,0.203333333333333,731.999999999999,1,16,NA,NA,27,1904-01-15,1983-09-08,NA,NA,"Ytrac","France"," France"
"26",26,1932-07-06,"André Leducq","France",4479,154.196944444444,29.0472681941746,0.406666666666667,1464,6,19,NA,NA,28,1904-02-27,1980-06-18,NA,NA,"Saint-Ouen","France"," France"
"27",27,1933-06-27,"Georges Speicher","France",4395,147.860277777778,29.7240074619996,0.0677777777777778,244,3,12,NA,NA,26,1907-06-08,1978-01-24,NA,NA,"Paris","France"," France"
"28",28,1934-07-03,"Antonin Magne","France",4470,147.232777777778,30.3600873899607,0.4575,1647,3,22,NA,NA,30,1904-01-15,1983-09-08,NA,NA,"Ytrac","France"," France"
"29",29,1935-07-04,"Romain Maes","Belgium",4338,141.383333333333,30.6825415536957,0.288055555555556,1037,3,21,NA,NA,22,1912-08-10,1983-02-22,NA,NA,"Zerkegem","Belgium"," Belgium"
"30",30,1936-07-07,"Sylvère Maes","Belgium",4442,142.792222222222,31.1081369200004,0.440555555555556,1586,4,14,NA,NA,26,1909-08-27,1966-12-05,NA,NA,"Zevekote","Belgium"," Belgium"
"31",31,1937-06-30,"Roger Lapébie","France",4415,138.975277777778,31.7682401546238,0.118611111111111,427,3,4,NA,NA,26,1911-01-16,1996-10-12,NA,NA,"Bayonne","France"," France"
"32",32,1938-07-05,"Gino Bartali","Italy",4694,148.486666666667,31.6122659722533,0.305,1098,2,8,1.72,66,23,1914-07-18,2000-05-05,NA,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile","Ponte e Ema","Italy"," Italy"
"33",33,1939-07-10,"Sylvère Maes","Belgium",4224,132.054722222222,31.9867395040356,0.508333333333333,1830,2,8,NA,NA,29,1909-08-27,1966-12-05,NA,NA,"Zevekote","Belgium"," Belgium"
"34",34,1947-06-25,"Jean Robic","France",4642,148.190277777778,31.3245920691303,0.0508333333333333,183,3,1,1.61,60,26,1921-06-10,1980-10-06,NA,"Biquet (Kid goat), Tête de cuir (Leather-head), Le farfadet de la lande Bretonne,
Gueule cassée","Vouziers","France"," France"
"35",35,1948-06-30,"Gino Bartali","Italy",4922,147.176666666667,33.4428011686634,0.440555555555556,1586,7,9,1.72,66,33,1914-07-18,2000-05-05,NA,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile","Ponte e Ema","Italy"," Italy"
"36",36,1949-06-30,"Fausto Coppi","Italy",4808,149.680277777778,32.1218003559438,0.169444444444444,609.999999999998,3,5,1.77,68,29,1919-09-15,1960-01-02,"Angelo Fausto Coppi","The Heron,Il Campionissimo
(Champion of Champions)","Castellania","Italy"," Italy"
"37",37,1950-07-13,"Ferdinand Kübler","Switzerland",4773,145.615555555556,32.7780914737436,0.1525,549,3,11,NA,NA,30,1919-07-24,2016-12-29,NA,"Ferdi, The Cowboy, The Eagle of Adliswil, Mr 100,000 Volts[","Marthalen","Switzerland","  Switzerland"
"38",38,1951-07-04,"Hugo Koblet","Switzerland",4690,142.337222222222,32.9499194011093,0.372777777777778,1342,5,11,NA,NA,26,1925-03-21,1964-11-06,NA,"Beautiful Hugo, Le pédaleur de charme","Zürich","Switzerland","  Switzerland"
"39",39,1952-06-25,"Fausto Coppi","Italy",4898,151.955555555556,32.2331090962269,0.474444444444444,1708,5,14,1.77,68,30,1919-09-15,1960-01-02,"Angelo Fausto Coppi","The Heron,Il Campionissimo
(Champion of Champions)","Castellania","Italy"," Italy"
"40",40,1953-07-03,"Louison Bobet","France",4476,129.390277777778,34.593016390979,0.237222222222222,853.999999999999,2,5,1.79,75,26,1925-03-12,1983-03-13,NA,"Louison, Zonzon","Saint-Méen-le-Grand","France"," France"
"41",41,1954-07-08,"Louison Bobet","France",4656,140.101388888889,33.2330752530409,0.254166666666667,915.000000000001,3,14,1.79,75,29,1925-03-12,1983-03-13,NA,"Louison, Zonzon","Saint-Méen-le-Grand","France"," France"
