LastName,Country,Age,TotalPoints,DiveNum,DiveName,Difficulty,Judge1,Judge2,Judge3,Judge4,Judge5,Judge6,Judge7,Points
Medkova,CZE,18,231.25,1,5231D,2.1,5.5,4.5,5,5,5,5,5,31.5
Medkova,CZE,18,231.25,2,103B,1.7,4.5,4,4.5,4,4,4.5,4.5,22.1
Medkova,CZE,18,231.25,3,401B,1.5,6,7,6,6,5.5,6.5,5.5,27
Medkova,CZE,18,231.25,4,201B,1.6,5,6,5.5,6,5,6,5.5,27.2
Medkova,CZE,18,231.25,5,301B,1.7,4.5,4,4.5,4,4,5,4,21.25
Medkova,CZE,18,231.25,6,403B,2.4,4,4,4.5,4,4,4,4,28.8
Medkova,CZE,18,231.25,7,303C,2.1,4.5,5,4.5,4.5,4.5,4,4.5,28.35
Medkova,CZE,18,231.25,8,203B,2.3,2.5,2,2,2.5,1.5,1.5,1.5,12.65
Medkova,CZE,18,231.25,9,105C,2.4,4.5,4.5,4.5,4.5,4.5,5.5,5,32.4
Liaw,SGP,16,230.55,1,401B,1.5,4.5,4.5,5,5,4.5,4.5,4.5,20.25
Liaw,SGP,16,230.55,2,103B,1.7,4,3,4,4,4.5,4,4,20.4
Liaw,SGP,16,230.55,3,201B,1.6,5,5,5.5,5,5,5.5,5,24
Liaw,SGP,16,230.55,4,301B,1.7,5.5,5.5,5.5,5.5,5.5,6,5.5,28.05
Liaw,SGP,16,230.55,5,5231D,2.1,3.5,3.5,4.5,3.5,4.5,4.5,4,25.2
Liaw,SGP,16,230.55,6,403C,2.2,4,5,5,5,5,5.5,5,33
Liaw,SGP,16,230.55,7,203C,2,4,4,4,4,4,4,4,24
Liaw,SGP,16,230.55,8,303C,2.1,5,5,4.5,5,5,5,5,31.5
Liaw,SGP,16,230.55,9,5223D,2.3,4,4,3.5,3.5,3.5,3,3.5,24.15
Yoon,KOR,17,226.2,1,103B,1.7,5.5,6,5.5,5.5,5.5,6,6,28.9
Yoon,KOR,17,226.2,2,401B,1.5,5,5.5,5,5,5,5.5,5.5,23.25
Yoon,KOR,17,226.2,3,201B,1.6,4.5,3.5,4.5,5,4.5,4.5,4.5,21.6
Yoon,KOR,17,226.2,4,301B,1.7,4,3.5,3,3,3.5,5,3.5,17.85
Yoon,KOR,17,226.2,5,5132D,2.2,4,3.5,3.5,3.5,3,5,4,24.2
Yoon,KOR,17,226.2,6,105C,2.4,4,4,4,4,4.5,3.5,3.5,28.8
Yoon,KOR,17,226.2,7,403B,2.4,4.5,4,4.5,4.5,4.5,3.5,4.5,32.4
Yoon,KOR,17,226.2,8,203B,2.3,4,4,4,3.5,4,4,4,27.6
Yoon,KOR,17,226.2,9,303B,2.4,3,2.5,3,2.5,3,3.5,3.5,21.6
Lee,TPE,18,157.5,1,401C,1.4,3.5,4,3,4,4,3.5,4,16.1
Lee,TPE,18,157.5,2,201C,1.5,3.5,4,3.5,4,4.5,4,4,18
Lee,TPE,18,157.5,3,101A,1.4,4,4,3.5,3,4,4,4,16.8
Lee,TPE,18,157.5,4,301C,1.6,4,4,3.5,4,4,4,3.5,19.2
Lee,TPE,18,157.5,5,5211A,1.8,5,4.5,3.5,4,5,4.5,4.5,24.3
Lee,TPE,18,157.5,6,403C,2.2,2.5,2,2.5,2.5,2.5,2.5,2,16.5
Lee,TPE,18,157.5,7,202A,1.7,3.5,3,1.5,3,3.5,3.5,3.5,17
Lee,TPE,18,157.5,8,103C,1.6,4.5,4,4.5,4,4.5,3,4,20
Lee,TPE,18,157.5,9,302C,1.6,2.5,2.5,1.5,2.5,2,1,1.5,9.6
