"Season","Series","City","Country","Year","Month","Day","Distance","Round","Group","Num_Skater","Name","Nationality","Rank_In_Group","Start_Position","Time","Qualification","rank_lap1","time_lap1","rank_lap2","time_lap2","rank_lap3","time_lap3","rank_lap4","time_lap4","rank_lap5","time_lap5","Time_Event"
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",8,23,"Jon ELEY","GBR",1,4,42.594,"Q",2,6.98,1,9.05,1,8.72,1,8.84,1,9.01,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",8,50,"Adam FILIPOWICZ","POL",2,2,42.822,"Q",1,6.88,2,9.22,2,8.75,2,8.91,2,9.07,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",8,36,"DOTTI Tommaso","ITA",3,3,43.572,"q",4,7.28,4,9.17,4,8.71,4,8.79,3,9.63,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",8,34,"BYKANOV Vladislav","ISR",,1,,"PEN",3,7.15,3,9.1,3,8.68,3,8.89,,,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",9,41,"KNEGT Sjinkie","NED",1,1,42.358,"Q",1,7,1,9.2,1,8.65,1,8.71,1,8.8,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",9,16,"Maxime CHATAIGNIER","FRA",2,3,42.529,"Q",2,7.07,2,9.26,2,8.63,2,8.72,2,8.85,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Preliminaries",9,22,"WHELBOURNE Jack","GBR",3,2,45.255,"",3,8.4,3,9.49,3,8.76,3,8.98,3,9.63,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",1,55,"Vladimir GRIGOREV","RUS",1,2,41.461,"Q",1,6.9,1,8.84,1,8.48,1,8.53,1,8.72,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",1,43,"Freek van der WART","NED",2,1,41.589,"Q",2,7.09,2,8.81,2,8.42,2,8.55,2,8.72,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",1,4,"Maksim SIARHEYU","BLR",3,3,43.248,"",4,7.34,4,9.07,3,8.78,3,8.93,3,9.13,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",1,40,"Roberto PUKITIS","LAT",4,4,62.432,"",3,7.21,3,8.84,4,10.86,4,15.92,4,19.61,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",2,45,"Niels KERSTHOLT","NED",1,1,41.59,"Q",1,6.82,1,9.1,1,8.41,1,8.49,1,8.77,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",2,15,"FAUCONNET Thibaut","FRA",2,3,41.89,"Q",3,7.12,2,8.94,2,8.56,2,8.54,2,8.73,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",2,49,"Bartosz KONOPKO","POL",3,2,42.013,"q",2,6.96,3,9.11,3,8.6,3,8.56,3,8.79,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",2,7,"Kiril PANDOV","BUL",4,4,42.632,"",4,7.24,4,9.05,4,8.61,4,8.72,4,9.02,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",3,41,"KNEGT Sjinkie","NED",1,2,42.314,"Q",2,7.02,3,9.17,3,8.68,2,8.66,1,8.79,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",3,20,"Paul STANLEY","GBR",2,1,42.508,"Q",1,6.92,1,9.15,1,8.6,1,8.79,2,9.05,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",3,31,"LIU Shaolin Sandor","HUN",3,3,42.61,"q",3,7.14,2,9.04,2,8.62,3,8.9,3,8.91,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",3,59,"Selim TANRIKULU","TUR",4,4,43.084,"",4,7.3,4,9.19,4,8.67,4,8.86,4,9.07,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",4,53,"ELISTRATOV Semen","RUS",1,1,42.07,"Q",1,6.79,1,9.06,1,8.64,1,8.71,1,8.87,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",4,25,"Paul HERRMANN","GER",2,2,42.198,"Q",3,7.14,3,8.94,2,8.59,2,8.64,2,8.89,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",4,36,"DOTTI Tommaso","ITA",3,4,42.623,"q",4,7.29,4,9.05,4,8.62,3,8.64,3,9.03,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",4,50,"Adam FILIPOWICZ","POL",4,3,42.818,"",2,6.92,2,9.1,3,8.78,4,8.95,4,9.07,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",5,29,"KNOCH Viktor","HUN",1,1,42.077,"Q",2,7.05,1,8.99,1,8.55,1,8.64,1,8.85,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",5,16,"Maxime CHATAIGNIER","FRA",2,2,42.203,"Q",1,6.92,2,9.13,2,8.66,2,8.67,2,8.83,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",5,35,"Yuri CONFORTOLA","ITA",3,4,42.788,"",4,7.34,4,9.16,3,8.55,3,8.81,3,8.93,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",5,27,"Torsten KROEGER","GER",4,3,42.92,"",3,7.25,3,9.16,4,8.72,4,8.84,4,8.95,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",6,52,"AN Victor","RUS",1,2,41.98,"Q",1,6.95,1,8.89,1,8.57,1,8.64,1,8.93,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",6,23,"Jon ELEY","GBR",2,3,42.21,"Q",2,7.09,2,8.93,2,8.49,2,8.79,2,8.91,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",6,24,"Jonas KAUFMANN-LUDWIG","GER",3,1,42.289,"q",3,7.19,3,8.99,3,8.47,3,8.71,3,8.93,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Heats",6,61,"Serhiy LIFYRENKO","UKR",4,4,43.441,"",4,7.34,4,9.03,4,8.84,4,9.06,4,9.18,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",1,52,"AN Victor","RUS",1,3,42.314,"Q",2,6.91,1,8.92,1,8.67,1,8.69,1,9.13,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",1,45,"Niels KERSTHOLT","NED",2,1,42.345,"Q",1,6.8,2,9.14,2,8.67,2,8.84,2,8.9,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",1,15,"FAUCONNET Thibaut","FRA",3,2,42.484,"",3,6.93,3,9.09,3,8.67,3,8.91,3,8.89,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",1,24,"Jonas KAUFMANN-LUDWIG","GER",4,4,42.766,"",4,7.15,4,8.95,4,8.79,4,8.8,4,9.08,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",2,41,"KNEGT Sjinkie","NED",1,4,43.5,"Q",3,7.04,2,8.9,2,8.39,1,9.51,1,9.66,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",2,25,"Paul HERRMANN","GER",2,2,43.838,"Q",4,7.31,3,9.08,3,8.79,2,8.94,2,9.72,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",2,29,"KNOCH Viktor","HUN",3,1,61.822,"",1,6.78,1,9.01,1,8.48,3,21.74,3,15.82,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",2,16,"Maxime CHATAIGNIER","FRA",4,3,66.766,"",2,6.97,4,28.22,4,10.99,4,9.94,4,10.65,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",3,55,"Vladimir GRIGOREV","RUS",1,1,41.687,"Q",1,6.81,1,8.9,1,8.54,1,8.66,1,8.78,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",3,31,"LIU Shaolin Sandor","HUN",2,4,42.002,"Q",4,7.19,4,8.88,4,8.47,4,8.62,2,8.85,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",3,43,"Freek van der WART","NED",3,2,42.082,"ADV",3,7.05,3,8.87,3,8.5,2,8.59,3,9.08,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",3,20,"Paul STANLEY","GBR",,3,,"PEN",2,6.89,2,8.91,2,8.54,3,8.68,,,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",4,53,"ELISTRATOV Semen","RUS",1,2,42.629,"Q",3,7.14,3,9.01,4,8.71,4,8.9,1,8.87,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",4,49,"Bartosz KONOPKO","POL",2,1,42.637,"Q",1,6.83,1,8.99,1,8.67,1,9.03,2,9.12,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",4,23,"Jon ELEY","GBR",3,3,42.806,"",2,6.94,2,8.88,2,8.84,2,8.94,3,9.21,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Quarterfinals",4,36,"DOTTI Tommaso","ITA",4,4,43.124,"",4,7.29,4,8.96,3,8.5,3,8.98,4,9.4,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",1,55,"Vladimir GRIGOREV","RUS",1,1,41.668,"Q",1,6.69,1,8.91,1,8.6,1,8.65,1,8.82,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",1,49,"Bartosz KONOPKO","POL",2,4,42.231,"Q",2,6.81,2,8.9,2,8.63,2,8.68,2,9.22,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",1,41,"KNEGT Sjinkie","NED",3,5,62.282,"ADV",5,7.26,5,8.93,3,8.36,4,8.57,3,29.17,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",1,31,"LIU Shaolin Sandor","HUN",4,2,89.882,"",3,7.04,3,8.99,5,30.71,5,21.85,4,21.3,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",1,53,"ELISTRATOV Semen","RUS",,3,,"PEN",4,7.14,4,8.95,4,8.53,3,8.47,,,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",2,43,"Freek van der WART","NED",1,1,41.993,"Q",1,6.81,1,9.06,1,8.58,1,8.67,1,8.88,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",2,52,"AN Victor","RUS",2,2,42.179,"Q",3,7.08,3,9,2,8.47,2,8.82,2,8.81,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",2,45,"Niels KERSTHOLT","NED",3,3,42.223,"",2,6.95,2,9.01,3,8.59,3,8.93,3,8.75,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","Semifinals",2,25,"Paul HERRMANN","GER",4,4,42.413,"",4,7.21,4,9.03,4,8.53,4,8.85,4,8.8,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","FinalA",1,55,"Vladimir GRIGOREV","RUS",1,1,41.33,"",1,6.71,1,8.68,1,8.44,1,8.63,1,8.87,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","FinalA",1,41,"KNEGT Sjinkie","NED",2,5,41.407,"",4,7.06,4,8.93,3,8.32,3,8.63,2,8.47,2013.04657534247
"2012/2013","European Championships","Malmo","SWE",2013,1,18,"500m","FinalA",1,52,"AN Victor","RUS",3,3,41.432,"",3,6.95,3,8.92,2,8.41,2,8.52,3,8.64,2013.04657534247
