player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg
Chris Duarte,SG,24,IND,55,39,1541,8.5,19.7,0.432,3,8.1,0.369,5.5,11.6,0.475,2.9,3.6,0.804,1.3,5.9,7.2,3.6,1.8,0.3,2.9,3,22.9,104,117
David Duke Jr.,PG,22,BRK,22,7,341,5.5,15.4,0.361,1.3,5.3,0.243,4.3,10.1,0.423,2.4,3,0.81,4.3,5.3,9.5,2.4,2,1,1.3,5.1,14.8,104,113
Kris Dunn,PG,27,POR,14,3,336,6.4,14.8,0.431,0.1,1.6,0.091,6.3,13.2,0.473,2.5,2.6,0.944,1.3,5.8,7.1,11.5,3.3,0.4,4.7,5.5,15.4,100,114
Kevin Durant,PF,33,BRK,55,55,2047,13.7,26.4,0.518,2.7,7.1,0.383,11,19.3,0.568,8.8,9.7,0.91,0.7,9,9.6,8.3,1.1,1.2,4.5,2.7,38.9,121,112
Jaime Echenique,C,24,WAS,1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,123
Anthony Edwards,SG,20,MIN,72,72,2466,10.6,24,0.441,4.1,11.6,0.357,6.4,12.4,0.519,4.2,5.4,0.786,1.2,5.4,6.6,5.3,2,0.9,3.7,3.2,29.6,108,112
Carsen Edwards,SG,23,DET,4,0,79,5.6,18.5,0.3,2.5,9.9,0.25,3.1,8.6,0.357,0.6,0.6,1,1.2,2.5,3.7,8.6,1.2,0,3.1,2.5,14.2,87,118
Kessler Edwards,SF,21,BRK,48,23,987,5.4,13.1,0.412,2.4,6.7,0.353,3,6.4,0.473,0.8,0.9,0.842,2.2,6.3,8.4,1.5,1.4,1.2,2.1,4.2,13.9,100,113
Rob Edwards,SG,25,OKC,2,0,11,4.4,17.7,0.25,4.4,17.7,0.25,0,0,NA,0,0,NA,0,13.3,13.3,0,0,0,4.4,0,13.3,60,114
CJ Elleby,SF,21,POR,58,28,1174,5,12.8,0.393,1.5,5.2,0.294,3.5,7.6,0.462,2.5,3.5,0.714,2.7,6.7,9.4,3.6,1.5,0.8,2.3,4.8,14.1,102,117
Wayne Ellington,SG,34,LAL,43,9,810,5.8,14,0.414,4.9,12.5,0.389,0.9,1.5,0.615,0.5,0.7,0.818,0.6,4,4.6,1.8,1.4,0.3,1.1,2.5,17,113,116
Joel Embiid,C,27,PHI,68,68,2297,14.5,29,0.499,2,5.5,0.371,12.4,23.5,0.529,14.2,17.4,0.814,3.2,14.1,17.3,6.2,1.7,2.1,4.6,3.9,45.1,119,105
James Ennis III,SF,31,TOT,7,0,56,9.6,20.9,0.458,2.6,7,0.375,7,14,0.5,3.5,4.4,0.8,4.4,6.1,10.5,2.6,1.7,1.7,1.7,4.4,25.3,113,110
James Ennis III,SF,31,BRK,2,0,14,6.9,24.2,0.286,3.5,6.9,0.5,3.5,17.3,0.2,0,0,NA,6.9,10.4,17.3,0,3.5,3.5,0,0,17.3,92,104
James Ennis III,SF,31,LAC,2,0,28,12.2,19.2,0.636,3.5,7,0.5,8.7,12.2,0.714,7,7,1,3.5,5.2,8.7,0,1.7,1.7,1.7,7,35,144,110
James Ennis III,SF,31,DEN,3,0,14,7,21,0.333,0,7,0,7,14,0.5,0,3.5,0,3.5,3.5,7,10.5,0,0,3.5,3.5,14,82,119
Drew Eubanks,C,24,TOT,71,31,1245,8.6,14.4,0.596,0.2,0.9,0.217,8.4,13.5,0.621,3.9,5.1,0.762,5.1,9.8,14.9,3.3,1.2,1.6,3.2,4.7,21.2,120,113
Drew Eubanks,C,24,SAS,49,9,595,6.8,12.8,0.528,0.1,0.6,0.125,6.7,12.2,0.55,4.8,6.4,0.747,5.2,10.6,15.8,4,1,2.4,3.7,4.9,18.4,113,109
Drew Eubanks,C,24,POR,22,22,650,10.3,15.9,0.646,0.3,1.1,0.267,10,14.8,0.675,3,3.8,0.784,5,9,14,2.6,1.4,0.8,2.6,4.6,23.9,127,116
Tacko Fall,C,26,CLE,11,1,59,4.2,10.2,0.417,0,0,NA,4.2,10.2,0.417,1.7,5.9,0.286,5.9,13.5,19.5,1.7,0,5.1,2.5,2.5,10.2,91,104
Derrick Favors,C,30,OKC,39,18,653,7,13.6,0.516,0.1,1.2,0.125,6.9,12.4,0.554,1.2,1.9,0.64,4.3,9.4,13.7,1.9,1.3,0.9,0.7,4.6,15.4,118,112
Bruno Fernando,C,23,TOT,30,0,152,11.5,17.5,0.655,0.3,0.6,0.5,11.1,16.9,0.66,4.8,7.6,0.625,5.7,11.8,17.5,2.2,0.3,3.5,4.5,7.6,28,116,110
Bruno Fernando,C,23,BOS,20,0,58,6,12,0.5,0.9,0.9,1,5.1,11.1,0.462,3.4,4.3,0.8,6,6.9,12.9,3.4,0,2.6,4.3,5.1,16.3,110,109
Bruno Fernando,C,23,HOU,10,0,94,14.7,20.8,0.707,0,0.5,0,14.7,20.3,0.725,5.6,9.6,0.579,5.6,14.7,20.3,1.5,0.5,4.1,4.6,9.1,34.9,118,110
Dorian Finney-Smith,PF,28,DAL,80,80,2644,6.2,13.2,0.471,3.3,8.3,0.395,2.9,4.9,0.599,1.1,1.6,0.675,2.3,4.8,7.1,2.9,1.7,0.7,1.5,3.5,16.8,119,110
Malik Fitts,PF,24,TOT,15,0,63,6.3,14.9,0.421,3.9,7.9,0.5,2.4,7.1,0.333,0,0,NA,1.6,11.8,13.4,3.9,0,0,1.6,3.1,16.5,114,111
Malik Fitts,PF,24,UTA,7,0,35,2.8,12.7,0.222,2.8,5.6,0.5,0,7.1,0,0,0,NA,0,14.1,14.1,0,0,0,2.8,4.2,8.5,57,111
Malik Fitts,PF,24,BOS,8,0,28,10.6,17.7,0.6,5.3,10.6,0.5,5.3,7.1,0.75,0,0,NA,3.5,8.9,12.4,8.9,0,0,0,1.8,26.6,167,111
Malachi Flynn,PG,23,TOR,44,5,537,6.7,17,0.393,2.8,8.4,0.333,3.9,8.7,0.452,1.4,2.2,0.625,0.9,4.9,5.9,6.5,1.9,0.4,1.2,4.2,17.6,113,112
Bryn Forbes,SG,28,TOT,75,2,1286,8.7,20.3,0.429,4.6,11.1,0.414,4.1,9.2,0.447,3,3.3,0.908,0.4,3.1,3.5,2.8,0.9,0.2,2.1,3.6,25,109,117
Bryn Forbes,SG,28,SAS,40,1,676,9.1,21,0.432,4.5,10.7,0.417,4.6,10.3,0.448,3.1,3.5,0.898,0.3,4.2,4.5,2.9,1.2,0.2,2.3,3,25.8,107,116
Bryn Forbes,SG,28,DEN,35,1,610,8.3,19.5,0.424,4.7,11.6,0.41,3.5,8,0.444,2.8,3.1,0.921,0.5,1.9,2.4,2.7,0.6,0.2,1.8,4.3,24.1,110,118
Aleem Ford,SF,24,ORL,5,0,74,3.9,13.1,0.3,1.3,9.8,0.133,2.6,3.3,0.8,0,0,NA,1.3,8.5,9.8,1.3,0.7,0,2.6,4.6,9.2,67,115
Trent Forrest,PG,23,UTA,60,6,765,4.9,10,0.49,0.3,1.7,0.185,4.6,8.3,0.555,2.5,3.1,0.792,1.5,4.9,6.4,6.8,1.9,0.4,3.1,2.8,12.6,111,112
Evan Fournier,SG,29,NYK,80,80,2358,8.5,20.5,0.417,5.1,13.1,0.389,3.4,7.3,0.465,1.7,2.4,0.708,0.7,3.7,4.5,3.6,1.7,0.4,2.2,3.8,23.9,109,113
De'Aaron Fox,PG,24,SAC,59,59,2083,11.9,25.2,0.473,1.7,5.8,0.297,10.2,19.5,0.524,6,8,0.75,0.6,4.8,5.3,7.6,1.6,0.6,3.9,4,31.6,107,117
Melvin Frazier,SG,25,OKC,3,0,120,5.3,19.5,0.271,0.4,8.5,0.048,4.9,11,0.444,2,2.8,0.714,2,3.2,5.3,0.4,0.4,0,1.2,3.2,13,70,119
Tim Frazier,PG,31,TOT,12,3,208,3.3,10.5,0.311,1.4,4,0.353,1.9,6.5,0.286,1.2,2.1,0.556,1.2,3.3,4.4,7.9,0.7,0.2,3.5,6.3,9.1,87,117
Tim Frazier,PG,31,ORL,10,3,200,3.1,10.4,0.302,1.5,4.1,0.353,1.7,6.3,0.269,1.2,2.2,0.556,1.2,3.4,4.6,8,0.7,0.2,3.1,5.8,8.9,89,117
Tim Frazier,PG,31,CLE,2,0,8,6.2,12.5,0.5,0,0,NA,6.2,12.5,0.5,0,0,NA,0,0,0,6.2,0,0,12.5,18.7,12.5,57,118
Enes Freedom,C,29,BOS,35,1,411,6.2,11.7,0.526,0.2,0.6,0.4,5.9,11.1,0.533,2.9,3.4,0.857,7.4,12,19.3,1,0.6,1.7,2.4,5.1,15.5,121,105
Markelle Fultz,PG,23,ORL,18,3,360,11.2,23.5,0.474,0.5,2.3,0.235,10.6,21.2,0.5,3.4,4.2,0.806,0.5,6,6.6,13.3,2.7,0.7,5.4,3,26.2,102,111
Wenyen Gabriel,PF,24,TOT,26,5,358,7.3,14.8,0.491,1.1,3.8,0.286,6.2,11,0.561,3.4,5.6,0.595,5.2,7.8,13,1.9,0.7,1.5,2.1,9.1,18.9,113,113
Wenyen Gabriel,PF,24,BRK,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,48.5,48.5,0,0,0,0,0,0,NA,91
Wenyen Gabriel,PF,24,LAC,6,0,46,5.3,13.8,0.385,2.1,5.3,0.4,3.2,8.5,0.375,2.1,4.3,0.5,5.3,9.6,14.9,2.1,1.1,2.1,3.2,11.7,14.9,97,108
Wenyen Gabriel,PF,24,LAL,19,5,311,7.6,15,0.505,0.9,3.5,0.261,6.6,11.4,0.581,3.5,5.9,0.605,5.2,7.4,12.6,1.8,0.6,1.4,2,8.8,19.6,115,114
Daniel Gafford,C,23,WAS,72,53,1444,9.8,14.1,0.693,0,0,0,9.8,14,0.695,3.7,5.2,0.699,5.3,8.6,13.9,2.3,1,3.4,2.2,5.8,23.2,134,111
Danilo Gallinari,PF,33,ATL,66,18,1672,7.6,17.5,0.434,3.3,8.6,0.381,4.3,8.9,0.485,4.1,4.6,0.904,1,8,9.1,3,0.8,0.4,1.1,2.7,22.7,120,117
Langston Galloway,SG,30,TOT,7,0,107,2.7,11.7,0.231,0.9,7.2,0.125,1.8,4.5,0.4,0,0,NA,1.4,6.8,8.1,5.4,0.5,0,2.7,3.2,6.3,70,116
Langston Galloway,SG,30,BRK,4,0,58,4.2,10.9,0.385,1.7,6.7,0.25,2.5,4.2,0.6,0,0,NA,0.8,5.9,6.7,4.2,0,0,4.2,4.2,10,80,118
Langston Galloway,SG,30,MIL,3,0,49,1,12.7,0.077,0,7.8,0,1,4.9,0.2,0,0,NA,2,7.8,9.8,6.9,1,0,1,2,2,56,114
Darius Garland,PG,22,CLE,68,68,2430,11.1,24.1,0.462,3.6,9.3,0.383,7.6,14.8,0.512,4.4,5,0.892,0.8,3.8,4.6,12,1.8,0.1,5.1,2.4,30.3,112,112
Marcus Garrett,SG,23,MIA,12,0,128,2,8.2,0.238,0.4,1.6,0.25,1.6,6.6,0.235,0.8,2,0.4,3.5,5.5,9,2.7,2,1.2,0.8,6.3,5.1,89,108
Usman Garuba,PF,19,HOU,24,2,239,3.8,8.8,0.432,1,4,0.25,2.8,4.8,0.583,1,1.4,0.714,4.2,12.3,16.5,3.4,2,2.2,1.2,5.6,9.6,119,111
Luka Garza,C,23,DET,32,5,389,8.3,18.4,0.449,2,6.1,0.327,6.3,12.3,0.51,4.8,7.7,0.623,7.3,5.3,12.5,2.5,1.1,0.8,2.3,6.9,23.3,114,116
Rudy Gay,PF,35,UTA,55,1,1038,7.5,18,0.414,3.3,9.7,0.345,4.1,8.4,0.494,3,3.8,0.785,2.6,8.9,11.5,2.7,1.2,0.9,2.2,4.5,21.2,110,110
Paul George,PF,31,LAC,31,31,1077,12.2,28.9,0.421,4.1,11.7,0.354,8.1,17.2,0.467,5.8,6.7,0.858,0.5,9.1,9.7,8,3,0.6,5.7,3.4,34.3,100,106
Taj Gibson,C,36,NYK,52,4,946,4.5,8.8,0.518,0.8,2,0.395,3.8,6.8,0.555,2.2,2.8,0.808,4.7,7.5,12.1,1.7,1.2,2.1,1.4,7.2,12.1,127,110
Josh Giddey,SF,19,OKC,54,54,1700,8.1,19.2,0.419,1.6,6.1,0.263,6.4,13.1,0.492,1.6,2.3,0.709,2.8,9.3,12.1,9.9,1.5,0.6,4.9,2.5,19.3,97,112
Shai Gilgeous-Alexander,PG,23,OKC,56,56,1942,12,26.4,0.453,2.2,7.4,0.3,9.7,18.9,0.514,8.2,10.2,0.81,0.9,6,7,8.3,1.8,1.2,3.9,3.6,34.4,111,113
Anthony Gill,PF,29,WAS,44,0,463,6.6,11.6,0.569,1.5,2.8,0.538,5.1,8.9,0.578,4.5,5.6,0.808,3.5,5.6,9.1,2.9,0.5,1.2,1.9,6.2,19.2,132,117
Freddie Gillespie,PF,24,ORL,9,2,119,3.7,8.9,0.409,0,0.4,0,3.7,8.5,0.429,1.2,2.8,0.429,5.3,9.3,14.6,2,1.2,3.7,2,7.3,8.5,96,108
Rudy Gobert,C,29,UTA,66,66,2120,8.4,11.8,0.713,0,0.1,0,8.4,11.7,0.718,7.1,10.2,0.69,5.6,16.9,22.6,1.7,1,3.2,2.8,4.1,23.9,137,103
Brandon Goodwin,PG,26,CLE,36,5,502,6.4,15.3,0.416,1.9,5.5,0.345,4.5,9.8,0.455,2.4,3.8,0.632,1.4,5.3,6.7,9.1,2.5,0.1,3.6,3.9,17,104,110
Jordan Goodwin,SG,23,WAS,2,0,6,0,24.7,0,0,8.2,0,0,16.5,0,0,0,NA,0,8.2,8.2,0,0,0,0,8.2,0,0,118
Aaron Gordon,PF,26,DEN,75,75,2376,9,17.2,0.52,1.8,5.4,0.335,7.2,11.9,0.605,3.5,4.7,0.743,2.6,6.5,9.1,3.9,0.9,0.9,2.7,3.1,23.2,115,114
Eric Gordon,SG,33,HOU,57,46,1669,7.6,16.1,0.475,3.5,8.6,0.412,4.1,7.5,0.548,3,3.8,0.778,0.4,2.8,3.2,4.4,0.8,0.5,3.1,1.8,21.8,111,121
Devonte' Graham,PG,26,NOP,76,63,2162,6.8,18.6,0.363,4.4,12.9,0.341,2.4,5.8,0.413,2.7,3.2,0.843,0.8,3.2,4,7.2,1.6,0.3,2.4,2.2,20.6,109,116
Jerami Grant,PF,27,DET,47,47,1500,9.7,22.7,0.426,3,8.3,0.358,6.7,14.5,0.465,7.1,8.4,0.838,0.9,5.3,6.2,3.6,1.4,1.6,2.8,3.5,29.4,109,114
Hassani Gravett,PG,25,ORL,8,3,171,5.1,10.7,0.474,3.1,7.4,0.423,2,3.4,0.583,0.8,1.1,0.75,0.3,5.7,5.9,5.7,1.4,0.3,2.5,3.7,14.1,113,114
Danny Green,SF,34,PHI,62,28,1353,4.6,11.8,0.394,3.8,10,0.38,0.8,1.8,0.469,0.4,0.5,0.786,1.2,4.6,5.8,2.4,2.2,1.4,1.7,3.9,13.5,106,111
Draymond Green,PF,31,GSW,46,44,1329,5,9.4,0.525,0.6,2,0.296,4.4,7.4,0.586,2.2,3.3,0.659,1.7,10.7,12.3,11.7,2.2,1.8,5.1,5,12.7,109,103
Jalen Green,SG,19,HOU,67,67,2138,9,21.2,0.426,3.5,10.2,0.343,5.5,11,0.502,4.2,5.3,0.797,0.7,4.3,5,3.9,1,0.4,3,2.3,25.8,105,120
JaMychal Green,PF,31,DEN,67,8,1085,7.2,14.8,0.486,1.5,5.6,0.266,5.7,9.2,0.621,3.7,4.2,0.871,3.7,9,12.7,2.7,1.9,1.2,2.6,7.1,19.5,114,109
Javonte Green,SF,28,CHI,65,45,1519,5.7,10.4,0.542,1.2,3.2,0.356,4.5,7.2,0.625,2.6,3.1,0.833,2.9,5.9,8.9,1.9,2.2,1,1,4.2,15,131,112
Jeff Green,PF,35,DEN,75,63,1849,7.3,14,0.524,1.4,4.5,0.315,5.9,9.6,0.62,4.4,5.3,0.833,1.1,5,6.1,2.5,0.7,0.7,1.9,4,20.5,119,115
Josh Green,SG,21,DAL,67,3,1039,6.3,12.4,0.508,1.4,3.8,0.359,4.9,8.6,0.573,1.5,2.2,0.689,2.5,5.3,7.8,3.8,2.2,0.7,2.1,5.6,15.5,114,109
Blake Griffin,C,32,BRK,56,24,958,6.7,15.8,0.425,1.9,7.3,0.262,4.8,8.5,0.565,2.8,3.8,0.724,3,8.5,11.5,5.3,1.4,0.7,1.6,4.8,18.2,115,113
Quentin Grimes,SG,21,NYK,46,6,786,6,15,0.404,4.6,12,0.381,1.5,2.9,0.5,0.8,1.2,0.684,1.5,4.5,6,2.8,2,0.7,1.8,4.6,17.5,111,111
Kyle Guy,SG,24,MIA,19,0,186,7,17.5,0.4,3.8,10.8,0.35,3.2,6.7,0.48,2.2,3.2,0.667,1.1,3.5,4.6,4.6,1.9,0.3,3.5,3.2,19.9,99,111
Rui Hachimura,PF,23,WAS,42,13,943,9.8,20,0.491,2.9,6.5,0.447,6.9,13.5,0.512,2.4,3.5,0.697,1.3,7.1,8.4,2.5,1.2,0.5,1.7,2.8,24.9,111,116
Tyrese Haliburton,SG-PG,21,TOT,77,77,2695,7.7,16.3,0.473,2.9,7,0.414,4.8,9.3,0.517,2.9,3.4,0.842,1.1,4.5,5.6,11.3,2.4,0.9,3.6,2.2,21.2,119,115
Tyrese Haliburton,SG,21,SAC,51,51,1757,7.3,16,0.457,2.8,6.9,0.413,4.5,9.1,0.491,2.4,2.8,0.837,1.1,4.4,5.4,10.4,2.4,0.9,3.1,1.9,19.9,117,115
Tyrese Haliburton,PG,21,IND,26,26,938,8.5,16.9,0.502,3,7.2,0.416,5.5,9.7,0.565,3.8,4.5,0.849,1.1,4.7,5.8,13,2.5,0.8,4.4,2.6,23.7,123,115
Tyler Hall,SG,24,NYK,1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,120
R.J. Hampton,SG,20,ORL,64,14,1402,6,15.8,0.383,2.2,6.3,0.35,3.8,9.5,0.405,2.6,4,0.641,0.8,5.9,6.7,5.5,1.4,0.4,3,3.5,16.9,94,114
Tim Hardaway Jr.,SG,29,DAL,42,20,1245,8.4,21.4,0.394,4.1,12.3,0.336,4.3,9.1,0.473,3.2,4.2,0.757,0.5,5.8,6.3,3.7,1.5,0.2,1.4,3,24.2,107,111
James Harden,PG,32,TOT,65,65,2419,8.2,20.1,0.41,3,9.1,0.33,5.2,11,0.476,9.5,10.8,0.877,1.1,9,10.1,13.5,1.7,0.7,5.7,3.1,29,115,111
James Harden,PG,32,BRK,44,44,1627,8.7,21,0.414,3,9.1,0.332,5.7,11.9,0.476,9.1,10.4,0.869,1.3,9.2,10.5,13.3,1.7,0.9,6.3,3.1,29.5,112,111
James Harden,PG,32,PHI,21,21,792,7.2,18,0.402,2.9,8.9,0.326,4.3,9.1,0.476,10.5,11.7,0.892,0.8,8.6,9.4,13.9,1.6,0.3,4.5,3,27.8,122,111
Maurice Harkless,SF,28,SAC,47,24,863,4.6,10.1,0.459,1.7,5.6,0.307,2.9,4.5,0.65,1.1,1.6,0.714,0.7,5.6,6.2,1.3,1.6,1.3,1.7,4.3,12.1,101,115
Jared Harper,PG,24,NOP,5,0,43,16.1,29.8,0.538,5.7,13.8,0.417,10.3,16.1,0.643,4.6,4.6,1,2.3,0,2.3,16.1,4.6,1.1,2.3,5.7,42.5,144,110
Montrezl Harrell,C,28,TOT,71,3,1641,10.7,16.6,0.645,0.1,0.5,0.235,10.6,16.1,0.658,6.3,8.8,0.716,4.4,8.4,12.9,4.3,0.9,1.3,2.1,4.1,27.8,134,114
Montrezl Harrell,C,28,WAS,46,3,1117,10.9,17,0.645,0.2,0.7,0.267,10.8,16.3,0.66,6.6,9.1,0.727,4.3,9.4,13.7,4.3,0.8,1.4,2.2,3.9,28.7,134,114
Montrezl Harrell,C,28,CHO,25,0,524,10.2,15.8,0.645,0,0.2,0,10.2,15.6,0.653,5.8,8.3,0.692,4.9,6.3,11.2,4.5,1,1.1,2,4.5,26.1,135,116
Gary Harris,SG,27,ORL,61,30,1730,6.7,15.5,0.434,3.2,8.4,0.384,3.5,7,0.494,2.3,2.7,0.874,1,2.4,3.4,3,1.6,0.3,1.7,3.1,19,110,116
Joe Harris,SF,30,BRK,14,14,423,6.4,14.2,0.452,4.7,10.1,0.466,1.7,4.1,0.417,0.6,0.7,0.833,0.6,5.8,6.4,1.6,0.8,0.2,1.8,3.6,18.1,112,116
Tobias Harris,PF,29,PHI,73,73,2543,9.7,20,0.482,2,5.4,0.367,7.7,14.7,0.525,3.3,4,0.842,1.5,8.2,9.7,4.9,0.9,0.8,2.3,3.2,24.7,113,112
Shaquille Harrison,SG,28,BRK,2,0,23,4.2,12.6,0.333,0,4.2,0,4.2,8.4,0.5,0,0,NA,2.1,6.3,8.4,6.3,2.1,2.1,4.2,6.3,8.4,76,111
Josh Hart,SG,26,TOT,54,53,1791,7.9,15.6,0.504,2,5.9,0.343,5.9,9.8,0.601,4.4,5.8,0.758,1.7,9,10.7,6.2,1.7,0.4,3.1,4.1,22.2,117,113
Josh Hart,SG,26,NOP,41,40,1374,7,13.9,0.505,1.5,4.7,0.323,5.5,9.2,0.598,4.2,5.5,0.753,1.9,9.5,11.4,6,1.6,0.4,2.9,4.2,19.7,118,112
Josh Hart,SG,26,POR,13,13,417,10.8,21.4,0.503,3.6,9.7,0.373,7.1,11.7,0.61,5.2,6.7,0.772,1.1,7.1,8.2,6.6,1.9,0.2,3.9,3.7,30.3,116,117
Isaiah Hartenstein,C,23,LAC,68,0,1216,9.2,14.7,0.626,0.6,1.2,0.467,8.7,13.5,0.64,3.7,5.3,0.689,4.7,8.7,13.4,6.4,2,3.1,3.4,6.7,22.7,127,106
Udonis Haslem,C,41,MIA,13,0,83,8.4,18.7,0.452,0.6,2.4,0.25,7.8,16.3,0.481,1.8,1.8,1,2.4,12.7,15.1,2.4,0.6,0.6,3,9,19.3,96,108
Sam Hauser,SF,24,BOS,26,0,158,7.2,15.7,0.46,6,13.8,0.432,1.3,1.9,0.667,0,0,NA,1.6,7.5,9.1,3.1,0.3,0.6,0.6,2.2,20.4,133,110
Jaxson Hayes,C,21,NOP,70,28,1398,8.7,14.1,0.616,0.7,2,0.351,7.9,12,0.66,5.1,6.6,0.766,4.1,7.1,11.1,1.5,1.2,1.9,1.9,5.5,23.1,132,113
Killian Hayes,PG,20,DET,66,40,1647,5.2,13.6,0.383,1.3,4.9,0.263,3.9,8.7,0.452,1.7,2.2,0.77,1.1,5.2,6.2,8.2,2.3,1,3.3,5.4,13.4,97,113
Gordon Hayward,SF,31,CHO,49,48,1564,8.7,18.9,0.459,2.6,6.8,0.391,6,12.2,0.496,3.9,4.6,0.846,1.2,5.7,6.9,5.4,1.4,0.7,2.5,2.6,23.9,113,116
Aaron Henry,SF,22,PHI,6,0,17,2.9,14.7,0.2,0,2.9,0,2.9,11.7,0.25,0,0,NA,0,2.9,2.9,0,0,5.9,5.9,5.9,5.9,29,111
Juancho Hernangómez,PF,26,TOT,40,9,445,4.9,11.7,0.415,2.7,7.6,0.348,2.2,4.1,0.541,2.1,3.8,0.559,3.1,8,11.1,2.2,1.6,1.1,1.8,2.8,14.5,111,109
Juancho Hernangómez,PF,26,BOS,18,0,96,2.6,14,0.185,1.6,9.3,0.167,1,4.7,0.222,3.1,4.7,0.667,4.7,8.3,12.9,1.6,2.1,1,3.1,3.6,9.8,75,105
Juancho Hernangómez,PF,26,SAS,5,0,51,1.9,5.6,0.333,0,2.8,0,1.9,2.8,0.667,2.8,3.8,0.75,3.8,10.3,14.1,2.8,0.9,0.9,1.9,0,6.6,105,112
Juancho Hernangómez,PF,26,UTA,17,9,298,6.1,12.1,0.507,3.5,8,0.438,2.7,4.1,0.64,1.7,3.5,0.476,2.5,7.5,10,2.3,1.5,1.2,1.3,3,17.4,128,110
Willy Hernangómez,C,27,NOP,50,8,839,10,19.2,0.52,0.2,0.7,0.333,9.8,18.5,0.527,6.4,8.3,0.773,8.4,11.5,19.9,3.7,1.2,1.1,3,5.7,26.7,122,111
Tyler Herro,SG,22,MIA,66,10,2151,11.7,26.1,0.447,4.1,10.2,0.399,7.6,15.9,0.477,4.4,5.1,0.868,0.7,6.9,7.7,6.1,1,0.2,4,2.2,31.8,107,111
Buddy Hield,SG,29,TOT,81,32,2499,8.6,21.3,0.406,5.1,13.9,0.366,3.6,7.4,0.482,2.2,2.5,0.874,1.3,5.6,6.8,4.4,1.4,0.5,3,3.6,24.5,105,117
Buddy Hield,SG,29,SAC,55,6,1574,8.1,21.2,0.382,5.6,15.1,0.368,2.5,6.1,0.419,2.4,2.8,0.87,1.3,5.4,6.8,3.2,1.5,0.5,2.8,3.5,24.2,103,117
Buddy Hield,SG,29,IND,26,26,925,9.6,21.4,0.447,4.2,11.7,0.362,5.3,9.7,0.549,1.6,1.9,0.886,1.2,5.8,7,6.6,1.3,0.5,3.3,3.8,25,110,118
Haywood Highsmith,SF,25,MIA,19,1,163,4.9,14.1,0.348,2.8,8.6,0.321,2.1,5.5,0.389,0.6,1.5,0.4,3.1,4.9,8,1.8,0.6,0.9,0.9,4,13.2,101,112
George Hill,PG,35,MIL,54,17,1253,4.5,10.5,0.429,1.6,5.1,0.306,3,5.4,0.546,2.2,2.4,0.919,1.5,4.5,5.9,4.6,1.6,0.2,1.6,2.7,12.8,117,114
Malcolm Hill,SF-SG,26,TOT,19,0,212,5.5,12,0.462,3,8.3,0.361,2.5,3.7,0.688,2.5,3.2,0.786,2.5,5.5,8.1,1.8,1.6,0.7,0.7,5.5,16.6,129,115
Malcolm Hill,SG,26,ATL,3,0,46,5.3,8.5,0.625,3.2,5.3,0.6,2.1,3.2,0.667,4.3,4.3,1,2.1,4.3,6.4,1.1,4.3,1.1,0,7.5,18.2,182,110
Malcolm Hill,SF,26,CHI,16,0,166,5.6,12.9,0.432,2.9,9.1,0.323,2.6,3.8,0.692,2.1,2.9,0.7,2.6,5.9,8.5,2.1,0.9,0.6,0.9,5,16.2,120,116
Solomon Hill,SF,30,ATL,13,1,139,1.1,7.1,0.15,0.7,4.6,0.154,0.4,2.5,0.143,0,0,NA,2.1,6,8.1,4.2,1.4,0.7,0.4,5.7,2.8,87,116
Nate Hinton,SG,22,IND,2,0,2,0,24.5,0,0,0,NA,0,24.5,0,0,0,NA,0,0,0,0,0,0,24.5,0,0,0,125
Jaylen Hoard,SF,22,OKC,7,5,240,8.9,18.3,0.489,1.8,5.1,0.36,7.1,13.2,0.538,1.2,2.8,0.429,6.1,11,17,3.5,1.2,1,1.6,2.8,20.9,115,111
Aaron Holiday,PG,25,TOT,63,15,1021,7.2,16.2,0.447,1.9,4.9,0.379,5.4,11.3,0.477,2.8,3.3,0.868,1.2,4.7,5.9,7.3,2,0.4,3.2,4.4,19.2,108,113
Aaron Holiday,PG,25,WAS,41,14,663,7.5,16,0.467,1.7,5,0.343,5.7,11,0.524,2.1,2.6,0.8,0.7,4.3,5,5.8,1.8,0.7,2.9,4.5,18.7,105,116
Aaron Holiday,PG,25,PHO,22,1,358,6.9,16.7,0.411,2.2,4.8,0.444,4.7,11.8,0.398,4.2,4.4,0.939,2,5.4,7.4,10.1,2.4,0,3.8,4.3,20,112,108
Jrue Holiday,PG,31,MIL,67,64,2207,10.4,20.8,0.501,2.9,7,0.411,7.5,13.8,0.547,3,3.9,0.761,1.5,5,6.6,9.9,2.4,0.6,4,2.9,26.7,117,112
Justin Holiday,SF-SG,32,TOT,74,65,2057,6.2,15.7,0.394,4.2,11.4,0.367,2,4.3,0.467,1.2,1.5,0.806,0.7,3.8,4.5,3,1.3,0.8,1.7,3.6,17.7,107,118
