player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg
Chaundee Brown Jr.,SG,23,ATL,3,2,83,5.3,14.8,0.36,3.6,8.9,0.4,1.8,5.9,0.3,3,3.6,0.833,0.6,7.7,8.3,2.4,1.2,0,0,4.1,17.2,118,116
Greg Brown III,SF,20,POR,48,6,640,6.2,14.5,0.426,1.5,4.7,0.311,4.7,9.8,0.481,3.4,5,0.677,2.9,7.4,10.3,2.7,2,1.8,2.7,6.9,17.2,102,114
Jaylen Brown,SF,25,BOS,66,66,2220,12.9,27.2,0.473,3.7,10.4,0.358,9.2,16.9,0.544,5.4,7.1,0.758,1.2,7.9,9,5.2,1.6,0.4,4,3.6,34.9,109,108
Moses Brown,C,22,TOT,40,6,345,9.3,15.7,0.593,0,0,NA,9.3,15.7,0.593,6.2,10.5,0.597,5.7,13.9,19.6,0.1,1,2.3,2.9,7.7,24.8,115,105
Moses Brown,C,22,DAL,26,1,169,8,14.9,0.54,0,0,NA,8,14.9,0.54,8,12.8,0.628,4.8,13.4,18.2,0.3,0.9,2.7,4.2,8.3,24.1,106,105
Moses Brown,C,22,CLE,14,5,176,10.5,16.5,0.638,0,0,NA,10.5,16.5,0.638,4.5,8.2,0.552,6.5,14.5,21,0,1.1,2,1.7,7.1,25.5,126,105
Sterling Brown,SG,26,DAL,49,3,628,4.7,12.4,0.381,2.2,7.4,0.304,2.5,5,0.492,1.1,1.2,0.933,2.1,9.9,11.9,2.7,1.1,0.6,1.8,4.5,12.8,102,109
Troy Brown Jr.,SF,22,CHI,66,7,1055,5,11.9,0.419,2.2,6.2,0.353,2.8,5.8,0.488,0.9,1.2,0.769,1.8,7.6,9.4,3.1,1.7,0.2,1.2,2.9,13.1,110,114
Jalen Brunson,SG,25,DAL,79,61,2524,10.1,20.1,0.502,1.9,5,0.373,8.2,15.1,0.545,3.6,4.2,0.84,0.9,5.3,6.2,7.5,1.3,0.1,2.5,3,25.6,118,112
Thomas Bryant,C,24,WAS,27,9,439,8.7,16.7,0.52,1.4,4.7,0.286,7.3,11.9,0.613,3.9,4.5,0.875,2.9,9.2,12.2,2.6,0.7,2.4,2.1,4.8,22.6,118,113
Shaq Buchanan,SG,25,MEM,2,0,10,4.8,19.1,0.25,0,9.6,0,4.8,9.6,0.5,0,0,NA,4.8,4.8,9.6,9.6,4.8,0,9.6,4.8,9.6,61,106
