player,level,gender,division,team_name,Turns,Ds,Assists,Points,plus_minus,team_games,turns_per_game,ds_per_game,ast_per_game,pts_per_game,pls_mns_per_game
Kailani Latimer,Division 1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Jonah Barry,Division 1,Men,Division 1 Men,Carleton CUT,3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
Joel Brown,Division 1,Men,Division 1 Men,Washington University Contra,12,4,5,2,-1,5,2.4,0.8,1,0.4,-0.2
Jocelyn Richison,Division 3,Women,Division 3 Women,Davenport Panthers,15,6,4,4,-1,5,3,1.2,0.8,0.8,-0.2
Jianwei Li,Division 1,Women,Division 1 Women,Pennsylvania Venus,5,2,1,1,-1,5,1,0.4,0.2,0.2,-0.2
Jessica Luu,Division 1,Women,Division 1 Women,Washington Element,3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
Jasmine Lin,Division 3,Women,Division 3 Women,Richmond Red Hots,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Jasmine Bowman,Division 1,Women,Division 1 Women,Utah Spiral Jetty,2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
Jake Hyman,Division 1,Men,Division 1 Men,Washington University Contra,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Jahiem Upchurch,Division 3,Men,Division 3 Men,Davenport Panthers,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Jackson Freeman,Division 1,Men,Division 1 Men,Washington University Contra,4,1,1,1,-1,5,0.8,0.2,0.2,0.2,-0.2
Isaiah Curtis,Division 3,Men,Division 3 Men,Claremont Braineaters,9,3,4,1,-1,6,1.5,0.5,0.666666667,0.166666667,-0.166666667
Ian Rock-Jones,Division 1,Men,Division 1 Men,Carleton CUT,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Ian Neal,Division 3,Men,Division 3 Men,Davenport Panthers,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Henry Charbeneau,Division 1,Men,Division 1 Men,Texas TUFF,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Hans Frautschi,Division 3,Men,Division 3 Men,Whitman Sweets,6,2,1,2,-1,6,1,0.333333333,0.166666667,0.333333333,-0.166666667
Hannah Lute,Division 3,Women,Division 3 Women,Union Jillz,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Hannah Kroeplin,Division 1,Women,Division 1 Women,Victoria Vikes,2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
Gwendolyn McGuire,Division 1,Women,Division 1 Women,Michigan Flywheel,2,0,1,0,-1,5,0.4,0,0.2,0,-0.2
Gretchen Pohl,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
Georgia Corson,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,3,1,1,0,-1,5,0.6,0.2,0.2,0,-0.2
Gabrielle Weaver,Division 3,Women,Division 3 Women,Portland UPRoar,2,1,0,0,-1,6,0.333333333,0.166666667,0,0,-0.166666667
Gabriel Scheck,Division 1,Men,Division 1 Men,Michigan Magnum,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Gabriel Graceffo,Division 3,Men,Division 3 Men,Richmond Spidermonkeys,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Gabe Borda,Division 1,Men,Division 1 Men,Georgia Jojah,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Ezra Marcus-Tyler,Division 3,Men,Division 3 Men,Claremont Braineaters,5,3,1,0,-1,6,0.833333333,0.5,0.166666667,0,-0.166666667
Eugenia Chow,Division 1,Women,Division 1 Women,North Carolina Pleiades,3,2,0,0,-1,7,0.428571429,0.285714286,0,0,-0.142857143
Emma Giamello,Division 3,Women,Division 3 Women,Portland UPRoar,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Ella Bolan,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,20,6,12,1,-1,6,3.333333333,1,2,0.166666667,-0.166666667
Elk Thomas-Toth,Division 3,Men,Division 3 Men,Carleton CHOP,6,4,0,1,-1,6,1,0.666666667,0,0.166666667,-0.166666667
Elise Gautier,Division 3,Women,Division 3 Women,Macalester Purse Snatchers,15,9,5,0,-1,6,2.5,1.5,0.833333333,0,-0.166666667
David Kimberly,Division 3,Men,Division 3 Men,Williams WUFO,2,0,0,1,-1,6,0.333333333,0,0,0.166666667,-0.166666667
Daniel Zhang,Division 1,Men,Division 1 Men,North Carolina Darkside,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Daniel Griffin,Division 3,Men,Division 3 Men,Oklahoma Christian Eagles,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Daisy Cuthbert,Division 1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,4,0,1,2,-1,5,0.8,0,0.2,0.4,-0.2
Connor Scott,Division 3,Men,Division 3 Men,Whitman Sweets,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
Colin Dunn,Division 3,Men,Division 3 Men,Oklahoma Christian Eagles,2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
Cindy Zhang,Division 1,Women,Division 1 Women,Tufts EWO,1,0,0,0,-1,5,0.2,0,0,0,-0.2
Chloe Pacetti,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,4,1,2,0,-1,6,0.666666667,0.166666667,0.333333333,0,-0.166666667
Charlotte Harkrader,Division 3,Women,Division 3 Women,Occidental WAC,1,0,0,0,-1,6,0.166666667,0,0,0,-0.166666667
