player,level,gender,division,team_name,Turns,Ds,Assists,Points,plus_minus,team_games,turns_per_game,ds_per_game,ast_per_game,pts_per_game,pls_mns_per_game
Corbin Smith,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,3,1,0,0,-2,5,0.6,0.2,0,0,-0.4
Clara Morton,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,25,3,18,2,-2,6,4.166666667,0.5,3,0.333333333,-0.333333333
Charles Harder,Division 3,Men,Division 3 Men,Middlebury Pranksters,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Chamonix Reynolds,Division 1,Women,Division 1 Women,Washington Element,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Cameron Knox,Division 1,Men,Division 1 Men,Ottawa Gee-Gees,5,1,1,1,-2,5,1,0.2,0.2,0.2,-0.4
Blythe Paetkau,Division 1,Women,Division 1 Women,Victoria Vikes,6,1,1,2,-2,5,1.2,0.2,0.2,0.4,-0.4
Billie Feigin,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Ben Noerager,Division 3,Men,Division 3 Men,Berry Bucks,8,2,1,3,-2,6,1.333333333,0.333333333,0.166666667,0.5,-0.333333333
Becky Chen,Division 1,Women,Division 1 Women,Pennsylvania Venus,9,2,2,3,-2,5,1.8,0.4,0.4,0.6,-0.4
Ava Zuckerman,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Audrey Dewey,Division 3,Women,Division 3 Women,Portland UPRoar,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Annalise Korch,Division 3,Women,Division 3 Women,Portland UPRoar,13,4,4,3,-2,6,2.166666667,0.666666667,0.666666667,0.5,-0.333333333
Anja Kottmann,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,7,5,0,0,-2,6,1.166666667,0.833333333,0,0,-0.333333333
Ancilla Marie Inocencio,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,6,0,0,4,-2,5,1.2,0,0,0.8,-0.4
Amelia Hayward,Division 3,Women,Division 3 Women,Middlebury Pranksters,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Allison Reilly,Division 1,Women,Division 1 Women,North Carolina Pleiades,17,2,10,3,-2,7,2.428571429,0.285714286,1.428571429,0.428571429,-0.285714286
Ainsley Waechter,Division 1,Women,Division 1 Women,Western Washington Chaos,3,0,0,1,-2,5,0.6,0,0,0.2,-0.4
Aimee Crozat,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333
Thomas O'Hanlon,Division 3,Men,Division 3 Men,Missouri S&T Miner Threat,5,1,1,0,-3,6,0.833333333,0.166666667,0.166666667,0,-0.5
Thomas Mazur,Division 1,Men,Division 1 Men,Pittsburgh En Sabah Nur,3,0,0,0,-3,5,0.6,0,0,0,-0.6
Tess Keyes,Division 1,Women,Division 1 Women,Oregon Fugue,4,1,0,0,-3,6,0.666666667,0.166666667,0,0,-0.5
Sylvia Erdely,Division 1,Women,Division 1 Women,Pennsylvania Venus,4,1,0,0,-3,5,0.8,0.2,0,0,-0.6
Sukhmani Grover,Division 1,Women,Division 1 Women,Pennsylvania Venus,3,0,0,0,-3,5,0.6,0,0,0,-0.6
Samantha Merritt,Division 1,Women,Division 1 Women,Carleton Syzygy,12,1,5,3,-3,6,2,0.166666667,0.833333333,0.5,-0.5
Samantha Medina,Division 1,Women,Division 1 Women,California - San Diego D-Co,5,1,1,0,-3,5,1,0.2,0.2,0,-0.6
Olivia Mueth,Division 3,Women,Division 3 Women,Union Jillz,5,0,1,1,-3,6,0.833333333,0,0.166666667,0.166666667,-0.5
Nicole Moran,Division 1,Women,Division 1 Women,California - San Diego D-Co,5,0,1,1,-3,5,1,0,0.2,0.2,-0.6
Molly Potts,Division 3,Women,Division 3 Women,Mount Holyoke Daisy Chain,21,10,6,2,-3,6,3.5,1.666666667,1,0.333333333,-0.5
milton adina,Division 3,Men,Division 3 Men,Oklahoma Christian Eagles,5,1,1,0,-3,5,1,0.2,0.2,0,-0.6
Michelle Wu,Division 1,Women,Division 1 Women,Tufts EWO,3,0,0,0,-3,5,0.6,0,0,0,-0.6
Michael Yu,Division 3,Men,Division 3 Men,Claremont Braineaters,5,0,1,1,-3,6,0.833333333,0,0.166666667,0.166666667,-0.5
Maggie McFerran,Division 3,Women,Division 3 Women,Richmond Red Hots,13,6,1,3,-3,6,2.166666667,1,0.166666667,0.5,-0.5
Mackenzie Dawson,Division 1,Women,Division 1 Women,Victoria Vikes,9,2,3,1,-3,5,1.8,0.4,0.6,0.2,-0.6
Lucy Brannon,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,12,5,1,3,-3,6,2,0.833333333,0.166666667,0.5,-0.5
Lara Gao,Division 3,Women,Division 3 Women,Mount Holyoke Daisy Chain,10,3,2,2,-3,6,1.666666667,0.5,0.333333333,0.333333333,-0.5
Ksenia Gotham,Division 1,Women,Division 1 Women,Western Washington Chaos,4,1,0,0,-3,5,0.8,0.2,0,0,-0.6
Kevin Wyle,Division 3,Men,Division 3 Men,Missouri S&T Miner Threat,5,1,1,0,-3,6,0.833333333,0.166666667,0.166666667,0,-0.5
Jolie Martin,Division 3,Women,Division 3 Women,Richmond Red Hots,11,6,0,2,-3,6,1.833333333,1,0,0.333333333,-0.5
Joel Escobar,Division 3,Men,Division 3 Men,Rochester Piggies,11,1,3,4,-3,6,1.833333333,0.166666667,0.5,0.666666667,-0.5
Jessie Finkelor,Division 1,Women,Division 1 Women,California - San Diego D-Co,21,2,13,3,-3,5,4.2,0.4,2.6,0.6,-0.6
Jesse Principe,Division 3,Women,Division 3 Women,Occidental WAC,3,0,0,0,-3,6,0.5,0,0,0,-0.5
Jason Manning,Division 1,Men,Division 1 Men,North Carolina Darkside,3,0,0,0,-3,6,0.5,0,0,0,-0.5
Jasmine Puska,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,5,0,1,1,-3,5,1,0,0.2,0.2,-0.6
Jakob Ayala,Division 1,Men,Division 1 Men,Washington University Contra,3,0,0,0,-3,5,0.6,0,0,0,-0.6
Jackson Knox (Berry),Division 3,Men,Division 3 Men,Berry Bucks,5,2,0,0,-3,6,0.833333333,0.333333333,0,0,-0.5
Isabella Lin,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,5,1,1,0,-3,6,0.833333333,0.166666667,0.166666667,0,-0.5
Inbal Armony,Division 3,Women,Division 3 Women,Macalester Purse Snatchers,4,1,0,0,-3,6,0.666666667,0.166666667,0,0,-0.5
Helen Buller,Division 3,Women,Division 3 Women,Union Jillz,3,0,0,0,-3,6,0.5,0,0,0,-0.5
Gian Asci,Division 3,Men,Division 3 Men,Franciscan Fatal,3,0,0,0,-3,6,0.5,0,0,0,-0.5
Ernesto Clarke,Division 1,Men,Division 1 Men,Georgia Jojah,4,0,0,1,-3,5,0.8,0,0,0.2,-0.6
Erica Clarke,Division 1,Women,Division 1 Women,Michigan Flywheel,3,0,0,0,-3,5,0.6,0,0,0,-0.6
Ella Khoury,Division 1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,8,1,0,4,-3,5,1.6,0.2,0,0.8,-0.6
Ella Barker,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,7,3,0,1,-3,5,1.4,0.6,0,0.2,-0.6
Eliana Norton,Division 1,Women,Division 1 Women,Oregon Fugue,12,4,4,1,-3,6,2,0.666666667,0.666666667,0.166666667,-0.5
Eli Chang,Division 1,Men,Division 1 Men,Brown Brownian Motion,5,2,0,0,-3,8,0.625,0.25,0,0,-0.375
Dylan Mullaney,Division 1,Women,Division 1 Women,California - San Diego D-Co,4,0,0,1,-3,5,0.8,0,0,0.2,-0.6
Danielle Dattler,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,17,5,3,6,-3,5,3.4,1,0.6,1.2,-0.6
Daniel Sutton,Division 3,Men,Division 3 Men,Whitman Sweets,3,0,0,0,-3,6,0.5,0,0,0,-0.5
Claire Bates,Division 1,Women,Division 1 Women,Victoria Vikes,5,1,0,1,-3,5,1,0.2,0,0.2,-0.6
Christina Coulton,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,3,0,0,0,-3,5,0.6,0,0,0,-0.6
Celia Nicholson,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,13,3,0,7,-3,6,2.166666667,0.5,0,1.166666667,-0.5
Cassandra Banuelos,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,5,1,1,0,-3,5,1,0.2,0.2,0,-0.6
Carinna Kinnaman,Division 3,Women,Division 3 Women,Middlebury Pranksters,8,4,1,0,-3,5,1.6,0.8,0.2,0,-0.6
Calliope Cutchins,Division 1,Women,Division 1 Women,Michigan Flywheel,24,2,13,6,-3,5,4.8,0.4,2.6,1.2,-0.6
Anna Mortensen,Division 3,Women,Division 3 Women,Occidental WAC,8,3,0,2,-3,6,1.333333333,0.5,0,0.333333333,-0.5
Anna Carlson,Division 1,Women,Division 1 Women,Oregon Fugue,9,1,3,2,-3,6,1.5,0.166666667,0.5,0.333333333,-0.5
Alexandra Lederman,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,4,0,0,1,-3,6,0.666666667,0,0,0.166666667,-0.5
Alexander (Zander) Lutz,Division 1,Men,Division 1 Men,Penn State Spank,11,2,4,2,-3,5,2.2,0.4,0.8,0.4,-0.6
Addison Hardin,Division 3,Women,Division 3 Women,Davenport Panthers,13,6,0,4,-3,5,2.6,1.2,0,0.8,-0.6
Vincent Zhang,Division 1,Men,Division 1 Men,NC State Alpha,6,0,2,0,-4,6,1,0,0.333333333,0,-0.666666667
Seth Fisher-Olvera,Division 1,Men,Division 1 Men,Washington University Contra,11,2,3,2,-4,5,2.2,0.4,0.6,0.4,-0.8
Samantha Coulton,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5,1,0,0,-4,5,1,0.2,0,0,-0.8
Raphael Epstein,Division 1,Men,Division 1 Men,Washington University Contra,6,1,1,0,-4,5,1.2,0.2,0.2,0,-0.8
Rachel Barkan,Division 1,Women,Division 1 Women,Michigan Flywheel,4,0,0,0,-4,5,0.8,0,0,0,-0.8
Poppy Wagner,Division 1,Women,Division 1 Women,Pennsylvania Venus,16,4,7,1,-4,5,3.2,0.8,1.4,0.2,-0.8
Natalie Lang-Ree,Division 3,Women,Division 3 Women,Carleton Eclipse,17,7,3,3,-4,6,2.833333333,1.166666667,0.5,0.5,-0.666666667
Nahlah Mkaouri,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,7,1,1,1,-4,5,1.4,0.2,0.2,0.2,-0.8
Miu Shiraiwa,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,6,1,0,1,-4,6,1,0.166666667,0,0.166666667,-0.666666667
Margaret Heffernan,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,12,4,1,3,-4,6,2,0.666666667,0.166666667,0.5,-0.666666667
Mae Browning,Division 1,Women,Division 1 Women,Vermont Ruckus,31,12,13,2,-4,6,5.166666667,2,2.166666667,0.333333333,-0.666666667
luxuan Chang,Division 3,Men,Division 3 Men,Claremont Braineaters,6,1,1,0,-4,6,1,0.166666667,0.166666667,0,-0.666666667
Lucy Leither,Division 3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,15,6,1,4,-4,6,2.5,1,0.166666667,0.666666667,-0.666666667
Lily Freeman,Division 3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,5,1,0,0,-4,6,0.833333333,0.166666667,0,0,-0.666666667
Jonathan Newman,Division 3,Men,Division 3 Men,Davenport Panthers,7,3,0,0,-4,6,1.166666667,0.5,0,0,-0.666666667
Fiona Cashin,Division 1,Women,Division 1 Women,Georgia Athena,26,7,6,9,-4,5,5.2,1.4,1.2,1.8,-0.8
Emma Jansen,Division 3,Women,Division 3 Women,St Olaf Vortex,8,4,0,0,-4,5,1.6,0.8,0,0,-0.8
Eliza Williams-Derry,Division 3,Women,Division 3 Women,Mount Holyoke Daisy Chain,28,7,9,8,-4,6,4.666666667,1.166666667,1.5,1.333333333,-0.666666667
Clara Moss,Division 1,Women,Division 1 Women,Michigan Flywheel,5,0,1,0,-4,5,1,0,0.2,0,-0.8
Claire Wilson-Black,Division 3,Women,Division 3 Women,Occidental WAC,11,0,2,5,-4,6,1.833333333,0,0.333333333,0.833333333,-0.666666667
Celeste Alden,Division 3,Women,Division 3 Women,Middlebury Pranksters,10,2,3,1,-4,5,2,0.4,0.6,0.2,-0.8
Cassidy Recker,Division 3,Women,Division 3 Women,Colorado College Zenith,23,4,13,2,-4,6,3.833333333,0.666666667,2.166666667,0.333333333,-0.666666667
Carolyn Rivero,Division 3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,12,3,1,4,-4,6,2,0.5,0.166666667,0.666666667,-0.666666667
Camden Thomason,Division 3,Women,Division 3 Women,Richmond Red Hots,11,4,1,2,-4,6,1.833333333,0.666666667,0.166666667,0.333333333,-0.666666667
Caleb Moran,Division 1,Men,Division 1 Men,Brown Brownian Motion,6,0,2,0,-4,8,0.75,0,0.25,0,-0.5
Brielle Ramsdal,Division 1,Women,Division 1 Women,Oregon Fugue,4,0,0,0,-4,6,0.666666667,0,0,0,-0.666666667
Benjamin Sparks,Division 3,Men,Division 3 Men,Bates Orange Whip,4,0,0,0,-4,6,0.666666667,0,0,0,-0.666666667
Andrew Li,Division 1,Men,Division 1 Men,North Carolina Darkside,7,1,0,2,-4,6,1.166666667,0.166666667,0,0.333333333,-0.666666667
Allison Ryan,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,12,2,1,5,-4,5,2.4,0.4,0.2,1,-0.8
Alexa Jeantette-Coca,Division 1,Women,Division 1 Women,Western Washington Chaos,12,0,3,5,-4,5,2.4,0,0.6,1,-0.8
Addelyne Lilley,Division 3,Women,Division 3 Women,Wellesley Whiptails,10,3,2,1,-4,6,1.666666667,0.5,0.333333333,0.166666667,-0.666666667
Shaelyn Woo,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,6,0,1,0,-5,6,1,0,0.166666667,0,-0.833333333
Ridge Huang,Division 1,Men,Division 1 Men,Cal Ursa Major,15,0,9,1,-5,5,3,0,1.8,0.2,-1
Olivia Benton,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,7,1,1,0,-5,6,1.166666667,0.166666667,0.166666667,0,-0.833333333
Nola Busansky,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,28,14,7,2,-5,6,4.666666667,2.333333333,1.166666667,0.333333333,-0.833333333
Natalie Collier,Division 1,Women,Division 1 Women,Western Washington Chaos,15,2,5,3,-5,5,3,0.4,1,0.6,-1
Morgan Bridges,Division 3,Women,Division 3 Women,Portland UPRoar,13,6,2,0,-5,6,2.166666667,1,0.333333333,0,-0.833333333
Liana Bradley,Division 1,Women,Division 1 Women,Colorado Quandary,11,1,2,3,-5,7,1.571428571,0.142857143,0.285714286,0.428571429,-0.714285714
Lauren Wu,Division 3,Women,Division 3 Women,Wellesley Whiptails,9,3,1,0,-5,6,1.5,0.5,0.166666667,0,-0.833333333
Haruna Krumholz,Division 1,Women,Division 1 Women,California - Santa Cruz Sol,6,0,1,0,-5,5,1.2,0,0.2,0,-1
Grace Prince,Division 3,Women,Division 3 Women,Carleton Eclipse,10,0,3,2,-5,6,1.666666667,0,0.5,0.333333333,-0.833333333
Emmett Young,Division 1,Men,Division 1 Men,Brown Brownian Motion,9,2,1,1,-5,8,1.125,0.25,0.125,0.125,-0.625
Emma Williamson,Division 1,Women,Division 1 Women,Colorado Quandary,21,3,11,2,-5,7,3,0.428571429,1.571428571,0.285714286,-0.714285714
Zane Bird Smith,Division 1,Women,Division 1 Women,California - Santa Cruz Sol,27,8,10,3,-6,5,5.4,1.6,2,0.6,-1.2
Zachary Sanders,Division 3,Men,Division 3 Men,Missouri S&T Miner Threat,30,4,16,4,-6,6,5,0.666666667,2.666666667,0.666666667,-1
Yasmin Banares,Division 3,Women,Division 3 Women,Davenport Panthers,33,13,8,6,-6,5,6.6,2.6,1.6,1.2,-1.2
Sonja Lee,Division 1,Women,Division 1 Women,Washington Element,11,3,1,1,-6,5,2.2,0.6,0.2,0.2,-1.2
Sarah Clarke,Division 3,Women,Division 3 Women,Richmond Red Hots,7,1,0,0,-6,6,1.166666667,0.166666667,0,0,-1
Sage Migon,Division 1,Women,Division 1 Women,Utah Spiral Jetty,7,0,0,1,-6,5,1.4,0,0,0.2,-1.2
Mia Beeman-Weber,Division 1,Women,Division 1 Women,Carleton Syzygy,22,3,13,0,-6,6,3.666666667,0.5,2.166666667,0,-1
Meghan Quigley,Division 1,Women,Division 1 Women,Michigan Flywheel,8,1,0,1,-6,5,1.6,0.2,0,0.2,-1.2
Mae Kline,Division 1,Women,Division 1 Women,Georgia Athena,7,1,0,0,-6,5,1.4,0.2,0,0,-1.2
Madison Ong,Division 1,Women,Division 1 Women,British Columbia Thunderbirds,13,0,6,1,-6,6,2.166666667,0,1,0.166666667,-1
Karina Illingworth,Division 1,Women,Division 1 Women,Utah Spiral Jetty,7,0,1,0,-6,5,1.4,0,0.2,0,-1.2
Hannah Pierce,Division 3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,10,2,1,1,-6,6,1.666666667,0.333333333,0.166666667,0.166666667,-1
Grace McCann,Division 3,Women,Division 3 Women,Davenport Panthers,6,0,0,0,-6,5,1.2,0,0,0,-1.2
Emily Pozzy,Division 1,Women,Division 1 Women,Vermont Ruckus,34,13,11,4,-6,6,5.666666667,2.166666667,1.833333333,0.666666667,-1
Elizabeth Rosen,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,13,3,1,3,-6,6,2.166666667,0.5,0.166666667,0.5,-1
Claire Knopf,Division 3,Women,Division 3 Women,Macalester Purse Snatchers,17,6,3,2,-6,6,2.833333333,1,0.5,0.333333333,-1
Caroline Cooper,Division 3,Women,Division 3 Women,Carleton Eclipse,13,4,3,0,-6,6,2.166666667,0.666666667,0.5,0,-1
Caroline Bach,Division 1,Women,Division 1 Women,Pennsylvania Venus,16,1,4,5,-6,5,3.2,0.2,0.8,1,-1.2
brodie monohan,Division 3,Men,Division 3 Men,Whitman Sweets,16,3,4,3,-6,6,2.666666667,0.5,0.666666667,0.5,-1
Ariana O'Shea,Division 1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,10,1,1,2,-6,5,2,0.2,0.2,0.4,-1.2
Antara Ramkumar,Division 3,Women,Division 3 Women,Wellesley Whiptails,7,1,0,0,-6,6,1.166666667,0.166666667,0,0,-1
Rosa Rudolph,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,18,8,1,2,-7,5,3.6,1.6,0.2,0.4,-1.4
Reece Liu,Division 3,Women,Division 3 Women,Mount Holyoke Daisy Chain,22,4,3,8,-7,6,3.666666667,0.666666667,0.5,1.333333333,-1.166666667
Parker Bert,Division 1,Women,Division 1 Women,Utah Spiral Jetty,7,0,0,0,-7,5,1.4,0,0,0,-1.4
Mia Smith,Division 3,Women,Division 3 Women,Colorado College Zenith,14,2,2,3,-7,6,2.333333333,0.333333333,0.333333333,0.5,-1.166666667
Lilian Liu,Division 1,Women,Division 1 Women,Pennsylvania Venus,9,0,0,2,-7,5,1.8,0,0,0.4,-1.4
Lauren Feeney,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,7,0,0,0,-7,5,1.4,0,0,0,-1.4
Grace Sokolow,Division 3,Women,Division 3 Women,Middlebury Pranksters,10,3,0,0,-7,5,2,0.6,0,0,-1.4
Emma Steckline,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,13,4,1,1,-7,6,2.166666667,0.666666667,0.166666667,0.166666667,-1.166666667
Emily Kay-Leighton,Division 1,Women,Division 1 Women,Victoria Vikes,16,1,6,2,-7,5,3.2,0.2,1.2,0.4,-1.4
Celia Plaut,Division 3,Women,Division 3 Women,Occidental WAC,7,0,0,0,-7,6,1.166666667,0,0,0,-1.166666667
Benjamin Zhu,Division 1,Men,Division 1 Men,Penn State Spank,8,0,1,0,-7,5,1.6,0,0.2,0,-1.4
Anna Fisher Lopez,Division 1,Women,Division 1 Women,Stanford Superfly,23,3,10,3,-7,7,3.285714286,0.428571429,1.428571429,0.428571429,-1
Andrew Clayton,Division 3,Men,Division 3 Men,Missouri S&T Miner Threat,9,0,0,2,-7,6,1.5,0,0,0.333333333,-1.166666667
Adella Catanzaro,Division 3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,11,4,0,0,-7,6,1.833333333,0.666666667,0,0,-1.166666667
Rachel Chang,Division 1,Women,Division 1 Women,California - Santa Cruz Sol,23,1,13,1,-8,5,4.6,0.2,2.6,0.2,-1.6
Olivia Bordon,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,11,2,0,1,-8,6,1.833333333,0.333333333,0,0.166666667,-1.333333333
Lily Nygard,Division 1,Women,Division 1 Women,Utah Spiral Jetty,15,2,2,3,-8,5,3,0.4,0.4,0.6,-1.6
Lexie Buckley,Division 1,Women,Division 1 Women,California - Santa Cruz Sol,9,1,0,0,-8,5,1.8,0.2,0,0,-1.6
Kelsey Viadro,Division 3,Women,Division 3 Women,Colorado College Zenith,14,4,2,0,-8,6,2.333333333,0.666666667,0.333333333,0,-1.333333333
Eleanor Wachtel,Division 1,Women,Division 1 Women,Utah Spiral Jetty,13,1,0,4,-8,5,2.6,0.2,0,0.8,-1.6
Taryn Webster,Division 1,Women,Division 1 Women,Victoria Vikes,13,3,1,0,-9,5,2.6,0.6,0.2,0,-1.8
Megan Kraut,Division 3,Women,Division 3 Women,Richmond Red Hots,13,2,0,2,-9,6,2.166666667,0.333333333,0,0.333333333,-1.5
Maya Sisk,Division 3,Women,Division 3 Women,Occidental WAC,9,0,0,0,-9,6,1.5,0,0,0,-1.5
Luiza Pessoa,Division 3,Women,Division 3 Women,Richmond Red Hots,12,2,0,1,-9,6,2,0.333333333,0,0.166666667,-1.5
Leina Goto,Division 3,Women,Division 3 Women,St Olaf Vortex,18,1,5,3,-9,5,3.6,0.2,1,0.6,-1.8
James Fishman-Morren,Division 3,Men,Division 3 Men,Lewis & Clark Bacchus,18,1,4,4,-9,6,3,0.166666667,0.666666667,0.666666667,-1.5
Bella Russell,Division 1,Women,Division 1 Women,North Carolina Pleiades,16,1,6,0,-9,7,2.285714286,0.142857143,0.857142857,0,-1.285714286
Amelie Steer,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,28,7,12,0,-9,5,5.6,1.4,2.4,0,-1.8
Adeline Fabel,Division 3,Women,Division 3 Women,Occidental WAC,14,4,0,1,-9,6,2.333333333,0.666666667,0,0.166666667,-1.5
Shanti Chier,Division 1,Women,Division 1 Women,Carleton Syzygy,25,1,8,6,-10,6,4.166666667,0.166666667,1.333333333,1,-1.666666667
Rachel Abrahams,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,12,0,0,2,-10,5,2.4,0,0,0.4,-2
Mitchell Gordon,Division 3,Men,Division 3 Men,Missouri S&T Miner Threat,11,1,0,0,-10,6,1.833333333,0.166666667,0,0,-1.666666667
Marin Cohan,Division 1,Women,Division 1 Women,Western Washington Chaos,25,10,2,3,-10,5,5,2,0.4,0.6,-2
Jamie Eldridge,Division 3,Women,Division 3 Women,Mount Holyoke Daisy Chain,42,10,20,2,-10,6,7,1.666666667,3.333333333,0.333333333,-1.666666667
Grace Bradley,Division 1,Women,Division 1 Women,California - Santa Cruz Sol,12,1,1,0,-10,5,2.4,0.2,0.2,0,-2
Quincy Booth,Division 1,Women,Division 1 Women,Georgia Athena,49,11,25,2,-11,5,9.8,2.2,5,0.4,-2.2
Persie Baroody,Division 3,Women,Division 3 Women,Colorado College Zenith,17,4,0,2,-11,6,2.833333333,0.666666667,0,0.333333333,-1.833333333
Nora Youngelson,Division 3,Women,Division 3 Women,Occidental WAC,26,9,6,0,-11,6,4.333333333,1.5,1,0,-1.833333333
Lucy Bridal,Division 1,Women,Division 1 Women,Victoria Vikes,12,0,1,0,-11,5,2.4,0,0.2,0,-2.2
Kristen Bellinger,Division 3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,12,0,0,1,-11,6,2,0,0,0.166666667,-1.833333333
Keely Baker,Division 1,Women,Division 1 Women,Georgia Athena,12,0,1,0,-11,5,2.4,0,0.2,0,-2.2
Josie Fenske,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,31,10,9,1,-11,5,6.2,2,1.8,0.2,-2.2
EmmaChaya Lipton-Praver,Division 3,Women,Division 3 Women,Wellesley Whiptails,24,9,4,0,-11,6,4,1.5,0.666666667,0,-1.833333333
Emma Feldman,Division 3,Women,Division 3 Women,Wellesley Whiptails,28,2,13,2,-11,6,4.666666667,0.333333333,2.166666667,0.333333333,-1.833333333
Luca Pieretti,Division 3,Women,Division 3 Women,Colorado College Zenith,29,8,4,5,-12,6,4.833333333,1.333333333,0.666666667,0.833333333,-2
Koume Matsutori,Division 1,Women,Division 1 Women,Washington Element,12,0,0,0,-12,5,2.4,0,0,0,-2.4
Zoe Marquis,Division 3,Women,Division 3 Women,Carleton Eclipse,23,3,5,2,-13,6,3.833333333,0.5,0.833333333,0.333333333,-2.166666667
Xuan Feldman,Division 1,Women,Division 1 Women,California - San Diego D-Co,22,7,2,0,-13,5,4.4,1.4,0.4,0,-2.6
Nora Jacobsen,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,32,10,8,1,-13,6,5.333333333,1.666666667,1.333333333,0.166666667,-2.166666667
Maggie Brown,Division 3,Women,Division 3 Women,Wesleyan Vicious Circles,28,3,7,5,-13,6,4.666666667,0.5,1.166666667,0.833333333,-2.166666667
Claire Ward,Division 3,Women,Division 3 Women,Union Jillz,45,9,13,10,-13,6,7.5,1.5,2.166666667,1.666666667,-2.166666667
Arenaria Cramer,Division 3,Men,Division 3 Men,Claremont Braineaters,26,0,12,1,-13,6,4.333333333,0,2,0.166666667,-2.166666667
Grace Brown,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,32,2,16,0,-14,5,6.4,0.4,3.2,0,-2.8
Claire Lee,Division 3,Women,Division 3 Women,Macalester Purse Snatchers,89,43,28,4,-14,6,14.83333333,7.166666667,4.666666667,0.666666667,-2.333333333
Galileo Fries,Division 3,Women,Division 3 Women,Colorado College Zenith,26,2,9,0,-15,6,4.333333333,0.333333333,1.5,0,-2.5
Mia Tomay Bongcaron,Division 1,Women,Division 1 Women,Georgia Athena,22,2,3,1,-16,5,4.4,0.4,0.6,0.2,-3.2
Grace Goldenberg,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,28,2,10,0,-16,5,5.6,0.4,2,0,-3.2
Eleanor Wheeler,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,26,3,6,1,-16,6,4.333333333,0.5,1,0.166666667,-2.666666667
Kathryn Haynes,Division 3,Women,Division 3 Women,Union Jillz,49,8,17,6,-18,6,8.166666667,1.333333333,2.833333333,1,-3
Breanna Roussin,Division 1,Women,Division 1 Women,Victoria Vikes,26,4,3,1,-18,5,5.2,0.8,0.6,0.2,-3.6
Alicia Brolly,Division 1,Women,Division 1 Women,Victoria Vikes,23,1,2,1,-19,5,4.6,0.2,0.4,0.2,-3.8
Adi Megiddo,Division 3,Women,Division 3 Women,Macalester Purse Snatchers,30,2,7,2,-19,6,5,0.333333333,1.166666667,0.333333333,-3.166666667
Esther Filipek,Division 1,Women,Division 1 Women,Stanford Superfly,57,14,21,1,-21,7,8.142857143,2,3,0.142857143,-3
Krishangi Dandapure,Division 3,Women,Division 3 Women,Wellesley Whiptails,32,5,4,1,-22,6,5.333333333,0.833333333,0.666666667,0.166666667,-3.666666667
