"League","Away_team","Home_team","Away_shots","Home_shots","Away_goals","Home_goals","goals_per_game","goals_per_48"
"NLL","Saskatchewan Rush","Panther City Lacrosse Club",54,41,16,17,33,26.4
"NLL","Albany FireWolves","Halifax Thunderbirds",42,54,8,7,15,12
"NLL","Panther City Lacrosse Club","Colorado Mammoth",52,51,20,14,34,27.2
"NLL","Saskatchewan Rush","San Diego Seals",56,50,9,10,19,15.2
"NLL","Halifax Thunderbirds","Georgia Swarm",51,36,9,10,19,15.2
"NLL","New York Riptide","Rochester Knighthawks",52,58,15,12,27,21.6
"NLL","Philadelphia Wings","Buffalo Bandits",55,59,5,17,22,17.6
"NLL","Toronto Rock","Vancouver Warriors",54,37,14,5,19,15.2
"NLL","Saskatchewan Rush","Calgary Roughnecks",60,46,12,14,26,20.8
"NLL","Vancouver Warriors","Colorado Mammoth",59,50,16,17,33,26.4
"NLL","Georgia Swarm","Albany FireWolves",47,47,15,12,27,21.6
"NLL","Panther City Lacrosse Club","Calgary Roughnecks",42,51,14,11,25,20
"NLL","Rochester Knighthawks","Saskatchewan Rush",44,53,6,9,15,12
"NLL","Colorado Mammoth","San Diego Seals",49,51,7,9,16,12.8
"NLL","San Diego Seals","Vancouver Warriors",50,47,12,14,26,20.8
"NLL","Philadelphia Wings","Rochester Knighthawks",51,56,12,8,20,16
"NLL","Georgia Swarm","Toronto Rock",45,49,10,6,16,12.8
"NLL","Albany FireWolves","New York Riptide",49,39,6,15,21,16.8
"NLL","Halifax Thunderbirds","Buffalo Bandits",65,42,11,16,27,21.6
"NLL","Colorado Mammoth","Panther City Lacrosse Club",47,49,6,10,16,12.8
"NLL","Calgary Roughnecks","Saskatchewan Rush",43,54,8,6,14,11.2
"NLL","Buffalo Bandits","Philadelphia Wings",45,55,17,12,29,23.2
"NLL","Rochester Knighthawks","Halifax Thunderbirds",51,45,7,11,18,14.4
"NLL","Toronto Rock","Georgia Swarm",55,46,13,9,22,17.6
"NLL","Vancouver Warriors","Calgary Roughnecks",46,45,9,10,19,15.2
"NLL","San Diego Seals","Toronto Rock",48,61,7,14,21,16.8
"NLL","Philadelphia Wings","New York Riptide",45,48,11,5,16,12.8
"NLL","Buffalo Bandits","Colorado Mammoth",62,49,14,15,29,23.2
"NLL","Albany FireWolves","Vancouver Warriors",50,55,11,7,18,14.4
"NLL","Philadelphia Wings","San Diego Seals",51,53,13,12,25,20
"NLL","Toronto Rock","Rochester Knighthawks",53,49,11,9,20,16
"NLL","New York Riptide","Buffalo Bandits",54,54,15,12,27,21.6
"NLL","San Diego Seals","Colorado Mammoth",51,49,10,11,21,16.8
"NLL","Panther City Lacrosse Club","Calgary Roughnecks",38,48,4,14,18,14.4
"NLL","Vancouver Warriors","Saskatchewan Rush",50,55,13,15,28,22.4
"NLL","Panther City Lacrosse Club","San Diego Seals",38,55,11,10,21,16.8
"NLL","Philadelphia Wings","Albany FireWolves",44,58,5,11,16,12.8
"NLL","Halifax Thunderbirds","Toronto Rock",54,46,7,15,22,17.6
"NLL","Rochester Knighthawks","New York Riptide",43,44,7,15,22,17.6
"NLL","Buffalo Bandits","Georgia Swarm",65,37,18,9,27,21.6
"NLL","Colorado Mammoth","Saskatchewan Rush",31,50,8,9,17,13.6
"NLL","Calgary Roughnecks","Vancouver Warriors",55,46,15,13,28,22.4
"NLL","Halifax Thunderbirds","New York Riptide",55,38,16,13,29,23.2
"NLL","Georgia Swarm","Panther City Lacrosse Club",51,48,12,9,21,16.8
"NLL","San Diego Seals","Saskatchewan Rush",51,59,14,17,31,24.8
"NLL","Colorado Mammoth","Calgary Roughnecks",47,44,11,14,25,20
"NLL","Halifax Thunderbirds","Rochester Knighthawks",58,47,13,10,23,18.4
"NLL","New York Riptide","Albany FireWolves",35,48,9,17,26,20.8
"NLL","Toronto Rock","Buffalo Bandits",42,49,10,7,17,13.6
"NLL","Philadelphia Wings","Georgia Swarm",43,63,11,10,21,16.8
"NLL","Saskatchewan Rush","Panther City Lacrosse Club",50,49,13,9,22,17.6
"NLL","San Diego Seals","Vancouver Warriors",54,48,10,9,19,15.2
"PLL","Redwoods","Cannons",33,30,12,11,23,23
"PLL","Chaos","Whipsnakes",15,31,7,13,20,20
"PLL","Atlas","Archers",24,26,6,18,24,24
"PLL","Cannons","Waterdogs",19,17,13,7,20,20
"PLL","Redwoods","Chrome",23,25,14,11,25,25
"PLL","Waterdogs","Chaos",26,16,14,12,26,26
"PLL","Cannons","Whipsnakes",34,30,14,15,29,29
"PLL","Atlas","Redwoods",25,26,12,9,21,21
"PLL","Waterdogs","Chrome",26,15,14,9,23,23
"PLL","Archers","Chaos",33,16,12,8,20,20
"PLL","Atlas","Whipsnakes",21,27,11,12,23,23
"PLL","Chaos","Redwoods",21,23,11,9,20,20
"PLL","Archers","Waterdogs",28,17,17,8,25,25
"PLL","Atlas","Cannons",36,22,18,17,35,35
"PLL","Whipsnakes","Chrome",27,28,6,16,22,22
"PLL","Chrome","Archers",21,23,8,7,15,15
"PLL","Waterdogs","Redwoods",28,26,16,19,35,35
"PLL","Chaos","Cannons",25,27,14,10,24,24
"PLL","Atlas","Chrome",21,21,16,10,26,26
"PLL","Archers","Whipsnakes",18,29,14,15,29,29
"PLL","Cannons","Waterdogs",17,31,7,19,26,26
