"","player","birdie_avg","bogey_avg","PKD","C1R","C2R","FWY","SCR","OB/18","C1X","C2P","tot_SG:TG","tot_SG:P","events","rounds","wins","podiums","top_10s","top_20s","avg_place","top_10%","top_20%","total_earnings","total_strokes"
"39","Emerson Keith",6.24,2.86,9.52,37.87,60.77,77.51,30.68,1.84,83.01,23.48,26.59,2.81,9,29,0,0,0,1,36.33,0,11.11,4348,1802
"40","Silver Lätt",6.24,3.77,11.51,30.95,55.16,69.42,38.89,2.5,76.61,34.12,1.87,6.02,7,20,0,0,0,1,47.14,0,14.29,698,1204
"41","Luke Humphries",6.18,2.55,8.94,32.59,54.56,72.2,50,1.78,86.52,35.76,7.85,35.58,10,33,0,1,1,4,28.2,10,40,11920,2048
"42","Andrew Miranda",6.13,3.38,10.21,37.68,61.62,79.41,34.55,2.03,73.94,22.62,14.5,-17.25,5,16,0,0,0,0,54.8,0,0,1594,985
"43","Alden Harris",6.06,2.82,9.6,37.87,57.42,74.33,43.8,2.17,82.18,13.73,48.98,-12.69,10,33,0,0,0,2,33.1,0,20,4329,2067
"44","Joona Heinänen",6.06,2.94,10.86,39.8,62.17,77.03,35,1.84,78.76,18.89,38.29,-8.12,5,17,0,0,0,2,34.2,0,40,3943,1078
"45","Ty Love",6.04,2.96,7.89,35.37,58.52,76.71,38.67,1.97,78.88,23.53,18.08,-8.92,8,26,0,0,1,2,37.38,12.5,25,3698,1630
"46","Robert Burridge",6.03,2.94,9.54,41.75,64.61,79.75,39.29,1.68,73.44,19.29,61.64,-22.53,10,31,0,0,2,4,25.9,20,40,6956,1743
"47","Nathan Queen",5.96,3,8.16,34.95,56.89,75.75,42.11,1.7,80.19,19.05,6.54,-2.93,8,25,0,0,1,1,39,12.5,12.5,3256,1570
"48","Fredy Meza",5.95,3.4,8.1,32.39,57.39,76.28,40.68,1.9,85,33.33,-0.89,12,6,20,0,0,0,1,53.17,0,16.67,2495,1258
"49","Garrett Gurthie",5.91,3.16,10.4,37.57,58.38,74.17,39.47,2.53,78.73,19.08,51.3,-6.47,10,32,0,0,1,2,41.4,10,20,5223,2012
"50","Albert Tamm",5.9,2.77,9.98,41.92,64.67,77.09,42.27,2.05,74.48,15.33,59.22,-28.12,10,31,0,0,1,2,40.6,10,20,5275,1945
"51","Matt Bell",5.88,2.77,5.41,27.32,51.03,71.86,45.57,1.72,88.63,33.87,-0.16,29.8,8,26,0,0,0,2,22,0,25,5776,1484
"52","Silas Schultz",5.82,3.25,10.8,39.91,64.32,78.9,35.71,2.03,63.78,24.09,65,-51.13,9,28,0,0,1,1,39.44,11.11,11.11,3432,1765
"53","Eric Oakley",5.8,3.6,5,29.29,53.33,71.74,35.56,2.19,83.46,26.28,-23.34,8.46,8,25,0,0,0,0,60.13,0,0,856,1575
"54","Evan Smith",5.79,3.11,8.41,35.2,61.99,74.43,43.9,2.3,83.65,18.35,29.7,-5.08,6,19,0,0,0,1,39,0,16.67,3039,1200
"55","Chandler Fry",5.76,3.47,5.61,27.72,54.39,73.62,30,2.34,83.95,32.99,-14.48,14.94,6,17,0,0,0,0,44.33,0,0,671,940
"56","Jared Stoll",5.74,3.78,7.79,31.63,55.23,70.63,26.88,3.07,80.83,23.02,0.87,-3.63,9,27,0,0,0,1,57,0,11.11,1185,1712
"57","James Conrad",5.66,3.07,8.71,32.78,56.85,75.57,38.54,2.24,82.51,18.06,30.99,-4.89,9,29,0,0,0,1,49.89,0,11.11,3620,1830
"58","Paul Oman",5.61,2.94,6.2,30.17,55.37,79.17,31.91,2.23,83.78,25.93,-1.49,3.56,6,18,0,0,0,0,49.17,0,0,1177,1127
