Rider,Points,Points Back,Events,Outs,Rides,Buckoffs,prop.Ridden,Avg Ride Score,Highest RideScore,Avg Buckoff Time,Round Wins,Event Wins,ReRides Taken,Earnings,90Pt Rides
Joe Robinson,0,288,1,2,0,2,0,0,0,2.06,0,0,0,0,0
James Cole,0,288,1,1,0,1,0,0,0,3.33,0,0,0,0,0
Quantavous Swint,0,288,1,2,0,2,0,0,0,2.24,0,0,0,0,0
Adam Love,0,288,1,2,0,2,0,0,0,1.46,0,0,0,0,0
Theo Williams,0,288,1,1,0,1,0,0,0,1.57,0,0,0,0,0
Troy McArthur,0,288,1,2,0,2,0,0,0,1.18,0,0,0,0,0
Isaiah Taylor,0,288,1,1,0,1,0,0,0,2.84,0,0,0,0,0
Eric Herringer,0,288,1,1,0,1,0,0,0,2.26,0,0,0,0,0
Kaue Flora,0,288,1,2,0,2,0,0,0,2.72,0,0,0,0,0
Marcel Autman,0,288,1,1,0,1,0,0,0,3.37,0,0,0,0,0
Brek Sanderson,0,288,1,1,0,1,0,0,0,1.97,0,0,0,0,0
Damien Wood,0,288,1,1,0,1,0,0,0,4.12,0,0,0,0,0
Sawyer Sibley,0,288,1,2,0,2,0,0,0,4.07,0,0,0,0,0
Leandro Aparecido da Silva,0,288,1,2,0,2,0,0,0,4.06,0,0,0,0,0
Dustin Sanchez,0,288,1,2,0,2,0,0,0,1.98,0,0,0,0,0
Weston Davidson,0,288,1,1,0,1,0,0,0,2.18,0,0,0,0,0
Myles Emmons,0,288,1,1,0,1,0,0,0,3.53,0,0,0,0,0
Andy Bohl,0,288,1,1,0,1,0,0,0,5.12,0,0,0,0,0
Amir Beardsley,0,288,1,1,0,1,0,0,0,1.82,0,0,0,0,0
Ethan Farrington,0,288,1,1,0,1,0,0,0,2.21,0,0,1,0,0
Brady Turgeon,0,288,1,1,0,1,0,0,0,3.2,0,0,0,0,0
Maverick Smith,0,288,1,2,0,2,0,0,0,2.6,0,0,0,0,0
Wayne Miller,0,288,1,1,0,1,0,0,0,2.32,0,0,0,0,0
Mauricio Pares Pinto,0,288,1,1,0,1,0,0,0,2.72,0,0,0,0,0
Vitor Crespo,0,288,1,1,0,1,0,0,0,3.87,0,0,0,0,0
Anthony Smith Jr,0,288,1,1,0,1,0,0,0,2.51,0,0,0,0,0
Brayden Kilcrease,0,288,1,2,0,2,0,0,0,3.37,0,0,0,0,0
Seth Hatch,0,288,1,1,0,1,0,0,0,3.31,0,0,0,0,0
Seth Prejean,0,288,1,1,0,1,0,0,0,2.57,0,0,0,0,0
Randy Fox,0,288,1,1,0,1,0,0,0,6.79,0,0,0,0,0
Gene Ratliff,0,288,1,1,0,1,0,0,0,2.63,0,0,0,0,0
Spencer Lipsey,0,288,1,1,0,1,0,0,0,5.82,0,0,0,0,0
Chauk Dees,0,288,1,2,0,2,0,0,0,5.07,0,0,0,0,0
Bryson Denton,0,288,1,1,0,1,0,0,0,4.7,0,0,0,0,0
