game_id,stint_id,home_lineup,away_lineup,n_pos,home_points,away_points,minutes,margin
0022200001,12,201143_203935_203943_1627759_1628369,200782_201935_202699_203954_1630178,15,10,13,3.3900000000000006,-20
0022200001,13,203935_203943_1627759_1627763_1628369,200782_201935_202699_203954_1630178,6,4,3,1.2199999999999989,16.666666666666668
0022200001,14,201933_203935_1627759_1627763_1628369,200782_201935_202699_1626149_1630178,7,6,5,1.9700000000000024,14.285714285714286
0022200001,15,203935_1627759_1627763_1628369_1628401,200782_201935_202699_1626149_1630178,27,15,9,5.32,22.22222222222222
0022200001,16,201143_203935_1627759_1628369_1628401,200782_201935_202699_203954_1629001,2,2,2,0.6000000000000014,0
0022200001,18,203935_203943_1627759_1627763_1628369,200782_201935_202699_203954_1629001,11,10,6,2.450000000000003,36.36363636363637
0022200001,19,203935_1627759_1627763_1628369_1629684,201935_202699_1626149_1627863_1629001,5,3,2,1.279999999999994,20
0022200001,20,203935_1627763_1628369_1628401_1629684,201935_202699_1626149_1627863_1629001,1,0,0,0.12000000000000455,0
0022200001,21,203935_1627763_1628369_1628401_1629684,201935_1626149_1627777_1627863_1629001,5,4,3,1.3299999999999983,20
0022200001,22,201933_203935_1627763_1628401_1629684,1626149_1627777_1627863_1629001_1630178,4,1,3,0.12000000000000455,-50
0022200001,23,201933_203935_1627763_1628401_1629684,1626149_1627863_1629001_1629680_1630178,10,5,6,2.1799999999999997,-10
0022200001,24,203943_1627759_1627763_1628401_1629684,203954_1627777_1627863_1629001_1630178,14,12,8,3.240000000000002,28.571428571428573
0022200001,25,203935_203943_1627759_1628369_1629684,200782_201935_202699_203954_1630178,5,0,0,1.1199999999999974,0
0022200001,26,201143_203935_1627759_1628369_1629684,200782_201935_202699_203954_1630178,22,11,15,4.950000000000003,-18.181818181818183
0022200013,1,101108_1626164_1628969_1629028_1629661,201580_203493_203915_1627827_1629029,28,11,12,6.68,-3.5714285714285716
0022200013,2,101108_1626164_1628969_1629028_1629661,203493_203501_1626174_1627827_1629029,2,2,1,0.4900000000000002,50
0022200013,3,1626164_1626166_1628470_1628969_1629111,203493_203501_1626174_1627827_1629029,2,0,0,0.5699999999999994,0
0022200013,4,1626164_1626166_1628470_1628969_1629111,203493_203501_1626174_1628467_1629029,9,4,12,2.030000000000001,-88.88888888888889
0022200013,5,1626164_1626166_1628470_1628969_1629111,203501_1626174_1628467_1629029_1630182,21,9,12,5.0699999999999985,-14.285714285714286
0022200013,6,101108_203967_1627814_1629028_1629661,203501_203915_1626174_1628467_1630182,2,0,0,0.16000000000000014,0
0022200013,7,101108_202687_203967_1627814_1629661,203501_203915_1627827_1628467_1630182,3,0,5,0.8500000000000014,-166.66666666666666
0022200013,8,101108_202687_203967_1626164_1627814,203501_203915_1627827_1628467_1630182,2,0,3,0.6699999999999999,-150
0022200013,9,101108_202687_1626164_1627814_1628969,203501_203915_1627827_1628467_1630182,4,2,3,0.8499999999999979,-25
0022200013,10,101108_202687_1626164_1626166_1628969,201580_203501_203915_1627827_1630182,2,0,0,0.4400000000000013,0
0022200013,11,101108_202687_1626164_1626166_1628969,201580_203493_1627827_1629029_1630182,3,0,2,0.6999999999999993,-66.66666666666667
0022200013,12,202687_1626164_1626166_1628969_1629661,201580_203493_1627827_1629029_1630182,3,0,2,0.6799999999999997,-66.66666666666667
0022200013,13,202687_1626164_1626166_1628969_1629661,201580_203493_203915_1627827_1629029,6,3,0,0.8399999999999999,50
0022200013,14,1626164_1626166_1628969_1629111_1629661,203493_203915_1626174_1627827_1629029,4,4,2,0.6099999999999994,50
0022200013,15,101108_1626164_1628969_1629111_1629661,203493_203915_1626174_1627827_1629029,3,1,2,0.6700000000000017,-33.333333333333336
0022200013,16,101108_202687_1626164_1628969_1629661,203493_203915_1626174_1627827_1629029,4,2,3,0.9200000000000017,-25
0022200013,17,101108_202687_1626164_1628969_1629661,203493_203501_1626174_1627827_1629029,8,4,3,1.4500000000000028,12.5
0022200013,18,101108_1626164_1628969_1629028_1629661,201580_203493_203501_1627827_1629029,14,9,5,3.5,28.571428571428573
0022200013,19,101108_1626164_1628969_1629028_1629661,203493_203501_1627827_1628467_1629029,10,10,5,1.8499999999999979,50
0022200013,20,101108_1626164_1628969_1629028_1629661,203493_203501_1626174_1628467_1629029,10,4,5,1.6900000000000013,-10
0022200013,21,1626164_1626166_1628470_1628969_1629111,203493_203501_1626174_1628467_1629029,4,4,0,0.5799999999999983,100
0022200013,22,1626164_1626166_1628470_1628969_1629111,1626174_1627827_1628467_1629029_1630182,1,0,0,0,0
0022200013,23,1626164_1626166_1628470_1628969_1629028,1626174_1627827_1628467_1629029_1630182,1,2,0,0.30000000000000426,200
0022200013,24,1626164_1626166_1627814_1628470_1629028,1626174_1627827_1628467_1629029_1630182,16,4,11,4.399999999999999,-43.75
0022200013,25,101108_1627814_1628969_1629006_1629028,203501_203915_1626174_1627827_1630182,4,0,5,1.0799999999999983,-125
0022200013,26,101108_1626164_1627814_1628969_1629028,203501_203915_1626174_1627827_1630182,7,7,2,1.8200000000000003,71.42857142857143
0022200013,27,1626164_1626166_1627814_1628969_1629028,203501_203915_1627827_1628467_1629029,7,7,2,1.3799999999999955,71.42857142857143
0022200013,28,1626164_1626166_1627814_1628969_1629028,203493_203915_1627827_1628467_1629029,10,9,3,2.780000000000001,60
0022200013,29,1626164_1626166_1627814_1628969_1629028,203493_1626174_1627827_1628467_1629029,5,4,2,1.5499999999999972,40
0022200013,30,1626164_1627814_1628470_1628969_1629028,203493_203915_1627827_1628467_1629029,2,0,3,0.240000000000002,-150
0022200013,31,1626164_1626166_1627814_1628969_1629028,203493_203915_1627827_1628467_1629029,2,2,0,0.5300000000000011,100
0022200010,1,203497_1626156_1626157_1630162_1630183,1628983_1629026_1629652_1630197_1630581,29,15,9,6.68,20.689655172413794
0022200010,2,203937_1626156_1626157_1630162_1630183,1628983_1629026_1629652_1630544_1630581,7,3,3,0.5,0
0022200010,3,203937_1626157_1629162_1630162_1630183,1628983_1629652_1630526_1630544_1631114,5,4,3,1.4500000000000002,20
0022200010,4,203937_1626157_1629162_1629669_1630162,1628983_1629647_1630526_1630544_1631114,5,5,3,0.9600000000000009,40
0022200010,5,203497_203937_1629162_1629669_1630162,1629647_1630526_1630544_1631114_1631172,6,4,2,0.7399999999999984,33.333333333333336
