Player,Surface,ReturnPointsWonPercentage,DoubleFaultPercentage,WinPercentage
Jordan Thompson,Clay,0.33632,0.01408,0.375
Jordan Thompson,Grass,0.3624,0.01306,0.64286
Jordan Thompson,Hard,0.36476,0.01397,0.55263
Francisco Cerundolo,Clay,0.4167,0.03475,0.55172
Francisco Cerundolo,Grass,0.39774,0.05165,0.75
Francisco Cerundolo,Hard,0.34967,0.03698,0.42857
Mariano Navone,Clay,0.43945,0.02334,0.63158
Lukas Klein,Hard,0.3365,0.04248,0.375
Rafael Nadal,Clay,0.40112,0.02515,0.625
Roman Safiullin,Clay,0.32781,0.04872,0.2
Roman Safiullin,Grass,0.37353,0.04743,0.625
Roman Safiullin,Hard,0.36667,0.04369,0.5
Giovanni Mpetshi Perricard,Clay,0.37205,0.04957,0.83333
Luciano Darderi,Clay,0.39719,0.0223,0.70833
Alexei Popyrin,Clay,0.35191,0.03784,0.58333
Alexei Popyrin,Hard,0.34853,0.03349,0.52
Pavel Kotov,Clay,0.40616,0.03173,0.6
Pavel Kotov,Hard,0.3559,0.03627,0.5
Thiago Seyboth Wild,Clay,0.38229,0.04444,0.5
Thiago Seyboth Wild,Hard,0.30975,0.03939,0.35714
Roberto Bautista Agut,Clay,0.40694,0.0216,0.5
Roberto Bautista Agut,Grass,0.36017,0.01591,0.6
Roberto Bautista Agut,Hard,0.34733,0.01806,0.375
Milos Raonic,Hard,0.31341,0.06422,0.54545
Botic Van De Zandschulp,Clay,0.4075,0.05851,0.44444
Botic Van De Zandschulp,Hard,0.35796,0.03628,0.4375
Christopher Oconnell,Clay,0.32708,0.04662,0
Christopher Oconnell,Grass,0.3156,0.01987,0.57143
Christopher Oconnell,Hard,0.34109,0.02013,0.5
Marcos Giron,Clay,0.38587,0.01858,0.45455
Marcos Giron,Grass,0.34524,0.02772,0.2
Marcos Giron,Hard,0.36267,0.01998,0.47059
Alexander Shevchenko,Clay,0.3755,0.02427,0.42857
Alexander Shevchenko,Hard,0.34626,0.03168,0.5
Juncheng Shang,Clay,0.35941,0.02899,0.2
Juncheng Shang,Hard,0.35611,0.02967,0.5
Lorenzo Musetti,Clay,0.39969,0.02019,0.52941
Lorenzo Musetti,Grass,0.37295,0.06168,0.66667
Lorenzo Musetti,Hard,0.34912,0.02722,0.39394
Arthur Fils,Clay,0.3924,0.05422,0.42105
Arthur Fils,Hard,0.33402,0.04535,0.5625
Dominik Koepfer,Clay,0.36563,0.03946,0.4
Dominik Koepfer,Hard,0.36932,0.03643,0.57692
Miomir Kecmanovic,Clay,0.38179,0.01926,0.4375
Miomir Kecmanovic,Grass,0.35153,0.02632,0.33333
Miomir Kecmanovic,Hard,0.37032,0.02535,0.46875
Roberto Carballes Baena,Clay,0.38907,0.02527,0.5
Roberto Carballes Baena,Grass,0.34529,0.04358,0.4
Roberto Carballes Baena,Hard,0.37094,0.02966,0.35714
Zhizhen Zhang,Clay,0.37831,0.02982,0.57895
Zhizhen Zhang,Grass,0.34761,0.02725,0.4
Zhizhen Zhang,Hard,0.34163,0.03008,0.48276
Aslan Karatsev,Clay,0.356,0.05157,0.33333
Aslan Karatsev,Grass,0.3447,0.06545,0.4
Aslan Karatsev,Hard,0.36444,0.07341,0.55556
Nicolas Moreno De Alboran,Clay,0.34298,0.01786,0.5
Nicolas Moreno De Alboran,Hard,0.30435,0.0406,0.16667
Yoshihito Nishioka,Clay,0.38322,0.02484,0.58333
Yoshihito Nishioka,Hard,0.33957,0.01612,0.40741
Brandon Nakashima,Clay,0.34337,0.01907,0.44444
Brandon Nakashima,Grass,0.32563,0.02153,0.2
Brandon Nakashima,Hard,0.34863,0.01805,0.41176
Cristian Garin,Clay,0.39146,0.03843,0.57143
Cristian Garin,Hard,0.359,0.0499,0.36364
Dusan Lajovic,Clay,0.38312,0.01852,0.5
Dusan Lajovic,Hard,0.33084,0.01515,0.43478
Nuno Borges,Clay,0.37138,0.03479,0.58333
Nuno Borges,Hard,0.34481,0.02763,0.42308
Borna Gojo,Hard,0.3497,0.03294,0.53333
Yibing Wu,Grass,0.35794,0.02278,0.2
Yibing Wu,Hard,0.35574,0.04945,0.4
Alex Michelsen,Clay,0.36741,0.029760000000000002,0.375
Alex Michelsen,Grass,0.35551,0.02586,0.66667
Alex Michelsen,Hard,0.36086,0.03235,0.44
Thiago Monteiro,Clay,0.36164,0.02479,0.57143
Borna Coric,Clay,0.37452,0.02642,0.44444
Borna Coric,Hard,0.37088,0.02788,0.5
Laslo Djere,Clay,0.36695,0.03357,0.5
Laslo Djere,Grass,0.31717,0.03073,0.57143
Laslo Djere,Hard,0.36369,0.03176,0.52381
Mikael Ymer,Grass,0.38971,0.05049,0.5
Denis Shapovalov,Clay,0.35677,0.08806,0.45455
Denis Shapovalov,Grass,0.36073,0.08411,0.57143
Denis Shapovalov,Hard,0.3584,0.07957,0.33333
Yannick Hanfmann,Clay,0.38453,0.02711,0.43478
Yannick Hanfmann,Grass,0.37391,0.02519,0.57143
Yannick Hanfmann,Hard,0.3346,0.02573,0.35
Christopher Eubanks,Clay,0.31016,0.04315,0
Christopher Eubanks,Grass,0.29836,0.03476,0.75
Christopher Eubanks,Hard,0.29278,0.03035,0.375
Michael Mmoh,Hard,0.35441,0.05036,0.6
Dominic Stricker,Hard,0.34992,0.02825,0.42857
Alexandre Muller,Clay,0.36709,0.0213,0.41667
Alexandre Muller,Hard,0.37548,0.02741,0.29412
Corentin Moutet,Clay,0.3879,0.01842,0.46667
Corentin Moutet,Grass,0.35973,0.0492,0.44444
Corentin Moutet,Hard,0.34356,0.02491,0.125
Lorenzo Sonego,Clay,0.33931,0.02838,0.47059
Lorenzo Sonego,Grass,0.34007,0.02096,0.33333
Lorenzo Sonego,Hard,0.33051,0.02003,0.4375
Mackenzie Mcdonald,Grass,0.37456,0.03392,0.54545
Mackenzie Mcdonald,Hard,0.38977,0.02961,0.5
Harold Mayot,Hard,0.36605,0.0322,0.57143
Thanasi Kokkinakis,Clay,0.32797,0.02849,0.33333
Thanasi Kokkinakis,Hard,0.32831,0.03393,0.40909
Sebastian Ofner,Clay,0.38413,0.03639,0.38095
Sebastian Ofner,Hard,0.34516,0.02826,0.51724
Andy Murray,Hard,0.36663,0.02692,0.42857
Alex Molcan,Clay,0.40916,0.03039,0.44444
Facundo Diaz Acosta,Clay,0.39797,0.03469,0.6
Facundo Diaz Acosta,Hard,0.32225,0.05566,0.16667
Gregoire Barrere,Clay,0.39453,0.02947,0.5
Gregoire Barrere,Grass,0.34543,0.0245,0.55556
Gregoire Barrere,Hard,0.34206,0.02771,0.3125
David Goffin,Clay,0.35854,0.03465,0.2
David Goffin,Hard,0.346,0.02243,0.28571
Aleksandar Kovacevic,Clay,0.31219,0.02787,0.16667
Aleksandar Kovacevic,Hard,0.32028,0.04721,0.375
John Isner,Grass,0.33333,0.03972,0.6
John Isner,Hard,0.2972,0.03097,0.33333
Dino Prizmic,Hard,0.38349,0.02687,0.16667
Terence Atmane,Hard,0.32,0.04498,0.14286
Jason Kubler,Hard,0.37783,0.03095,0.2
Dominic Thiem,Clay,0.35173,0.03674,0.53846
Dominic Thiem,Hard,0.33706,0.04,0.46667
Marc Andrea Huesler,Clay,0.33528,0.04299,0.28571
Marc Andrea Huesler,Grass,0.33469,0.04731,0.4
Marc Andrea Huesler,Hard,0.32162,0.03418,0.22222
Taro Daniel,Clay,0.38327,0.02564,0.4
Taro Daniel,Hard,0.34934,0.03464,0.34783
Fabio Fognini,Clay,0.44351,0.05091,0.55556
Fabio Fognini,Hard,0.38654,0.06944,0.57143
J J Wolf,Grass,0.3475,0.04449,0.5
J J Wolf,Hard,0.35552,0.04506,0.3913
Lloyd Harris,Grass,0.31589,0.02534,0.5
Lloyd Harris,Hard,0.28675,0.04489,0.3
Stan Wawrinka,Clay,0.36086,0.03098,0.5
Stan Wawrinka,Hard,0.3549,0.02628,0.38889
Facundo Bagnis,Clay,0.36195,0.02415,0.5
Radu Albot,Clay,0.43954,0.04194,0.66667
Radu Albot,Hard,0.375,0.03993,0.28571
Yu Hsiou Hsu,Hard,0.38803,0.02918,0.5
Luca Van Assche,Clay,0.40137,0.03107,0.46154
Luca Van Assche,Hard,0.3477,0.03421,0.41667
Zizou Bergs,Clay,0.35692,0.04525,0.42857
Zizou Bergs,Hard,0.34826,0.0325,0.4
Jaume Munar,Clay,0.4344,0.04046,0.52
Jaume Munar,Hard,0.37596,0.03787,0.25
Emilio Nava,Hard,0.30958,0.04234,0.16667
Rinky Hijikata,Grass,0.37552,0.0276,0.66667
Rinky Hijikata,Hard,0.38249,0.04064,0.45833
James Duckworth,Hard,0.30449,0.01989,0.41667
Yosuke Watanuki,Hard,0.31882,0.03778,0.33333
Daniel Evans,Clay,0.33755,0.04423,0
Daniel Evans,Hard,0.3614,0.0451,0.44828
Sumit Nagal,Clay,0.33598,0.01425,0.4
Sumit Nagal,Hard,0.35372,0.01393,0.5
Liam Broady,Grass,0.40661,0.04496,0.5
Liam Broady,Hard,0.38994,0.04313,0.4
Diego Schwartzman,Clay,0.41433,0.0349,0.28571
Diego Schwartzman,Hard,0.35327,0.03581,0.26667
Max Purcell,Clay,0.31099,0.02698,0.5
Max Purcell,Hard,0.34175,0.0385,0.35294
Filip Misolic,Clay,0.32663,0.02613,0.4
Quentin Halys,Hard,0.29372,0.05405,0.33333
Guido Pella,Clay,0.32233,0.03633,0.4
Guido Pella,Grass,0.34592,0.02326,0.6
Federico Coria,Clay,0.42951,0.03085,0.5
Arthur Rinderknech,Clay,0.33646,0.04509,0.42857
