"","fighter_name","Height","Weight","Reach","Stance","Birthyear","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
"1576","James Vick",75,155,76,"Orthodox",1987,4.13,39,3.31,60,0.26,33,57,0.7
"1577","Ketlen Vieira",68,135,68,"Orthodox",1991,2.66,36,3.84,53,2.19,48,92,0.5
"1578","Reginaldo Vieira",67,135,65,"Orthodox",1982,3.76,40,2.89,59,1.97,27,25,0.8
"1579","Rodolfo Vieira",72,185,73,"Orthodox",1989,1.66,42,3.06,42,7,47,0,1.6
"1580","Gian Villante",75,230,76,"Orthodox",1985,4.39,43,5.48,55,0.46,23,83,0
"1581","Ike Villanueva",73,225,73,"Orthodox",1984,3.62,40,6.93,37,0,0,0,0
"1582","Armando Villarreal",67,135,66,"Southpaw",1989,3.23,55,4.3,52,3.23,25,0,0
"1583","Yuri Villefort",72,170,73,"Orthodox",1991,3.18,43,5.42,55,2,35,40,0.3
"1584","Brandon Visher",66,135,68,"Orthodox",1984,2.55,45,3.76,42,0.67,20,0,0
"1585","Bobby Voelker",72,170,74,"Orthodox",1979,4.01,35,5.84,42,1.04,50,66,0
"1586","Alexander Volkanovski",66,145,71,"Orthodox",1988,6.02,55,3.31,60,2.09,34,72,0.3
"1587","Jacob Volkmann",69,155,71,"Southpaw",1980,1.19,34,1.78,52,3.19,48,52,2
"1588","Alexander Volkov",79,250,80,"Orthodox",1988,4.88,59,2.48,56,0.66,70,66,0.2
"1589","Chris Wade",70,155,70,"Orthodox",1987,1.7,53,1.75,51,2.6,51,55,1.1
"1590","TJ Waldburger",71,170,75,"Orthodox",1988,2.02,51,2.39,40,3.03,46,40,4.8
"1591","Chase Waldon",73,185,75,"Orthodox",1986,1.03,28,6.72,38,7.76,33,0,0
"1592","Rodney Wallace",69,205,72,"Switch",1981,1.13,46,3.44,45,6,54,28,1
"1593","Johnny Walker",78,205,82,"Orthodox",1992,4.41,72,3.51,31,0.4,100,60,1.2
"1594","James Wallace",70,155,69,"Orthodox",1992,0.52,28,3.41,35,0,0,0,0
