away_team,away_score,home_team,home_score,date
Brevard,2,Pfeiffer,0,2022-10-25
Endicott,2,University of New England,0,2022-10-25
Ripon,3,Mount Mary,0,2022-10-25
UW-River Falls,0,Simpson,4,2022-10-25
Macalester,0,Saint Mary's (Minn.),2,2022-10-25
St. Scholastica,1,Saint Benedict,3,2022-10-25
Carleton,0,St. Catherine,0,2022-10-25
Bethel,2,Concordia-Moorhead,0,2022-10-25
Hamline,1,Gustavus Adolphus,0,2022-10-25
SUNY Poly,4,Morrisville State,1,2022-10-25
Hilbert,1,Alfred State,2,2022-10-25
St. Vincent,0,Chatham,4,2022-10-25
Ithaca,2,RIT,1,2022-10-25
Greensboro,1,Methodist,3,2022-10-25
Plattsburgh State,4,SUNY Canton,0,2022-10-25
Fredonia State,1,Alfred,1,2022-10-25
William Peace,3,Meredith,1,2022-10-25
Oneonta State,0,Hartwick,0,2022-10-25
Millsaps,1,Belhaven,0,2022-10-25
La Roche,0,Penn State-Altoona,4,2022-10-25
Skidmore,2,Union,1,2022-10-25
Pitt-Greensburg,4,Mount Aloysius,0,2022-10-25
Wesleyan,1,Connecticut College,1,2022-10-25
Lancaster Bible,1,Goucher,0,2022-10-25
Sweet Briar,1,Eastern Mennonite,10,2022-10-25
Bryn Mawr,0,Swarthmore,5,2022-10-25
Johnson and Wales,4,Albertus Magnus,2,2022-10-25
Pitt-Bradford,1,Penn State-Behrend,6,2022-10-25
Curry,0,Gordon,2,2022-10-25
St. Lawrence,1,Clarkson,2,2022-10-25
Nichols,4,Roger Williams,6,2022-10-25
Mary Baldwin,1,Southern Virginia,2,2022-10-25
Principia,1,Fontbonne,5,2022-10-25
New England College,3,Eastern Nazarene,1,2022-10-25
Illinois Tech,2,Rockford,0,2022-10-25
Concordia (Wis.),2,UW-Oshkosh,1,2022-10-25
Illinois Wesleyan,2,Washington U.,3,2022-10-25
Coe,0,Luther,4,2022-10-25
Buena Vista,0,Dubuque,5,2022-10-25
St. Olaf,1,Augsburg,0,2022-10-25
Johns Hopkins,4,Dickinson,0,2022-10-26
Messiah,5,Lebanon Valley,0,2022-10-26
Albion,0,Calvin,2,2022-10-26
UW-La Crosse,2,UW-Platteville,0,2022-10-26
Stockton,0,Rowan,0,2022-10-26
Virginia Wesleyan,4,Randolph-Macon,1,2022-10-26
Kean,1,Montclair State,3,2022-10-26
Pacific Lutheran,1,Puget Sound,0,2022-10-26
Rutgers-Camden,1,TCNJ,6,2022-10-26
Washington and Lee,0,Lynchburg,0,2022-10-26
Emerson,0,Smith,0,2022-10-26
Elms,1,St. Joseph (Conn.),2,2022-10-26
WPI,1,Babson,2,2022-10-26
Westfield State,5,Plymouth State,0,2022-10-26
Randolph,1,Guilford,3,2022-10-26
Wellesley,1,Wheaton (Mass.),1,2022-10-26
St. Elizabeth,3,Clarks Summit,0,2022-10-26
William Paterson,0,Ramapo,3,2022-10-26
St. Joseph's (Maine),2,Colby-Sawyer,1,2022-10-26
Concordia-Chicago,0,Dominican,3,2022-10-26
Shenandoah,1,Bridgewater (Va.),7,2022-10-26
Wentworth,1,Western New England,3,2022-10-26
Cedar Crest,9,Valley Forge,0,2022-10-26
Bluffton,4,Manchester,0,2022-10-26
Washington College,1,McDaniel,2,2022-10-26
Westminster (Pa.),3,Bethany,0,2022-10-26
Anderson,2,Earlham,2,2022-10-26
Denison,0,Kenyon,2,2022-10-26
Albright,2,Eastern,1,2022-10-26
Mount St. Joseph,7,Defiance,0,2022-10-26
Adrian,6,Alma,2,2022-10-26
Farmingdale State,1,Mount St. Vincent,3,2022-10-26
Marymount,1,Immaculata,1,2022-10-26
Rosemont,0,Wilson,6,2022-10-26
Hollins,0,Roanoke,11,2022-10-26
St. John Fisher,4,Keuka,0,2022-10-26
Centenary (N.J.),0,Neumann,1,2022-10-26
Utica,0,Sage,1,2022-10-26
Brockport State,2,Nazareth,1,2022-10-26
DeSales,4,Delaware Valley,1,2022-10-26
Lawrence,0,Beloit,2,2022-10-26
North Central (Minn.),0,Martin Luther,7,2022-10-26
Monmouth,1,Cornell,1,2022-10-26
Keystone,3,Cairn,4,2022-10-26
Lasell,7,Rivier,1,2022-10-26
Lakeland,0,Concordia (Wis.),6,2022-10-26
Aurora,0,Benedictine,0,2022-10-26
Illinois College,2,Knox,1,2022-10-26
Hiram,0,Ohio Wesleyan,3,2022-10-26
Manhattanville,0,St. Joseph's (L.I.),1,2022-10-26
Lesley,1,Fitchburg State,1,2022-10-26
Mount Holyoke,0,Coast Guard,1,2022-10-26
Trinity (D.C.),2,Gallaudet,1,2022-10-26
Bard,0,Western Connecticut,4,2022-10-26
Notre Dame (Md.),0,Bryn Athyn,11,2022-10-26
Grove City,2,Washington and Jefferson,0,2022-10-26
Geneva,1,Waynesburg,2,2022-10-26
Blackburn,0,Westminster (Mo.),8,2022-10-26
Olivet,0,Trine,4,2022-10-26
Cabrini,7,Gwynedd-Mercy,0,2022-10-26
Alvernia,1,Widener,4,2022-10-26
Scranton,2,Penn State-Berks,1,2022-10-26
Mass-Boston,1,Bridgewater State,0,2022-10-26
Heidelberg,0,Capital,5,2022-10-26
St. Joseph's (Bklyn.),0,Sarah Lawrence,5,2022-10-26
Baldwin Wallace,0,Ohio Northern,2,2022-10-26
Franklin,0,Transylvania,5,2022-10-26
Springfield,1,Clark,2,2022-10-26
Hanover,1,Rose-Hulman,1,2022-10-26
Marietta,0,Otterbein,5,2022-10-26
John Carroll,4,Mount Union,3,2022-10-26
Mass-Dartmouth,1,Worcester State,1,2022-10-26
Franklin and Marshall,1,Gettysburg,1,2022-10-26
Norwich,0,Anna Maria,2,2022-10-26
Ferrum,5,Averett,2,2022-10-26
Mary Washington,3,Catholic,0,2022-10-26
Muskingum,1,Wilmington,6,2022-10-26
St. Mary's (Ind.),0,Hope,5,2022-10-26
Emmanuel,1,Simmons,0,2022-10-26
Marywood,1,Penn College,6,2022-10-26
Hood,0,York (Pa.),2,2022-10-26
Medaille,0,Houghton,3,2022-10-26
Vassar,0,RPI,0,2022-10-26
Stevens,4,Arcadia,1,2022-10-26
Wilkes,0,FDU-Florham,2,2022-10-26
Thiel,1,Allegheny,3,2022-10-26
SUNY-Maritime,1,SUNY-Old Westbury,5,2022-10-26
SUNY-Purchase,0,Mount St. Mary,9,2022-10-26
Dean,0,Regis (Mass.),3,2022-10-26
Wittenberg,0,DePauw,1,2022-10-26
Lycoming,2,Juniata,1,2022-10-26
Muhlenberg,1,Ursinus,4,2022-10-26
New Jersey City,1,Rutgers-Newark,1,2022-10-26
North Central (Ill.),1,Augustana,1,2022-10-26
North Park,0,Carroll,1,2022-10-26
Carthage,1,Elmhurst,0,2022-10-26
Wheaton (Ill.),4,Millikin,1,2022-10-26
Eureka,0,Greenville,9,2022-10-26
Alverno,0,St. Norbert,9,2022-10-26
Wisconsin Lutheran,1,MSOE,2,2022-10-26
Marian,1,Edgewood,1,2022-10-26
Northwestern (Minn.),3,Bethany Lutheran,2,2022-10-26
Willamette,0,Lewis and Clark,0,2022-10-26
Claremont-Mudd-Scripps,3,Whittier,3,2022-10-26
Pomona-Pitzer,3,Redlands,1,2022-10-26
Chapman,1,Occidental,0,2022-10-26
Cal Lutheran,0,La Verne,0,2022-10-26
King's,1,Misericordia,6,2022-10-27
Spalding,0,Webster,2,2022-10-27
Texas-Dallas,0,McMurry,0,2022-10-27
Sul Ross State,1,LeTourneau,0,2022-10-27
Howard Payne,1,East Texas Baptist,3,2022-10-27
University of the Ozarks,0,Hardin-Simmons,3,2022-10-27
Yeshiva,0,Sarah Lawrence,9,2022-10-27
Rochester,2,Case Western Reserve,2,2022-10-28
Southwestern,0,Trinity (Texas),5,2022-10-28
Emory,1,Carnegie Mellon,3,2022-10-28
Texas Lutheran,2,Schreiner,0,2022-10-28
Rhode Island College,0,Keene State,2,2022-10-28
Meredith,0,Southern Virginia,5,2022-10-28
Chicago,1,New York University,2,2022-10-28
Worcester State,4,Massachusetts Maritime,1,2022-10-28
Centenary (La.),0,Austin,2,2022-10-28
Washington U.,3,Brandeis,2,2022-10-28
Crown,0,Northland,1,2022-10-28
Minnesota-Morris,1,UW-Superior,3,2022-10-28
Redlands,0,Whittier,4,2022-10-28
Misericordia,6,Delaware Valley,0,2022-10-29
Franklin and Marshall,3,Johns Hopkins,6,2022-10-29
Salisbury,1,Christopher Newport,1,2022-10-29
Messiah,6,Widener,0,2022-10-29
Connecticut College,0,Amherst,3,2022-10-29
St. Lawrence,0,William Smith,0,2022-10-29
UW-La Crosse,2,UW-Whitewater,1,2022-10-29
Mary Hardin-Baylor,3,Concordia (Texas),1,2022-10-29
Roanoke,0,Virginia Wesleyan,4,2022-10-29
Whitman,0,Pacific Lutheran,2,2022-10-29
Stockton,0,TCNJ,1,2022-10-29
Whitworth,1,Puget Sound,2,2022-10-29
Ferrum,1,Washington and Lee,9,2022-10-29
Tufts,2,Williams,0,2022-10-29
Southern Maine,0,Western Connecticut,1,2022-10-29
Babson,2,Clark,0,2022-10-29
Framingham State,0,Fitchburg State,4,2022-10-29
St. Thomas (Texas),1,University of Dallas,2,2022-10-29
St. John Fisher,2,Elmira,1,2022-10-29
Lehman,0,John Jay,4,2022-10-29
Kalamazoo,0,Hope,1,2022-10-29
McDaniel,0,Ursinus,1,2022-10-29
Bridgewater State,3,MCLA,0,2022-10-29
New England College,0,Lesley,5,2022-10-29
Haverford,2,Swarthmore,1,2022-10-29
King's,1,DeSales,2,2022-10-29
NVU-Johnson,0,SUNY Delhi,2,2022-10-29
Bluffton,0,Anderson,4,2022-10-29
Colby-Sawyer,0,Lasell,4,2022-10-29
Trinity (Conn.),2,Middlebury,1,2022-10-29
Albion,0,Adrian,0,2022-10-29
Wesleyan,0,Bowdoin,0,2022-10-29
Hendrix,0,Rhodes,2,2022-10-29
University of the Ozarks,0,McMurry,0,2022-10-29
Keystone,8,Notre Dame (Md.),0,2022-10-29
Mount St. Mary,2,Farmingdale State,3,2022-10-29
Mass-Dartmouth,0,Eastern Connecticut,0,2022-10-29
Wellesley,3,Mount Holyoke,1,2022-10-29
John Carroll,7,Muskingum,1,2022-10-29
Wittenberg,0,Kenyon,2,2022-10-29
Randolph-Macon,0,Lynchburg,2,2022-10-29
Bryn Athyn,2,Wilson,1,2022-10-29
Guilford,18,Sweet Briar,1,2022-10-29
Medaille,0,Keuka,3,2022-10-29
Penn College,6,Wells,1,2022-10-29
Methodist,2,Pfeiffer,1,2022-10-29
St. Elizabeth,0,Cedar Crest,8,2022-10-29
St. Mary's (Md.),0,Penn State-Harrisburg,1,2022-10-29
Wooster,0,Denison,1,2022-10-29
Springfield,1,Emerson,2,2022-10-29
MIT,4,Smith,0,2022-10-29
Eastern,1,Lancaster Bible,2,2022-10-29
Arcadia,1,Wilkes,1,2022-10-29
Salem,0,Greensboro,0,2022-10-29
Oswego State,1,Plattsburgh State,0,2022-10-29
Maine-Presque Isle,1,Husson,3,2022-10-29
Oglethorpe,0,Centre,5,2022-10-29
Brooklyn,0,CCNY,4,2022-10-29
Washington and Jefferson,0,Grove City,2,2022-10-29
Hilbert,0,Penn State-Altoona,7,2022-10-29
Brockport State,2,New Paltz State,5,2022-10-29
Eastern Mennonite,10,Hollins,0,2022-10-29
Ohio Wesleyan,0,Oberlin,0,2022-10-29
Ohio Northern,5,Marietta,0,2022-10-29
Mary Baldwin,1,North Carolina Wesleyan,0,2022-10-29
Averett,0,Shenandoah,3,2022-10-29
Valley Forge,1,Trinity (D.C.),8,2022-10-29
Union,0,RIT,4,2022-10-29
RPI,0,Clarkson,0,2022-10-29
Ithaca,0,Vassar,1,2022-10-29
Wentworth,0,Western New England,3,2022-10-29
Albertus Magnus,2,Emmanuel,1,2022-10-29
Regis (Mass.),1,St. Joseph's (Maine),3,2022-10-29
Agnes Scott,0,Piedmont,4,2022-10-29
Edgewood,0,Concordia (Wis.),6,2022-10-29
Augsburg,2,Bethel,3,2022-10-29
Westminster (Mo.),0,Fontbonne,1,2022-10-29
St. Catherine,2,St. Olaf,1,2022-10-29
Gustavus Adolphus,0,Macalester,1,2022-10-29
Concordia-Moorhead,3,Hamline,0,2022-10-29
Saint Benedict,2,Carleton,2,2022-10-29
Principia,2,Eureka,0,2022-10-29
Webster,9,Blackburn,0,2022-10-29
Saint Mary's (Minn.),1,St. Scholastica,0,2022-10-29
La Verne,0,Caltech,1,2022-10-29
Cazenovia,2,SUNY Poly,1,2022-10-29
Bethany,0,Chatham,4,2022-10-29
Ripon,0,Illinois College,1,2022-10-29
Lake Forest,0,Grinnell,1,2022-10-29
Beloit,1,Cornell,0,2022-10-29
Lawrence,2,Monmouth,2,2022-10-29
Westfield State,6,Salem State,1,2022-10-29
Bridgewater (Va.),7,Randolph,0,2022-10-29
WPI,3,Coast Guard,3,2022-10-29
Alfred,0,Nazareth,1,2022-10-29
Bryn Mawr,0,Mary Washington,4,2022-10-29
Hartwick,0,Utica,1,2022-10-29
Skidmore,2,Bard,0,2022-10-29
Mount Aloysius,2,Alfred State,0,2022-10-29
Gordon,0,Roger Williams,2,2022-10-29
Manhattanville,2,St. Joseph's (L.I.),1,2022-10-29
Sul Ross State,0,East Texas Baptist,1,2022-10-29
UW-Oshkosh,2,UW-River Falls,1,2022-10-29
UW-Stevens Point,2,UW-Stout,1,2022-10-29
Millsaps,0,Sewanee,4,2022-10-29
Willamette,4,Pacific,2,2022-10-29
George Fox,0,Linfield,2,2022-10-29
Sage,3,Houghton,2,2022-10-29
Maine Maritime,2,Maine-Farmington,0,2022-10-29
Juniata,0,Scranton,3,2022-10-29
Elizabethtown,1,Catholic,2,2022-10-29
Susquehanna,1,Drew,0,2022-10-29
Moravian,1,Goucher,2,2022-10-29
Penn State-Berks,5,Morrisville State,0,2022-10-29
Rutgers-Camden,1,Rutgers-Newark,1,2022-10-29
Luther,3,Dubuque,1,2022-10-29
St. Norbert,0,Illinois Tech,2,2022-10-29
Mass-Boston,1,Castleton,0,2022-10-29
Northwestern (Minn.),3,Martin Luther,0,2022-10-29
Bethany Lutheran,4,North Central (Minn.),0,2022-10-29
LaGrange,1,Covenant,2,2022-10-29
William Peace,1,Brevard,2,2022-10-29
Hiram,0,DePauw,3,2022-10-29
Hood,2,Albright,1,2022-10-29
Lycoming,0,FDU-Florham,2,2022-10-29
UW-Platteville,1,UW-Eau Claire,1,2022-10-29
Spalding,1,Greenville,2,2022-10-29
Endicott,0,University of New England,1,2022-10-29
Salve Regina,2,Curry,4,2022-10-29
St. Joseph (Conn.),2,Johnson and Wales,5,2022-10-29
Lebanon Valley,0,York (Pa.),1,2022-10-29
Birmingham-Southern,0,Berry,2,2022-10-29
Huntingdon,0,Belhaven,2,2022-10-29
Central,1,Simpson,2,2022-10-29
Howard Payne,3,LeTourneau,2,2022-10-29
Texas-Dallas,0,Hardin-Simmons,1,2022-10-29
Mitchell,0,Eastern Nazarene,0,2022-10-29
Heidelberg,0,Wilmington,2,2022-10-29
Mount Union,1,Otterbein,1,2022-10-29
Baldwin Wallace,2,Capital,2,2022-10-29
Muhlenberg,0,Gettysburg,0,2022-10-29
Dickinson,1,Washington College,0,2022-10-29
Stevenson,1,Alvernia,1,2022-10-29
Transylvania,0,Mount St. Joseph,4,2022-10-29
Carthage,0,Wheaton (Ill.),1,2022-10-29
Augustana,0,Carroll,1,2022-10-29
Berea,1,Maryville (Tenn.),5,2022-10-29
Crown,2,UW-Superior,3,2022-10-29
Minnesota-Morris,3,Northland,0,2022-10-29
Cal Lutheran,1,Chapman,1,2022-10-29
Occidental,0,Claremont-Mudd-Scripps,1,2022-10-29
Emory,0,Case Western Reserve,1,2022-10-30
Texas Lutheran,0,Trinity (Texas),4,2022-10-30
Rochester,0,Carnegie Mellon,1,2022-10-30
Whitworth,1,Pacific Lutheran,2,2022-10-30
Whitman,1,Puget Sound,2,2022-10-30
Gallaudet,0,Penn State-Abington,6,2022-10-30
St. Thomas (Texas),5,Austin,2,2022-10-30
Chicago,2,Brandeis,2,2022-10-30
Washington U.,0,New York University,2,2022-10-30
Cazenovia,2,SUNY Delhi,4,2022-10-30
Maine Maritime,1,Husson,3,2022-10-30
Southwestern,0,Schreiner,0,2022-10-30
Lewis and Clark,1,George Fox,2,2022-10-30
Linfield,2,Pacific,2,2022-10-30
Centenary (La.),1,University of Dallas,1,2022-10-30
Yeshiva,0,Pratt,11,2022-10-30
FDU-Florham,1,DeSales,5,2022-10-31
Eureka,2,Mount Mary,2,2022-10-31
Keystone,0,Wilson,3,2022-10-31
Marymount,5,Centenary (N.J.),1,2022-10-31
Immaculata,0,Neumann,1,2022-10-31
Rosemont,0,Cairn,1,2022-10-31
Widener,1,Hood,1,2022-10-31
Guilford,0,Virginia Wesleyan,1,2022-11-01
Roanoke,0,Washington and Lee,2,2022-11-01
Keene State,0,Mass-Boston,4,2022-11-01
Franklin and Marshall,1,McDaniel,1,2022-11-01
Coast Guard,1,Babson,2,2022-11-01
Roger Williams,2,Western New England,2,2022-11-01
Macalester,1,St. Catherine,3,2022-11-01
Saint Mary's (Minn.),1,St. Olaf,2,2022-11-01
Concordia (Wis.),3,Dominican,1,2022-11-01
North Carolina Wesleyan,1,Mary Baldwin,3,2022-11-01
Albertus Magnus,0,Lasell,3,2022-11-01
Clarkson,2,Skidmore,2,2022-11-01
Alfred,0,Sage,1,2022-11-01
UW-Platteville,0,UW-Stevens Point,1,2022-11-01
Shenandoah,1,Bridgewater (Va.),1,2022-11-01
Randolph-Macon,0,Lynchburg,3,2022-11-01
Vassar,1,RIT,3,2022-11-01
Greensboro,1,William Peace,0,2022-11-01
Lehman,1,Yeshiva,1,2022-11-01
Brevard,0,Southern Virginia,0,2022-11-01
Wheaton (Mass.),2,Emerson,3,2022-11-01
Salem State,0,Fitchburg State,5,2022-11-01
UW-Oshkosh,0,UW-Eau Claire,2,2022-11-01
Spalding,0,Westminster (Mo.),1,2022-11-01
Principia,0,Greenville,6,2022-11-01
Salem,2,Methodist,5,2022-11-01
St. Joseph's (Maine),0,Johnson and Wales,1,2022-11-01
Curry,0,University of New England,3,2022-11-01
Framingham State,0,Worcester State,6,2022-11-01
Springfield,0,Clark,1,2022-11-01
Eastern Connecticut,1,Castleton,2,2022-11-01
Catholic,0,Scranton,1,2022-11-01
Baldwin Wallace,1,Otterbein,2,2022-11-01
Mount Union,1,John Carroll,3,2022-11-01
Gettysburg,0,Swarthmore,4,2022-11-01
Hartwick,1,Utica,2,2022-11-01
Drew,1,Susquehanna,0,2022-11-01
Illinois Tech,3,MSOE,2,2022-11-01
Sul Ross State,0,Concordia (Texas),3,2022-11-01
Texas-Dallas,0,McMurry,1,2022-11-01
DeSales,0,Misericordia,7,2022-11-02
Widener,0,Messiah,4,2022-11-02
Albion,1,Calvin,4,2022-11-02
Luther,0,Loras,5,2022-11-02
TCNJ,0,Rowan,1,2022-11-02
Rutgers-Camden,0,Montclair State,0,2022-11-02
Simpson,2,Wartburg,1,2022-11-02
Oswego State,0,Cortland State,2,2022-11-02
New Paltz State,2,Geneseo State,3,2022-11-02
Penn State-Altoona,0,Pitt-Greensburg,2,2022-11-02
Mount St. Joseph,0,Hanover,2,2022-11-02
Farmingdale State,2,Mount St. Vincent,0,2022-11-02
Denison,1,Kenyon,0,2022-11-02
Mount Aloysius,0,Penn State-Behrend,3,2022-11-02
St. Catherine,1,Saint Benedict,1,2022-11-02
St. Olaf,1,Carleton,3,2022-11-02
Anderson,0,Rose-Hulman,0,2022-11-02
Grove City,1,Franciscan,4,2022-11-02
North Central (Minn.),0,Maranatha Baptist,1,2022-11-02
Bethany Lutheran,0,Northwestern (Minn.),1,2022-11-02
Belhaven,1,Maryville (Tenn.),1,2022-11-02
Redlands,2,Pomona-Pitzer,3,2022-11-02
Cairn,0,Cedar Crest,5,2022-11-02
Covenant,0,Piedmont,1,2022-11-02
Wilson,0,Bryn Athyn,1,2022-11-02
Hope,0,Trine,3,2022-11-02
Lebanon Valley,1,York (Pa.),5,2022-11-02
Marymount,0,Marywood,3,2022-11-02
Neumann,1,Cabrini,1,2022-11-02
Lycoming,0,Stevens,2,2022-11-02
Ohio Wesleyan,2,DePauw,0,2022-11-02
Chatham,1,Westminster (Pa.),1,2022-11-02
Manhattanville,0,Sarah Lawrence,1,2022-11-02
Crown,0,UW-Superior,6,2022-11-02
Carroll,0,Illinois Wesleyan,4,2022-11-02
Whitworth,1,Whitman,1,2022-11-02
Wheaton (Ill.),0,North Central (Ill.),1,2022-11-02
Claremont-Mudd-Scripps,2,Cal Lutheran,1,2022-11-02
UW-Stevens Point,0,UW-La Crosse,4,2022-11-03
McMurry,0,Mary Hardin-Baylor,1,2022-11-03
Sage,0,Nazareth,2,2022-11-03
Emerson,3,Babson,2,2022-11-03
Pratt,0,Salisbury,11,2022-11-03
Mass-Boston,0,Western Connecticut,4,2022-11-03
Castleton,0,Southern Maine,2,2022-11-03
Utica,5,St. John Fisher,3,2022-11-03
Mitchell,0,New England College,1,2022-11-03
Mary Baldwin,1,Southern Virginia,2,2022-11-03
Greensboro,1,Methodist,2,2022-11-03
Greenville,3,Webster,1,2022-11-03
John Carroll,0,Capital,3,2022-11-03
Eastern Nazarene,0,Lesley,5,2022-11-03
Finlandia,0,Mary Washington,3,2022-11-03
Otterbein,0,Ohio Northern,0,2022-11-03
Clark,1,MIT,0,2022-11-03
UW-Eau Claire,1,UW-Whitewater,0,2022-11-03
Westminster (Mo.),1,Fontbonne,1,2022-11-03
CCNY,4,Yeshiva,0,2022-11-03
Concordia (Texas),0,Hardin-Simmons,1,2022-11-03
McDaniel,0,Johns Hopkins,3,2022-11-04
Salisbury,1,Christopher Newport,3,2022-11-04
Schreiner,0,Trinity (Texas),5,2022-11-04
RIT,0,William Smith,0,2022-11-04
Virginia Wesleyan,2,Washington and Lee,1,2022-11-04
St. Mary's (Md.),1,Penn State-Berks,3,2022-11-04
Clarkson,0,Ithaca,1,2022-11-04
Penn College,2,Penn State-Harrisburg,3,2022-11-04
Shenandoah,0,Lynchburg,1,2022-11-04
Rhodes,0,Sewanee,2,2022-11-04
Worcester State,0,Westfield State,2,2022-11-04
Mary Washington,1,UC Santa Cruz,0,2022-11-04
Fitchburg State,2,Bridgewater State,1,2022-11-04
Swarthmore,1,Dickinson,2,2022-11-04
Centre,3,Berry,1,2022-11-04
Southwestern,2,Texas Lutheran,2,2022-11-04
Stevens,2,Misericordia,5,2022-11-05
York (Pa.),0,Messiah,2,2022-11-05
Carnegie Mellon,0,Case Western Reserve,1,2022-11-05
Tufts,0,Amherst,1,2022-11-05
Trine,0,Calvin,1,2022-11-05
Simpson,1,Loras,6,2022-11-05
UW-Eau Claire,2,UW-La Crosse,3,2022-11-05
Mary Hardin-Baylor,1,Hardin-Simmons,0,2022-11-05
Rowan,2,Montclair State,1,2022-11-05
Rochester,2,Emory,3,2022-11-05
Pacific Lutheran,3,George Fox,1,2022-11-05
Puget Sound,4,Willamette,0,2022-11-05
Geneseo State,1,Cortland State,1,2022-11-05
University of New England,0,Western New England,3,2022-11-05
CCNY,0,John Jay,1,2022-11-05
Cornell,1,Grinnell,2,2022-11-05
Ohio Northern,1,Capital,0,2022-11-05
Southern Virginia,1,Methodist,3,2022-11-05
Drew,0,Scranton,1,2022-11-05
Rose-Hulman,1,Hanover,0,2022-11-05
Penn State-Harrisburg,0,Penn State-Berks,3,2022-11-05
Neumann,0,Marywood,1,2022-11-05
Denison,2,Ohio Wesleyan,0,2022-11-05
Wesleyan,3,Trinity (Conn.),0,2022-11-05
Utica,0,Nazareth,1,2022-11-05
SUNY Delhi,3,Husson,2,2022-11-05
Penn State-Behrend,2,Pitt-Greensburg,3,2022-11-05
Clark,0,Emerson,1,2022-11-05
Maryville (Tenn.),0,Piedmont,0,2022-11-05
St. Catherine,1,Carleton,0,2022-11-05
Pacific,0,Lewis and Clark,0,2022-11-05
Linfield,0,Whitworth,1,2022-11-05
New York University,3,Brandeis,2,2022-11-05
Washington U.,1,Chicago,1,2022-11-05
Farmingdale State,0,Sarah Lawrence,0,2022-11-05
Bryn Athyn,1,Cedar Crest,0,2022-11-05
Beloit,1,Lake Forest,0,2022-11-05
Claremont-Mudd-Scripps,0,Pomona-Pitzer,3,2022-11-05
North Central (Ill.),1,Illinois Wesleyan,4,2022-11-05
Westminster (Mo.),0,Greenville,1,2022-11-05
Northwestern (Minn.),0,UW-Superior,6,2022-11-05
Western Connecticut,1,Southern Maine,3,2022-11-05
Franciscan,0,Westminster (Pa.),2,2022-11-05
Lasell,1,Johnson and Wales,2,2022-11-05
Dickinson,0,Johns Hopkins,4,2022-11-06
Mary Washington,0,Christopher Newport,1,2022-11-06
Texas Lutheran,0,Trinity (Texas),4,2022-11-06
Wesleyan,0,Amherst,2,2022-11-06
Ithaca,0,William Smith,0,2022-11-06
Lynchburg,1,Virginia Wesleyan,1,2022-11-06
Pacific Lutheran,0,Lewis and Clark,0,2022-11-06
Puget Sound,4,Pacific,1,2022-11-06
Fitchburg State,0,Westfield State,1,2022-11-06
New England College,0,Lesley,2,2022-11-06
Concordia (Wis.),1,Illinois Tech,0,2022-11-06
Beloit,0,Grinnell,0,2022-11-06
Centre,0,Sewanee,0,2022-11-06
Willamette,0,George Fox,3,2022-11-06
Linfield,0,Whitman,1,2022-11-06
Bryn Athyn,0,Carnegie Mellon,6,2022-11-11
Nazareth,0,Calvin,2,2022-11-11
Greenville,0,UW-La Crosse,3,2022-11-11
Concordia (Wis.),2,Illinois Wesleyan,5,2022-11-11
Marywood,0,Misericordia,6,2022-11-12
Lesley,0,Johns Hopkins,6,2022-11-12
John Jay,0,Christopher Newport,6,2022-11-12
Penn State-Berks,0,Messiah,3,2022-11-12
Pitt-Greensburg,1,Case Western Reserve,6,2022-11-12
Pomona-Pitzer,1,Trinity (Texas),1,2022-11-12
Westminster (Pa.),0,Amherst,3,2022-11-12
Calvin,0,Carnegie Mellon,2,2022-11-12
UW-Superior,1,Loras,7,2022-11-12
SUNY Delhi,0,William Smith,12,2022-11-12
Illinois Wesleyan,0,UW-La Crosse,1,2022-11-12
Pacific Lutheran,2,Mary Hardin-Baylor,1,2022-11-12
Rowan,5,Methodist,1,2022-11-12
Piedmont,0,Emory,7,2022-11-12
Puget Sound,0,Virginia Wesleyan,3,2022-11-12
Lynchburg,0,Montclair State,1,2022-11-12
Grinnell,2,Wartburg,5,2022-11-12
Washington and Lee,1,Centre,2,2022-11-12
Denison,0,Tufts,1,2022-11-12
Wesleyan,1,Cortland State,1,2022-11-12
Southern Maine,0,Williams,1,2022-11-12
Sarah Lawrence,0,MIT,6,2022-11-12
DeSales,3,Cabrini,2,2022-11-12
Westfield State,2,Emerson,1,2022-11-12
Capital,0,Ithaca,1,2022-11-12
Goucher,0,FDU-Florham,3,2022-11-12
Johnson and Wales,1,RIT,3,2022-11-12
Bowdoin,0,Scranton,0,2022-11-12
Geneseo State,1,Trinity (Conn.),1,2022-11-12
Rose-Hulman,0,Ohio Northern,1,2022-11-12
St. Catherine,1,Washington U.,2,2022-11-12
York (Pa.),0,Western New England,2,2022-11-12
Western New England,1,Misericordia,5,2022-11-13
Trinity (Conn.),0,Johns Hopkins,4,2022-11-13
Christopher Newport,2,Montclair State,0,2022-11-13
Wesleyan,0,Messiah,1,2022-11-13
Ithaca,0,Case Western Reserve,6,2022-11-13
Pacific Lutheran,0,Trinity (Texas),1,2022-11-13
Amherst,1,RIT,0,2022-11-13
Ohio Northern,0,Loras,1,2022-11-13
Tufts,0,William Smith,1,2022-11-13
Virginia Wesleyan,1,Rowan,0,2022-11-13
Centre,3,Emory,3,2022-11-13
Washington U.,3,Wartburg,1,2022-11-13
Williams,0,MIT,0,2022-11-13
DeSales,2,FDU-Florham,3,2022-11-13
Westfield State,0,Scranton,3,2022-11-13
Scranton,0,Misericordia,2,2022-11-19
Williams,1,Johns Hopkins,2,2022-11-19
