Team,Opponent,Host,Year,Toss,Selection,Run Scored,Fours,Sixes,Extras Scored,Highest Score,Result,Given Extras
UAE,India,Dambulla,2004,0,1,144,14,0,34,55,0,14
Bangladesh,Pakistan,Colombo(SSC),2004,0,1,181,13,1,20,62,0,11
Pakistan,Bangladesh,Colombo(SSC),2004,1,0,257,19,2,11,102,1,20
Sri Lanka,UAE,Dambulla,2004,1,0,239,20,1,24,73,1,24
UAE,Sri Lanka,Dambulla,2004,0,1,123,8,0,24,39,0,24
Hong Kong,Pakistan,Colombo(SSC),2004,0,1,165,17,1,29,36,0,13
Pakistan,Hong Kong,Colombo(SSC),2004,1,0,343,24,6,13,144,1,29
Sri Lanka,India,Dambulla,2004,1,0,282,19,3,27,58,1,34
India,Sri Lanka,Dambulla,2004,0,1,270,23,2,34,82,0,27
Bangladesh,India,Colombo(SSC),2004,0,0,177,9,2,37,35,0,19
India,Bangladesh,Colombo(SSC),2004,1,1,178,16,4,19,82,1,37
Sri Lanka,Pakistan,Colombo(RPS),2004,0,1,123,10,0,25,26,1,16
Pakistan,Sri Lanka,Colombo(RPS),2004,1,0,122,7,1,16,43,0,25
Sri Lanka,Bangladesh,Colombo(RPS),2004,0,1,191,15,0,20,107,1,20
Bangladesh,Sri Lanka,Colombo(RPS),2004,1,0,190,12,1,20,66,0,20
India,Pakistan,Colombo(RPS),2004,0,1,241,18,1,38,78,0,21
Pakistan,India,Colombo(RPS),2004,1,0,300,29,2,21,143,1,38
Sri Lanka,India,Colombo(RPS),2004,0,1,267,20,3,26,130,0,20
India,Sri Lanka,Colombo(RPS),2004,1,0,271,23,2,20,79,1,26
Bangladesh,Pakistan,Colombo(RPS),2004,1,0,166,12,0,37,54,0,10
Pakistan,Bangladesh,Colombo(RPS),2004,0,1,167,22,0,10,48,1,37
Sri Lanka,India,Colombo(RPS),2004,1,0,228,18,0,32,65,1,25
India,Sri Lanka,Colombo(RPS),2004,0,1,203,13,3,25,74,0,32
Bangladesh,UAE,Lahore,2008,1,0,300,22,1,18,109,1,10
UAE,Bangladesh,Lahore,2008,0,1,204,22,1,10,78,0,18
Pakistan,Hong Kong,Karachi,2008,1,0,288,30,1,12,67,1,16
Hong Kong,Pakistan,Karachi,2008,0,1,133,13,0,16,26,0,12
Bangladesh,Sri Lanka,Lahore,2008,1,1,226,13,2,20,44,0,22
Sri Lanka,Bangladesh,Lahore,2008,0,0,357,36,5,22,101,1,20
Hong Kong,India,Karachi,2008,0,1,118,17,0,9,25,0,9
India,Hong Kong,Karachi,2008,1,0,374,33,14,9,109,1,9
Pakistan,India,Karachi,2008,1,0,299,33,1,7,125,0,15
India,Pakistan,Karachi,2008,0,1,301,25,12,15,119,1,7
Sri Lanka,UAE,Lahore,2008,1,0,290,22,0,19,67,1,9
UAE,Sri Lanka,Lahore,2008,0,1,148,16,0,9,77,0,19
Bangladesh,India,Karachi,2008,1,0,283,27,6,14,115,0,18
India,Bangladesh,Karachi,2008,0,1,284,25,6,18,116,1,14
Pakistan,Sri Lanka,Karachi,2008,1,1,238,17,4,3,76,0,23
Sri Lanka,Pakistan,Karachi,2008,0,0,302,26,4,23,112,1,3
Bangladesh,Sri Lanka,Karachi,2008,0,1,174,20,1,14,52,0,10
Sri Lanka,Bangladesh,Karachi,2008,1,0,332,36,8,10,130,1,14
Pakistan,India,Karachi,2008,0,1,309,35,2,6,123,1,13
India,Pakistan,Karachi,2008,1,0,308,26,3,13,76,0,6
India,Sri Lanka,Karachi,2008,0,1,310,30,3,21,68,1,15
Sri Lanka,India,Karachi,2008,1,0,308,30,3,15,75,0,21
Pakistan,Bangladesh,Karachi,2008,0,1,116,14,2,8,56,1,16
Bangladesh,Pakistan,Karachi,2008,1,0,115,8,2,16,26,0,8
India,Sri Lanka,Karachi,2008,1,1,173,23,0,3,60,0,9
Sri Lanka,India,Karachi,2008,0,0,273,21,5,9,125,1,3
Sri Lanka,Pakistan,Dambulla,2010,1,0,242,17,1,11,55,1,15
Pakistan,Sri Lanka,Dambulla,2010,0,1,226,12,7,15,109,0,11
Bangladesh,India,Dambulla,2010,1,0,167,15,1,21,37,0,25
India,Bangladesh,Dambulla,2010,0,1,168,11,1,25,82,1,21
Sri Lanka,Bangladesh,Dambulla,2010,1,0,312,28,5,13,71,1,18
Bangladesh,Sri Lanka,Dambulla,2010,0,1,186,17,1,18,51,0,13
India,Pakistan,Dambulla,2010,0,1,271,14,6,24,83,1,11
Pakistan,India,Dambulla,2010,1,0,267,20,4,11,74,0,24
Bangladesh,Pakistan,Dambulla,2010,0,1,246,18,2,12,97,0,11
Pakistan,Bangladesh,Dambulla,2010,1,0,385,41,10,11,124,1,12
Sri Lanka,India,Dambulla,2010,1,1,211,25,2,16,73,1,6
India,Sri Lanka,Dambulla,2010,0,0,209,23,1,6,69,0,16
Sri Lanka,India,Dambulla,2010,0,1,187,16,1,18,55,0,19
India,Sri Lanka,Dambulla,2010,1,0,268,24,1,19,66,1,18
Bangladesh,Pakistan,Mirpur,2012,1,1,241,20,3,7,64,0,8
Pakistan,Bangladesh,Mirpur,2012,0,0,262,21,2,8,89,1,7
India,Sri Lanka,Mirpur,2012,0,0,304,24,2,14,108,1,8
Sri Lanka,India,Mirpur,2012,1,1,254,20,5,8,78,0,14
Pakistan,Sri Lanka,Mirpur,2012,0,1,189,21,3,5,77,1,9
Sri Lanka,Pakistan,Mirpur,2012,1,0,188,14,1,9,71,0,5
Bangladesh,India,Mirpur,2012,1,1,293,24,6,12,70,1,18
India,Bangladesh,Mirpur,2012,0,0,289,25,3,18,114,0,12
India,Pakistan,Mirpur,2012,0,1,330,34,4,11,183,1,15
Pakistan,India,Mirpur,2012,1,0,329,27,2,15,112,0,11
Bangladesh,Sri Lanka,Mirpur,2012,1,1,212,23,0,20,59,1,11
Sri Lanka,Bangladesh,Mirpur,2012,0,0,232,19,1,11,62,0,20
Bangladesh,Pakistan,Mirpur,2012,1,1,234,20,1,11,68,0,18
Pakistan,Bangladesh,Mirpur,2012,0,0,236,19,3,18,46,1,11
Pakistan,Sri Lanka,Fatullah,2014,0,1,284,26,6,13,74,0,18
Sri Lanka,Pakistan,Fatullah,2014,1,0,296,29,2,18,102,1,13
Bangladesh,India,Fatullah,2014,0,0,279,20,6,18,117,0,11
India,Bangladesh,Fatullah,2014,1,1,280,29,4,11,136,1,18
Afghanistan,Pakistan,Fatullah,2014,1,1,176,18,0,13,44,0,5
Pakistan,Afghanistan,Fatullah,2014,0,0,248,22,5,5,102,1,13
India,Sri Lanka,Fatullah,2014,0,0,264,17,5,11,94,0,8
Sri Lanka,India,Fatullah,2014,1,1,265,25,4,8,103,1,11
Bangladesh,Afghanistan,Fatullah,2014,1,1,222,16,4,12,50,0,17
Afghanistan,Bangladesh,Fatullah,2014,0,0,254,21,5,17,90,1,12
India,Pakistan,Mirpur,2014,0,0,245,23,5,8,58,0,17
Pakistan,India,Mirpur,2014,1,1,249,16,8,17,75,1,8
Afghanistan,Sri Lanka,Mirpur,2014,0,1,124,11,2,9,37,0,18
Sri Lanka,Afghanistan,Mirpur,2014,1,0,253,18,2,18,76,1,9
Bangladesh,Pakistan,Mirpur,2014,1,0,326,31,8,21,100,0,13
Pakistan,Bangladesh,Mirpur,2014,0,1,329,29,10,13,103,1,21
Afghanistan,India,Mirpur,2014,0,0,159,16,2,14,50,0,5
India,Afghanistan,Mirpur,2014,1,1,160,13,1,5,60,1,14
Bangladesh,Sri Lanka,Mirpur,2014,1,0,204,14,1,17,49,0,9
Sri Lanka,Bangladesh,Mirpur,2014,0,1,208,19,1,9,74,1,17
Pakistan,Sri Lanka,Mirpur,2014,1,0,260,21,5,6,114,0,8
Sri Lanka,Pakistan,Mirpur,2014,0,1,261,33,2,8,101,1,6
Bangladesh,India,Mirpur,2016,1,1,121,8,3,10,44,0,7
India,Bangladesh,Mirpur,2016,0,0,166,15,5,7,83,1,10
Sri Lanka,UAE,Mirpur,2016,0,0,129,14,1,5,50,1,16
UAE,Sri Lanka,Mirpur,2016,1,1,115,7,2,16,37,0,5
Bangladesh,UAE,Mirpur,2016,0,0,133,8,5,5,47,1,3
