name,team,position,height_inches,wingspan_inches,wingspan_advantage,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Moses Moody,GSW,SG,76.5,84.75,8.25,74,1649,21.4,1.5,4,5.6,2.8,1.7,0.9,116,114,0.544,0.797,0.433,17,0.407,0.593,0.519,0.374,0.033
Mouhamed Gueye,ATL,C,82.25,87.25,5,33,533,17.3,3.9,8.3,12.2,2.4,2.5,2.9,114,111,0.482,0.762,0.421,13.3,0.526,0.474,0.567,0.259,0.17
Moussa Diabaté,CHA,C,81.25,86.5,5.25,71,1241,16,7.4,9.9,17.4,2.2,1.8,1.6,122,113,0.596,0.595,0.596,3.6,0.979,0.021,0.609,0,0.329
Myles Turner,IND,C,81.75,88,6.25,72,2174,24.8,2,8.4,10.4,2.5,1.2,3.2,113,112,0.577,0.773,0.481,16.2,0.514,0.486,0.561,0.396,0.09
Naji Marshall,DAL,SF,77.75,84.75,7,69,1919,23,1.9,6.4,8.3,5.2,1.8,0.3,115,117,0.551,0.813,0.508,12,0.694,0.306,0.611,0.275,0.038
Naz Reid,MIN,C,80.75,87.25,6.5,80,2200,25.5,2.1,8.7,10.8,4.1,1.3,1.6,115,110,0.556,0.776,0.462,15.4,0.499,0.501,0.544,0.379,0.034
Neemias Queta,BOS,C,82.75,88.25,5.5,62,863,18,5.2,8.5,13.7,2.6,1,2.4,132,110,0.65,0.754,0.65,3.6,0.985,0.015,0.66,0,0.315
Nic Claxton,BKN,C,82,86.5,4.5,70,1882,19.2,4.2,9.5,13.6,4.2,1.6,2.6,115,112,0.568,0.513,0.563,5.3,0.963,0.037,0.576,0.238,0.229
Nick Richards,PHX,C,82.5,86.25,3.75,57,1256,20.8,5.8,12.5,18.3,1.9,0.6,2.2,120,115,0.591,0.744,0.591,4,0.994,0.006,0.594,0,0.288
Nick Smith Jr.,CHA,SG,77,80,3,60,1369,21.2,0.5,4.1,4.6,5.2,0.6,0.2,100,121,0.482,0.935,0.391,18.5,0.461,0.539,0.45,0.34,0.004
Nickeil Alexander-Walker,MIN,SG,76.25,81.5,5.25,82,2073,18.4,1.3,5,6.3,5.3,1.2,0.8,116,114,0.553,0.78,0.438,17.5,0.399,0.601,0.524,0.381,0.019
Nicolas Batum,LAC,SF,80.25,85,4.75,78,1367,11.3,1.7,6.2,7.9,3,1.9,1.3,126,111,0.622,0.81,0.437,22.1,0.147,0.853,0.457,0.433,0.021
Nikola Jokić,DEN,C,83.5,87,3.5,70,2571,38.7,3.7,12.9,16.7,13.4,2.4,0.8,133,111,0.627,0.8,0.576,11.5,0.757,0.243,0.627,0.417,0.019
Nikola Jović,MIA,PF,81.5,84.25,2.75,46,1156,21.3,1.1,6.6,7.8,5.7,1.6,0.6,115,114,0.56,0.828,0.456,16.1,0.443,0.557,0.563,0.371,0.016
Nikola Vučević,CHI,C,82.25,88.5,6.25,73,2278,27.6,3.6,11.4,15.1,5.2,1.2,1.1,122,113,0.592,0.805,0.53,12.5,0.691,0.309,0.587,0.402,0.012
Noah Clowney,BKN,PF,82,86,4,46,1042,20.1,2.1,6.6,8.6,1.9,1.1,1,102,117,0.474,0.838,0.358,19.2,0.298,0.702,0.414,0.333,0.065
Norman Powell,LAC,SG,75,82.75,7.75,60,1958,32.8,0.5,4.2,4.8,3.1,1.8,0.2,116,113,0.578,0.804,0.484,15.3,0.547,0.453,0.538,0.418,0.019
OG Anunoby,NYK,SF,78.25,86.25,8,74,2706,24.4,1.8,4.8,6.6,3,2,1.2,118,114,0.559,0.81,0.476,13.5,0.552,0.448,0.561,0.372,0.14
Obi Toppin,IND,PF,80.75,86,5.25,79,1545,25.9,1.7,8.2,9.9,4,1.4,0.9,122,114,0.621,0.781,0.529,14.9,0.497,0.503,0.695,0.365,0.129
Ochai Agbaji,TOR,SG,76.5,82.25,5.75,64,1739,18.5,1.7,5,6.7,2.7,1.6,0.8,117,116,0.593,0.708,0.498,13.2,0.526,0.474,0.587,0.399,0.069
Olivier-Maxence Prosper,DAL,PF,78.75,85,6.25,52,584,16.6,3.6,6.8,10.4,3.3,2.2,0.5,111,116,0.437,0.645,0.402,10.4,0.707,0.293,0.472,0.235,0.08
Onyeka Okongwu,ATL,C,80.25,86,5.75,74,2064,22.4,5,10,15,3.8,1.6,1.5,129,114,0.602,0.759,0.567,7.9,0.784,0.216,0.634,0.324,0.145
Orlando Robinson,TOR,C,82,88,6,44,770,19,5.6,8.2,13.8,4.8,1.1,1,110,115,0.477,0.771,0.444,10,0.801,0.199,0.474,0.327,0.077
Oscar Tshiebwe,UTA,C,79.25,87.5,8.25,14,255,20.1,8.7,14.3,23,1.7,2.4,0.2,135,114,0.6,0.742,0.6,4.6,1,0,0.6,NA,0.114
Oso Ighodaro,PHX,C,81.5,83,1.5,61,1045,12.1,3.1,7.4,10.5,3.4,1.3,1.4,121,119,0.604,0.58,0.604,6.4,0.989,0.011,0.611,0,0.31
Ousmane Dieng,OKC,SF,81.5,84,2.5,37,405,16.8,2.1,7.5,9.6,3.7,2,0.8,109,108,0.524,0.688,0.432,16.6,0.432,0.568,0.574,0.324,0.136
P.J. Tucker,NYK,PF,76.5,83.5,7,3,58,7.7,3.4,3.4,6.8,0,0.9,0.9,129,118,0.643,NA,0.429,23.9,0.143,0.857,0,0.5,0
P.J. Washington,DAL,PF,78.5,86.5,8,57,1835,22,2.2,9.5,11.7,3.5,1.7,1.6,107,114,0.521,0.722,0.453,12.3,0.641,0.359,0.493,0.381,0.054
Pacome Dadiet,NYK,SG,79.5,81,1.5,18,111,13.4,1.3,6.7,8,2.2,1.3,0.9,94,115,0.419,0.667,0.323,18.4,0.387,0.613,0.333,0.316,0
Paolo Banchero,ORL,PF,81,84.5,3.5,46,1582,37.6,1.6,9.3,10.9,6.9,1.1,0.9,109,110,0.5,0.727,0.452,13.8,0.701,0.299,0.509,0.32,0.055
Pascal Siakam,IND,PF,80.25,87.25,7,78,2548,29.8,2.5,7.7,10.2,5,1.3,0.8,120,115,0.572,0.734,0.519,12.4,0.726,0.274,0.568,0.389,0.041
Pat Connaughton,MIL,SG,76,80,4,41,603,17.3,1.5,7.2,8.7,5.6,0.7,0.9,116,115,0.542,0.774,0.469,13.7,0.542,0.458,0.594,0.321,0.04
Patrick Baldwin Jr.,LAC,PF,81.25,85.75,4.5,24,107,23.6,2.2,8.9,11.1,1.3,1.3,0.9,122,118,0.729,0.5,0.543,21.2,0.343,0.657,0.5,0.565,0.114
Patrick Williams,CHI,SF,79,83,4,63,1576,16.8,1.3,5.7,7,3.7,1.4,0.9,100,117,0.49,0.723,0.397,16.6,0.473,0.527,0.447,0.353,0.048
Patty Mills,LAC,PG,71.25,74,2.75,29,321,16.7,0.6,2.7,3.3,3.9,2,0.5,105,121,0.51,0.929,0.375,23.1,0.219,0.781,0.476,0.347,0
Paul George,PHI,SF,79.75,83.25,3.5,41,1334,24.6,0.9,7.2,8.1,6.6,2.8,0.7,104,116,0.514,0.814,0.43,18,0.53,0.47,0.493,0.358,0.021
Paul Reed,DET,PF,81,85.5,4.5,45,438,20.2,4.4,9.1,13.5,4.8,4.3,2.7,118,103,0.535,0.762,0.507,9.6,0.803,0.197,0.561,0.286,0.141
Payton Pritchard,BOS,PG,73,76,3,80,2271,25.3,2.3,4.5,6.8,6.2,1.5,0.3,131,114,0.62,0.845,0.472,21.3,0.277,0.723,0.642,0.407,0
Peyton Watson,DEN,SF,78.75,84.5,5.75,68,1656,16,1.4,5.4,6.8,2.7,1.4,2.7,113,116,0.533,0.693,0.477,10.7,0.682,0.318,0.534,0.353,0.178
Precious Achiuwa,NYK,PF,79.5,84.75,5.25,57,1170,16.1,4.3,9.2,13.4,2.3,2,1.8,112,111,0.517,0.594,0.502,6.2,0.89,0.11,0.529,0.278,0.171
Quentin Grimes,PHI,SG,76,79.75,3.75,75,2013,26.5,1.4,6.4,7.9,5.5,1.8,0.5,113,118,0.565,0.757,0.467,16.2,0.488,0.512,0.552,0.385,0.033
RJ Barrett,TOR,SF,77,82,5,58,1869,31.5,1.6,7.9,9.4,8.1,1.2,0.4,108,116,0.523,0.63,0.468,10.9,0.688,0.312,0.522,0.35,0.032
Reed Sheppard,HOU,PG,73.75,75.25,1.5,52,654,17,1.2,4.6,5.8,5.6,2.6,1.3,101,110,0.452,0.813,0.351,19.5,0.406,0.594,0.371,0.338,0.008
Richaun Holmes,WAS,C,80.25,85.5,5.25,31,534,20.5,5.5,10.2,15.8,3.7,0.8,2,139,117,0.647,0.833,0.647,3.6,0.978,0.022,0.662,0,0.281
Rob Dillingham,MIN,PG,73,75,2,49,516,20.9,1.1,3.6,4.8,9.4,1.9,0.1,99,114,0.5,0.533,0.441,13.9,0.649,0.351,0.496,0.338,0.014
Robert Williams,POR,C,80,89.5,9.5,20,351,16.1,4.8,11.5,16.3,2.9,1.8,4.6,130,107,0.647,0.882,0.641,3.7,0.962,0.038,0.653,0.333,0.385
Ron Holland,DET,SG,78.5,82.75,4.25,81,1266,19.8,1.5,6.8,8.3,3.1,1.9,0.6,107,113,0.517,0.754,0.474,12.1,0.637,0.363,0.608,0.238,0.091
Royce O'Neale,PHX,SF,76,81,5,75,1837,18.3,1.4,8,9.4,4.4,1.8,0.9,115,118,0.58,0.731,0.423,21.2,0.226,0.774,0.481,0.406,0.007
Rudy Gobert,MIN,C,84.5,92.5,8,72,2388,17.9,5.5,10.7,16.2,2.6,1.2,2.1,138,109,0.669,0.674,0.669,2.4,1,0,0.669,NA,0.494
Rui Hachimura,LAL,PF,79.75,86,6.25,59,1869,20.4,2.1,5.7,7.8,2.2,1.2,0.7,123,117,0.597,0.77,0.509,13.7,0.571,0.429,0.581,0.413,0.13
