name,team,position,height_inches,wingspan_inches,wingspan_advantage,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Vlatko Čančar,DEN,PF,79.75,83,3.25,13,136,8.5,2.1,9.2,11.3,3.2,1.1,0.7,83,116,0.462,NA,0.385,16.4,0.423,0.577,0.545,0.267,0.077
Walker Kessler,UTA,C,84.25,88.25,4,58,1740,17.7,7.3,12.2,19.5,2.7,1,3.8,130,115,0.671,0.52,0.663,4.3,0.919,0.081,0.706,0.176,0.329
Wendell Carter Jr.,ORL,C,80.75,88.5,7.75,68,1758,17.6,4.3,9.7,14,3.8,1.5,1.2,115,109,0.498,0.737,0.46,12.1,0.678,0.322,0.568,0.234,0.179
Wendell Moore Jr.,CHA,SG,76.25,84.75,8.5,36,499,14.6,2.9,6.3,9.3,4.1,2,0.5,110,115,0.524,0.818,0.468,11.1,0.675,0.325,0.529,0.341,0.04
Xavier Tillman Sr.,BOS,PF,79.5,86,6.5,33,231,7.4,2.2,7.2,9.3,1.5,2.4,1.1,67,109,0.292,0.75,0.245,17.2,0.396,0.604,0.381,0.156,0
Yves Missi,NOP,C,82.75,86,3.25,73,1956,16.5,6.3,8.6,14.9,2.5,0.9,2.4,120,119,0.547,0.623,0.547,2.8,0.998,0.002,0.548,0,0.297
Zaccharie Risacher,ATL,SF,80.25,82.5,2.25,75,1843,23.9,2.2,4.6,6.8,2.3,1.3,0.9,108,118,0.537,0.711,0.458,13.5,0.558,0.442,0.54,0.355,0.095
Zach Collins,CHI,C,82.25,85,2.75,64,977,19.7,4.9,9,14,5.4,1.4,1.4,122,115,0.56,0.885,0.507,11.6,0.649,0.351,0.617,0.302,0.073
Zach Edey,MEM,C,87.75,94.75,7,66,1416,20,7.6,10.4,18,2.1,1.2,2.8,124,110,0.6,0.709,0.58,6.1,0.88,0.12,0.612,0.346,0.236
Zach LaVine,SAC,SG,76.5,80.25,3.75,74,2602,31.6,0.4,5.4,5.8,5.7,1.1,0.2,116,119,0.609,0.825,0.511,15.9,0.562,0.438,0.562,0.446,0.06
Zeke Nnaji,DEN,PF,81.25,86,4.75,57,608,14.6,2.6,4.5,7.1,1.8,2,3,120,114,0.557,0.614,0.496,11.4,0.631,0.369,0.596,0.327,0.184
Ziaire Williams,BKN,SF,80.25,82.25,2,63,1541,20.4,2,7.3,9.3,2.7,2,0.9,109,114,0.511,0.821,0.412,16.2,0.419,0.581,0.509,0.341,0.092
Zion Williamson,NOP,PF,77.75,82.5,4.75,30,857,41.7,4.3,7.9,12.2,9,2.1,1.5,117,118,0.57,0.656,0.567,4.8,0.974,0.026,0.576,0.231,0.085
