"","First Name","Last Name","Overall","Overall Reliability","Singles","Singles Reliability","Doubles","Doubles Reliability","Mixed","Mixed Reliability","Sex"
"286","Jason","Wheat",4.565,0.22,4.5,0,4.5,0,4.565,0.65,"M"
"287","Jayce","Fitzpatrick",4.879,0.29,4.543,0.28,5.284,0.29,4.81,0.29,"M"
"288","Jeffrey","Dong",4.911,0.39,4.344,0.34,4.967,0.34,4.855,0.5,"M"
"289","Jonathan","Dong",4.493,0.3,5.096,0.15,4.278,0.33,4.708,0.41,"M"
"290","Jonathan","Atkinson",3.845,0.26,4.052,0.27,3.74,0.26,3.744,0.26,"M"
"291","Jordan","Schaeffer",4.8,0.23,4.5,0,4.5,0,4.8,0.68,"M"
"292","Joseph","Enciso",4.618,0.18,4.5,0,4.5,0,4.618,0.55,"M"
"293","Josh","Phillips",4.737,0.21,4.674,0.14,4.778,0.37,4.76,0.13,"M"
"294","Joshua","Iturriaga",4.368,0.27,4.5,0,4.193,0.34,4.368,0.46,"M"
"295","Judah","Samples",4.929,0.29,4.5,0,4.922,0.42,4.936,0.44,"M"
"296","Justin","Brunner",4.661,0.39,4.621,0.42,4.7,0.52,4.21,0.23,"M"
"297","Kaleb","Roberts",4.196,0.19,4.5,0,4.196,0.29,3.759,0.27,"M"
"298","Kalen","Harbaugh",5.202,0.49,5.166,0.55,5.202,0.55,5.239,0.36,"M"
"299","Keegan","Mcbride",4.937,0.47,4.885,0.29,4.935,0.56,4.992,0.55,"M"
"300","Kenny","Jiang",4.653,0.28,4.696,0.29,4.299,0.28,4.965,0.27,"M"
"301","Kent","Renda",4.272,0.28,3.84,0.36,4.126,0.35,4.852,0.12,"M"
"302","Kevin","Kanavaloff",4.421,0.32,4.5,0,4.48,0.5,4.363,0.47,"M"
"303","Korey","Seyler",4.447,0.21,4.5,0,4.5,0,4.447,0.62,"M"
"304","Kris","Sowattanangkul",4.283,0.33,4.5,0,4.221,0.5,4.345,0.5,"M"
"305","Kyle","Elison",4.679,0.39,4.5,0,4.679,0.64,4.261,0.52,"M"
"306","Lane","Chatterton",4.436,0.28,4.467,0.28,4.701,0.28,4.139,0.27,"M"
"307","Liam","Duffin",5.004,0.6,4.929,0.55,5.201,0.58,4.882,0.68,"M"
"308","Logan","Daniels",4.617,0.44,4.5,0,4.757,0.69,4.477,0.62,"M"
"309","Luis","Fernandez-valle",4.513,0.51,4.426,0.49,4.501,0.53,4.612,0.52,"M"
"310","Luke","Williams",5.052,0.54,4.86,0.54,5.156,0.54,5.14,0.53,"M"
"311","Luke","Domke",4.616,0.45,5.001,0.54,4.243,0.52,4.606,0.29,"M"
"312","Luke","Foster",4.205,0.36,4.508,0.52,4.043,0.28,4.062,0.27,"M"
"313","Manning","Kalish",4.538,0.21,4.5,0,4.5,0,4.538,0.62,"M"
"314","Marin","Davis",4.278,0.19,4.5,0,4.278,0.31,4.496,0.27,"M"
"315","Matthew","Choy",3.922,0.27,3.817,0.26,4.151,0.27,3.798,0.27,"M"
"316","Michael","Asplund",5.271,0.54,5.253,0.3,5.31,0.65,5.25,0.66,"M"
"317","Michael","Mcdonald",4.578,0.48,4.526,0.52,4.647,0.54,4.561,0.38,"M"
"318","Michael","Garcia",4.337,0.27,4.5,0,4.193,0.34,4.337,0.46,"M"
"319","Mike","Cook",4.232,0.18,4.5,0,4.5,0,4.232,0.55,"M"
"320","Miles","Kreutzer",4.869,0.56,4.609,0.57,5.034,0.55,4.964,0.56,"M"
"321","Minh","Vu",4.637,0.44,4.5,0,4.641,0.67,4.633,0.64,"M"
"322","Mitchell","Fong",4.407,0.31,4.166,0.15,4.215,0.34,4.407,0.44,"M"
"323","Myles","Call",4.399,0.47,4.409,0.53,4.337,0.35,4.452,0.53,"M"
"324","Nathan","Tang",5.126,0.26,5.415,0.11,4.967,0.31,4.995,0.36,"M"
"325","Nathan","Christensen",4.187,0.19,4.5,0,4.074,0.27,4.187,0.31,"M"
"326","Nicholas","Wise",4.698,0.34,4.5,0,4.84,0.51,4.555,0.51,"M"
"327","Nick","Hogge",5.105,0.29,5.026,0.3,5.184,0.28,5.106,0.29,"M"
"328","Nick","Colorado",4.825,0.33,4.5,0,4.614,0.5,5.035,0.5,"M"
"329","Nile","Roth",4.662,0.43,4.5,0,4.737,0.64,4.586,0.64,"M"
"330","Noah","Eckert",4.689,0.43,4.5,0,4.757,0.69,4.621,0.6,"M"
"331","Noah","Yeung",4.655,0.21,4.5,0,4.95,0.33,4.36,0.31,"M"
"332","Noah","Hong",4.611,0.19,4.5,0,4.5,0,4.611,0.58,"M"
"333","Nui","Afualo",5.039,0.28,4.5,0,5.145,0.42,4.933,0.42,"M"
"334","Oskar","Svensson",4.613,0.23,4.5,0,4.5,0,4.613,0.68,"M"
"335","Pablo esteban","Bustamante",3.922,0.27,3.817,0.26,4.151,0.27,3.798,0.27,"M"
"336","Parker","Eggli",4.825,0.26,5.224,0.28,4.876,0.26,4.376,0.24,"M"
"337","Parker","Tomz",4.406,0.29,4.072,0.37,5.126,0.38,4.021,0.11,"M"
"338","Parth","Hathalia",5.194,0.43,5.332,0.44,5.266,0.44,4.983,0.42,"M"
"339","Patrick","Luu",4.422,0.27,4.5,0,4.386,0.47,4.458,0.34,"M"
"340","Paul","Saraceno",4.624,0.2,4.5,0,4.779,0.32,4.468,0.29,"M"
"341","Peter","Le",4.421,0.45,4.158,0.28,4.179,0.53,4.926,0.55,"M"
"342","Peyton","Short",4.454,0.41,4.5,0,4.454,0.72,4.506,0.51,"M"
"343","Philip","Crotts",5.16,0.21,4.5,0,5.213,0.33,5.108,0.31,"M"
"344","Pierce","Jalajas",4.659,0.44,4.5,0,4.621,0.73,4.696,0.58,"M"
"345","Preston","Lynch",4.766,0.44,4.474,0.15,4.88,0.5,4.652,0.68,"M"
"346","Preston","Gibbs",4.679,0.39,4.5,0,4.679,0.64,4.41,0.52,"M"
"347","Ray","Heinonen",5.029,0.29,5.387,0.14,4.586,0.36,5.115,0.38,"M"
"348","Raymond","Gue",4.461,0.36,4.278,0.27,4.597,0.47,4.326,0.33,"M"
"349","Rhys","Wilson",4.327,0.33,4.5,0,4.486,0.5,4.169,0.48,"M"
"350","Richard","Stratton",4.62,0.26,4.778,0.27,4.556,0.26,4.525,0.26,"M"
"351","Roman","Di Napoli",4.037,0.33,4.5,0,4.102,0.5,3.972,0.5,"M"
"352","Rowen","Pouza",4.697,0.54,4.314,0.53,4.935,0.54,4.841,0.54,"M"
"353","Ryan","Smith",5.396,0.6,5.423,0.6,5.541,0.61,5.224,0.59,"M"
"354","Ryan","Hsiao",5.01,0.45,5.064,0.34,5.236,0.52,4.73,0.48,"M"
"355","Ryan","Walter",4.404,0.47,4.436,0.34,4.359,0.53,4.416,0.53,"M"
"356","Ryan","Olson",4.324,0.26,4.398,0.26,4.55,0.26,4.025,0.26,"M"
"357","Ryan","Flanagan",4.147,0.52,4.613,0.52,3.302,0.51,4.527,0.54,"M"
"358","Sam","Hutner",4.635,0.28,4.692,0.28,4.565,0.28,4.649,0.29,"M"
"359","Sam","Burns",4.283,0.2,4.5,0,3.94,0.27,4.283,0.34,"M"
"360","Sam","Johnson",3.808,0.26,3.799,0.26,3.765,0.26,3.861,0.26,"M"
"361","Samuel","Farris",4.902,0.47,4.683,0.27,4.859,0.56,5.165,0.57,"M"
"362","Samuel","Reising",4.611,0.28,4.567,0.28,4.611,0.29,4.656,0.28,"M"
"363","Samuel","Jones",4.522,0.45,4.606,0.34,4.67,0.5,4.373,0.5,"M"
"364","Scott","Myers",4.404,0.4,4.5,0,4.521,0.6,4.286,0.6,"M"
"365","Sean","Phu",3.84,0.19,4.5,0,3.84,0.29,4.109,0.27,"M"
"366","Sebastian","Accetta",4.768,0.54,4.681,0.53,4.9,0.54,4.723,0.54,"M"
"367","Spencer","Adams",4.612,0.45,4.554,0.28,4.784,0.53,4.499,0.53,"M"
"368","Tam-an","Nguyen",4.361,0.18,4.5,0,4.5,0,4.361,0.55,"M"
"369","Teddy","Morin",4.319,0.36,4.353,0.37,4.554,0.37,4.048,0.34,"M"
"370","Thatcher","Schwendiman",5.122,0.4,4.553,0.3,5.475,0.61,5.338,0.3,"M"
"371","Tobin","teksler",4.567,0.21,4.5,0,4.991,0.35,4.144,0.29,"M"
"372","Trevor","Ju",4.517,0.53,4.506,0.54,4.759,0.53,4.284,0.52,"M"
"373","Will","Wenger",4.183,0.27,4.283,0.27,4.174,0.26,4.091,0.27,"M"
"374","William","Dau",5.145,0.48,5.471,0.42,4.84,0.51,5.125,0.52,"M"
"375","Xavier","Nccorchuk",4.694,0.33,4.5,0,5.096,0.5,4.293,0.5,"M"
"376","Zach","Mersch",4.582,0.38,4.438,0.15,4.456,0.51,4.707,0.47,"M"
"377","Zach","Tone",4.363,0.52,4.297,0.53,4.269,0.51,4.524,0.51,"M"
"378","Zachary","Guy",4.604,0.37,4.567,0.28,4.588,0.54,4.656,0.28,"M"
"379","Zachary","Kleinerman",4.302,0.28,4.582,0.29,4.211,0.28,4.112,0.27,"M"
"380","Zack","Florendo",4.575,0.52,4.599,0.51,4.501,0.53,4.625,0.52,"M"
