"","First Name","Last Name","Overall","Overall Reliability","Singles","Singles Reliability","Doubles","Doubles Reliability","Mixed","Mixed Reliability","Sex"
"66","Halie","Kealoha",4.413,0.34,3.656,0.15,4.303,0.34,4.523,0.53,"F"
"67","Hannah","Jiang",5.354,0.37,4.846,0.34,4.99,0.34,5.354,0.42,"F"
"68","Hannah","Adams",4.67,0.29,4.5,0,4.772,0.42,4.569,0.44,"F"
"69","Hannah","Bai",4.571,0.2,4.5,0,4.673,0.31,4.468,0.29,"F"
"70","Hannah","Rhoderick",4.44,0.19,4.5,0,4.5,0,4.44,0.58,"F"
"71","Hannah","Nelson",4.39,0.27,4.282,0.27,4.774,0.28,4.112,0.27,"F"
"72","Hannah","Eldridge",4.126,0.38,4.092,0.15,3.802,0.5,4.45,0.49,"F"
"73","Hannah","Jones",3.977,0.27,4.312,0.29,3.757,0.26,3.861,0.26,"F"
"74","Heather","Murphy",5.055,0.47,4.755,0.28,5.176,0.56,5.235,0.56,"F"
"75","Heather","Kim",4.592,0.36,5.118,0.38,4.038,0.27,4.592,0.44,"F"
"76","Heidi","Blackwell",4.39,0.27,4.282,0.27,4.774,0.28,4.112,0.27,"F"
"77","Isabella","Dahir",4.361,0.18,4.5,0,4.5,0,4.361,0.55,"F"
"78","Isabella","Budge",4.187,0.18,4.5,0,4.534,0.24,4.187,0.31,"F"
"79","Jaden","Sebastian",5.278,0.29,5.317,0.29,5.181,0.29,5.337,0.3,"F"
"80","Jane","Schaeffer",4.8,0.23,4.5,0,4.5,0,4.8,0.68,"F"
"81","Janel","Straub",4.51,0.28,4.448,0.28,4.602,0.28,4.481,0.27,"F"
"82","Janet","Openshaw",4.224,0.22,4.5,0,4.5,0,4.224,0.65,"F"
"83","Jenna","Chronister",4.272,0.28,4.275,0.28,4.449,0.28,4.091,0.27,"F"
"84","Jennifer","Georgariou",4.618,0.18,4.5,0,4.5,0,4.618,0.55,"F"
"85","Jessica","Thomas",5.277,0.46,5.098,0.3,5.671,0.53,5.062,0.55,"F"
"86","Jessica","Pil",5.226,0.38,4.939,0.27,5.201,0.42,5.251,0.44,"F"
"87","Jessica","Hreljac",4.728,0.51,4.5,0,4.747,0.76,4.708,0.77,"F"
"88","Jolene","Neher",4.286,0.2,4.5,0,4.5,0,4.286,0.6,"F"
"89","Julia","Holec",4.613,0.23,4.5,0,4.5,0,4.613,0.68,"F"
