player,g,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Miles Bridges,64,.431,13.8,.587,.413,.513,.313,.058
Davion Mitchell,74,.468,14.2,.557,.443,.525,.398,.000
Davion Mitchell,44,.434,15.2,.520,.480,.504,.359,.000
Davion Mitchell,30,.504,13.2,.595,.405,.543,.447,.000
Franz Wagner,60,.463,12.5,.697,.303,.535,.295,.036
Quentin Grimes,75,.467,16.2,.488,.512,.552,.385,.033
Quentin Grimes,47,.463,16.8,.449,.551,.543,.398,.027
Quentin Grimes,28,.469,15.7,.520,.480,.559,.373,.037
Jordan Poole,68,.432,18.8,.412,.588,.510,.378,.010
Draymond Green,68,.424,14.9,.517,.483,.517,.325,.029
Devin Vassell,64,.443,17.2,.517,.483,.513,.368,.046
Klay Thompson,72,.412,20.1,.369,.631,.448,.391,.002
Tyrese Maxey,52,.437,15.1,.562,.438,.515,.337,.014
Norman Powell,60,.484,15.3,.547,.453,.538,.418,.019
Yves Missi,73,.547,2.8,.998,.002,.548,.000,.297
Keon Ellis,80,.489,19.8,.308,.692,.615,.433,.050
Bilal Coulibaly,59,.421,13.3,.641,.359,.500,.281,.128
Kyle Kuzma,65,.436,13.5,.631,.369,.512,.307,.029
Kyle Kuzma,32,.420,13.3,.648,.352,.495,.281,.037
Kyle Kuzma,33,.455,13.7,.611,.389,.533,.333,.020
Julian Champagnie,82,.415,19.3,.278,.722,.530,.371,.047
Keon Johnson,79,.389,15.6,.485,.515,.468,.314,.059
Naji Marshall,69,.508,12.0,.694,.306,.611,.275,.038
Jrue Holiday,62,.443,16.2,.466,.534,.547,.353,.003
Guerschon Yabusele,70,.501,14.4,.513,.487,.616,.380,.089
Gary Trent Jr.,74,.431,20.4,.341,.659,.460,.416,.003
Anthony Black,78,.423,12.0,.685,.315,.471,.318,.060
Josh Green,68,.428,16.8,.411,.589,.480,.391,.040
Nic Claxton,70,.563,5.3,.963,.037,.576,.238,.229
Andrew Nembhard,65,.458,14.9,.675,.325,.538,.291,.002
Cason Wallace,68,.474,13.2,.575,.425,.562,.356,.065
Derrick Jones Jr.,77,.526,11.4,.628,.372,.627,.356,.209
Rui Hachimura,59,.509,13.7,.571,.429,.581,.413,.130
RJ Barrett,58,.468,10.9,.688,.312,.522,.350,.032
Buddy Hield,82,.417,20.0,.302,.698,.527,.370,.011
Trey Murphy III,53,.454,16.6,.478,.522,.556,.361,.093
Zaccharie Risacher,75,.458,13.5,.558,.442,.540,.355,.095
Andrew Wiggins,60,.448,14.5,.585,.415,.501,.374,.052
Andrew Wiggins,43,.444,14.7,.578,.422,.491,.379,.061
Andrew Wiggins,17,.458,14.4,.602,.398,.523,.360,.032
Isaiah Collier,71,.422,12.0,.695,.305,.497,.249,.027
Keldon Johnson,77,.482,11.3,.644,.356,.573,.318,.044
Royce O'Neale,75,.423,21.2,.226,.774,.481,.406,.007
P.J. Washington,57,.453,12.3,.641,.359,.493,.381,.054
CJ McCollum,56,.444,16.1,.541,.459,.505,.373,.003
Haywood Highsmith,74,.458,16.4,.404,.596,.570,.382,.049
Dorian Finney-Smith,63,.448,18.8,.278,.722,.545,.411,.037
Dorian Finney-Smith,20,.459,17.8,.321,.679,.510,.435,.031
Dorian Finney-Smith,43,.442,19.7,.254,.746,.571,.398,.040
