player,g,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Antonio Reeves,44,.456,16.4,.480,.520,.521,.395,.020
Kyle Lowry,35,.350,22.5,.248,.752,.414,.330,.000
Reed Sheppard,52,.351,19.5,.406,.594,.371,.338,.008
Herbert Jones,20,.436,13.5,.581,.419,.530,.306,.029
AJ Johnson,29,.385,12.0,.577,.423,.472,.267,.099
AJ Johnson,7,.421,9.7,.737,.263,.357,.600,.053
AJ Johnson,22,.381,14.3,.562,.438,.486,.247,.103
Maxi Kleber,34,.385,15.9,.490,.510,.511,.265,.073
Delon Wright,40,.344,15.6,.443,.557,.431,.274,.000
Delon Wright,26,.268,17.3,.402,.598,.303,.245,.000
Delon Wright,14,.469,13.9,.510,.490,.600,.333,.000
Jericho Sims,53,.634,2.5,1.000,.000,.634,,.577
Jericho Sims,39,.609,2.3,1.000,.000,.609,,.587
Jericho Sims,14,.680,2.7,1.000,.000,.680,,.560
Josh Okogie,40,.443,13.2,.566,.434,.517,.348,.080
Josh Okogie,25,.491,11.2,.632,.368,.556,.381,.132
Josh Okogie,15,.388,15.2,.490,.510,.458,.320,.020
Jeff Dowtin Jr.,41,.487,13.5,.696,.304,.525,.400,.004
Daniel Theis,38,.473,11.1,.713,.287,.565,.243,.116
Cory Joseph,50,.403,20.4,.305,.695,.489,.364,.000
Zeke Nnaji,57,.496,11.4,.631,.369,.596,.327,.184
Kessler Edwards,40,.496,12.5,.600,.400,.556,.407,.104
Pat Connaughton,41,.469,13.7,.542,.458,.594,.321,.040
Ajay Mitchell,36,.495,12.2,.674,.326,.548,.383,.005
Brandon Ingram,18,.465,16.0,.655,.345,.514,.374,.027
Jared McCain,23,.460,16.0,.515,.485,.532,.383,.007
Cam Reddish,33,.404,14.7,.500,.500,.532,.277,.096
Jae'Sean Tate,52,.473,10.4,.689,.311,.529,.348,.041
Olivier-Maxence Prosper,52,.402,10.4,.707,.293,.472,.235,.080
Jarred Vanderbilt,36,.488,8.2,.736,.264,.562,.281,.289
Joel Embiid,19,.444,13.5,.756,.244,.492,.299,.016
Monte Morris,45,.426,16.1,.559,.441,.477,.360,.000
Moritz Wagner,30,.562,9.5,.699,.301,.649,.360,.076
Malcolm Brogdon,24,.433,11.5,.767,.233,.478,.286,.000
John Konchar,46,.451,18.0,.319,.681,.621,.371,.011
Dwight Powell,55,.689,3.9,.918,.082,.714,.400,.295
Dillon Jones,54,.383,14.4,.526,.474,.500,.254,.000
Jordan Goodwin,29,.438,15.6,.528,.472,.487,.382,.000
Richaun Holmes,31,.647,3.6,.978,.022,.662,.000,.281
Mouhamed Gueye,33,.421,13.3,.526,.474,.567,.259,.170
Bismack Biyombo,28,.588,4.4,1.000,.000,.588,,.123
Jaylen Clark,40,.467,13.4,.575,.425,.493,.431,.025
Rob Dillingham,49,.441,13.9,.649,.351,.496,.338,.014
Colby Jones,39,.457,14.6,.620,.380,.538,.327,.039
Colby Jones,24,.423,15.3,.615,.385,.438,.400,.000
Colby Jones,15,.466,14.0,.621,.379,.563,.308,.049
Craig Porter Jr.,51,.514,12.3,.657,.343,.554,.438,.050
Tristan Vukcevic,35,.496,15.1,.579,.421,.586,.373,.058
Elfrid Payton,24,.328,8.8,.951,.049,.336,.167,.000
Elfrid Payton,18,.366,8.8,.941,.059,.379,.167,.000
Elfrid Payton,6,.143,8.7,1.000,.000,.143,,.000
Jamal Cain,37,.430,15.4,.494,.506,.538,.325,.044
Keaton Wallace,31,.401,18.0,.494,.506,.475,.329,.025
Jock Landale,42,.533,9.2,.829,.171,.556,.423,.105
Vince Williams Jr.,27,.401,16.9,.431,.569,.569,.274,.012
Wendell Moore Jr.,36,.468,11.1,.675,.325,.529,.341,.040
Wendell Moore Jr.,20,.460,10.6,.720,.280,.528,.286,.020
Wendell Moore Jr.,16,.474,11.7,.645,.355,.531,.370,.053
Brandon Williams,33,.521,12.1,.681,.319,.578,.400,.005
A.J. Lawson,26,.421,14.6,.468,.532,.528,.327,.074
Grant Williams,16,.439,17.9,.398,.602,.551,.365,.024
Lonnie Walker IV,20,.420,19.0,.401,.599,.518,.354,.028
Duop Reath,46,.422,17.5,.361,.639,.600,.321,.030
Reece Beekman,36,.327,8.2,.626,.374,.418,.175,.009
Reece Beekman,2,1.000,3.3,1.000,.000,1.000,,.000
Reece Beekman,34,.321,13.1,.623,.377,.409,.175,.009
Kai Jones,40,.798,4.5,.954,.046,.827,.200,.596
Kai Jones,28,.722,4.2,.944,.056,.765,.000,.694
Kai Jones,12,.836,4.9,.959,.041,.857,.333,.548
Larry Nance Jr.,24,.516,15.0,.510,.490,.582,.447,.135
Collin Gillespie,33,.430,18.3,.430,.570,.426,.433,.000
Rayan Rupert,52,.408,13.2,.585,.415,.506,.271,.035
GG Jackson II,29,.372,14.6,.523,.477,.404,.337,.085
Jaylon Tyson,47,.430,12.4,.611,.389,.484,.345,.047
Bol Bol,36,.525,17.3,.492,.508,.711,.344,.055
Paul Reed,45,.507,9.6,.803,.197,.561,.286,.141
Colin Castleton,26,.469,9.1,.837,.163,.537,.125,.102
Colin Castleton,10,.200,12.1,.600,.400,.333,.000,.000
Colin Castleton,11,.500,7.2,.875,.125,.536,.250,.125
Colin Castleton,5,.500,7.9,.833,.167,.600,.000,.083
Trevelin Queen,31,.381,16.2,.476,.524,.486,.286,.088
Malaki Branham,47,.458,15.3,.558,.442,.500,.405,.026
Jordan Miller,37,.433,10.2,.716,.284,.521,.211,.052
Mo Bamba,32,.464,13.3,.518,.482,.638,.278,.107
Mo Bamba,28,.466,14.3,.515,.485,.623,.300,.097
Mo Bamba,4,.444,12.4,.556,.444,.800,.000,.222
David Roddy,33,.456,16.3,.512,.488,.594,.311,.016
David Roddy,27,.473,14.3,.538,.462,.560,.372,.022
David Roddy,3,.421,16.9,.421,.579,.750,.182,.000
David Roddy,3,.385,17.7,.462,.538,.667,.143,.000
Taj Gibson,37,.495,5.1,.979,.021,.495,.500,.095
Ousmane Dieng,37,.432,16.6,.432,.568,.574,.324,.136
Jordan Walsh,52,.361,17.7,.337,.663,.536,.273,.084
Hunter Tyson,51,.375,17.6,.383,.617,.478,.311,.067
Anthony Gill,51,.489,11.8,.648,.352,.579,.323,.011
Devin Carter,36,.370,15.6,.520,.480,.439,.295,.063
Jeff Green,32,.504,18.5,.347,.653,.762,.367,.074
Trey Jemison,38,.554,3.9,1.000,.000,.554,,.203
Trey Jemison,16,.469,4.1,1.000,.000,.469,,.219
Trey Jemison,22,.619,3.8,1.000,.000,.619,,.190
Reggie Jackson,31,.391,18.3,.444,.556,.458,.338,.000
Baylor Scheierman,31,.355,21.3,.255,.745,.464,.317,.000
Quenton Jackson,28,.475,10.8,.672,.328,.524,.375,.074
Alex Len,46,.508,7.5,.857,.143,.556,.222,.206
Alex Len,36,.537,7.5,.854,.146,.600,.167,.195
Alex Len,10,.455,7.5,.864,.136,.474,.333,.227
Johnny Furphy,50,.380,15.3,.457,.543,.476,.300,.098
Charles Bassey,36,.581,3.5,1.000,.000,.581,,.325
Dominick Barlow,35,.531,9.3,.761,.239,.616,.259,.159
Dante Exum,20,.478,13.3,.604,.396,.506,.434,.030
Damion Baugh,15,.323,13.7,.569,.431,.405,.214,.008
Jaden Springer,43,.389,16.6,.467,.533,.548,.250,.033
Jaden Springer,26,.353,17.3,.441,.559,.400,.316,.088
Jaden Springer,17,.411,15.9,.482,.518,.630,.207,.000
Robert Williams,20,.641,3.7,.962,.038,.653,.333,.385
Doug McDermott,42,.427,23.3,.137,.863,.375,.436,.009
Christian Koloko,37,.606,4.6,.939,.061,.645,.000,.455
Terrence Shannon Jr.,32,.482,9.8,.728,.272,.530,.355,.070
Keion Brooks Jr.,14,.486,13.3,.606,.394,.591,.326,.092
Tristan Thompson,40,.437,5.8,.958,.042,.456,.000,.155
Maxwell Lewis,28,.417,13.7,.537,.463,.448,.380,.037
Maxwell Lewis,7,.333,12.6,1.000,.000,.333,,.000
Maxwell Lewis,21,.422,14.9,.510,.490,.462,.380,.039
Jevon Carter,36,.377,20.3,.281,.719,.488,.333,.007
Patty Mills,29,.375,23.1,.219,.781,.476,.347,.000
Patty Mills,17,.342,21.8,.250,.750,.474,.298,.000
Patty Mills,12,.500,24.5,.100,.900,.500,.500,.000
Tre Mann,13,.435,13.6,.627,.373,.455,.400,.006
Jalen Hood-Schifino,15,.378,16.8,.531,.469,.442,.304,.000
Jalen Hood-Schifino,2,1.000,15.6,1.000,.000,1.000,,.000
Jalen Hood-Schifino,13,.371,18.1,.526,.474,.431,.304,.000
Torrey Craig,26,.422,19.5,.267,.733,.583,.364,.056
Torrey Craig,9,.489,21.1,.222,.778,.700,.429,.000
Torrey Craig,17,.356,17.8,.311,.689,.500,.290,.111
Jordan McLaughlin,46,.431,19.5,.361,.639,.462,.413,.000
Jordan McLaughlin,28,.364,18.8,.409,.591,.333,.385,.000
Jordan McLaughlin,18,.536,20.2,.286,.714,.750,.450,.000
Matisse Thybulle,15,.477,15.6,.455,.545,.525,.438,.091
Isaac Jones,40,.651,5.2,.904,.096,.680,.375,.349
Tyler Kolek,41,.329,17.2,.427,.573,.371,.298,.000
Mitchell Robinson,17,.661,1.1,1.000,.000,.661,,.411
Josh Minott,46,.489,12.9,.522,.478,.638,.326,.178
Kobe Brown,40,.458,11.6,.639,.361,.587,.231,.097
Dru Smith,14,.508,14.6,.508,.492,.484,.533,.000
Isaiah Wong,20,.390,14.0,.686,.314,.389,.394,.019
Marvin Bagley III,31,.519,7.8,.821,.179,.598,.158,.208
Marvin Bagley III,19,.535,7.2,.859,.141,.590,.200,.211
Marvin Bagley III,12,.486,8.3,.743,.257,.615,.111,.200
Oscar Tshiebwe,14,.600,4.6,1.000,.000,.600,,.114
Drew Timme,9,.441,12.4,.657,.343,.537,.257,.029
Marcus Bagley,10,.391,13.4,.536,.464,.595,.156,.159
Cam Spencer,25,.415,19.0,.354,.646,.517,.358,.000
Kevin Love,23,.357,17.3,.417,.583,.354,.358,.000
Pat Spencer,39,.406,10.3,.782,.218,.456,.227,.040
JT Thor,20,.424,14.0,.644,.356,.500,.286,.102
JT Thor,9,.600,15.8,.600,.400,.667,.500,.067
JT Thor,11,.364,12.2,.659,.341,.448,.200,.114
Branden Carlson,32,.443,18.3,.320,.680,.677,.333,.124
Dariq Whitehead,20,.406,21.3,.229,.771,.273,.446,.010
Johnny Davis,34,.410,12.8,.628,.372,.510,.241,.103
Jaylen Martin,16,.419,13.0,.689,.311,.471,.304,.068
Jaylen Martin,3,.500,14.6,.500,.500,.000,1.000,.000
Jaylen Martin,13,.417,11.4,.694,.306,.480,.273,.069
Bones Hyland,24,.398,22.4,.305,.695,.417,.390,.017
Bones Hyland,20,.391,21.2,.304,.696,.400,.388,.017
Bones Hyland,4,.667,23.6,.333,.667,1.000,.500,.000
Xavier Tillman Sr.,33,.245,17.2,.396,.604,.381,.156,.000
Garrett Temple,28,.300,15.3,.533,.467,.375,.214,.017
Jared Rhoden,14,.483,12.2,.552,.448,.625,.308,.103
Jared Rhoden,4,.250,11.5,.750,.250,.333,.000,.000
Jared Rhoden,10,.506,12.9,.532,.468,.667,.324,.114
Luka Garza,39,.495,11.8,.657,.343,.609,.278,.048
Ariel Hukporti,25,.677,3.4,1.000,.000,.677,,.323
Alex Reese,15,.481,10.3,.241,.759,.846,.366,.037
Alex Reese,1,1.000,0.0,1.000,.000,1.000,,.000
Alex Reese,14,.472,20.7,.226,.774,.833,.366,.038
Dario Šarić,16,.362,14.1,.552,.448,.438,.269,.000
Adam Flagler,37,.260,21.7,.250,.750,.458,.194,.000
Chuma Okeke,9,.500,19.2,.300,.700,.750,.393,.125
Chuma Okeke,7,.545,16.8,.333,.667,.727,.455,.121
Chuma Okeke,2,.286,21.5,.143,.857,1.000,.167,.143
Drew Peterson,25,.415,21.4,.195,.805,.500,.394,.000
Markelle Fultz,21,.418,12.4,.881,.119,.407,.500,.045
Lester Quiñones,13,.397,15.0,.436,.564,.529,.295,.000
Lester Quiñones,4,.500,12.0,.625,.375,.800,.000,.000
Lester Quiñones,9,.386,18.1,.414,.586,.483,.317,.000
Bronny James,27,.313,16.6,.522,.478,.343,.281,.015
Enrique Freeman,22,.432,8.4,.730,.270,.556,.100,.108
Cole Swider,10,.349,23.2,.254,.746,.438,.319,.000
Cole Swider,2,.000,25.4,.000,1.000,,.000,.000
Cole Swider,8,.379,20.9,.276,.724,.438,.357,.000
Jaylen Nowell,8,.356,14.5,.630,.370,.391,.296,.000
Markieff Morris,15,.300,19.9,.486,.514,.353,.250,.000
Markieff Morris,7,.227,22.6,.409,.591,.333,.154,.000
Markieff Morris,8,.333,17.2,.521,.479,.360,.304,.000
Killian Hayes,6,.419,16.2,.512,.488,.455,.381,.000
MarJon Beauchamp,35,.415,16.0,.554,.446,.472,.345,.046
MarJon Beauchamp,26,.383,16.5,.553,.447,.423,.333,.043
MarJon Beauchamp,3,.571,16.7,.571,.429,.500,.667,.000
MarJon Beauchamp,6,.455,14.7,.545,.455,.667,.200,.091
Lamar Stevens,17,.460,14.4,.571,.429,.583,.296,.063
Tyson Etienne,7,.327,21.9,.154,.846,.500,.295,.000
Josh Richardson,8,.289,18.5,.421,.579,.313,.273,.000
Jeenathan Williams,20,.435,13.5,.581,.419,.583,.231,.016
Bruno Fernando,17,.531,4.1,1.000,.000,.531,,.143
Damion Lee,25,.365,17.0,.500,.500,.486,.243,.000
Oshae Brissett,6,.487,13.2,.538,.462,.619,.333,.026
Elijah Harkless,10,.314,19.6,.286,.714,.400,.280,.000
Pete Nance,13,.438,23.2,.250,.750,.625,.375,.063
Pete Nance,7,.333,25.5,.200,.800,.333,.333,.067
Pete Nance,6,.529,20.9,.294,.706,.800,.417,.059
Vlatko Čančar,13,.385,16.4,.423,.577,.545,.267,.077
Kylor Kelley,11,.636,3.8,1.000,.000,.636,,.227
Kylor Kelley,8,.769,2.9,1.000,.000,.769,,.231
Kylor Kelley,3,.444,4.7,1.000,.000,.444,,.222
Alex Ducas,21,.400,19.7,.300,.700,.222,.476,.000
Spencer Jones,20,.324,15.3,.500,.500,.588,.059,.029
Kobe Bufkin,10,.383,14.2,.596,.404,.500,.211,.000
Tyler Smith,23,.480,17.2,.400,.600,.550,.433,.080
De'Anthony Melton,6,.407,18.2,.352,.648,.474,.371,.037
Moses Brown,13,.694,3.2,1.000,.000,.694,,.286
Moses Brown,9,.650,3.3,1.000,.000,.650,,.300
Moses Brown,4,.724,3.0,1.000,.000,.724,,.276
TyTy Washington Jr.,16,.311,17.4,.533,.467,.417,.190,.000
Trey Alexander,24,.317,16.8,.585,.415,.417,.176,.000
Joe Ingles,19,.261,19.4,.348,.652,.375,.200,.000
Sidy Cissoko,22,.433,13.7,.567,.433,.588,.231,.167
Sidy Cissoko,17,.500,12.6,.611,.389,.545,.429,.167
Sidy Cissoko,5,.333,14.7,.500,.500,.667,.000,.167
Tony Bradley,14,.644,4.3,.933,.067,.667,.333,.089
Jaylen Sims,6,.429,16.4,.464,.536,.462,.400,.036
Pacome Dadiet,18,.323,18.4,.387,.613,.333,.316,.000
Patrick Baldwin Jr.,24,.543,21.2,.343,.657,.500,.565,.114
Patrick Baldwin Jr.,22,.515,17.6,.364,.636,.500,.524,.121
Patrick Baldwin Jr.,2,1.000,24.8,.000,1.000,,1.000,.000
Chris Livingston,21,.333,9.2,.704,.296,.474,.000,.111
Jae Crowder,9,.318,20.6,.318,.682,.429,.267,.000
Justin Minaya,19,.381,14.0,.524,.476,.545,.200,.000
Keshad Johnson,16,.692,8.3,.731,.269,.789,.429,.231
Yuki Kawamura,22,.367,22.4,.233,.767,.571,.304,.000
JD Davison,16,.353,17.8,.471,.529,.500,.222,.059
Luke Travers,12,.250,11.7,.550,.450,.455,.000,.200
Stanley Umude,22,.192,17.7,.423,.577,.182,.200,.038
Kevin Knox,14,.500,13.4,.583,.417,.667,.267,.111
Isaiah Jackson,5,.609,1.9,1.000,.000,.609,,.304
Marcus Garrett,4,.407,12.4,.704,.296,.421,.375,.000
Jacob Toppin,17,.409,12.7,.545,.455,.333,.500,.045
Jacob Toppin,16,.300,7.3,.800,.200,.375,.000,.100
Jacob Toppin,1,.500,18.0,.333,.667,.250,.625,.000
Emoni Bates,10,.342,23.4,.211,.789,.250,.367,.000
Taylor Hendricks,3,.222,18.8,.333,.667,.167,.250,.056
Chris Duarte,17,.462,16.1,.423,.577,.545,.400,.000
Daeqwon Plowden,6,.640,17.0,.320,.680,.875,.529,.120
RayJ Dennis,11,.333,20.9,.364,.636,.417,.286,.000
Josh Christopher,14,.355,11.5,.645,.355,.450,.182,.097
Matt Ryan,19,.323,18.6,.387,.613,.333,.316,.000
Armel Traoré,9,.316,10.3,.632,.368,.500,.000,.105
PJ Hall,19,.583,11.3,.667,.333,.750,.250,.208
Nae'Qwan Tomlin,5,.406,10.2,.688,.313,.500,.200,.094
Jamaree Bouyea,5,.500,14.2,.583,.417,.714,.200,.000
Cam Christie,13,.292,15.9,.458,.542,.455,.154,.083
P.J. Tucker,3,.429,23.9,.143,.857,.000,.500,.000
Jazian Gortman,16,.391,16.4,.522,.478,.417,.364,.000
Liam Robbins,13,.250,9.0,.750,.250,.333,.000,.250
E.J. Liddell,12,.533,20.3,.333,.667,1.000,.300,.000
Jackson Rowe,6,.471,16.5,.412,.588,.714,.300,.000
N'Faly Dante,4,.769,3.7,1.000,.000,.769,,.462
Isaiah Crawford,15,.455,15.1,.545,.455,.667,.200,.000
Mason Jones,10,.500,15.1,.556,.444,.800,.125,.000
Phillip Wheeler,5,.143,12.9,.524,.476,.273,.000,.095
Malachi Flynn,4,.385,12.6,.692,.308,.444,.250,.000
Jack McVeigh,9,.294,21.5,.235,.765,.250,.308,.000
Bobi Klintman,8,.600,17.4,.500,.500,.800,.400,.100
James Johnson,12,.364,14.5,.727,.273,.500,.000,.000
PJ Dozier,9,.667,24.7,.000,1.000,,.667,.000
Harrison Ingram,5,.500,13.1,.750,.250,.667,.000,.000
Miles Norris,3,.222,21.6,.222,.778,.000,.286,.000
David Duke Jr.,6,.429,12.8,.571,.429,.375,.500,.000
D.J. Carton,4,.143,13.6,.571,.429,.250,.000,.000
Bryce McGowens,13,.286,11.3,.714,.286,.400,.000,.143
Leonard Miller,13,.400,10.9,.667,.333,.600,.000,.067
Ulrich Chomche,7,.400,6.9,1.000,.000,.400,,.200
Jalen Bridges,8,.286,25.3,.000,1.000,,.286,.000
Jahmir Young,6,.800,11.9,.600,.400,1.000,.500,.000
Kevin McCullar Jr.,4,.286,9.4,.857,.143,.333,.000,.000
Trentyn Flowers,6,.364,10.3,.818,.182,.444,.000,.091
Emanuel Miller,6,.500,4.7,.875,.125,.571,.000,.125
Daniss Jenkins,7,.300,18.5,.300,.700,.667,.143,.000
Anton Watson,9,.444,6.4,.889,.111,.500,.000,.111
Tolu Smith,1,.667,1.6,1.000,.000,.667,,.000
Malevy Leons,6,.000,15.3,.500,.500,.000,.000,.000
Adama Sanogo,4,.571,2.1,1.000,.000,.571,,.143
Taze Moore,2,.200,19.1,.600,.400,.167,.250,.100
Ron Harper Jr.,1,.125,20.4,.250,.750,.500,.000,.000
Isaiah Mobley,1,.286,14.6,.571,.429,.250,.333,.000
Yuri Collins,2,.333,14.1,1.000,.000,.333,,.000
Tristen Newton,8,.125,13.8,.625,.375,.200,.000,.000
Tristen Newton,5,.167,16.8,.500,.500,.333,.000,.000
Tristen Newton,3,.000,10.8,1.000,.000,.000,,.000
Daishen Nix,3,.000,24.8,.000,1.000,,.000,.000
Skal Labissière,4,.500,15.2,.750,.250,.333,1.000,.000
Braxton Key,3,.000,11.5,.750,.250,.000,.000,.250
Cui Yongxi,5,.143,12.2,.571,.429,.250,.000,.000
Mac McClung,2,.000,17.6,.500,.500,.000,.000,.000
Quincy Olivari,2,.200,25.8,.000,1.000,,.200,.000
Terence Davis,1,.000,21.1,.500,.500,.000,.000,.000
Jalen McDaniels,4,,,,,,,
Riley Minix,1,.000,30.4,.000,1.000,,.000,.000
Isaiah Stevens,3,.000,17.1,.500,.500,.000,.000,.000
Terry Taylor,3,.000,5.9,1.000,.000,.000,,.000
Jesse Edwards,2,,,,,,,
James Wiseman,1,.500,14.1,.750,.250,.667,.000,.000
Alondes Williams,1,1.000,13.5,.500,.500,1.000,1.000,.000
Zyon Pullin,3,.000,8.8,1.000,.000,.000,,.000
Jahlil Okafor,1,,,,,,,
League Average,,.467,14.1,.579,.421,.545,.360,.061
