Player,Team,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Aaliyah Garcia,Incarnate Word,0.207,0.27,0.31,0.58,40,126,116,8,24,6,0,2,13,0,10,15,3,0
Aaliyah Swan,Cal State Northridge,0.176,0.255,0.275,0.53,54,155,131,16,23,5,1,2,13,1,13,45,1,0
Abbey Goodrum,Gardner-Webb,0.213,0.292,0.301,0.594,44,155,136,22,29,12,0,0,13,3,13,47,9,3
Abbey Jacobsen,Loyola Chicago,0.284,0.341,0.405,0.746,46,130,116,8,33,8,0,2,17,2,8,16,2,0
Abbey Latham,Ole Miss,0.292,0.396,0.532,0.928,53,183,154,36,45,7,0,10,46,6,21,35,16,1
Abbey Montoya,Coastal Carolina,0.258,0.324,0.411,0.735,54,188,163,29,42,7,0,6,22,7,9,27,11,0
Abby Frank,Incarnate Word,0.21,0.346,0.248,0.594,45,133,105,11,22,4,0,0,7,3,19,17,2,1
Abby Jones,Tulsa,0.301,0.342,0.414,0.756,47,150,133,26,40,5,2,2,14,0,10,17,3,3
Abby Stuart,Columbia,0.373,0.426,0.585,1.011,38,129,118,18,44,4,0,7,21,1,10,22,1,0
Abby Sweet,Notre Dame,0.362,0.458,0.564,1.023,52,194,163,55,59,11,2,6,25,16,13,13,19,4
Abby Wingo,Seton Hall,0.298,0.353,0.454,0.807,43,156,141,26,42,13,3,1,18,2,10,16,3,2
Abi Ledbetter,Belmont,0.268,0.329,0.346,0.676,50,171,153,23,41,7,1,1,24,1,14,20,7,0
Abigail Knight,Boston College,0.288,0.351,0.353,0.703,47,157,139,20,40,7,1,0,5,3,11,16,7,0
Addie Kittel,Lehigh,0.254,0.306,0.509,0.815,43,124,114,10,29,5,0,8,28,2,7,16,0,0
Adriana Barlow,Miami (OH),0.206,0.266,0.355,0.621,54,155,141,22,29,3,0,6,20,1,11,47,0,0
Adrienne Chang,Princeton,0.351,0.411,0.523,0.934,38,124,111,6,39,8,1,3,18,0,12,10,0,0
Adrienne Nardone,Colgate,0.234,0.317,0.467,0.784,45,120,107,8,25,5,1,6,24,1,12,31,0,0
Aeriyl Mass,Southeastern Louisiana,0.41,0.481,0.579,1.059,56,209,178,44,73,14,2,4,34,4,22,19,33,4
Alaina York,Robert Morris,0.241,0.325,0.292,0.617,52,160,137,23,33,4,0,1,12,1,16,19,6,1
Alayis Seneca,McNeese,0.297,0.364,0.343,0.707,54,197,175,44,52,6,1,0,21,0,19,4,19,2
Aleesia Sainz,South Dakota,0.343,0.48,0.686,1.166,53,178,137,37,47,12,1,11,43,4,34,26,6,0
Aleix Hudson,Bryant,0.313,0.418,0.518,0.936,42,138,112,17,35,4,2,5,21,5,16,28,2,0
Alesia Denby,Fresno State,0.287,0.37,0.54,0.91,55,174,150,29,43,11,0,9,32,6,15,31,8,0
Alesia Ranches,Iowa State,0.272,0.362,0.444,0.805,55,178,151,25,41,9,1,5,34,0,23,41,4,0
Alessandra Ponce,George Washington,0.363,0.419,0.536,0.955,53,188,168,23,61,17,0,4,35,3,14,13,2,0
Alex Boze,Missouri State,0.325,0.448,0.684,1.131,45,144,117,18,38,9,0,11,31,5,21,27,0,0
Alex Casas,Saint Mary's (CA),0.282,0.326,0.351,0.677,47,143,131,15,37,3,3,0,16,3,6,13,4,2
Alex DeLeon,Youngstown State,0.153,0.363,0.2,0.563,47,128,85,13,13,2,1,0,6,19,9,25,3,1
Alex Echazarreta,Purdue,0.336,0.449,0.578,1.027,46,156,128,20,43,10,0,7,31,2,25,19,0,0
Alexa Neil,Cal State Fullerton,0.265,0.311,0.325,0.635,59,163,151,28,40,7,1,0,10,4,6,35,1,2
Alexa Pagano,Campbell,0.235,0.331,0.316,0.647,54,164,136,15,32,2,0,3,14,1,19,21,2,1
Alexis Arrendondo,Jackson State,0.283,0.371,0.386,0.757,51,170,145,14,41,8,2,1,16,6,15,24,2,2
Alexis D'Ambrosio,Kansas City,0.237,0.344,0.353,0.696,47,163,139,21,33,5,1,3,24,2,21,19,1,0
Alexis Genovese,Coppin State,0.224,0.268,0.329,0.597,45,159,143,21,32,7,1,2,10,3,6,17,4,3
Alexis Johns,USF,0.341,0.434,0.405,0.839,59,207,173,55,59,3,4,0,18,0,30,16,59,2
Alexis Lucyshyn,Buffalo,0.282,0.363,0.444,0.806,46,160,142,18,40,5,0,6,31,2,16,35,2,0
Alexis Massie,Alabama State,0.276,0.308,0.35,0.657,47,134,123,5,34,7,1,0,11,3,3,8,1,0
Alexis Matheney,Buffalo,0.218,0.365,0.25,0.615,45,156,124,20,27,2,1,0,10,5,25,30,5,0
Alexis Phillips,Albany,0.257,0.409,0.339,0.748,39,137,109,34,28,3,3,0,10,5,23,25,14,2
Alexis Roberson,Delaware State,0.2,0.304,0.267,0.571,30,69,60,5,12,1,0,1,7,1,8,8,0,1
Alexis Strother,Morehead State,0.241,0.333,0.333,0.667,43,126,108,4,26,7,0,1,10,3,13,30,1,1
Alexis Wayland,Longwood,0.312,0.338,0.538,0.876,58,198,186,26,58,12,3,8,38,1,8,22,0,0
Ali Weekley,Dayton,0.333,0.41,0.368,0.778,37,111,87,12,29,0,0,1,10,8,4,11,0,0
Alia Logoleo,Clemson,0.287,0.352,0.585,0.937,59,183,164,31,47,4,0,15,46,3,14,28,2,2
Alicia Peters,Green Bay,0.383,0.507,0.783,1.29,48,146,115,29,44,10,0,12,26,4,25,24,5,0
Alicia Veltri,Belmont,0.277,0.438,0.455,0.894,42,130,101,15,28,3,0,5,18,3,26,35,0,0
Alise Hale,Fort Wayne,0.214,0.348,0.375,0.723,46,137,112,24,24,7,1,3,8,6,17,33,6,4
Alison Guckin,Norfolk State,0.268,0.368,0.349,0.717,54,177,149,30,40,7,1,1,15,2,22,24,38,5
Alison Seng,Boise State,0.303,0.37,0.62,0.99,50,164,142,30,43,12,0,11,44,6,11,20,0,0
Aliya Catanzarita,Hofstra,0.227,0.309,0.299,0.608,41,110,97,9,22,4,0,1,7,0,12,19,0,0
Aliya Ewell,Morgan State,0.302,0.381,0.497,0.878,46,169,149,33,45,8,6,3,25,2,17,21,15,3
Aliyah Huerta-Leipner,Boston University,0.244,0.329,0.386,0.714,51,147,127,15,31,8,2,2,20,3,13,22,5,3
Aliyah Binford,Baylor,0.316,0.383,0.51,0.893,54,175,155,25,49,15,0,5,26,0,18,26,10,2
Allee Bunker,Oregon,0.361,0.391,0.594,0.985,52,192,180,36,65,10,1,10,41,0,10,7,12,3
Alli Richmond,Binghamton,0.297,0.316,0.534,0.85,46,158,148,21,44,15,1,6,27,2,4,27,3,0
Allie Cummins,Miami (OH),0.33,0.433,0.644,1.077,58,224,188,54,62,14,0,15,43,1,34,27,3,0
Allie Englant,Ohio,0.366,0.438,0.523,0.96,44,177,153,35,56,12,3,2,18,3,18,12,27,4
