"position","Round","forty","vertical","bench_reps","broad_jump","three_cone","shuttle"
"WR",7,4.54,36,20,NA,6.88,4.19
"OT",6,5.4,25.5,17,97,NA,NA
"OG",NA,5.48,27,19,91,8.13,4.82
"WR",6,4.48,37,NA,122,7.15,4.07
"RB",NA,4.5,35,23,118,7.14,4.32
"RB",4,4.34,33,NA,NA,NA,NA
"OG",5,5.16,28,32,100,7.72,4.78
"C",7,5.18,NA,41,NA,NA,NA
"WR",NA,4.36,43.5,19,126,6.82,4.05
"QB",NA,4.82,27,NA,99,7.41,4.56
"RB",6,4.63,35.5,16,117,7.01,4.19
"OT",4,5.14,27,30,103,7.43,4.78
"WR",NA,4.46,33.5,10,115,NA,4.23
"OG",NA,5.36,29.5,NA,102,7.81,4.9
"OT",2,5.22,26.5,32,104,7.91,4.87
"QB",2,4.83,NA,NA,NA,NA,NA
"WR",NA,4.36,40.5,19,129,6.85,4.11
"WR",NA,4.5,30,15,112,6.95,3.98
"TE",7,4.79,32,21,110,7.18,4.4
"RB",2,4.39,33,NA,116,6.95,4.32
"TE",NA,4.69,36,18,121,7.19,NA
"RB",3,4.45,36.5,17,123,7.07,4.28
"RB",NA,4.52,31.5,NA,111,7.13,4.21
"RB",NA,4.48,34,24,118,7.36,4.19
"WR",3,4.39,36.5,14,123,7.03,4.15
"OT",7,5.26,28.5,22,100,7.49,4.67
"WR",2,4.5,34,15,119,7.1,4.23
"RB",5,4.36,36.5,16,120,6.5,3.93
"WR",2,4.55,31,15,121,6.99,4.36
"OT",1,5.16,26.5,23,98,7.87,4.75
"OT",NA,5.27,NA,25,NA,NA,NA
"RB",1,4.48,NA,NA,NA,NA,NA
"WR",NA,4.61,37,19,115,NA,4.23
"FB",4,4.53,36,18,119,6.94,4.28
"OT",5,5.33,27,28,100,8.15,4.99
"WR",3,4.62,36,19,126,6.88,4.22
"C",NA,5.28,22,26,90,8.19,4.99
"OT",2,5.38,26.5,23,89,7.86,4.87
"OG",2,5.33,31.5,28,107,7.95,4.87
"OT",3,4.94,35.5,19,114,7.52,4.78
"WR",6,4.37,33,17,125,7.08,NA
"QB",1,4.65,NA,NA,NA,NA,NA
"OG",6,5.44,23,16,85,7.92,4.8
"WR",4,4.49,37.5,18,NA,NA,NA
"OG",5,5.52,27.5,31,NA,7.96,5
"RB",4,4.42,36,28,122,7.16,4.31
"OT",NA,5.23,26,29,103,7.93,4.75
"OG",6,5.14,25,28,101,8.22,4.87
"OG",5,5.29,27,NA,102,7.87,4.9
"QB",1,4.89,NA,NA,NA,NA,NA
"RB",NA,4.49,NA,20,NA,NA,NA
"WR",7,4.63,35,14,119,6.84,4.13
"RB",1,4.38,41,NA,132,7.09,4.12
"QB",3,4.53,34,NA,118,6.97,4.09
"WR",4,4.39,38,11,120,6.93,4.03
"WR",1,4.49,38.5,NA,121,6.93,4.18
"WR",4,4.36,39,17,123,NA,NA
"OG",NA,4.98,32.5,28,NA,NA,NA
"OG",1,5.32,29,32,101,7.77,4.61
"OT",NA,5.08,NA,NA,NA,NA,NA
"C",NA,5.43,24,27,92,7.9,4.96
"RB",NA,4.8,34,15,114,6.97,4.25
"C",NA,5.2,25,25,98,7.6,4.83
"TE",NA,4.94,30.5,21,112,7.15,4.35
"C",NA,5.38,NA,25,NA,NA,NA
"RB",NA,4.68,31,15,117,6.97,4.44
"OG",NA,5.65,20.5,20,91,8.07,5.03
"RB",NA,4.68,32.5,19,113,6.95,4.18
"RB",NA,4.52,33.5,23,120,7.07,4.35
"WR",NA,4.5,36,10,123,6.9,4.39
"OG",NA,5.54,23.5,25,102,8.11,5.06
"QB",NA,4.92,32,NA,116,6.95,4.52
"OT",5,5.41,23.5,17,100,7.92,4.84
"WR",3,4.58,NA,NA,NA,NA,NA
"OG",NA,5.43,NA,32,NA,NA,NA
"RB",NA,4.6,32,17,119,7.15,4.12
"OT",3,4.71,34.5,31,112,7.62,4.72
"WR",1,4.34,32,14,120,NA,4.01
"OG",6,5.03,26.5,NA,100,7.26,4.44
"OG",NA,4.95,NA,27,NA,NA,NA
"WR",3,4.52,34.5,11,117,6.81,4.09
"OT",4,5.18,25.5,28,101,7.7,4.74
"RB",2,4.66,32,15,118,6.88,4.4
"OG",NA,5.25,27.5,29,99,8.09,4.77
"QB",4,4.91,NA,NA,NA,NA,NA
"RB",6,4.52,35.5,20,122,6.87,4.2
"OT",NA,5.2,29.5,19,109,7.77,4.57
"RB",2,4.6,31.5,24,118,6.75,4.24
"RB",2,4.53,33.5,19,122,6.91,4.12
"FB",7,4.88,35,36,119,7.27,4.42
"OG",7,5.27,22.5,22,98,7.85,4.96
"WR",6,4.59,33,14,117,NA,4.15
"FB",NA,5,32,25,109,7.28,4.44
"WR",4,4.38,34,22,131,6.68,4.1
"QB",NA,5.05,NA,NA,100,7.2,4.51
"OT",NA,5.2,28,26,100,7.43,4.7
"WR",NA,4.63,NA,NA,NA,NA,NA
"RB",6,4.73,39,21,125,6.85,4.09
"QB",NA,4.78,30.5,NA,112,6.98,4.28
"C",NA,5.33,25.5,NA,98,7.81,4.71
"OT",NA,5.21,28.5,24,108,7.81,4.7
"OG",1,5.07,27,35,108,7.78,4.84
"TE",7,4.94,31.5,NA,116,7.12,4.45
"RB",3,4.37,33.5,31,121,6.96,4.38
"WR",NA,4.56,39.5,19,120,7.15,NA
"OT",NA,5.25,24,21,98,7.91,4.77
"WR",2,4.37,NA,NA,NA,NA,NA
"QB",7,4.81,NA,NA,NA,NA,NA
"TE",1,4.68,35.5,22,119,6.92,4.32
"RB",6,4.61,34,NA,122,NA,NA
"TE",2,4.76,30.5,24,111,7.08,4.47
"TE",2,4.84,32,NA,114,7.07,4.31
"OT",NA,5.08,NA,25,NA,NA,NA
"TE",NA,4.82,NA,17,NA,NA,NA
"OT",1,5.05,28.5,27,116,7.59,4.44
"OT",1,5.31,NA,21,NA,NA,NA
"RB",NA,4.5,38.5,25,130,6.87,4.25
"OT",7,5.14,30,33,113,7.62,4.68
"RB",4,4.49,31.5,18,115,6.89,4.31
"C",1,5.58,28.5,21,97,7.81,4.76
"WR",6,4.43,31.5,12,120,NA,NA
"TE",NA,4.62,35.5,18,115,7.09,4.35
"OT",NA,5.24,23,28,NA,NA,5.24
"OT",7,5.29,30,28,108,7.65,4.75
"RB",5,4.55,30.5,15,119,7.12,4.4
"QB",3,4.94,26.5,NA,102,7.49,4.52
"WR",3,4.27,NA,13,132,NA,NA
"TE",7,4.5,37.5,18,125,7.08,4.51
"RB",NA,4.8,32.5,18,112,7.17,4.21
"QB",NA,4.65,30,15,111,7.25,4.3
"WR",6,4.56,29.5,11,107,NA,4.31
"WR",4,4.55,35.5,20,116,6.89,4.39
"WR",NA,4.46,38.5,17,129,6.99,4.33
"OT",5,5.07,28.5,NA,112,7.52,4.51
"OG",7,5.25,28,36,95,7.99,5.09
"C",4,5.29,NA,13,NA,NA,NA
"WR",1,4.57,36,15,115,NA,4.5
"WR",2,4.44,39.5,NA,136,NA,4.33
"RB",6,4.53,35,28,115,NA,4.62
"RB",7,4.68,29,20,110,NA,NA
"TE",7,4.97,NA,3,NA,NA,NA
"OT",1,5.3,28.5,27,106,7.4,4.68
"WR",NA,4.6,32,6,109,NA,4.53
"OG",NA,5.37,23,17,92,8.12,4.74
"OT",1,4.72,34,28,118,7.31,4.52
"OT",NA,5.49,22,NA,88,8.06,5.06
"C",7,5.33,25.5,32,96,7.83,4.74
"C",4,5.43,NA,NA,NA,NA,NA
"QB",4,5.11,31,NA,115,7.12,4.3
"TE",6,4.71,31.5,22,113,NA,NA
"WR",NA,4.67,33.5,9,115,7.11,4.44
"TE",3,4.63,NA,NA,NA,NA,NA
"WR",5,4.47,36.5,11,123,6.91,4.33
"QB",NA,4.78,29,NA,111,7.17,4.4
"OG",4,5.13,22.5,23,105,7.72,4.65
"RB",2,4.55,NA,NA,NA,NA,NA
"RB",4,4.65,NA,NA,NA,NA,NA
"WR",NA,4.59,32,7,112,7.04,4.29
"FB",NA,4.77,30.5,26,111,NA,NA
"OG",1,4.91,28,NA,107,7.83,4.63
"OG",NA,5.48,23,35,95,8.07,4.82
"QB",1,4.65,34,NA,118,7.08,4.21
"OT",NA,5.34,NA,31,NA,NA,NA
"RB",NA,4.54,NA,20,NA,7.21,4.43
"RB",NA,4.34,34,NA,121,NA,NA
"TE",2,4.69,33.5,31,119,7.08,4.53
"WR",7,4.54,33.5,9,123,7.11,4.41
"RB",2,4.54,43,27,125,6.69,4.02
"OG",NA,5.14,28.5,NA,104,NA,4.87
"OT",5,5.37,28.5,20,101,8.1,4.88
"WR",NA,4.74,36,26,120,6.53,3.96
"QB",4,5.06,28.5,NA,105,7.34,4.53
"OT",NA,5.23,NA,NA,NA,NA,NA
"TE",NA,4.69,NA,NA,NA,NA,NA
"OT",6,4.95,30.5,32,97,7.71,4.56
"TE",NA,4.99,33.5,17,110,7.48,4.5
"WR",1,4.42,37,NA,128,NA,NA
"WR",4,4.53,33,8,118,6.91,4.01
"FB",NA,4.7,30,17,114,7.28,4.55
"OT",1,5.12,28.5,NA,103,7.45,4.63
"OT",6,5.08,29.5,25,112,7.49,4.45
"RB",5,4.63,35,NA,123,NA,NA
"TE",3,4.72,NA,16,NA,NA,NA
"QB",7,4.76,NA,NA,NA,NA,NA
"RB",6,4.68,32,NA,118,NA,NA
"TE",6,4.81,31,17,112,7.17,4.43
"WR",5,4.43,36.5,NA,123,7.09,4.22
"WR",NA,4.5,39.5,10,132,6.71,4.06
"WR",NA,4.46,33.5,20,119,7.1,4.38
"WR",4,4.58,32,7,117,6.81,4.37
"C",4,4.99,26.5,31,108,7.31,4.74
"QB",NA,4.69,31,NA,118,6.69,3.99
"TE",4,4.75,35,22,112,7.36,4.52
"QB",2,4.58,33.5,NA,124,NA,NA
"WR",NA,4.51,34.5,NA,120,7.03,4.07
"QB",7,4.97,29,NA,112,7.17,4.55
"WR",NA,4.48,33.5,15,119,6.72,4.07
"RB",5,4.55,33,27,122,6.7,4.17
"WR",5,4.38,33.5,16,124,NA,4.35
"TE",NA,4.65,34.5,18,116,7.12,4.27
"WR",6,4.34,37,16,125,6.76,4.25
"RB",5,4.76,30,17,110,7.13,4.5
"RB",5,4.42,NA,21,NA,NA,NA
"OT",3,5.08,NA,NA,NA,NA,NA
"WR",NA,4.54,33.5,8,121,6.88,4.21
"OG",3,5.11,NA,27,NA,7.45,4.63
"TE",4,4.86,31,17,113,7.09,4.57
"OG",4,5.09,29.5,29,109,7.48,4.69
"RB",NA,4.55,35.5,17,118,NA,NA
"WR",NA,4.68,32.5,NA,125,6.93,4.22
"OT",5,5.17,31.5,20,101,7.94,4.91
"RB",6,4.62,NA,NA,NA,NA,NA
"OG",3,5.58,22.5,28,96,7.78,5.1
"OG",1,5.49,NA,NA,110,NA,NA
"OG",4,5.06,30,24,107,7.77,5
"OT",2,5.29,24.5,NA,103,8.31,5.01
"OT",NA,5.44,21,23,94,8.23,5.07
"OT",NA,5.46,25,22,105,7.9,4.81
"WR",3,4.45,37,20,120,6.8,4.02
"OT",3,5.27,NA,NA,NA,NA,NA
"RB",7,4.48,35,17,118,7.15,4.15
"WR",3,4.52,32.5,11,119,7.01,4.32
"FB",6,4.81,NA,22,NA,NA,NA
"WR",7,4.51,34.5,7,122,6.65,4.33
"QB",4,4.95,28.5,NA,112,7.22,4.39
"RB",NA,4.75,34.5,22,119,NA,NA
"OG",3,5.22,NA,9,NA,NA,NA
"RB",NA,4.56,37.5,16,124,NA,NA
"WR",2,4.51,33.5,14,117,7.15,4.47
"RB",NA,4.56,NA,NA,NA,NA,NA
"QB",NA,5.26,25.5,NA,105,7.14,4.36
"TE",NA,4.5,34,20,128,NA,NA
"RB",NA,4.75,32,20,113,7.07,NA
"TE",NA,4.79,NA,35,NA,NA,NA
"TE",NA,4.69,32.5,NA,NA,NA,NA
"C",NA,5.18,NA,NA,NA,NA,NA
"WR",5,4.5,30.5,4,117,6.8,4.08
"WR",2,4.56,39.5,14,123,6.82,4.3
"TE",2,4.74,33,28,118,7.42,4.3
"RB",NA,4.82,29.5,20,106,7.24,4.49
"WR",3,4.26,38,20,122,6.86,4.06
"RB",NA,4.48,38,19,121,7.07,4.46
"WR",1,4.38,38.5,7,122,6.69,3.94
"WR",1,4.61,32.5,13,119,7.33,4.39
"RB",NA,4.67,29,24,106,NA,NA
"OG",2,4.92,32,22,114,7.37,4.44
"TE",7,4.82,NA,NA,NA,NA,NA
"RB",6,4.63,32,13,121,7.15,4.5
"OG",4,5.18,29,42,109,8.26,4.66
"OG",NA,5.3,25,21,101,7.44,4.61
"QB",1,4.93,32.5,NA,115,7.08,4.21
"WR",NA,4.73,NA,12,NA,NA,NA
"QB",6,4.84,30.5,NA,106,7.33,4.23
"QB",1,NA,30,NA,113,7.17,4.2
"OT",2,5.19,27.5,23,100,8.14,4.69
"WR",3,4.34,36.5,NA,119,6.91,4.12
"WR",NA,4.51,33,NA,116,7.16,4.22
"WR",4,4.42,39,16,124,7.18,4.15
"WR",NA,4.58,31,16,115,6.74,3.94
"WR",NA,4.62,30,NA,112,7.14,4.32
"WR",7,4.46,39,20,122,6.77,4.01
"RB",4,4.69,32.5,19,115,7.08,4.38
"QB",2,4.69,34.5,NA,110,NA,4.2
"WR",NA,4.56,32.5,21,NA,7.33,4.51
"WR",NA,4.71,NA,NA,NA,NA,NA
"WR",1,4.33,36,16,120,6.76,3.81
"WR",NA,4.5,40,12,120,6.53,3.9
"FB",NA,4.95,28.5,23,111,7.68,4.58
"RB",NA,4.48,34.5,NA,125,7.01,4.26
"RB",NA,4.57,38,23,117,NA,NA
"WR",NA,4.52,NA,10,NA,NA,NA
"OG",4,5.42,24,23,101,8.14,4.89
"TE",1,4.6,32,24,120,NA,NA
"OG",5,5.25,27,26,99,7.95,4.82
"WR",4,4.45,39.5,15,120,6.69,3.95
"WR",6,4.41,NA,19,NA,NA,NA
"WR",1,4.53,37,12,NA,7.08,4.26
"WR",4,4.51,34.5,13,122,7.07,4.21
"QB",6,4.99,28,NA,103,7.55,4.5
"OT",NA,5.37,26.5,36,103,8.13,4.86
"TE",3,4.76,31.5,25,116,7.1,4.26
"OT",4,5.28,23.5,26,97,8.24,5
"RB",NA,4.72,36.5,NA,120,6.9,NA
"WR",NA,4.52,36,NA,126,7.06,4.18
"WR",NA,4.56,36,7,124,7.07,4.33
"RB",4,4.58,31.5,NA,118,7.11,4.26
"OG",6,5.16,24.5,25,98,7.87,5.16
"RB",6,4.49,36.5,NA,116,6.78,4.18
"WR",7,4.49,NA,15,NA,NA,NA
"QB",2,4.97,30.5,NA,110,7.04,4.26
"TE",3,4.89,33.5,NA,120,7.42,4.44
"WR",5,4.64,35.5,8,119,6.68,4.11
"RB",6,4.67,NA,NA,NA,NA,NA
"TE",NA,4.76,26.5,NA,113,NA,NA
"OG",NA,5.19,26.5,26,108,7.49,4.47
"OG",6,5.34,21.5,NA,100,8.26,4.83
"C",NA,5.15,27,27,113,7.97,4.86
"WR",6,4.5,36.5,15,118,7.08,4.2
"OT",7,5.04,24,NA,95,8.15,4.77
"WR",6,4.48,35.5,18,125,6.84,4.27
"FB",NA,4.87,33,NA,109,7.04,4.35
"RB",2,4.56,29,20,113,NA,NA
"WR",NA,4.65,27.5,13,108,6.89,4.2
"WR",3,4.51,35.5,14,116,NA,NA
"WR",NA,4.55,31,14,120,7.23,4.5
"OT",NA,5.59,NA,NA,NA,NA,NA
"RB",2,4.62,34.5,19,114,NA,NA
"C",NA,5.13,26,22,103,7.3,4.37
"OG",3,5.34,29,30,108,8.25,4.78
"TE",NA,4.89,NA,15,NA,NA,NA
"OT",1,5.26,29,22,103,7.42,4.56
"WR",7,4.42,37.5,20,123,6.64,3.98
"TE",NA,4.85,35,24,115,7.38,4.6
"RB",7,4.6,35.5,16,118,NA,NA
"C",5,5.11,29,26,111,7.4,4.64
"WR",6,4.46,33,NA,119,6.82,4.27
"FB",NA,4.77,30,24,116,7.22,4.3
"RB",NA,4.43,34.5,20,118,7.07,4.13
"OT",2,5.59,27.5,21,96,7.71,4.84
"WR",2,4.65,28.5,12,110,NA,NA
"C",NA,5.17,23.5,36,102,8.22,4.7
"WR",2,4.52,NA,23,NA,NA,NA
"WR",2,4.52,38,NA,127,NA,4.01
"OG",7,5.25,29,21,108,7.57,4.4
"OT",1,4.87,30.5,29,117,7.39,4.49
"OG",3,5.35,26.5,30,100,NA,NA
"C",5,5.24,27,36,NA,NA,NA
"OG",3,5.16,NA,NA,NA,NA,NA
"OT",NA,5.29,NA,NA,NA,NA,NA
"WR",NA,4.6,36,20,124,7.07,4.25
"TE",NA,4.61,39,15,128,NA,NA
"TE",5,4.82,29.5,28,116,7.38,4.35
"QB",NA,4.76,29.5,NA,109,6.55,4.2
"QB",1,4.68,31.5,NA,113,6.75,4.03
"C",3,5.38,NA,23,NA,NA,NA
"OG",1,5.22,28,29,106,7.65,4.59
"RB",3,4.5,38.5,NA,126,NA,4.15
"OT",1,5.07,30.5,24,105,7.34,4.47
"WR",2,4.46,35.5,21,120,6.95,4.18
"QB",5,4.94,28,NA,99,7.18,4.34
"RB",3,4.41,40.5,32,132,6.83,4.12
"QB",6,NA,NA,NA,NA,NA,NA
"OT",2,5.37,26,28,101,7.79,4.64
"FB",7,4.64,NA,NA,NA,NA,NA
"WR",3,4.4,39.5,13,132,7.02,4.3
"QB",NA,4.63,30,NA,111,7.36,4.49
"OT",3,5.35,21.5,NA,106,7.93,4.95
"TE",NA,4.79,33,24,114,7.18,4.27
"QB",5,4.84,NA,NA,NA,NA,NA
"TE",NA,4.93,32.5,18,112,7.14,4.47
"TE",2,4.84,32,27,114,7.57,4.55
"WR",4,4.48,33,8,121,6.68,4.32
"C",6,5.34,26,23,103,7.6,4.46
"OT",NA,4.97,33.5,22,NA,NA,NA
"TE",NA,4.82,28.5,NA,111,7.55,4.4
"RB",NA,4.46,35.5,23,124,7.08,4.3
"RB",NA,4.7,37,18,122,NA,NA
"WR",7,4.46,41,NA,132,6.63,4.18
"QB",NA,4.87,25.5,NA,108,7.22,4.3
"OT",NA,5.3,24.5,36,NA,NA,NA
"OG",5,5.36,25.5,25,91,7.7,4.83
"WR",2,4.4,38,NA,124,7.09,NA
"C",2,5.1,25.5,25,106,7.93,4.63
"WR",2,4.6,39,NA,127,7,4
"OT",1,4.92,28.5,32,113,7.8,4.86
"TE",3,4.87,31.5,16,116,7.23,4.47
"RB",2,4.49,35.5,26,126,6.75,4
"WR",4,4.44,34,NA,122,NA,NA
"QB",4,4.97,27,NA,105,7.33,4.36
"OT",3,5.01,24,NA,93,7.62,4.57
"RB",6,4.51,41.5,15,134,NA,NA
"TE",2,4.75,NA,20,NA,NA,NA
"QB",NA,4.66,34,NA,116,7.07,4.33
"RB",3,4.48,37.5,17,126,7.16,4.3
"RB",NA,4.84,36,14,118,7.53,4.6
"WR",NA,4.62,33.5,11,113,7.19,4.39
"OG",NA,5.33,NA,NA,NA,NA,NA
"WR",NA,4.69,35,11,117,7.1,4.33
"C",NA,5.17,27.5,22,105,8.16,4.63
"C",4,5.44,NA,NA,NA,NA,NA
"WR",5,4.55,37,NA,124,6.89,4.01
"OG",2,5.04,25,25,102,7.6,4.44
"C",3,5.28,26,20,95,7.73,4.65
"RB",4,4.58,33,18,118,6.88,4.22
"OG",3,5.09,29,35,98,8.13,4.83
"RB",4,4.39,32,8,124,NA,NA
"QB",4,4.61,35.5,NA,118,7.05,4.18
"TE",NA,4.95,NA,NA,NA,NA,NA
"OT",3,5.16,28,25,108,7.92,4.71
"OG",3,4.93,27.5,25,NA,NA,NA
"OG",5,5.31,29,30,102,7.55,4.47
"QB",NA,4.95,29,NA,108,7.25,4.43
"WR",NA,4.46,32,8,115,7.19,4.35
"WR",1,4.43,34,16,126,6.95,4.34
"OG",3,5.5,NA,29,NA,NA,NA
"TE",4,4.58,36.5,17,123,7.29,4.44
"QB",6,5,28,NA,100,7.07,4.25
"RB",3,4.56,33.5,16,120,NA,NA
"RB",4,4.57,32,23,114,7.05,4.2
"RB",NA,4.65,35,18,121,6.92,4.24
"RB",4,4.56,38,NA,129,7.27,4.06
"RB",NA,4.45,35.5,16,121,7.37,4.25
"WR",NA,4.43,37.5,10,123,7,4.21
"OG",5,5.48,28.5,22,103,7.81,4.86
"OG",NA,5.52,17.5,NA,84,8.19,5.12
"WR",NA,4.4,34,17,118,7.51,4.5
"QB",NA,4.99,31.5,NA,113,7.3,4.51
"WR",NA,4.58,33.5,16,119,7.11,4.28
"RB",NA,4.7,36.5,26,120,7.09,4.13
"RB",NA,4.63,30.5,19,116,7.19,4.4
"C",NA,4.97,NA,NA,NA,NA,NA
"TE",NA,4.72,NA,15,NA,NA,NA
"WR",NA,4.57,35.5,16,115,7.25,4.12
"WR",NA,4.62,37,13,122,NA,NA
"OT",NA,5.26,32.5,26,107,8.07,4.6
"OT",NA,5.19,30,23,101,8.09,4.79
"QB",NA,4.81,37,NA,125,7.13,4.2
"WR",NA,4.62,33,15,121,7.08,4.11
"OG",NA,5.74,NA,26,NA,NA,NA
"RB",2,4.6,42.5,24,130,6.79,3.95
"WR",1,4.42,NA,12,NA,NA,NA
"RB",5,4.57,39,19,121,7.1,4.1
"WR",7,4.43,34,13,121,6.64,4.07
"RB",4,4.53,35.5,11,121,6.96,4.28
"WR",NA,4.54,NA,13,NA,NA,NA
"TE",7,4.73,NA,NA,NA,NA,NA
"RB",5,4.53,36.5,NA,118,7.13,NA
"TE",4,4.8,33,14,116,6.85,4.32
"WR",5,4.42,41.5,7,129,6.66,4.15
"TE",NA,4.88,NA,20,NA,NA,NA
"OG",NA,5.57,23.5,22,90,7.9,4.65
"QB",NA,5.03,26.5,NA,100,7.47,4.62
"OG",NA,5.6,25,NA,103,7.91,4.75
"TE",5,5.04,30.5,20,112,7.13,4.23
"QB",NA,4.72,33,NA,110,7.18,4.37
"WR",7,4.54,37,17,120,7.04,4.11
"RB",NA,4.63,NA,17,NA,NA,NA
"OT",3,5.08,NA,NA,NA,NA,NA
"RB",NA,4.62,34.5,19,117,6.86,4.15
"OG",7,5.21,23.5,20,97,8.23,4.78
"FB",5,4.65,33,25,115,7.2,4.34
"OG",3,5.47,NA,26,NA,NA,NA
"QB",NA,4.94,29.5,NA,104,7.17,4.45
"RB",NA,4.57,36,NA,114,6.9,4.15
"TE",7,4.87,NA,28,NA,7.62,4.7
"WR",6,4.51,33,10,113,6.97,4.26
"OT",NA,4.98,32,NA,108,7.52,4.48
"OT",4,5.14,32.5,22,111,7.68,4.54
"WR",3,4.43,41,23,131,6.98,4.06
"RB",5,4.81,38.5,17,121,NA,NA
"RB",3,4.4,NA,22,NA,NA,NA
"OT",NA,5.1,27,21,108,7.7,4.63
"WR",3,4.35,45,18,139,7.06,4.3
"WR",1,4.42,33,NA,120,6.71,3.98
"RB",NA,4.62,40,15,125,7.15,4.25
"WR",4,4.56,37,10,115,7.17,4.32
"WR",6,4.49,36.5,23,124,6.86,4.18
"RB",4,4.61,34,17,116,7,4.18
"WR",NA,4.51,32.5,NA,119,7.14,4.28
"WR",5,4.46,35,NA,115,7.03,4.32
"C",NA,5.31,27.5,23,107,8.14,4.7
"OT",4,5.31,32,17,101,7.84,4.77
"WR",1,4.33,37,13,122,6.7,4.11
"OG",4,5.25,29,28,99,7.99,4.75
"RB",NA,4.58,34,26,120,NA,NA
"RB",NA,4.8,35.5,16,117,7.63,4.5
"C",1,5.15,30.5,30,112,7.48,4.63
"OG",6,5.55,29.5,NA,NA,NA,4.77
"QB",NA,4.63,32.5,NA,118,6.95,4.1
"OG",4,5.33,26.5,NA,97,NA,4.74
"C",NA,5.25,24,20,99,NA,4.76
"OT",2,5.01,32.5,25,NA,7.25,4.33
"OT",1,5.31,NA,37,NA,NA,NA
"FB",4,4.94,33.5,23,114,7.56,4.4
"WR",2,4.7,38.5,17,122,NA,NA
"C",6,5.5,27,29,96,7.66,4.58
"C",4,5.24,NA,NA,NA,NA,NA
"OT",7,5.04,33.5,24,113,7.72,4.56
"OG",4,5.2,29.5,31,113,7.56,4.58
"WR",NA,4.44,NA,NA,NA,NA,NA
"RB",1,4.52,35,19,126,7.04,4.07
"C",3,5.03,NA,NA,NA,NA,NA
"QB",3,4.75,NA,NA,NA,NA,NA
"OT",3,5.16,29.5,21,106,8,4.7
"WR",2,4.49,33.5,13,119,6.89,4.45
"WR",5,4.53,36.5,NA,122,6.88,4.12
"RB",1,4.52,NA,17,NA,NA,NA
"QB",NA,4.87,NA,NA,NA,NA,NA
"WR",NA,4.6,41,16,132,6.86,4.15
"WR",4,4.56,36.5,11,114,6.63,4.21
"WR",NA,4.64,32,13,108,7.15,4.36
"OG",5,5.19,29.5,26,102,7.51,4.62
"OG",7,5.61,NA,NA,NA,NA,NA
"RB",NA,4.8,33,NA,113,7.2,4.38
"OT",2,5.46,28.5,16,96,8.28,4.87
"TE",3,4.81,NA,26,NA,NA,NA
"OT",NA,5.39,NA,35,NA,NA,NA
"RB",7,4.83,27,NA,111,7.17,4.4
"OT",1,5.12,31,26,104,7.87,4.64
"QB",5,4.63,36,NA,120,6.93,3.98
"FB",7,5.02,31.5,30,110,7.24,4.33
"OG",4,5.52,25,NA,96,NA,NA
"TE",5,4.83,37.5,26,121,7.53,4.5
"RB",3,4.5,41.5,25,127,6.82,4.27
"RB",3,4.54,33.5,NA,121,NA,NA
"WR",2,4.63,32.5,8,119,6.91,4.19
"RB",3,4.61,31.5,20,112,NA,4.2
"OG",4,5.48,NA,NA,NA,NA,NA
"TE",7,4.79,NA,NA,NA,NA,NA
"TE",3,4.75,NA,17,NA,NA,NA
"RB",4,4.42,34.5,NA,118,7.22,4.32
"WR",5,4.61,36,10,114,6.92,4.13
"WR",3,4.4,35.5,NA,121,6.89,4.07
"WR",NA,4.51,34,12,120,6.98,4.27
"RB",NA,4.62,37,22,115,7.52,4.37
"C",NA,5.08,NA,NA,NA,NA,NA
"QB",3,5.14,31,NA,105,7.29,4.39
"QB",1,4.52,36,NA,121,6.87,4.11
"OG",2,4.98,30.5,30,108,7.33,4.47
"WR",4,4.67,35.5,NA,117,6.93,4.13
"WR",7,4.41,38,16,122,6.96,4.08
"OT",NA,5.51,25,NA,97,7.91,4.87
"OG",3,5.33,27,29,104,8.2,4.75
"WR",3,4.55,40.5,NA,121,6.97,4.21
"OG",2,5.14,31,36,112,7.6,4.5
"WR",5,4.54,32.5,NA,121,7.07,4.25
"RB",7,4.61,29,11,109,NA,4.4
"OG",5,5.44,27.5,NA,94,8.1,4.91
"WR",5,4.28,36,NA,127,7.02,4.15
"OT",1,4.98,NA,23,NA,NA,NA
"TE",6,4.93,30.5,21,110,7.4,4.5
"WR",1,4.45,36.5,17,125,NA,NA
"OT",1,5.18,31,NA,105,8.01,4.62
"WR",1,NA,NA,NA,NA,NA,NA
"QB",4,4.87,34,NA,121,6.91,4.13
"OT",4,5.09,31,25,113,7.9,4.66
"OG",3,5.32,26.5,26,95,8.09,4.89
"TE",5,4.58,38,17,118,7.25,4.37
"RB",NA,4.65,35.5,15,116,NA,NA
"OT",7,5.34,NA,28,NA,NA,NA
"RB",6,4.7,32,21,113,NA,NA
"WR",NA,4.68,27.5,17,110,7.35,4.58
"OT",2,5.36,29,23,97,7.54,4.58
"TE",NA,4.65,36,NA,119,7.29,4.49
"OT",1,5.05,NA,23,NA,NA,NA
"OT",7,5.39,29,17,94,8.04,4.7
"TE",NA,4.84,33,NA,114,7.5,4.6
"QB",NA,4.57,30.5,NA,115,NA,NA
"WR",4,4.52,NA,NA,NA,NA,NA
"WR",2,4.42,39,10,122,NA,4.15
"OT",2,5.27,32,26,109,7.95,4.79
"WR",3,4.44,42,NA,123,NA,NA
"TE",6,4.83,NA,20,NA,NA,NA
"OT",6,5.35,29,29,97,NA,4.92
