"position","Round","forty","vertical","bench_reps","broad_jump","three_cone","shuttle"
"QB",6,4.95,26.5,NA,101,7.65,4.36
"QB",6,4.78,31,NA,115,NA,NA
"WR",7,4.58,33.5,NA,120,6.89,4.08
"OG",NA,5.49,29,26,98,7.95,4.91
"OT",7,5.41,28,31,105,7.97,4.66
"QB",1,5.08,NA,NA,NA,NA,NA
"QB",1,4.75,NA,NA,NA,NA,NA
"OT",2,5.3,NA,30,NA,NA,NA
"TE",5,4.97,32.5,22,115,NA,NA
"WR",5,4.54,34.5,NA,NA,7.04,NA
"QB",3,5.04,30.5,NA,110,7.65,4.62
"OT",5,5.06,34.5,24,110,7.96,4.68
"OT",7,5.33,NA,29,NA,NA,NA
"OG",2,5.07,32,19,111,7.72,4.41
"WR",7,4.78,32.5,NA,114,NA,4.35
"OG",2,5.1,30.5,29,104,7.75,4.66
"WR",NA,4.6,32.5,NA,113,6.9,4.08
"WR",NA,4.49,31.5,NA,119,6.88,3.87
"OT",3,5.56,27.5,21,98,7.88,4.65
"C",4,5.29,25.5,NA,96,7.64,4.44
"FB",5,4.8,32.5,23,114,7.65,4.52
"WR",6,4.46,NA,NA,NA,NA,NA
"OG",5,5.2,29,27,105,8.03,4.98
"WR",7,4.5,NA,NA,NA,NA,NA
"WR",NA,4.54,34.5,NA,121,7.31,4.3
"TE",2,4.65,NA,NA,NA,NA,NA
"RB",5,4.49,31,22,114,7.5,4.15
"TE",NA,4.8,NA,NA,NA,NA,NA
"QB",7,4.98,33.5,NA,115,6.89,4.11
"TE",1,4.5,35.5,34,123,7.38,4.11
"WR",2,4.5,NA,NA,NA,NA,NA
"C",7,5.3,31,31,109,7.56,4.35
"OT",3,5.14,31.5,NA,105,8.31,4.58
"WR",4,4.79,40.5,NA,130,NA,4.17
"WR",1,4.56,NA,NA,NA,NA,NA
"WR",1,4.48,NA,NA,NA,NA,NA
"RB",NA,4.73,34,15,114,7.01,4.15
"WR",NA,4.63,35,NA,120,7.07,3.98
"TE",2,4.62,35,24,119,6.88,4.1
"OT",5,5.36,28.5,24,108,7.53,4.49
"RB",7,4.6,33.5,26,118,7.68,4.36
"FB",3,4.89,33,25,109,7.56,4.36
"TE",1,4.55,NA,24,120,NA,NA
"WR",1,4.47,39,NA,125,6.93,3.97
"RB",NA,4.68,30,NA,111,7.35,4.12
"WR",NA,4.64,34,NA,NA,NA,NA
"QB",NA,4.87,28.5,NA,104,7.03,4.13
"OT",NA,5.3,NA,NA,NA,NA,NA
"OT",NA,5.3,NA,NA,NA,NA,NA
"RB",NA,4.71,35,27,117,7.34,4.19
"FB",NA,4.98,NA,NA,NA,NA,NA
"WR",NA,4.55,38,NA,120,7.2,4.34
"WR",NA,4.52,39,NA,121,7.13,4.3
"QB",NA,4.67,30.5,NA,108,6.77,4.08
"OT",NA,5.62,30,NA,108,7.95,4.41
"TE",NA,4.87,35.5,17,113,7.34,4.34
"OT",NA,5.41,27,NA,91,8.15,4.7
"C",NA,4.96,34.5,31,108,7.53,4.48
"RB",NA,4.5,NA,15,NA,NA,NA
"WR",NA,4.58,37.5,NA,124,7.42,4.07
"WR",NA,4.58,35,NA,115,7.42,4.11
"QB",NA,4.64,33,NA,113,6.89,4.07
"QB",NA,5,29,NA,103,7.41,4.52
"TE",NA,4.9,28,21,103,7.25,4.27
"WR",NA,4.71,36,NA,113,7.56,4.44
"WR",NA,4.78,33,NA,108,7.39,4.25
"QB",NA,4.72,33,NA,108,7.41,4.34
"WR",NA,4.52,37.5,NA,118,7.19,4.22
"TE",NA,4.89,NA,24,NA,NA,NA
"OT",NA,5.64,25.5,NA,85,8.03,4.89
